time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,3417598,2627477,3.417598,2.627477,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1642,1313.6,985.2,49.26,49.26,9,9.7
20,768169,618252,0.768169,0.618252,58,58,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1380,1104,828,41.4,41.4,0,0
30,4738812,3277171,4.738812,3.277171,58,60,37,28,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1571,1256.8,942.6,47.13,47.13,0,0
40,23550937,16210988,23.550937,16.210988,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1479,1183.2,887.4,44.37,44.37,0,25.4
50,12797969,9459992,12.797969,9.459992,56,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1633,1306.4,979.8,48.99,48.99,0,0
60,4446550,3330032,4.44655,3.330032,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1370,1096,822,41.1,41.1,0,0
70,2029973,1281871,2.029973,1.281871,58,61,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1392,1113.6,835.2,41.76,41.76,0,16.6
80,1484071,1227031,1.484071,1.227031,58,58,37,29,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1512,1209.6,907.2,45.36,45.36,0,0
90,3929730,2851824,3.92973,2.851824,55,61,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1389,1111.2,833.4,41.67,41.67,0,0
100,12551212,8549257,12.551212,8.549257,58,58,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1569,1255.2,941.4,47.07,47.07,0,18
110,18803608,14287877,18.803608,14.287877,58,58,37,28,35,26,14,38,27,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1386,1108.8,831.6,41.58,41.58,0,0
120,23693997,17028896,23.693997,17.028896,54,61,37,28,35,26,14,38,27,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1528,1222.4,916.8,45.84,45.84,0,0
130,19885081,14696771,19.885081,14.696771,54,61,37,28,35,26,14,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1465,1172,879,43.95,43.95,0,19.1
140,26486081,18989411,26.486081,18.989411,53,61,37,29,35,26,14,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1484,1187.2,890.4,44.52,44.52,0,0
150,11328679,8411313,11.328679,8.411313,53,61,37,28,35,26,14,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1527,1221.6,916.2,45.81,45.81,0,0
160,12408265,9053807,12.408265,9.053807,53,61,37,29,35,26,14,38,28,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1553,1242.4,931.8,46.59,46.59,0,20.2
170,3384334,2533023,3.384334,2.533023,57,58,37,29,35,26,14,38,28,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1535,1228,921,46.05,46.05,0,0
180,10561096,7942437,10.561096,7.942437,58,58,37,29,35,26,14,38,27,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1366,1092.8,819.6,40.98,40.98,0,0
190,11227949,8913978,11.227949,8.913978,55,60,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1371,1096.8,822.6,41.13,41.13,0,21.3
200,1166399,928664,1.166399,0.928664,57,61,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1372,1097.6,823.2,41.16,41.16,0,0
210,9904567,6801091,9.904567,6.801091,58,58,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1373,1098.4,823.8,41.19,41.19,0,0
220,21971302,15793372,21.971302,15.793372,57,59,37,29,35,26,15,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1477,1181.6,886.2,44.31,44.31,0,22.4
230,919962,836889,0.919962,0.836889,57,61,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1372,1097.6,823.2,41.16,41.16,0,0
240,14068595,9698229,14.068595,9.698229,58,61,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1532,1225.6,919.2,45.96,45.96,0,0
250,11385154,8610615,11.385154,8.610615,58,60,37,29,35,26,15,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1383,1106.4,829.8,41.49,41.49,0,23.5
260,2848971,1852416,2.848971,1.852416,58,59,37,29,35,26,15,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1494,1195.2,896.4,44.82,44.82,0,0
270,15416799,11711795,15.416799,11.711795,57,60,37,29,35,26,15,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1581,1264.8,948.6,47.43,47.43,0,0
280,19677165,14781424,19.677165,14.781424,58,59,37,29,35,26,15,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1392,1113.6,835.2,41.76,41.76,0,24.5
290,22953114,16100618,22.953114,16.100618,54,60,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1579,1263.2,947.4,47.37,47.37,0,0
300,14805577,11183272,14.805577,11.183272,54,61,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1381,1104.8,828.6,41.43,41.43,0,0
310,412591920,190753579,412.59192,190.753579,53,61,37,29,35,26,15,38,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1661,1328.8,996.6,49.83,49.83,0,25.7
320,462733736,230594045,462.733736,230.594045,58,55,37,29,35,26,15,38,28,30,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1609,1287.2,965.4,48.27,48.27,0,0
330,460477901,228228569,460.477901,228.228569,58,54,37,29,35,26,15,38,27,30,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1719,1375.2,1031.4,51.57,51.57,0,0
340,452602493,223234289,452.602493,223.234289,57,53,37,29,35,26,15,38,28,30,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1744,1395.2,1046.4,52.32,52.32,0,583.8
350,462925852,229971610,462.925852,229.97161,57,53,37,29,35,26,15,38,28,31,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1603,1282.4,961.8,48.09,48.09,0,0
360,469575786,234287356,469.575786,234.287356,58,53,38,29,35,26,15,38,27,31,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1599,1279.2,959.4,47.97,47.97,0,0
370,466520429,232694332,466.520429,232.694332,56,53,37,29,35,26,15,38,28,31,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1816,1452.8,1089.6,54.48,54.48,0,33.1
380,471177609,235701315,471.177609,235.701315,53,53,38,29,35,26,15,38,28,32,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1603,1282.4,961.8,48.09,48.09,0,0
390,466007039,232643505,466.007039,232.643505,56,52,38,29,35,26,15,38,28,32,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1609,1287.2,965.4,48.27,48.27,0,0
400,472531070,236370309,472.53107,236.370309,58,52,38,29,35,26,15,38,27,32,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1717,1373.6,1030.2,51.51,51.51,0,32.4
410,17589834,12068064,17.589834,12.068064,53,52,38,29,35,26,15,38,28,33,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1767,1413.6,1060.2,53.01,53.01,0,0
420,472487169,237066180,472.487169,237.06618,57,51,38,29,35,26,15,38,28,33,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1640,1312,984,49.2,49.2,0,0
430,465842646,232333379,465.842646,232.333379,57,51,38,29,36,26,15,38,28,33,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1595,1276,957,47.85,47.85,0,33.3
440,456867816,226270731,456.867816,226.270731,57,51,38,29,36,26,15,38,28,33,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1589,1271.2,953.4,47.67,47.67,0,0
450,467054476,232900006,467.054476,232.900006,57,51,38,29,36,26,16,38,27,33,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1600,1280,960,48,48,0,0
460,464353305,230593162,464.353305,230.593162,58,51,38,29,35,27,16,38,27,34,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1592,1273.6,955.2,47.76,47.76,0,102.7
470,470583003,235050873,470.583003,235.050873,57,50,38,29,36,26,16,38,28,34,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1715,1372,1029,51.45,51.45,0,0
480,465841951,230951850,465.841951,230.95185,54,51,38,29,36,27,16,38,28,34,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1711,1368.8,1026.6,51.33,51.33,0,0
490,479996638,242032746,479.996638,242.032746,57,50,38,29,36,27,16,38,28,34,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1600,1280,960,48,48,0,33.8
500,462121161,230568578,462.121161,230.568578,58,50,38,29,36,27,16,38,28,34,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1605,1284,963,48.15,48.15,0,0
