 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43332704 30784668 45 1284 0 0 0 0 7 -0  1 -0  0  757  844  332  1  2 97
 0 0 0 43304680 30729180 112 3364 0 0 0 0 0 0  3  0  0  926 1902  349  0  5 95
 0 0 0 43304544 30728948 93 3044 0 0 0 0 0  0  0  0  0  791 1673  330  0  4 96
 0 0 0 43304292 30728840 100 3120 0 0 0 0 0 0  0  0  0  736 1674  304  0  5 95
 0 0 0 43304172 30728796 108 3195 0 0 0 0 0 0  2  0  0  776 1731  328  0  6 94
 0 0 0 43304492 30728920 93 3036 0 0 0 0 0  0  0  0  0  740 1627  307  0  4 96
 0 0 0 43304200 30728808 108 3197 0 0 0 0 0 0  0  0  0  735 1739  313  0  6 94
 0 0 0 43304612 30728928 100 3112 0 0 0 0 0 0  2  0  0  798 1659  330  0  3 97
 0 0 0 43304584 30728916 93 3042 0 0 0 0 0  0  0  0  0  751 1637  299  0  3 97
 0 0 0 43304020 30728720 55 1591 0 0 0 0 0  0  0  0  0  785 1125  240  0  6 94
 0 0 0 43304364 30728832 142 4615 0 0 0 0 0 0  2  0  0  818 2213  399  0  4 96
 0 0 0 43304680 30728936 102 3119 0 0 0 0 0 0  0  0  0  892 1677  307  0  3 97
 0 0 0 43304216 30728764 100 3119 0 0 0 0 0 0  0  0  0  701 1677  307  0  5 95
 0 0 0 43304096 30728720 108 3193 0 0 0 0 0 0  2  0  0  860 1735  329  0  5 94
 0 0 0 43304428 30728832 93 3044 0 0 0 0 0  0  0  0  0  882 1665  331  0  4 96
 0 0 0 43304432 30728824 100 3120 0 0 0 0 0 0  0  0  0  732 1681  311  0  4 96
 0 0 0 43304412 30728808 109 3196 0 0 0 0 0 0  2  0  0  766 1722  331  0  4 96
 0 0 0 43304676 30728936 105 3114 0 0 0 0 0 0  0  0  0  722 1694  302  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43304284 30728760 100 3124 0 0 0 0 0 0  0  0  0  750 1682  305  0  4 96
 0 0 0 43304016 30728656 91 3043 0 0 0 0 0  0  2  0  0  748 1624  328  0  6 94
 0 0 0 43304332 30728796 110 3198 0 0 0 0 0 0  0  0  0  793 1750  311  0  4 96
 0 0 0 43304116 30728668 100 3119 0 0 0 0 0 0  0  0  0  714 1661  311  0  5 95
 0 0 0 43304332 30728744 100 3120 0 0 0 0 0 0  2  0  0  827 1669  334  0  4 96
 0 0 0 43304452 30728776 93 3045 0 0 0 0 0  0  0  0  0  764 1638  299  0  3 97
