 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43338168 30790976 43 1227 0 0 0 0 7 -0  1 -0  0  755  818  332  1  2 97
 0 0 0 43308652 30733188 103 3297 0 0 0 0 0 0  0  0  0  826 1840  308  0  5 95
 0 0 0 43308360 30732812 100 3121 0 0 0 0 0 0  2  0  0  732 1681  332  0  4 96
 0 0 0 43308228 30732768 110 3197 0 0 0 0 0 0  0  0  0  725 1726  313  0  5 95
 0 0 0 43308232 30732804 100 3119 0 0 0 0 0 0  0  0  0  811 1682  317  0  6 94
 0 0 0 43308668 30732948 100 3113 0 0 0 0 0 0  2  0  0  789 1676  332  0  3 97
 0 0 0 43308084 30732728 102 3119 0 0 0 0 0 0  0  0  0  781 1700  307  0  6 94
 0 0 0 43308188 30732740 100 3112 0 0 0 0 0 0  0  0  0  758 1670  317  0  5 95
 0 0 0 43308300 30732788 100 3119 0 0 0 0 0 0  2  0  0  830 1682  330  0  4 96
 0 0 0 43308284 30732760 93 3039 0 0 0 0 0  0  0  0  0  750 1620  311  0  4 96
 0 0 0 43308388 30732788 108 3198 0 0 0 0 0 0  0  0  0  759 1739  307  0  4 96
 0 0 0 43308396 30732796 91 3041 0 0 0 0 0  0  2  0  0  813 1616  325  0  4 96
 0 0 0 43308156 30732716 102 3123 0 0 0 0 0 0  0  0  0  712 1723  331  0  5 95
 0 0 0 43308364 30732764 100 3115 0 0 0 0 0 0  0  0  0  744 1680  306  0  4 96
 0 0 0 43308360 30732776 108 3196 0 0 0 0 0 0  2  0  0  766 1726  331  0  4 96
 0 0 0 43308032 30732672 102 3114 0 0 0 0 0 0  0  0  0  743 1668  295  0  6 94
 0 0 0 43308220 30732696 91 3043 0 0 0 0 0  0  0  0  0  766 1643  309  0  5 95
 0 0 0 43308112 30732664 100 3111 0 0 0 0 0 0  3  0  0  787 1681  348  0  5 95
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43308352 30732760 110 3202 0 0 0 0 0 0  0  0  0  802 1730  310  0  4 96
 0 0 0 43307968 30732616 92 3043 0 0 0 0 0  0  0  0  0  751 1629  311  0  6 94
 0 0 0 43308108 30732676 108 3200 0 0 0 0 0 0  2  0  0  771 1739  332  0  6 94
 0 0 0 43308412 30732768 92 3040 0 0 0 0 0  0  0  0  0  890 1618  308  0  4 96
 0 0 0 43307976 30732624 101 3125 0 0 0 0 0 0  0  0  0  785 1684  308  0  6 94
 0 0 0 43308180 30732656 100 3120 0 0 0 0 0 0  2  0  0  737 1676  335  0  5 95
 0 0 0 43308084 30732572 101 3120 0 0 0 0 0 0  0  0  0  800 1725  331  0  5 95
 0 0 0 43308068 30732544 100 3113 0 0 0 0 0 0  0  0  0  807 1677  312  0  5 95
 0 0 0 43307880 30732508 100 3128 0 0 0 0 0 0  2  0  0  832 1683  334  0  5 95
 0 0 0 43308272 30732600 101 3126 0 0 0 0 0 0  0  0  0  761 1683  310  0  3 97
 0 0 0 43307840 30732476 100 3124 0 0 0 0 0 0  0  0  0  777 1677  307  0  6 94
 0 0 0 43308040 30732556 100 3122 0 0 0 0 0 0  2  0  0  800 1682  328  0  5 95
 0 0 0 43308168 30732600 102 3167 0 0 0 0 0 0  0  0  0  735 1694  315  0  4 96
 0 0 0 42890844 30357716 151 13314 0 0 0 0 0 0 0  0  0  807 3270  255  6  6 88
