 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43340020 30793184 42 1197 0 0 0 0 7 -0  1 -0  0  754  804  332  1  2 97
 0 0 0 43310260 30734628 105 3302 0 0 0 0 0 0  0  0  0  860 1886  333  0  4 96
 0 0 0 43310052 30734372 100 3122 0 0 0 0 0 0  0  0  0  729 1680  310  0  4 96
 0 0 0 43309684 30734244 100 3120 0 0 0 0 0 0  2  0  0  740 1678  323  0  5 95
 0 0 0 43310108 30734456 100 3119 0 0 0 0 0 0  0  0  0  699 1683  300  0  3 97
 0 0 0 43310000 30734396 114 3191 0 0 0 0 0 0  0  0  0  862 1718  308  0  3 96
 0 0 0 43309884 30734284 91 3043 0 0 0 0 0  0  2  0  0  747 1641  330  0  5 95
 0 0 0 43309884 30734320 105 3114 0 0 0 0 0 0  0  0  0  772 1677  303  0  5 95
 0 0 0 43309632 30734200 100 3119 0 0 0 0 0 0  0  0  0  843 1678  316  0  5 95
 0 0 0 43309600 30734180 100 3115 0 0 0 0 0 0  2  0  0  780 1681  333  0  6 94
 0 0 0 43309392 30734104 70 2080 0 0 0 0 0  0  0  0  0  749 1305  273  0  6 94
 0 0 0 43309708 30734192 129 4130 0 0 0 0 0 0  0  0  0  768 2031  354  0  5 95
 0 0 0 43309592 30734152 100 3121 0 0 0 0 0 0  2  0  0  866 1677  317  0  5 95
 0 0 0 43309388 30734104 57 1591 0 0 0 0 0  0  0  0  0  770 1165  266  0  6 94
 0 0 0 43309468 30734120 147 4660 0 0 0 0 0 0  0  0  0  810 2237  377  0  6 94
 0 0 0 43309772 30734176 91 3042 0 0 0 0 0  0  2  0  0  817 1636  331  0  4 96
 0 0 0 43309360 30734080 87 2684 0 0 0 0 0  0  0  0  0  736 1514  287  0  6 94
 0 0 0 43309780 30734188 111 3522 0 0 0 0 0 0  0  0  0  738 1823  341  0  4 96
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43309628 30734112 100 3124 0 0 0 0 0 0  2  0  0  778 1681  328  0  4 96
 0 0 0 43309416 30734060 102 3119 0 0 0 0 0 0  0  0  0  815 1679  309  0  6 94
 0 0 0 43309516 30734076 100 3122 0 0 0 0 0 0  0  0  0  726 1681  317  0  5 95
 0 0 0 43309956 30734208 100 3116 0 0 0 0 0 0  2  0  0  767 1675  329  0  2 98
 0 0 0 43309244 30733976 57 1597 0 0 0 0 0  0  0  0  0  696 1127  250  0  6 94
 0 0 0 43309564 30734068 142 4607 0 0 0 0 0 0  0  0  0  744 2218  373  0  5 95
 0 0 0 43309908 30734184 100 3119 0 0 0 0 0 0  2  0  0  756 1678  330  0  3 97
 0 0 0 43309304 30733960 57 1593 0 0 0 0 0  0  0  0  0  855 1160  271  0  6 94
 0 0 0 43309404 30733984 142 4620 0 0 0 0 0 0  0  0  0  750 2221  383  0  6 94
 0 0 0 43309660 30734088 100 3120 0 0 0 0 0 0  2  0  0  776 1683  329  0  4 96
 0 0 0 43309384 30733988 102 3122 0 0 0 0 0 0  0  0  0  784 1681  311  0  5 95
 0 0 0 43309380 30733960 100 3117 0 0 0 0 0 0  0  0  0  779 1679  311  0  5 95
 0 0 0 43309640 30734068 100 3170 0 0 0 0 0 0  4  0  0  814 1698  351  0  4 96
 0 0 0 43144060 30580208 222 7554 0 0 0 0 0 0  0  0  0  816 3836  317  6  5 89
 0 0 0 43128724 30565808 106 3123 0 0 0 0 0 0  0  0  0  824 1679  322  6  2 92
 0 0 0 43128256 30565912 106 3122 0 0 0 0 0 0  2  0  0  833 1679  344  6  4 90
 0 0 0 43127968 30565836 108 3127 0 0 0 0 0 0  0  0  0  826 1680  320  6  5 88
 0 0 0 43127932 30565796 106 3125 0 0 0 0 0 0  0  0  0  806 1683  309  6  5 89
 0 0 0 43128044 30565828 106 3126 0 0 0 0 0 0  2  0  0  985 1681  347  6  4 89
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43128128 30565812 108 3124 0 0 0 0 0 0  0  0  0  801 1725  337  6  4 90
 0 0 0 43127824 30565788 55 1598 0 0 0 0 0  0  0  0  0  744 1116  261  6  6 88
 0 0 0 43127880 30566344 162 4626 0 0 0 0 0 0  2  0  0  832 2219  404  6  6 88
 0 0 0 43128300 30565844 108 3122 0 0 0 0 0 0  0  0  0  821 1683  319  6  4 90
 0 0 0 43128124 30565816 106 3118 0 0 0 0 0 0  0  0  0  788 1678  328  6  3 90
 0 0 0 43127828 30565720 106 3124 0 0 0 0 0 0  2  0  0  800 1677  344  6  5 88
 0 0 0 43128204 30565792 108 3126 0 0 0 0 0 0  0  0  0  802 1681  315  6  3 91
 0 0 0 43128072 30565796 106 3125 0 0 0 0 0 0  0  0  0  841 1677  356  6  4 90
 0 0 0 43127968 30565692 106 3123 0 0 0 0 0 0  2  0  0  798 1682  347  6  4 89
 0 0 0 43127796 30565580 108 3126 0 0 0 0 0 0  0  0  0  795 1680  312  6  5 89
 0 0 0 43127544 30565424 55 1596 0 0 0 0 0  0  0  0  0  771 1137  248  6  5 89
 0 0 0 43127496 30565272 171 4663 0 0 0 0 0 0  2  0  0  998 2220  412  6  5 89
 0 0 0 43127840 30565324 108 3118 0 0 0 0 0 0  0  0  0  822 1729  335  6  3 91
 0 0 0 43127492 30565280 106 3129 0 0 0 0 0 0  0  0  0  778 1675  307  6  4 89
 0 0 0 43127488 30565264 106 3126 0 0 0 0 0 0  4  0  0  812 1682  347  6  4 89
 0 0 0 43127576 30565272 108 3124 0 0 0 0 0 0  0  0  0  776 1679  313  6  4 90
 0 0 0 43127580 30565292 106 3123 0 0 0 0 0 0  0  0  0  783 1678  312  6  4 90
 0 0 0 43127584 30565256 106 3126 0 0 0 0 0 0  2  0  0  814 1681  337  6  4 90
 0 0 0 43127688 30565256 107 3125 0 0 0 0 0 0  0  0  0  806 1680  317  6  3 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43127444 30565208 106 3126 0 0 0 0 0 0  0  0  0  834 1675  311  6  4 89
 0 0 0 43127544 30565212 106 3123 0 0 0 0 0 0  2  0  0  792 1682  346  6  4 90
 0 0 0 43127788 30565304 108 3123 0 0 0 0 0 0  0  0  0  836 1684  313  6  3 91
 0 0 0 43127436 30565192 106 3122 0 0 0 0 0 0  0  0  0  797 1680  314  6  5 89
 0 0 0 43127864 30565228 106 3123 0 0 0 0 0 0  2  0  0  916 1681  336  6  2 91
 0 0 0 43127632 30565252 108 3118 0 0 0 0 0 0  0  0  0  813 1723  356  6  3 90
 0 0 0 43127596 30565156 106 3123 0 0 0 0 0 0  0  0  0  815 1680  311  6  4 90
 0 0 0 43127292 30565148 55 1596 0 0 0 0 0  0  2  0  0  753 1095  268  6  5 89
 0 0 0 43127368 30565140 158 4656 0 0 0 0 0 0  0  0  0  842 2270  376  6  5 89
 0 0 0 43127384 30565188 67 2033 0 0 0 0 0  0  0  0  0  781 1282  262  6  5 89
 0 0 0 43127268 30565116 108 2701 0 0 0 0 0 0  2  0  0  900 1527  317  6  5 89
 0 0 0 43127264 30565124 139 4293 0 0 0 0 0 0  0  0  0  838 2087  379  6  5 89
 0 0 0 43127348 30565096 125 3483 0 0 0 0 0 0  0  0  0  795 1816  332  6  5 89
 0 0 0 43127316 30565060 106 3118 0 0 0 0 0 0  2  0  0  852 1695  342  6  4 89
 0 0 0 43127460 30565116 108 3125 0 0 0 0 0 0  0  0  0  799 1663  310  6  4 89
 0 0 0 43127256 30565096 55 1593 0 0 0 0 0  0  0  0  0  752 1107  244  6  5 89
 0 0 0 43155664 30590468 121 3137 0 0 0 0 0 0  2  0  0  948 1687  343  5  5 90
 0 0 0 43240708 30666988 171 6603 0 0 0 0 0 0  0  0  0  949 2405  331  1  5 94
 0 0 0 43126396 30564228 157 4655 0 0 0 0 0 0  0  0  0  815 2237  376  6  5 89
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43126496 30564284 106 3125 0 0 0 0 0 0  2  0  0  873 1679  349  6  4 90
 0 0 0 43126232 30564216 76 2322 0 0 0 0 0  0  0  0  0  861 1390  283  6  5 89
