time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,8082043,5492883,0.08082043,0.05492883,55,59,38,30,36,28,15,39,28,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1649,1470.4,1102.8,55.14,55.14,9.3,9.4
20,4947675,4086580,0.04947675,0.0408658,57,56,38,30,36,28,15,39,29,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1583,1105.6,829.2,41.46,41.46,0,21.7
30,20472145,14957931,0.20472145,0.14957931,52,59,38,30,36,28,15,39,29,30,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1360,1114.4,835.8,41.79,41.79,0,0
40,11990753,8213816,0.11990753,0.08213816,57,57,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1563,1123.2,842.4,42.12,42.12,0,0
50,24218375,18343088,0.24218375,0.18343088,57,56,38,30,36,28,15,39,28,31,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1390,1400,1050,52.5,52.5,0,14
60,4926457,3305746,0.04926457,0.03305746,57,56,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1388,1114.4,835.8,41.79,41.79,0,0
70,20517380,15255948,0.2051738,0.15255948,57,56,38,30,36,28,15,39,28,31,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1393,1126.4,844.8,42.24,42.24,0,0
80,22107374,14315081,0.22107374,0.14315081,57,56,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1561,1104,828,41.4,41.4,0,15.2
90,25199806,18447296,0.25199806,0.18447296,52,59,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1553,1264,948,47.4,47.4,0,0
100,7292815,4693376,0.07292815,0.04693376,53,59,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1555,1109.6,832.2,41.61,41.61,0,0
110,16152319,11540368,0.16152319,0.11540368,56,58,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1570,1240.8,930.6,46.53,46.53,0,16.2
120,15644040,11904017,0.1564404,0.11904017,57,59,38,30,36,28,15,39,28,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1457,1106.4,829.8,41.49,41.49,0,0
130,15940712,11863691,0.15940712,0.11863691,56,59,38,30,36,28,15,39,29,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1577,1214.4,910.8,45.54,45.54,0,0
