Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
0 -55 -59 38 30 36 28 15 39 5Dh 76h 28 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
10 -57 -56 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
20 -52 -59 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
30 -57 -57 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
40 -57 -56 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
50 -57 -56 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
60 -57 -56 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
70 -57 -56 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
80 -52 -59 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
90 -53 -59 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
100 -56 -58 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
110 -57 -59 38 30 36 28 15 39 5Dh 76h 28 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
120 -56 -59 38 30 36 28 15 39 5Dh 76h 29 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
130 -56 -59 38 30 36 28 15 39 5Dh 76h 29 31 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
140 -57 -59 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
150 -56 -56 38 30 36 28 15 39 5Dh 76h 29 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
160 -56 -57 38 30 36 28 15 39 5Dh 76h 29 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
170 -52 -59 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
180 -52 -59 38 30 36 27 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
190 -56 -57 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
200 -52 -59 38 30 36 27 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
210 -57 -57 38 30 36 27 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
220 -56 -58 38 30 36 28 15 39 5Dh 76h 29 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
230 -55 -59 38 30 36 28 15 39 5Dh 76h 28 30 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
