Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
0 -59 -61 36 28 35 26 15 37 5Dh 76h 26 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
10 -59 -59 36 28 35 26 15 37 5Dh 76h 26 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
20 -56 -61 36 28 35 26 15 37 5Dh 76h 26 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
30 -59 -59 36 28 35 26 15 37 5Dh 76h 26 28 46 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
40 -59 -59 36 28 35 26 15 37 5Dh 76h 26 28 46 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
50 -55 -61 36 28 35 26 15 37 5Dh 76h 26 28 46 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
60 -57 -61 36 28 35 26 15 37 5Dh 76h 27 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
70 -54 -61 37 28 35 26 15 37 5Dh 76h 27 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
80 -54 -61 37 28 35 26 15 37 5Dh 76h 27 28 46 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
90 -54 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
100 -58 -61 37 28 35 26 15 37 5Dh 76h 27 28 46 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
110 -54 -61 37 29 35 26 15 37 5Dh 76h 27 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
120 -53 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
130 -54 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
140 -58 -58 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
150 -58 -58 37 29 35 26 15 37 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
160 -57 -59 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
170 -53 -61 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
180 -55 -61 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
190 -53 -61 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
200 -53 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
210 -53 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
220 -57 -58 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 2
230 -57 -61 37 29 35 26 15 37 5Dh 76h 28 28 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
240 -58 -58 37 29 35 26 15 37 5Dh 76h 27 29 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
250 -58 -58 37 29 35 26 15 37 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
260 -57 -60 37 29 35 26 15 37 5Dh 76h 27 29 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
270 -58 -58 37 29 35 27 15 37 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
280 -58 -57 37 29 35 26 15 37 5Dh 76h 27 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
290 -58 -57 37 29 35 26 15 37 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
300 -53 -61 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
310 -56 -53 37 29 35 26 15 37 5Dh 76h 28 29 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
320 -57 -52 37 29 35 26 15 37 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
330 -58 -51 37 29 35 26 15 37 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
340 -58 -51 37 29 35 26 15 37 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
350 -58 -51 37 29 35 26 15 37 5Dh 76h 27 30 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
360 -58 -50 37 29 35 26 15 37 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
370 -57 -50 37 29 35 26 15 37 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
380 -57 -50 37 29 36 27 15 37 5Dh 76h 28 31 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
390 -58 -49 37 29 35 26 15 37 5Dh 76h 27 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
400 -58 -49 37 29 35 26 15 37 5Dh 76h 28 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
410 -57 -49 38 29 35 26 15 37 5Dh 76h 28 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
420 -57 -49 38 29 35 26 15 37 5Dh 76h 28 31 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
430 -57 -48 38 29 36 27 15 38 5Dh 76h 28 31 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
440 -57 -48 38 29 35 26 15 38 5Dh 76h 28 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
450 -57 -48 38 29 35 26 15 38 5Dh 76h 28 32 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
460 -58 -47 38 29 35 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
470 -58 -47 38 29 35 27 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
480 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
490 -58 -47 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
500 -58 -47 38 29 35 27 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
510 -58 -46 38 29 35 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
520 -58 -47 37 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
530 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
540 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
550 -58 -46 38 29 35 27 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
560 -58 -46 38 29 35 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
570 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
580 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
590 -58 -46 38 29 36 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
600 -58 -45 38 29 35 27 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
610 -58 -46 38 29 36 26 15 38 5Dh 76h 27 33 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
620 -54 -46 38 29 36 27 15 38 5Dh 76h 27 33 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
630 -57 -45 38 29 36 26 15 38 5Dh 76h 28 33 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
640 -58 -46 38 29 36 26 15 38 5Dh 76h 27 33 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
650 -58 -44 38 29 36 27 15 38 5Dh 76h 27 33 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
660 -53 -46 38 29 36 26 15 38 5Dh 76h 28 33 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
670 -58 -44 38 29 36 26 15 38 5Dh 76h 27 33 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
680 -58 -44 38 29 36 26 15 38 5Dh 76h 27 33 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
690 -54 -45 38 29 35 26 15 38 5Dh 76h 27 33 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
