Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	27	30	26	20	21	3150	7650	5250	7500	5325	7575	5250	7950	5250
5	27	30	26	20	21	3150	7575	5325	7500	5325	7500	5250	7950	5250
10	28	30	26	20	21	3225	7575	5325	7425	5325	7575	5325	7875	5250
15	28	30	26	20	21	3150	7575	5325	7425	5400	7500	5250	7950	5250
20	28	31	26	20	21	3150	7575	5325	7425	5325	7500	5250	7950	5250
25	28	30	26	20	21	3150	7575	5325	7425	5400	7500	5250	7950	5325
30	28	31	26	20	21	3150	7575	5250	7425	5400	7500	5250	7950	5250
35	28	31	26	20	21	3150	7575	5325	7500	5400	7500	5325	7950	5325
40	28	31	26	20	21	3150	7650	5325	7425	5325	7575	5250	7950	5250
45	28	31	26	20	21	3225	7650	5325	7425	5400	7500	5250	7950	5250
50	28	31	26	20	21	3150	7575	5325	7425	5400	7575	5250	8025	5250
55	28	31	26	20	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
60	28	31	26	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
65	29	31	26	20	21	3150	7575	5325	7500	5325	7500	5250	7950	5250
70	29	31	26	20	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
75	29	31	26	20	21	3150	7575	5325	7425	5325	7500	5250	7950	5250
80	29	31	26	20	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
85	29	31	26	20	21	3150	7650	5250	7500	5400	7500	5250	7950	5250
90	29	31	26	20	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
95	29	31	26	20	21	3150	7650	5325	7425	5325	7575	5250	7950	5250
100	29	31	26	20	21	3150	7575	5325	7500	5325	7575	5250	7950	5250
105	29	31	26	20	21	3150	7575	5325	7500	5325	7575	5250	7950	5250
110	29	32	26	20	21	3150	7650	5250	7500	5400	7575	5250	7950	5250
115	28	32	26	20	21	3150	7575	5325	7425	5325	7575	5250	7950	5250
120	28	32	26	20	21	3150	7650	5250	7425	5325	7575	5325	7950	5325
125	29	32	26	20	21	3225	7575	5325	7500	5400	7575	5325	7950	5325
130	29	32	26	20	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
135	29	32	26	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
140	29	32	26	20	21	3225	7575	5325	7500	5400	7575	5325	7950	5325
145	29	32	26	20	21	3150	7575	5325	7425	5400	7500	5250	7950	5250
150	28	32	26	20	21	3150	7650	5250	7500	5325	7575	5250	7950	5250
155	29	32	26	20	21	3150	7650	5325	7500	5325	7575	5250	7950	5250
160	29	31	26	20	21	3150	7650	5325	7500	5325	7575	5250	7950	5250
165	29	31	26	20	21	3225	7650	5325	7500	5400	7500	5250	7950	5250
170	29	31	26	20	21	3150	7650	5325	7425	5400	7575	5325	7950	5325
175	29	31	26	20	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
180	29	32	26	20	21	3150	7575	5325	7425	5325	7575	5325	7950	5325
185	29	32	26	20	21	3150	7650	5325	7425	5325	7575	5250	7950	5250
190	31	36	26	20	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
195	30	32	26	20	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
