Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	26	30	25	18	20	3150	7650	5250	7500	5400	7575	5325	8025	5325
5	26	30	25	18	20	3150	7650	5250	7500	5400	7575	5325	8025	5250
10	26	30	25	18	20	3225	7575	5325	7425	5400	7575	5325	7950	5250
15	26	30	25	18	20	3150	7650	5250	7500	5400	7575	5325	8025	5250
20	27	30	25	18	20	3225	7650	5325	7500	5400	7575	5250	7950	5250
25	26	30	25	18	20	3150	7575	5250	7500	5400	7575	5325	8025	5325
30	27	30	25	18	20	3225	7575	5250	7425	5325	7575	5325	8025	5250
35	27	30	25	18	21	3150	7650	5325	7500	5400	7575	5250	7950	5325
40	26	31	25	18	21	3150	7575	5325	7500	5400	7575	5250	8025	5325
45	27	30	25	18	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
50	27	31	25	18	21	3150	7575	5325	7425	5400	7575	5250	8025	5250
55	27	31	25	18	21	3150	7575	5250	7500	5400	7650	5325	8025	5325
60	27	31	25	18	21	3150	7650	5325	7500	5400	7575	5250	7950	5325
65	27	31	25	18	21	3150	7650	5325	7500	5400	7575	5325	7950	5325
70	27	31	25	18	21	3150	7650	5325	7500	5400	7575	5250	7950	5325
75	27	31	25	18	21	3150	7650	5325	7425	5400	7650	5250	7950	5325
80	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
85	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	8025	5250
90	27	31	25	18	21	3150	7575	5250	7425	5400	7650	5325	8025	5250
95	27	31	25	18	20	3150	7650	5250	7500	5400	7650	5325	7950	5250
100	27	31	25	18	20	3150	7650	5325	7425	5400	7575	5250	7950	5325
105	27	31	25	18	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
110	27	31	25	18	20	3150	7650	5325	7425	5400	7575	5250	8025	5250
115	27	31	25	18	20	3225	7650	5325	7425	5400	7650	5250	8025	5325
120	27	31	25	17	20	3150	7575	5250	7425	5400	7575	5325	8025	5250
125	27	31	25	17	20	3150	7650	5250	7500	5325	7575	5325	7950	5325
130	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
135	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5325	7950	5250
140	27	31	25	17	20	3150	7575	5250	7425	5325	7650	5250	7950	5325
145	27	31	25	17	20	3150	7650	5325	7425	5400	7650	5250	8025	5325
150	27	31	25	17	20	3150	7575	5325	7425	5400	7575	5250	8025	5325
155	27	31	25	17	20	3150	7650	5250	7500	5400	7650	5325	7950	5250
160	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
165	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
170	27	31	25	17	20	3150	7650	5250	7500	5400	7575	5325	7950	5250
175	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5325	7950	5250
180	26	31	25	17	20	3150	7650	5325	7425	5400	7575	5250	7950	5325
185	26	31	25	17	20	3150	7575	5250	7500	5400	7575	5325	7950	5325
190	26	31	25	17	20	3150	7650	5325	7425	5400	7575	5250	7950	5250
195	26	31	25	17	20	3150	7650	5325	7425	5400	7575	5250	8025	5250
200	26	31	25	17	20	3150	7650	5250	7425	5400	7575	5325	7950	5250
205	26	31	25	17	20	3150	7650	5250	7425	5400	7575	5325	8025	5250
210	26	31	25	17	20	3150	7650	5325	7500	5400	7575	5250	8025	5250
215	26	31	25	17	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
220	26	31	25	17	20	3150	7650	5250	7500	5325	7575	5325	7950	5325
225	26	30	25	17	20	3150	7650	5325	7425	5400	7575	5325	8025	5250
230	26	31	25	17	20	3150	7575	5250	7500	5400	7575	5325	7950	5250
235	26	31	25	17	20	3150	7650	5250	7425	5325	7575	5325	7950	5250
240	26	30	24	17	20	3150	7650	5250	7500	5400	7575	5250	7950	5325
245	26	30	24	17	20	3150	7575	5325	7500	5400	7575	5250	7950	5250
250	26	31	24	17	20	3150	7575	5250	7500	5400	7575	5250	8025	5250
255	26	31	24	17	20	3150	7650	5325	7425	5400	7575	5325	7950	5325
260	26	30	24	17	20	3150	7650	5250	7425	5400	7575	5250	8025	5325
265	26	30	24	17	20	3150	7575	5325	7425	5400	7575	5325	7950	5250
270	26	31	24	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
275	26	30	24	17	20	3225	7575	5325	7425	5400	7575	5325	8025	5250
280	26	30	24	17	20	3150	7650	5325	7425	5400	7575	5325	7950	5250
285	26	30	24	17	20	3150	7650	5325	7425	5400	7575	5325	7950	5325
290	26	31	24	17	20	3150	7575	5250	7500	5400	7575	5325	7950	5250
295	26	31	24	17	20	3150	7575	5325	7500	5400	7575	5250	7950	5250
300	26	30	24	17	20	3150	7575	5250	7500	5400	7575	5325	7950	5250
305	26	31	24	17	20	3150	7650	5325	7500	5400	7575	5250	7950	5325
310	27	34	24	17	20	3150	7575	5325	7425	5400	7575	5250	7950	5325
315	30	37	24	17	20	3225	7650	5325	7500	5400	7575	5250	7950	5250
320	32	37	24	17	20	3225	7650	5325	7500	5400	7575	5325	7950	5325
325	32	39	24	17	20	3150	7650	5250	7425	5325	7575	5325	8025	5325
330	33	36	24	17	20	3150	7650	5250	7425	5325	7575	5325	8025	5325
335	34	36	24	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
340	36	39	24	17	20	3150	7650	5325	7500	5400	7575	5325	7950	5325
345	35	37	24	17	20	3150	7575	5325	7425	5400	7575	5250	7950	5250
350	34	39	24	17	20	3150	7575	5250	7425	5400	7500	5325	7950	5250
355	34	37	25	17	20	3150	7650	5325	7425	5400	7575	5250	8025	5250
360	35	38	25	17	20	3150	7650	5325	7425	5400	7575	5325	7950	5250
365	35	38	25	17	21	3150	7650	5250	7425	5400	7650	5325	7950	5250
370	36	38	25	17	21	3150	7575	5250	7425	5400	7575	5325	7950	5250
375	35	39	25	17	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
380	35	39	25	17	21	3150	7650	5250	7500	5400	7575	5325	8025	5250
385	35	37	25	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
390	35	39	25	18	21	3150	7575	5325	7425	5400	7575	5250	8025	5250
395	35	41	25	18	21	3150	7575	5325	7425	5400	7575	5250	8025	5250
400	36	39	25	17	21	3150	7650	5325	7500	5400	7575	5325	7950	5250
405	35	41	25	18	21	3150	7650	5250	7500	5325	7650	5325	7950	5250
410	35	41	25	18	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
415	37	37	25	18	21	3150	7650	5250	7425	5400	7575	5250	7950	5250
420	37	39	25	18	21	3150	7650	5250	7425	5325	7575	5250	8025	5250
425	36	39	25	18	21	3150	7650	5250	7425	5325	7575	5250	8025	5250
430	37	38	26	18	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
435	35	38	26	18	21	3150	7575	5250	7500	5325	7575	5250	7950	5325
440	37	38	26	18	21	3150	7650	5325	7500	5400	7575	5325	7950	5325
445	34	39	26	18	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
450	36	38	26	18	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
455	36	39	26	18	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
460	34	39	26	18	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
465	38	39	26	18	21	3150	7650	5325	7500	5400	7650	5325	8025	5250
470	35	39	26	18	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
475	36	41	26	18	21	3150	7575	5250	7500	5400	7575	5250	7950	5325
480	35	40	26	18	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
485	36	38	26	18	21	3150	7650	5325	7500	5400	7650	5250	8025	5325
490	36	40	26	18	21	3150	7650	5325	7500	5400	7650	5250	8025	5325
495	35	40	26	18	21	3150	7575	5325	7500	5400	7650	5250	8025	5250
500	36	40	26	18	21	3150	7575	5250	7425	5400	7575	5325	7950	5250
505	36	39	26	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
510	34	41	26	18	21	3150	7650	5250	7500	5400	7575	5325	7950	5325
515	34	40	26	18	21	3150	7650	5250	7425	5325	7575	5325	7950	5325
520	33	43	26	18	21	3225	7575	5325	7500	5400	7575	5325	8025	5250
525	36	40	26	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
530	35	41	26	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
535	36	40	26	18	21	3150	7650	5250	7500	5325	7575	5325	8025	5325
540	37	40	27	17	21	3225	7650	5325	7500	5400	7575	5250	7950	5325
545	35	42	27	17	21	3225	7575	5250	7500	5400	7575	5325	7950	5250
550	35	39	27	17	21	3225	7650	5250	7500	5400	7575	5325	7950	5325
555	34	40	27	17	21	3150	7650	5250	7500	5400	7575	5325	8025	5325
560	35	40	27	17	21	3225	7650	5325	7500	5400	7575	5250	7950	5250
565	34	39	27	17	21	3225	7650	5325	7500	5400	7575	5250	7950	5250
570	37	40	27	17	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
575	36	41	27	17	21	3150	7650	5325	7425	5400	7575	5250	7950	5325
580	34	40	27	17	21	3150	7650	5325	7425	5400	7575	5250	8025	5250
585	35	37	27	17	21	3150	7650	5325	7425	5400	7500	5250	7950	5250
590	34	41	27	17	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
595	35	41	27	17	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
