time,cpu,FSB,L2miss
2,1,22415542,
4,1,,50192
6,0,9291152,
8,0,,567018
10,1,1330630,
10,0,1331710,
12,0,,547458
12,1,,835874
14,0,629574,
16,1,,201731
18,0,10514246,
20,0,,38478
22,0,17212764,
24,0,,7737
26,0,2646855,
28,0,,693619
30,0,104194,
32,1,,621156
34,1,445378,
36,0,,228223
38,1,11231386,
40,0,,2488
42,0,15399372,
42,1,15417474,
44,0,,242269
46,0,8081844,
46,1,8100612,
48,0,,338162
50,0,1368118,
52,1,,730897
54,1,135704,
56,0,,44400
58,0,16198820,
60,1,,6885
62,0,19349948,
64,0,,26053
66,1,9030978,
68,0,,491993
70,0,2878852,
72,0,,624500
74,0,141250,
76,0,,261613
78,0,10787916,
80,1,,31938
82,0,17467806,
84,0,,19721
86,1,9678792,
88,0,,506862
90,1,113486,
92,1,,792923
94,1,424932,
96,1,,259596
96,0,,330128
98,0,11970708,
100,1,,124310
102,1,18016246,
104,0,,4244
106,0,4465222,
108,0,,633807
110,1,489948,
110,0,499072,
112,0,,540971
114,0,205324,
116,0,,226189
118,0,9940242,
120,0,,4248
120,1,,10293
122,0,18312640,
124,1,,98142
126,0,8449856,
128,0,,351058
130,0,2594366,
132,1,,826852
132,0,,522172
134,0,151046,
136,0,,67267
138,0,16215748,
140,0,,9568
142,0,18642322,
144,0,,20316
146,0,8579412,
148,0,,437271
150,1,228518,
150,0,227220,
152,0,,387855
152,1,,619935
154,1,5008730,
156,0,,359991
156,1,,234598
158,0,11975360,
160,0,,28653
162,0,18240840,
164,0,,17031
166,0,2451494,
168,0,,558909
170,0,103684,
172,0,,777110
174,1,235792,
174,0,237282,
176,1,,190317
178,0,10276568,
180,1,,37078
182,1,17866248,
184,0,,6110
184,1,,35141
186,0,8428126,
186,1,8437840,
188,1,,550893
190,1,2288050,
192,0,,570920
194,0,166680,
196,1,,314391
196,0,,229662
198,0,9849564,
200,0,,8394
202,0,18553130,
204,0,,8075
206,0,8329766,
208,0,,359713
210,0,1706038,
212,0,,653156
214,1,403726,
216,1,,199722
218,1,16118428,
218,0,16132626,
220,1,,4971
220,0,,99955
222,0,19274468,
224,0,,5921
226,0,8638062,
228,0,,291535
230,1,191548,
230,0,191500,
232,0,,501493
234,0,1654154,
236,0,,276576
238,0,10526938,
240,1,,37416
242,0,17915576,
244,1,,31063
246,1,3043909,
248,0,,618595
250,1,1364242,
250,0,1366399,
252,0,,591029
254,0,194090,
256,1,,350393
256,0,,226129
258,0,10235358,
260,0,,4484
262,0,13951664,
262,1,13980301,
264,0,,183395
266,0,7985798,
268,0,,452712
270,0,1477934,
272,0,,663852
274,1,459038,
274,0,458434,
276,0,,107600
278,0,17943454,
280,0,,51703
282,1,8610112,
284,0,,274917
286,1,1870764,
286,0,1874248,
288,0,,515296
290,0,171584,
292,0,,247153
294,1,8147490,
296,0,,7739
296,1,,30059
298,0,17988942,
300,0,,7030
300,1,,24487
302,1,31644182,
302,0,31691810,
304,0,,705425
304,1,,1630126
306,0,292442930,
308,1,,6768773
310,0,299460354,
312,0,,182641
312,1,,7720550
314,1,301660186,
316,0,,43121
316,1,,7733066
318,1,296945518,
320,1,,3701282
320,0,,5085458
322,1,296727856,
322,0,296745177,
324,0,,7092611
326,1,296891541,
326,0,296929157,
328,0,,4937787
330,1,297909930,
330,0,297918324,
332,0,,7805118
332,1,,160555
334,1,296932350,
334,0,297103186,
336,0,,154026
336,1,,7751058
338,0,299279464,
340,0,,2140982
340,1,,6508731
342,1,296469349,
344,0,,1257799
346,1,297123224,
346,0,297144720,
348,1,,80809
350,1,299947767,
352,1,,60930
352,0,,7775623
354,1,299002880,
356,0,,271534
356,1,,7683745
358,0,297461822,
358,1,297435670,
360,1,,4936847
362,1,297609423,
362,0,297761400,
364,0,,3506398
366,1,297314974,
366,0,297330782,
368,1,,7817347
368,0,,484492
370,0,297845146,
370,1,298174986,
372,1,,7712392
374,1,298838510,
374,0,298888632,
376,1,,44855
376,0,,7845140
378,0,296785674,
378,1,297104948,
380,0,,5027872
380,1,,3845431
382,0,296732018,
382,1,296691639,
384,1,,7706485
386,0,296660944,
386,1,296656426,
388,0,,771901
388,1,,7489710
390,1,297807284,
392,1,,7721785
394,1,303158804,
394,0,303193758,
396,1,,200265
396,0,,7752054
