time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
300,27,31,24,18,21,3150,7575,5325,7500,5400,7575,5250,8025,5250,3.44E+07,1.25E+06,3.44E+01,12.507,1860,1488,1116,55.8,55.8,0,0,0,0,0,0
305,30,31,24,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5325,1.21E+07,9.04E+05,1.21E+01,9.0358,1859,1487.2,1115.4,55.77,55.77,0,0,0,0,0,0
310,32,31,24,18,21,3225,7575,5325,7500,5400,7575,5250,7950,5250,8.83E+07,1.52E+06,8.83E+01,15.16,1461,1168.8,876.6,43.83,43.83,0,0,0,0,0,0
315,29,32,24,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,5.54E+07,1.45E+06,5.54E+01,14.53,1715,1372,1029,51.45,51.45,0,0,0,0,0,0
320,32,32,24,18,21,3150,7575,5250,7425,5400,7575,5325,7950,5250,7.80E+07,2.47E+06,7.80E+01,24.688,1868,1494.4,1120.8,56.04,56.04,0,0,0,0,0,0
325,30,35,24,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,4.48E+07,2.82E+06,4.48E+01,28.204,1908,1526.4,1144.8,57.24,57.24,0,31.2,0,1197.8,0,1197800
330,33,32,25,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,8.37E+07,1.96E+06,8.37E+01,19.647,1920,1536,1152,57.6,57.6,0,0,0,0,0,0
335,31,36,25,19,21,3150,7650,5250,7425,5400,7575,5250,8025,5325,5.37E+07,1.95E+06,5.37E+01,19.464,1923,1538.4,1153.8,57.69,57.69,0,0,0,0,0,0
340,30,37,25,19,21,3150,7575,5250,7425,5400,7575,5325,7950,5325,2.87E+07,1.54E+06,2.87E+01,15.368,1922,1537.6,1153.2,57.66,57.66,0,0,0,0,0,0
345,31,36,25,19,21,3150,7650,5250,7500,5400,7575,5250,7950,5250,2.65E+07,8.32E+05,2.65E+01,8.3152,1934,1547.2,1160.4,58.02,58.02,0,0,0,0,0,0
350,30,38,25,19,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,6.96E+07,1.76E+06,6.96E+01,17.626,1924,1539.2,1154.4,57.72,57.72,0,0,0,0,0,0
355,30,39,25,19,21,3150,7650,5325,7500,5400,7575,5250,8025,5250,3.25E+07,1.15E+06,3.25E+01,11.484,1928,1542.4,1156.8,57.84,57.84,0,11.2,0,92.4,0,92400
360,30,39,25,19,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,3.79E+07,2.87E+06,3.79E+01,28.687,1917,1533.6,1150.2,57.51,57.51,0,0,0,0,0,0
365,30,39,25,19,22,3225,7650,5325,7425,5400,7575,5325,8025,5325,4.76E+07,2.19E+06,4.76E+01,21.94,1942,1553.6,1165.2,58.26,58.26,0,0,0,0,0,0
370,30,40,25,19,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.02E+08,3.01E+06,1.02E+02,30.142,1914,1531.2,1148.4,57.42,57.42,0,0,0,0,0,0
375,33,36,25,19,22,3150,7650,5325,7500,5400,7575,5325,7950,5250,6.41E+07,2.62E+06,6.41E+01,26.218,1916,1532.8,1149.6,57.48,57.48,0,0,0,0,0,0
380,34,35,25,19,22,3150,7575,5250,7425,5400,7575,5325,7950,5250,5.83E+07,3.50E+06,5.83E+01,34.954,1941,1552.8,1164.6,58.23,58.23,0,0,0,0,0,0
385,31,40,25,19,22,3225,7650,5325,7500,5400,7575,5250,7950,5250,3.00E+07,1.75E+06,3.00E+01,17.524,1930,1544,1158,57.9,57.9,0,17.4,0,130.2,0,130200
390,34,36,25,19,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.75E+07,1.47E+06,5.75E+01,14.712,1920,1536,1152,57.6,57.6,0,0,0,0,0,0
395,35,35,25,19,22,3150,7650,5250,7425,5400,7575,5250,8025,5325,3.50E+07,1.63E+06,3.50E+01,16.29,1923,1538.4,1153.8,57.69,57.69,0,0,0,0,0,0
400,31,39,25,19,22,3150,7575,5325,7425,5325,7575,5250,7950,5325,2.56E+07,2.82E+06,2.56E+01,28.235,1935,1548,1161,58.05,58.05,0,0,0,0,0,0
405,31,40,25,19,22,3150,7650,5325,7500,5400,7575,5325,8025,5250,8.44E+07,1.86E+06,8.44E+01,18.632,1926,1540.8,1155.6,57.78,57.78,0,0,0,0,0,0
410,35,36,25,19,22,3150,7650,5325,7500,5400,7500,5250,8025,5325,9.19E+07,2.92E+06,9.19E+01,29.178,1941,1552.8,1164.6,58.23,58.23,0,0,0,0,0,0
415,33,38,25,19,22,3150,7650,5325,7425,5325,7575,5325,8025,5250,2.58E+07,2.59E+06,2.58E+01,25.886,1920,1536,1152,57.6,57.6,0,11,0,123.9,0,123900
420,36,36,25,19,22,3150,7575,5325,7500,5400,7575,5325,7950,5250,5.26E+07,4.22E+06,5.26E+01,42.184,1923,1538.4,1153.8,57.69,57.69,0,0,0,0,0,0
425,35,36,26,19,22,3150,7575,5250,7500,5400,7575,5325,8025,5325,6.07E+07,9.12E+05,6.07E+01,9.1157,1918,1534.4,1150.8,57.54,57.54,0,0,0,0,0,0
430,36,36,26,19,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,4.16E+07,55516,4.16E+01,0.55516,1933,1546.4,1159.8,57.99,57.99,0,0,0,0,0,0
435,32,40,26,19,22,3225,7650,5325,7500,5400,7575,5250,8025,5250,3.83E+07,1.62E+06,3.83E+01,16.175,1931,1544.8,1158.6,57.93,57.93,0,0,0,0,0,0
440,31,40,26,19,22,3150,7650,5250,7425,5400,7575,5325,7950,5250,4.64E+07,2.27E+06,4.64E+01,22.725,1938,1550.4,1162.8,58.14,58.14,0,0,0,0,0,0
445,31,41,26,19,22,3150,7650,5325,7425,5400,7650,5250,7950,5325,6.35E+07,2.20E+06,6.35E+01,21.971,1941,1552.8,1164.6,58.23,58.23,0,19.6,0,222,0,222000
450,31,42,26,19,22,3150,7650,5325,7425,5400,7650,5325,8025,5250,7.67E+07,2.07E+06,7.67E+01,20.703,1949,1559.2,1169.4,58.47,58.47,0,0,0,0,0,0
455,31,41,26,19,23,3225,7650,5325,7425,5400,7650,5325,7950,5250,5.69E+07,1.72E+06,5.69E+01,17.175,1935,1548,1161,58.05,58.05,0,0,0,0,0,0
460,31,41,26,19,23,3150,7575,5325,7425,5400,7575,5325,7950,5250,4.11E+07,3.53E+06,4.11E+01,35.3,1941,1552.8,1164.6,58.23,58.23,0,0,0,0,0,0
465,32,40,26,19,23,3150,7650,5250,7500,5400,7650,5250,7950,5250,4.33E+07,1.67E+06,4.33E+01,16.707,2177,1741.6,1306.2,65.31,52.248,0,0,0,0,0,0
470,34,42,26,19,23,3150,7650,5325,7425,5400,7575,5250,7950,5325,4.32E+07,2.95E+05,4.32E+01,2.947,1943,1554.4,1165.8,58.29,58.29,0,0,0,0,0,0
475,34,41,26,19,23,3150,7650,5250,7425,5400,7575,5325,7950,5250,3.17E+07,2.65E+06,3.17E+01,26.54,1931,1544.8,1158.6,57.93,57.93,0,15.2,0,159.3,0,159300
480,33,41,26,19,23,3150,7650,5250,7500,5400,7575,5250,7950,5250,2.86E+07,2.58E+06,2.86E+01,25.815,1935,1548,1161,58.05,58.05,0,0,0,0,0,0
485,32,42,26,19,23,3150,7650,5325,7425,5400,7575,5250,8025,5325,3.09E+07,9.84E+05,3.09E+01,9.842,2166,1732.8,1299.6,64.98,51.984,0,0,0,0,0,0
490,34,43,26,19,23,3150,7575,5250,7425,5400,7575,5250,7950,5250,7.87E+07,2.23E+06,7.87E+01,22.292,2123,1698.4,1273.8,63.69,50.952,0,0,0,0,0,0
495,35,42,26,19,23,3150,7650,5250,7500,5400,7575,5325,7950,5250,3.34E+07,9.83E+05,3.34E+01,9.8307,1947,1557.6,1168.2,58.41,58.41,0,0,0,0,0,0
500,33,41,26,19,23,3150,7575,5250,7500,5400,7575,5250,8025,5325,6.11E+07,4.43E+06,6.11E+01,44.33,1910,1528,1146,57.3,57.3,0,0,0,0,0,0
505,35,38,26,19,23,3225,7650,5250,7500,5400,7575,5325,8025,5325,2.23E+07,1.70E+06,2.23E+01,16.965,2202,1761.6,1321.2,66.06,52.848,0,12.2,0,104.1,0,104100
510,36,41,26,19,23,3150,7650,5325,7425,5325,7650,5325,7950,5250,5.88E+07,2.72E+06,5.88E+01,27.174,2243,1794.4,1345.8,67.29,53.832,0,0,0,0,0,0
515,35,42,26,19,23,3150,7650,5250,7500,5400,7575,5325,7950,5325,4.49E+07,2.50E+06,4.49E+01,24.998,1936,1548.8,1161.6,58.08,58.08,0,0,0,0,0,0
520,33,41,26,19,23,3150,7650,5250,7500,5400,7650,5325,7950,5250,4.41E+07,3.06E+06,4.41E+01,30.647,1939,1551.2,1163.4,58.17,58.17,0,0,0,0,0,0
525,32,42,26,19,23,3150,7650,5250,7500,5400,7575,5325,7950,5250,1.97E+07,20580,1.97E+01,0.2058,1917,1533.6,1150.2,57.51,57.51,0,0,0,0,0,0
530,32,42,26,19,23,3225,7650,5325,7500,5400,7575,5250,8025,5325,7.23E+07,2.06E+06,7.23E+01,20.609,2222,1777.6,1333.2,66.66,53.328,0,0,0,0,0,0
535,35,43,26,19,23,3150,7650,5325,7500,5400,7575,5325,8025,5250,4.03E+07,1.39E+06,4.03E+01,13.876,1938,1550.4,1162.8,58.14,58.14,0,13.8,0,157.7,0,157700
540,36,42,26,19,23,3225,7650,5325,7500,5400,7575,5325,7950,5250,4.29E+07,2.41E+06,4.29E+01,24.079,1952,1561.6,1171.2,58.56,58.56,0,0,0,0,0,0
545,32,42,26,19,23,3150,7650,5325,7500,5400,7650,5325,8025,5250,4.44E+07,1.24E+06,4.44E+01,12.395,1926,1540.8,1155.6,57.78,57.78,0,0,0,0,0,0
550,34,39,26,19,23,3225,7575,5325,7500,5400,7575,5250,7950,5325,4.87E+07,4.81E+05,4.87E+01,4.8148,2188,1750.4,1312.8,65.64,52.512,0,0,0,0,0,0
555,36,41,26,19,23,3150,7575,5325,7500,5400,7650,5325,7950,5250,2.81E+07,7.00E+05,2.81E+01,6.9967,1915,1532,1149,57.45,57.45,0,0,0,0,0,0
560,35,41,27,19,23,3150,7650,5325,7500,5400,7575,5325,8025,5250,8.86E+06,2.11E+06,8.86E+00,21.12,1937,1549.6,1162.2,58.11,58.11,0,0,0,0,0,0
565,32,42,27,19,23,3150,7650,5325,7425,5400,7575,5325,7950,5325,7.13E+07,1.90E+06,7.13E+01,18.986,1935,1548,1161,58.05,58.05,0,14.6,0,133.4,0,133400
570,36,41,27,19,23,3225,7650,5250,7500,5400,7650,5325,8025,5325,6.08E+07,1.98E+06,6.08E+01,19.778,2374,1899.2,1424.4,71.22,56.976,0,0,0,0,0,0
575,36,41,27,19,23,3150,7650,5325,7500,5400,7575,5325,7950,5250,2.99E+07,1.09E+06,2.99E+01,10.897,2321,1856.8,1392.6,69.63,55.704,0,0,0,0,0,0
580,35,40,27,20,23,3150,7650,5250,7500,5400,7575,5325,8025,5250,6.48E+07,2.02E+06,6.48E+01,20.237,2397,1917.6,1438.2,71.91,57.528,0,0,0,0,0,0
585,37,40,27,20,23,3225,7650,5325,7425,5325,7575,5250,7950,5250,5.03E+07,1.59E+06,5.03E+01,15.877,2394,1915.2,1436.4,71.82,57.456,0,0,0,0,0,0
590,34,41,27,20,23,3150,7650,5325,7425,5400,7575,5325,7950,5250,6.93E+07,1.76E+06,6.93E+01,17.581,2399,1919.2,1439.4,71.97,57.576,0,0,0,0,0,0
595,36,40,27,20,23,3150,7650,5325,7500,5400,7575,5325,7950,5250,5.48E+07,2.14E+06,5.48E+01,21.413,2396,1916.8,1437.6,71.88,57.504,0,10.8,0,109.6,0,109600
600,36,40,27,20,23,3150,7575,5250,7500,5400,7575,5250,8025,5250,1.12E+08,2.11E+06,1.12E+02,21.128,2397,1917.6,1438.2,71.91,57.528,0,0,0,0,0,0
605,34,41,27,20,23,3150,7650,5325,7500,5400,7575,5325,7950,5250,6.05E+07,1.08E+06,6.05E+01,10.818,2376,1900.8,1425.6,71.28,57.024,0,0,0,0,0,0
610,35,42,27,20,23,3150,7650,5325,7500,5400,7575,5325,7950,5250,3.66E+07,1.21E+06,3.66E+01,12.078,2406,1924.8,1443.6,72.18,57.744,0,0,0,0,0,0
615,34,42,27,20,23,3150,7650,5250,7500,5400,7575,5250,7950,5250,4.34E+07,2.05E+06,4.34E+01,20.533,2398,1918.4,1438.8,71.94,57.552,0,0,0,0,0,0
620,34,42,27,19,23,3225,7650,5325,7500,5400,7650,5250,8025,5325,1.04E+08,2.64E+06,1.04E+02,26.378,2401,1920.8,1440.6,72.03,57.624,0,0,0,0,0,0
