time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,25,29,24,17,20,3150,7575,5250,7500,5400,7650,5325,7950,5325,0,1.12E+07,0.00E+00,1.12E+02,2154,1723.2,1292.4,64.62,64.62,1.3,2.3,75.6,62.3,75600,62300
5,25,29,24,17,20,3150,7575,5325,7500,5325,7575,5250,7950,5250,8.59E+06,2.11E+05,8.59E+00,2.11E+00,2008,1606.4,1204.8,60.24,60.24,0,0,0,0,0,0
10,26,29,24,17,20,3150,7650,5325,7500,5400,7650,5250,8025,5325,1.00E+06,1.18E+07,1.00E+00,1.18E+02,2033,1626.4,1219.8,60.99,60.99,0,0,0,0,0,0
15,26,29,24,17,20,3150,7575,5325,7500,5400,7575,5250,7950,5250,6.12E+06,4.27E+05,6.12E+00,4.27E+00,1994,1595.2,1196.4,59.82,59.82,0,0,0,0,0,0
20,26,29,24,17,20,3150,7650,5325,7500,5325,7650,5325,7950,5250,1.68E+07,40954,1.68E+01,4.10E-01,2007,1605.6,1204.2,60.21,60.21,0,11.4,0,46.2,0,46200
25,26,30,24,18,20,3150,7575,5325,7500,5400,7575,5325,8025,5250,2.40E+07,88077,2.40E+01,8.81E-01,1997,1597.6,1198.2,59.91,59.91,0,0,0,0,0,0
30,26,30,24,18,20,3150,7575,5250,7500,5400,7575,5325,8025,5250,9.76E+05,5.74E+05,9.76E-01,5.74E+00,1662,1329.6,997.2,49.86,49.86,0,0,0,0,0,0
35,26,30,24,18,20,3150,7575,5325,7500,5400,7650,5250,8025,5325,4.95E+06,1.99E+05,4.95E+00,1.99E+00,1948,1558.4,1168.8,58.44,58.44,0,0,0,0,0,0
40,27,30,24,18,20,3150,7575,5325,7500,5400,7575,5250,7950,5325,1.32E+07,18492,1.32E+01,1.85E-01,1970,1576,1182,59.1,59.1,0,0,0,0,0,0
45,27,30,24,18,20,3150,7575,5325,7425,5400,7575,5250,7950,5325,3.91E+06,2.14E+05,3.91E+00,2.14E+00,1410,1128,846,42.3,42.3,0,0,0,0,0,0
50,27,30,24,18,20,3150,7650,5325,7425,5400,7650,5325,7950,5250,8.91E+05,5.75E+05,8.91E-01,5.75E+00,1969,1575.2,1181.4,59.07,59.07,0,12.2,0,31.4,0,31400
55,27,30,24,18,20,3150,7575,5325,7425,5400,7575,5325,7950,5325,2.68E+06,4.49E+05,2.68E+00,4.49E+00,1940,1552,1164,58.2,58.2,0,0,0,0,0,0
60,27,30,24,18,20,3150,7575,5325,7425,5400,7575,5250,8025,5325,1.29E+07,55424,1.29E+01,5.54E-01,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
65,27,30,24,18,20,3150,7575,5250,7500,5400,7650,5325,7950,5250,1.36E+07,1.73E+05,1.36E+01,1.73E+00,1948,1558.4,1168.8,58.44,58.44,0,0,0,0,0,0
70,27,30,24,18,20,3150,7575,5250,7425,5400,7575,5325,7950,5250,1.91E+06,6.57E+05,1.91E+00,6.57E+00,1952,1561.6,1171.2,58.56,58.56,0,0,0,0,0,0
75,27,30,24,18,20,3150,7575,5325,7425,5400,7575,5250,7950,5325,5.34E+06,2.20E+05,5.34E+00,2.20E+00,1420,1136,852,42.6,42.6,0,0,0,0,0,0
80,27,30,24,18,20,3150,7650,5325,7500,5400,7650,5325,8025,5325,2.22E+07,32335,2.22E+01,3.23E-01,1965,1572,1179,58.95,58.95,0,10.8,0,33.9,0,33900
85,27,31,24,18,20,3150,7575,5325,7425,5400,7575,5250,8025,5250,5.23E+06,1.98E+05,5.23E+00,1.98E+00,1953,1562.4,1171.8,58.59,58.59,0,0,0,0,0,0
90,27,30,24,18,20,3150,7575,5325,7500,5400,7575,5250,8025,5250,1.22E+07,6.88E+05,1.22E+01,6.88E+00,1956,1564.8,1173.6,58.68,58.68,0,0,0,0,0,0
95,27,30,24,18,20,3150,7650,5250,7425,5400,7650,5325,7950,5325,9.08E+06,1.58E+05,9.08E+00,1.58E+00,1947,1557.6,1168.2,58.41,58.41,0,0,0,0,0,0
100,27,30,24,18,20,3150,7650,5250,7500,5325,7650,5325,7950,5325,1.34E+07,52982,1.34E+01,5.30E-01,1958,1566.4,1174.8,58.74,58.74,0,0,0,0,0,0
105,27,31,24,18,20,3150,7575,5325,7425,5400,7575,5325,8025,5250,1.80E+07,8873.5,1.80E+01,8.87E-02,1975,1580,1185,59.25,59.25,0,0,0,0,0,0
110,27,31,24,18,21,3150,7575,5250,7500,5400,7575,5325,8025,5325,1.41E+06,6.49E+05,1.41E+00,6.49E+00,1982,1585.6,1189.2,59.46,59.46,0,10.6,0,35.2,0,35200
115,27,31,24,18,21,3225,7575,5325,7500,5325,7575,5250,7950,5250,5.14E+06,4.09E+05,5.14E+00,4.09E+00,1967,1573.6,1180.2,59.01,59.01,0,0,0,0,0,0
120,27,31,24,18,21,3150,7575,5325,7500,5400,7500,5250,8025,5250,1.23E+07,2.58E+05,1.23E+01,2.58E+00,2027,1621.6,1216.2,60.81,60.81,0,0,0,0,0,0
125,27,31,24,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5250,8.03E+06,1.98E+05,8.03E+00,1.98E+00,1964,1571.2,1178.4,58.92,58.92,0,0,0,0,0,0
130,27,31,24,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5325,1.59E+06,6.70E+05,1.59E+00,6.70E+00,1938,1550.4,1162.8,58.14,58.14,0,0,0,0,0,0
135,27,31,24,18,21,3150,7575,5250,7500,5400,7575,5325,8025,5250,7.45E+06,9.83E+05,7.45E+00,9.83E+00,2008,1606.4,1204.8,60.24,60.24,0,0,0,0,0,0
140,27,31,24,18,21,3150,7650,5325,7425,5400,7575,5325,8025,5325,1.81E+07,47305,1.81E+01,4.73E-01,2032,1625.6,1219.2,60.96,60.96,0,22.2,0,157.2,0,157200
145,27,31,24,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5325,4.44E+06,2.15E+05,4.44E+00,2.15E+00,1954,1563.2,1172.4,58.62,58.62,0,0,0,0,0,0
150,27,31,24,18,21,3225,7650,5325,7500,5400,7575,5325,8025,5325,1.88E+06,3.37E+05,1.88E+00,3.37E+00,2016,1612.8,1209.6,60.48,60.48,0,0,0,0,0,0
155,27,31,25,18,21,3150,7650,5250,7500,5400,7575,5325,8025,5325,5.15E+06,1.19E+05,5.15E+00,1.19E+00,1752,1401.6,1051.2,52.56,52.56,0,0,0,0,0,0
160,27,31,25,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,1.36E+07,30950,1.36E+01,3.10E-01,1951,1560.8,1170.6,58.53,58.53,0,0,0,0,0,0
165,28,31,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5325,2.29E+07,88588,2.29E+01,8.86E-01,1955,1564,1173,58.65,58.65,0,0,0,0,0,0
170,28,31,25,18,21,3150,7575,5325,7500,5400,7575,5325,8025,5250,8.11E+06,1.03E+06,8.11E+00,1.03E+01,1444,1155.2,866.4,43.32,43.32,0,15.2,0,49.8,0,49800
175,27,31,25,18,21,3150,7650,5325,7500,5400,7500,5325,7950,5250,5.30E+06,4.10E+05,5.30E+00,4.10E+00,1958,1566.4,1174.8,58.74,58.74,0,0,0,0,0,0
180,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250,2.23E+07,1.39E+05,2.23E+01,1.39E+00,1962,1569.6,1177.2,58.86,58.86,0,0,0,0,0,0
185,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5325,8025,5250,7.77E+06,2.10E+05,7.77E+00,2.10E+00,1425,1140,855,42.75,42.75,0,0,0,0,0,0
190,27,31,25,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,2.00E+06,8.76E+05,2.00E+00,8.76E+00,1959,1567.2,1175.4,58.77,58.77,0,0,0,0,0,0
195,27,31,25,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,3.79E+06,6.11E+05,3.79E+00,6.11E+00,1956,1564.8,1173.6,58.68,58.68,0,0,0,0,0,0
200,27,31,25,18,21,3150,7575,5250,7500,5400,7650,5250,7950,5250,3.02E+07,2.58E+05,3.02E+01,2.58E+00,1448,1158.4,868.8,43.44,43.44,0,10.8,0,44.7,0,44700
205,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,8.44E+06,2.17E+05,8.44E+00,2.17E+00,1955,1564,1173,58.65,58.65,0,0,0,0,0,0
210,28,31,25,18,21,3150,7650,5325,7425,5325,7575,5325,7950,5250,2.99E+06,8.12E+05,2.99E+00,8.12E+00,1944,1555.2,1166.4,58.32,58.32,0,0,0,0,0,0
215,27,31,25,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250,5.30E+06,4.32E+05,5.30E+00,4.32E+00,1424,1139.2,854.4,42.72,42.72,0,0,0,0,0,0
220,27,31,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5325,1.76E+07,2.96E+05,1.76E+01,2.96E+00,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
225,27,31,25,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,2.34E+06,4.75E+05,2.34E+00,4.75E+00,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
230,28,31,25,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5325,9.85E+06,7.00E+05,9.85E+00,7.00E+00,1448,1158.4,868.8,43.44,43.44,0,11,0,47.1,0,47100
235,28,31,25,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250,4.20E+06,17166,4.20E+00,1.72E-01,1425,1140,855,42.75,42.75,0,0,0,0,0,0
240,29,34,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,7.05E+06,7.60E+05,7.05E+00,7.60E+00,1431,1144.8,858.6,42.93,42.93,0,0,0,0,0,0
245,29,33,25,18,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,5.64E+06,6.82E+05,5.64E+00,6.82E+00,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
250,30,32,25,18,20,3150,7650,5325,7500,5400,7650,5325,7950,5250,8.60E+06,93346,8.60E+00,9.33E-01,1430,1144,858,42.9,42.9,0,0,0,0,0,0
255,29,34,25,18,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,4.03E+06,30278,4.03E+00,3.03E-01,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
260,29,34,25,18,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.11E+07,5.24E+05,1.11E+01,5.24E+00,1443,1154.4,865.8,43.29,43.29,0,11.4,0,49.6,0,49600
265,28,34,25,18,20,3150,7650,5325,7500,5400,7650,5325,8025,5250,7.06E+05,4.59E+05,7.06E-01,4.59E+00,1424,1139.2,854.4,42.72,42.72,0,0,0,0,0,0
270,27,34,25,18,20,3225,7650,5325,7500,5400,7575,5325,7950,5250,1.42E+07,2.45E+05,1.42E+01,2.45E+00,1432,1145.6,859.2,42.96,42.96,0,0,0,0,0,0
275,30,33,25,18,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.49E+07,23777,1.49E+01,2.38E-01,1429,1143.2,857.4,42.87,42.87,0,0,0,0,0,0
280,30,32,25,17,20,3150,7650,5250,7425,5400,7500,5250,7950,5250,7.86E+06,5.55E+05,7.86E+00,5.55E+00,1429,1143.2,857.4,42.87,42.87,0,0,0,0,0,0
285,30,32,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5250,7.77E+05,4.95E+05,7.77E-01,4.95E+00,1420,1136,852,42.6,42.6,0,0,0,0,0,0
290,27,34,25,17,20,3150,7650,5250,7425,5400,7650,5250,7950,5250,1.82E+07,67378,1.82E+01,6.74E-01,1449,1159.2,869.4,43.47,43.47,0,11.4,0,52.2,0,52200
295,29,33,25,17,20,3150,7650,5250,7425,5400,7650,5250,7950,5250,1.72E+07,1.52E+05,1.72E+01,1.52E+00,1421,1136.8,852.6,42.63,42.63,0,0,0,0,0,0
300,30,31,25,17,20,3150,7650,5325,7425,5400,7575,5250,8025,5250,3.19E+07,1.42E+06,3.19E+01,1.42E+01,1768,1414.4,1060.8,53.04,53.04,0,0,0,0,0,0
305,29,35,25,17,20,3225,7650,5325,7425,5400,7575,5325,7950,5250,4.14E+06,1.80E+06,4.14E+00,1.80E+01,1413,1130.4,847.8,42.39,42.39,4.4,0,1494.1,0,1494100,0
310,33,37,25,17,20,3150,7650,5325,7425,5400,7575,5250,7950,5250,2.66E+07,1.30E+06,2.66E+01,1.30E+01,1421,1136.8,852.6,42.63,42.63,6.2,0,4162.7,0,4162700,0
315,27,34,25,17,20,3150,7575,5325,7500,5400,7575,5250,7950,5325,1.04E+07,78660,1.04E+01,7.87E-01,1418,1134.4,850.8,42.54,42.54,0,0,0,0,0,0
320,26,31,25,17,20,3225,7575,5325,7425,5400,7575,5250,8025,5250,2.22E+06,9.89E+05,2.22E+00,9.89E+00,1459,1167.2,875.4,43.77,43.77,0.4,28.4,25.6,906.1,25600,906100
325,27,32,25,17,20,3150,7575,5250,7500,5400,7575,5325,7950,5250,5.16E+06,2.42E+05,5.16E+00,2.42E+00,1429,1143.2,857.4,42.87,42.87,0,1.2,0,0.8,0,800
330,27,34,25,17,20,3150,7575,5325,7500,5400,7575,5325,8025,5250,2.27E+07,1.47E+05,2.27E+01,1.47E+00,1432,1145.6,859.2,42.96,42.96,0,0,0,0,0,0
335,26,31,25,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,4.58E+06,4.59E+05,4.58E+00,4.59E+00,1426,1140.8,855.6,42.78,42.78,0,0,0,0,0,0
340,26,31,25,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.59E+06,8.41E+05,1.59E+00,8.41E+00,1430,1144,858,42.9,42.9,0,0,0,0,0,0
345,29,32,25,17,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.14E+06,3.49E+05,1.14E+00,3.49E+00,1426,1140.8,855.6,42.78,42.78,0,0,0,0,0,0
350,26,31,25,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,1.40E+07,22132,1.40E+01,2.21E-01,1446,1156.8,867.6,43.38,43.38,0,11,0,59,0,59000
355,26,31,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5325,5.47E+06,3.44E+05,5.47E+00,3.44E+00,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
360,27,33,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5250,2.05E+06,8.71E+05,2.05E+00,8.71E+00,1434,1147.2,860.4,43.02,43.02,0,0,0,0,0,0
365,26,31,25,17,20,3150,7575,5250,7425,5400,7575,5325,7950,5250,1.10E+07,1.39E+05,1.10E+01,1.39E+00,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
370,26,31,25,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5325,1.47E+07,21631,1.47E+01,2.16E-01,1431,1144.8,858.6,42.93,42.93,0,0,0,0,0,0
375,27,33,25,17,20,3150,7650,5250,7500,5400,7575,5250,7950,5250,1.50E+05,2.96E+05,1.50E-01,2.96E+00,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
380,26,31,24,17,20,3150,7575,5325,7425,5400,7500,5250,7950,5250,7.35E+06,6.95E+05,7.35E+00,6.95E+00,1446,1156.8,867.6,43.38,43.38,0,12,0,61.6,0,61600
385,26,31,24,17,20,3150,7575,5325,7425,5400,7575,5325,7950,5250,1.07E+07,1.88E+05,1.07E+01,1.88E+00,1420,1136,852,42.6,42.6,0,0,0,0,0,0
390,28,31,24,17,20,3150,7575,5250,7425,5400,7575,5325,7950,5250,3.02E+07,1.37E+05,3.02E+01,1.37E+00,1427,1141.6,856.2,42.81,42.81,0,0,0,0,0,0
