time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
165,27,31,24,18,20,3150,7575,5325,7500,5400,7650,5325,8025,5325,5.90E+06,2.62E+05,5.90E+00,2.6165,1404,1123.2,842.4,42.12,42.12,0,0,0,0,0,0
170,27,31,24,18,20,3150,7650,5325,7500,5400,7575,5325,8025,5325,5.88E+06,2.98E+05,5.88E+00,2.975,1405,1124,843,42.15,42.15,0,0,0,0,0,0
175,27,31,24,18,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,8.91E+06,50006,8.91E+00,0.50006,1400,1120,840,42,42,0,0,0,0,0,0
180,27,31,24,18,20,3150,7650,5250,7500,5400,7575,5250,8025,5325,3.19E+07,26792,3.19E+01,0.26792,1402,1121.6,841.2,42.06,42.06,0,0,0,0,0,0
185,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.43E+06,6.93E+05,1.43E+00,6.9346,1404,1123.2,842.4,42.12,42.12,0,0,0,0,0,0
190,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,5.67E+06,6.89E+05,5.67E+00,6.8916,1402,1121.6,841.2,42.06,42.06,0,11.4,0,46.9,0,46900
195,27,31,24,18,21,3150,7575,5325,7500,5400,7650,5250,7950,5325,1.37E+07,1.46E+05,1.37E+01,1.4596,1405,1124,843,42.15,42.15,0,0,0,0,0,0
200,27,31,24,18,21,3150,7575,5325,7500,5400,7650,5325,8025,5325,2.15E+07,5.79E+05,2.15E+01,5.7941,1404,1123.2,842.4,42.12,42.12,0,0,0,0,0,0
205,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5325,2.03E+06,2.72E+05,2.03E+00,2.7199,1400,1120,840,42,42,0,0,0,0,0,0
210,27,31,24,18,21,3150,7650,5250,7500,5400,7575,5250,8025,5250,4.08E+06,1.27E+06,4.08E+00,12.708,1403,1122.4,841.8,42.09,42.09,0,0,0,0,0,0
215,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5250,8025,5325,1.11E+07,29231,1.11E+01,0.29231,1409,1127.2,845.4,42.27,42.27,0,0,0,0,0,0
220,27,31,24,18,21,3150,7575,5250,7500,5400,7650,5325,8025,5325,6.47E+06,2.18E+05,6.47E+00,2.1802,1401,1120.8,840.6,42.03,42.03,0,11,0,46.2,0,46200
225,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,4.87E+06,5.03E+05,4.87E+00,5.0323,1407,1125.6,844.2,42.21,42.21,0,0,0,0,0,0
230,27,31,24,18,21,3150,7650,5250,7500,5325,7650,5325,7950,5325,7.35E+06,5.87E+05,7.35E+00,5.8687,1408,1126.4,844.8,42.24,42.24,0,0,0,0,0,0
235,27,31,24,18,21,3150,7650,5250,7500,5400,7575,5325,8025,5325,9.02E+06,26242,9.02E+00,0.26242,1400,1120,840,42,42,0,0,0,0,0,0
240,27,31,24,18,21,3150,7575,5250,7500,5400,7650,5325,8025,5325,1.91E+07,2.16E+05,1.91E+01,2.1646,1406,1124.8,843.6,42.18,42.18,0,0,0,0,0,0
245,27,31,24,18,21,3150,7650,5325,7500,5325,7575,5250,8025,5250,6.85E+05,3.93E+05,6.85E-01,3.9255,1405,1124,843,42.15,42.15,0,0,0,0,0,0
250,27,31,24,18,21,3150,7575,5325,7500,5400,7650,5250,8025,5250,5.92E+06,6.36E+05,5.92E+00,6.3616,1409,1127.2,845.4,42.27,42.27,0,10.6,0,48.5,0,48500
255,27,31,24,18,21,3150,7575,5325,7500,5400,7650,5325,8025,5325,1.41E+07,1.45E+05,1.41E+01,1.454,1405,1124,843,42.15,42.15,0,0,0,0,0,0
260,27,31,24,18,21,3150,7575,5325,7500,5400,7650,5250,7950,5325,1.91E+07,3.38E+05,1.91E+01,3.3826,1408,1126.4,844.8,42.24,42.24,0,0,0,0,0,0
265,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,1.77E+06,6.27E+05,1.77E+00,6.2739,1403,1122.4,841.8,42.09,42.09,0,0,0,0,0,0
270,27,32,24,18,21,3225,7575,5325,7500,5400,7575,5325,7950,5325,5.12E+06,7.58E+05,5.12E+00,7.5806,1410,1128,846,42.3,42.3,0,0,0,0,0,0
275,27,31,24,18,21,3150,7650,5250,7500,5400,7575,5325,8025,5325,1.21E+07,1.75E+05,1.21E+01,1.7457,1406,1124.8,843.6,42.18,42.18,0,0,0,0,0,0
280,27,31,24,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,1.59E+07,2.31E+05,1.59E+01,2.31,1415,1132,849,42.45,42.45,0,13.4,0,57.6,0,57600
