time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
75,27,31,23,17,20,3150,7575,5250,7500,5325,7650,5250,7950,5250,1.02E+07,5.53E+05,1.02E+01,5.5296,1427,1141.6,856.2,42.81,42.81,0,0,0,0,0,0
80,26,29,23,17,20,3150,7575,5325,7500,5400,7575,5325,8025,5250,1.36E+07,1.86E+05,1.36E+01,1.8629,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
85,26,30,23,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5325,1.51E+06,3.26E+05,1.51E+00,3.2586,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
90,26,30,23,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.94E+06,4.50E+05,5.94E+00,4.4973,1448,1158.4,868.8,43.44,43.44,0,0,0,0,0,0
95,26,30,23,17,20,3150,7575,5250,7500,5400,7650,5250,7950,5325,9.01E+06,1.45E+05,9.01E+00,1.4509,1433,1146.4,859.8,42.99,42.99,0,14.4,0,47.5,0,47500
100,26,30,23,17,20,3150,7575,5325,7500,5400,7650,5250,7950,5250,6.64E+06,6.20E+05,6.64E+00,6.202,1430,1144,858,42.9,42.9,0,0,0,0,0,0
105,27,30,23,17,20,3150,7575,5250,7500,5400,7650,5250,8025,5325,1.14E+06,6.47E+05,1.14E+00,6.4696,1424,1139.2,854.4,42.72,42.72,0,0,0,0,0,0
110,26,30,23,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5325,8.18E+06,4.38E+05,8.18E+00,4.3816,1432,1145.6,859.2,42.96,42.96,0,0,0,0,0,0
115,26,30,23,17,20,3150,7575,5250,7500,5400,7650,5250,8025,5250,2.05E+07,97274,2.05E+01,0.97274,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
120,26,30,23,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,1.03E+07,3.28E+05,1.03E+01,3.2789,1429,1143.2,857.4,42.87,42.87,0,0,0,0,0,0
125,26,30,23,17,20,3225,7575,5325,7500,5400,7650,5325,8025,5250,1.09E+06,3.53E+05,1.09E+00,3.5274,1428,1142.4,856.8,42.84,42.84,0,12,0,41.3,0,41300
130,26,30,23,17,20,3150,7575,5325,7500,5400,7575,5325,8025,5250,1.28E+07,59871,1.28E+01,0.59871,1431,1144.8,858.6,42.93,42.93,0,0,0,0,0,0
135,26,31,23,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5325,1.64E+07,36607,1.64E+01,0.36607,1425,1140,855,42.75,42.75,0,0,0,0,0,0
140,26,31,23,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.44E+07,3.23E+05,1.44E+01,3.2324,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
145,26,30,23,17,20,3150,7575,5250,7500,5400,7575,5250,8025,5250,2.63E+06,7.06E+05,2.63E+00,7.057,1409,1127.2,845.4,42.27,42.27,0,0,0,0,0,0
150,27,31,23,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5325,1.24E+07,6.63E+05,1.24E+01,6.6253,1413,1130.4,847.8,42.39,42.39,0,0,0,0,0,0
155,26,31,23,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5325,3.79E+06,16681,3.79E+00,0.16681,1400,1120,840,42,42,0,11.8,0,44,0,44000
160,26,31,24,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,6.56E+06,4.70E+05,6.56E+00,4.6992,1412,1129.6,847.2,42.36,42.36,0,0,0,0,0,0
165,27,31,24,17,20,3150,7650,5250,7425,5400,7575,5250,8025,5325,1.14E+06,5.17E+05,1.14E+00,5.171,1399,1119.2,839.4,41.97,41.97,0,0,0,0,0,0
170,27,30,24,17,20,3150,7650,5325,7425,5325,7575,5325,7950,5250,8.29E+06,3.24E+05,8.29E+00,3.2373,1415,1132,849,42.45,42.45,0,0,0,0,0,0
175,26,30,24,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5325,1.12E+07,73035,1.12E+01,0.73035,1399,1119.2,839.4,41.97,41.97,0,0,0,0,0,0
180,26,31,24,17,20,3150,7575,5325,7500,5400,7650,5325,7950,5325,1.34E+07,5.41E+05,1.34E+01,5.4102,1408,1126.4,844.8,42.24,42.24,0,0,0,0,0,0
185,27,31,24,17,20,3150,7575,5325,7500,5400,7575,5325,8025,5325,1.05E+06,2.91E+05,1.05E+00,2.9068,1403,1122.4,841.8,42.09,42.09,0,11.8,0,46.3,0,46300
190,27,31,24,17,20,3150,7575,5325,7500,5400,7575,5325,7950,5325,1.26E+07,93889,1.26E+01,0.93889,1406,1124.8,843.6,42.18,42.18,0,0,0,0,0,0
195,27,30,24,17,20,3150,7575,5325,7425,5400,7575,5325,7950,5325,1.63E+07,36494,1.63E+01,0.36494,1401,1120.8,840.6,42.03,42.03,0,0,0,0,0,0
