Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missc3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,43.12943697,45.33584175,34.13547102,43.1485886,3567.2,3598.35562,8662,8405.963805,1375741.33,1379525.166,1394168.699,18572614.15,20347313.05,19564592.59,21270976.34,21594737.46,21689638.34,491946.237,353223.2351,446686.9322,512417.2921,207.0380628,114.8398327,1.661971216,155.2805427,124.2228377,62.11141885,1.394309355,19.56456508,21.69113167,4.921020261,3.534006212,4.466699492,5.124050712,36.94,9.32,382.84,63.32,392028.16,64839.68
5,42.73785259,45.54969956,34.13547102,43.34295948,3551.380308,3582.743944,8618.974693,8405.963805,1535800.61,1535804.622,1535802.616,15888662.98,15893182.64,15890923,18169456.07,18181721.21,18175590.15,427803.2354,257374.7972,462618.7257,324584.636,207.0179011,114.8597805,1.66992871,155.2664199,124.2107407,62.10537034,1.535992181,15.89105734,18.17446704,4.277024285,2.573014064,4.625161329,3.245973651,5.8,0,41.8,0,42803.2,0
10,42.9220743,45.33584175,34.13547102,42.94113385,3582.743944,3567.2,8576.163098,8405.963805,1541602.407,1541578.663,1541590.535,15766579.29,15767861.32,15767220.33,18429403.78,18424375.43,18426889.76,433092.0994,239533.9276,381364.0056,435757.6273,207.0579278,114.8597454,1.667959449,155.2964405,124.2347567,62.11737834,1.541917468,15.76768655,18.42777343,4.330838334,2.39531647,3.810488285,4.356959859,0,0.24,0,0.64,0,655.36
15,43.15693133,45.12787041,34.13547102,43.34295948,3567.2,3582.743944,8618.974693,8363.146822,1622015.057,1622035.237,1622025.147,16279277.35,16277454.29,16278365.83,19351320.05,19351918.67,19351619.51,452871.5354,273826.4987,367838.4495,425824.3565,207.1379486,114.85985,1.661983135,155.3564601,124.2827691,62.14138457,1.621093545,16.27984053,19.35111222,4.527457743,2.739149518,3.677916278,4.256487177,0,0.84,0,6.5,0,6656
20,43.12943697,45.34074717,34.13547102,43.34295948,3566.855318,3567.2,8662,8363.146822,1545399.617,1545379.104,1545389.36,15361836.51,15363735.83,15362786.19,17081019.28,17073118.6,17077071.23,444079.2847,293669.2751,383980.138,311649.8395,209.5536197,114.85985,1.667840521,157.1672316,125.7321718,62.8660859,1.543940487,15.36202953,17.0783296,4.441043036,2.937569399,3.839311514,3.115960362,0,0.6,0,3.9,0,3993.6
25,42.73785259,45.36224587,34.13547102,43.34295948,3566.855318,3614.035324,8618.974693,8490.09722,1534058.159,1534062.401,1534060.281,15759941.41,15760540.8,15760241.13,17393729.76,17402698.28,17398215.8,494132.2664,300421.9241,376655.4085,297248.8664,206.9164231,114.7998605,1.661995198,155.1893195,124.1498538,62.07492692,1.533992184,15.75773439,17.39548858,4.940891243,3.003525834,3.768593929,2.972082715,0,0.6,0,8.9,0,9113.6
30,42.94943646,45.33584175,34.13547102,43.34295948,3551.380308,3582.743944,8576.163098,8405.963805,1538216.93,1538234.642,1538225.786,16365105.9,16363491.26,16364298.67,19174492.56,19173888,19174190.53,437011.0731,275579.9453,441005.5442,373380.6602,206.7561647,114.8598153,1.68174717,155.069128,124.0536988,62.02684942,1.535979227,16.36391753,19.17254436,4.368191276,2.756344948,4.409150685,3.734062486,0,0.4,0,3.6,0,3686.4
35,42.94943646,45.31829013,34.13547102,43.34295948,3551.380308,3582.743944,8618.974693,8405.963805,1541730.789,1541726.522,1541728.656,16049289.59,16047830.6,16048560.44,18122890.48,18124738.46,18123814.57,444939.0638,293316.2453,401149.6461,314998.2548,206.8969778,114.8397802,1.669940117,155.1757353,124.1381867,62.06909334,1.541955981,16.04853236,18.1244149,4.448351867,2.932463303,4.010125905,3.151172368,0,1.48,0,3,0,3072
40,42.94432526,45.12787041,34.13547102,43.34295948,3567.2,3582.743944,8618.974693,8405.963805,1252233.964,1248505.14,1250375.084,10174518.69,9893948.156,10037662.1,11672342.1,11673607.43,11672977.81,279578.135,154058.4326,205965.8299,279247.3151,206.9970863,114.7799058,1.661983135,155.2518187,124.1982518,62.0991259,1.249679727,10.03672278,11.67265574,2.796996352,1.540144325,2.057532851,2.794286891,0,2.2,0,3.8,0,3891.2
45,42.73785259,45.54969956,34.13547102,43.34295948,3957.833016,3983.239846,8618.974693,8360.964625,458328.8514,463169.0056,460774.2824,9191767.041,9557096.717,9380918.251,12141679.43,12143421.62,12142553.21,270583.0808,143334.773,169754.7132,312811.0011,207.0972423,114.8197837,1.663980717,155.3239375,124.2583454,62.12917269,0.461207823,9.380366805,12.14104774,2.707072073,1.433632724,1.699067836,3.128138686,0,2.24,0,6.38,0,6533.12
