Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	24	27	23	16	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
5	25	28	22	16	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
10	25	30	22	16	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
15	24	27	22	16	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
20	25	28	22	16	18	3150	7500	5250	7575	5325	7500	5250	7950	5250
25	25	30	22	16	18	3150	7500	5325	7575	5325	7575	5250	7875	5250
30	25	27	22	16	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
35	25	29	22	16	18	3225	7500	5250	7500	5325	7575	5250	7875	5250
40	25	31	23	16	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
45	25	28	23	16	18	3150	7425	5250	7575	5325	7575	5250	7875	5250
50	25	29	23	16	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
55	25	31	23	16	18	3150	7500	5175	7575	5325	7575	5175	7875	5250
60	25	28	23	16	18	3225	7500	5250	7500	5325	7575	5250	7875	5175
65	26	29	23	16	18	3150	7425	5250	7500	5325	7575	5250	7950	5250
70	27	29	23	16	18	3225	7425	5250	7500	5400	7575	5250	7875	5250
75	25	28	23	16	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
80	25	29	23	17	18	3150	7500	5250	7500	5325	7500	5250	7875	5250
85	25	31	23	16	18	3225	7500	5250	7575	5325	7575	5250	7950	5250
90	25	28	23	16	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
95	26	29	23	17	18	3150	7500	5325	7575	5325	7575	5325	7950	5250
100	28	29	23	17	18	3150	7500	5250	7575	5400	7575	5250	7875	5250
105	25	28	23	17	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
110	26	29	23	17	18	3225	7500	5325	7575	5325	7575	5250	7950	5250
115	28	28	23	17	18	3150	7425	5250	7500	5325	7500	5250	7875	5250
120	25	28	23	17	18	3150	7500	5250	7575	5400	7575	5250	7875	5250
125	26	28	23	17	18	3150	7500	5250	7500	5325	7575	5250	7875	5250
130	28	28	23	17	18	3150	7500	5250	7500	5400	7500	5250	7950	5250
135	26	28	23	17	18	3150	7500	5250	7500	5400	7500	5250	7875	5250
140	26	29	23	17	18	3150	7500	5250	7500	5325	7500	5250	7950	5250
145	26	31	23	17	18	3150	7500	5250	7500	5325	7500	5250	7875	5250
150	25	28	23	17	18	3150	7425	5250	7575	5325	7575	5250	7875	5250
155	26	29	23	17	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
160	27	28	23	17	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
165	25	28	23	17	18	3225	7500	5250	7575	5400	7575	5250	7875	5250
170	26	29	23	17	18	3150	7425	5250	7575	5325	7575	5250	7950	5250
175	26	31	23	17	18	3225	7425	5250	7575	5325	7575	5250	7950	5250
180	25	28	23	17	18	3150	7425	5250	7575	5325	7575	5250	7950	5250
185	26	29	23	17	18	3150	7500	5250	7575	5325	7500	5250	7875	5250
190	27	28	23	17	18	3150	7500	5250	7575	5325	7575	5250	7875	5250
195	25	28	23	17	18	3150	7500	5250	7575	5400	7575	5250	7875	5250
200	26	29	23	17	18	3150	7500	5250	7500	5325	7500	5250	7875	5325
205	26	30	23	17	18	3150	7500	5250	7575	5325	7575	5250	7950	5250
210	25	28	23	17	19	3150	7500	5250	7575	5325	7575	5250	7875	5250
215	26	29	23	17	19	3225	7500	5250	7575	5325	7575	5250	7875	5250
220	26	30	23	17	19	3150	7500	5250	7575	5325	7575	5250	7950	5250
225	25	28	23	17	19	3150	7500	5250	7575	5325	7575	5250	7875	5175
230	28	33	23	17	19	3225	7500	5250	7500	5325	7575	5250	7875	5250
235	34	37	23	17	19	3150	7500	5250	7575	5325	7575	5250	7875	5250
240	36	37	23	18	20	3150	7500	5250	7500	5325	7500	5250	7950	5250
245	37	39	23	18	20	3150	7500	5250	7500	5325	7500	5250	7875	5250
250	38	40	24	19	21	3150	7500	5250	7500	5325	7500	5250	7950	5250
255	37	39	24	19	21	3150	7500	5250	7500	5325	7500	5250	7875	5250
260	40	39	24	19	21	3150	7500	5250	7500	5325	7575	5325	7875	5250
265	40	41	24	19	21	3225	7500	5250	7500	5325	7500	5250	7875	5250
270	40	39	25	19	21	3150	7500	5250	7575	5325	7575	5250	7875	5250
275	39	40	25	19	21	3225	7500	5325	7575	5400	7575	5325	7875	5325
280	39	40	25	19	21	3150	7500	5250	7500	5325	7500	5250	7950	5250
285	39	40	25	19	21	3150	7500	5250	7575	5325	7575	5250	7875	5250
290	39	40	25	19	21	3225	7500	5250	7575	5325	7575	5250	7950	5250
295	38	38	25	19	21	3150	7500	5250	7500	5325	7500	5250	7875	5250
300	38	38	26	19	21	3150	7500	5250	7575	5325	7575	5250	7950	5250
305	35	39	26	19	21	3150	7500	5250	7575	5325	7575	5250	7875	5250
310	37	37	26	19	21	3150	7500	5250	7575	5325	7575	5250	7950	5250
315	36	37	26	19	21	3150	7500	5325	7575	5325	7575	5325	7875	5325
320	32	39	26	19	21	3150	7425	5250	7575	5325	7575	5250	7875	5250
325	35	38	26	19	21	3150	7500	5250	7575	5325	7575	5250	7875	5250
330	36	34	26	19	20	3150	7425	5250	7575	5325	7575	5250	7875	5250
335	35	38	26	19	20	3150	7500	5250	7575	5325	7575	5250	7875	5250
340	36	38	26	19	20	3150	7425	5250	7500	5325	7500	5250	7950	5250
345	36	35	26	19	21	3225	7500	5250	7575	5400	7575	5250	7875	5250
350	37	35	26	19	20	3150	7500	5250	7575	5325	7575	5250	7950	5250
355	35	38	26	19	20	3225	7425	5250	7500	5325	7500	5250	7950	5250
360	34	39	26	19	20	3225	7500	5250	7575	5325	7575	5250	7875	5250
365	36	35	26	19	21	3150	7500	5250	7500	5325	7575	5250	7950	5250
370	36	36	26	19	20	3225	7500	5250	7575	5325	7575	5250	7875	5250
375	33	37	26	19	20	3225	7500	5250	7575	5325	7575	5250	7875	5250
380	33	37	26	19	20	3225	7500	5250	7575	5325	7575	5250	7875	5250
385	36	37	26	19	20	3150	7500	5250	7575	5325	7575	5250	7875	5250
390	34	37	26	19	20	3150	7500	5250	7575	5400	7575	5250	7950	5250
395	34	37	26	18	21	3225	7500	5250	7575	5325	7575	5250	7875	5250
400	34	38	27	18	21	3150	7425	5250	7575	5325	7575	5250	7950	5250
405	30	38	27	18	21	3150	7500	5250	7500	5325	7500	5250	7875	5250
410	33	37	26	18	21	3150	7500	5250	7575	5400	7575	5250	7875	5250
415	31	39	26	18	21	3225	7500	5250	7500	5400	7650	5250	7875	5250
420	30	39	26	18	21	3225	7500	5250	7575	5325	7575	5250	7875	5250
425	33	40	26	18	21	3150	7425	5250	7500	5325	7575	5250	7875	5250
