 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10164264 7012264 22 709 0 0 0  0  5  1  0  0  0  383  453  120  3  1 96
 0 0 0 9389868 6233820 135 3987 0 0 0 0  0  2  0  0  0  484 2561  284  1  9 91
 0 0 0 9390048 6233832 131 3610 0 0 0 0  0  0  0  0  0  381 2168  245  1  9 91
 0 0 0 9389668 6233640 123 3610 0 0 0 0  0  0  0  0  0  385 2160  251  1  8 91
 0 0 0 9390100 6233772 12 99 0  0  0  0  0  0  0  0  0  373  720   93  0  0 100
 0 0 0 9389652 6233628 111 3510 0 0 0 0  0  0  0  0  0  389 2122  244  1  8 91
 0 0 0 9390060 6233780 123 3626 0 0 0 0  0  0  0  0  0  393 2168  251  1  9 91
 0 0 0 9389652 6233644 126 3608 0 0 0 0  0  2  0  0  0  404 2170  283  1  9 91
 0 0 0 9390096 6233848 14 99 0  0  0  0  0  0  0  0  0  365  729   95  0  0 100
 0 0 0 9389624 6233640 115 3533 0 0 0 0  0  0  0  0  0  379 2213  291  1  8 91
 0 0 0 9390076 6233800 123 3620 0 0 0 0  0  0  0  0  0  372 2178  241  1  9 91
 0 0 0 9389628 6233616 123 3611 0 0 0 0  0  0  0  0  0  384 2172  247  1  8 91
 0 0 0 9390072 6233756 12 98 0  0  0  0  0  0  0  0  0  367  744   97  0  0 99
 0 0 0 9389612 6233612 111 3517 0 0 0 0  0  2  0  0  0  438 2182  282  1  8 91
 0 0 0 9390060 6233800 131 3611 0 0 0 0  0  0  0  0  0  392 2252  245  1  9 91
 0 0 0 9389612 6233600 123 3607 0 0 0 0  0  0  0  0  0  390 2197  251  1  8 91
 0 0 0 9390056 6233740 12 98 0  0  0  0  0  0  0  0  0  368  801   93  0  0 100
 0 0 0 9389608 6233596 111 3519 0 0 0 0  0  0  0  0  0  380 2192  246  1  8 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9390020 6233744 123 3618 0 0 0 0  0  0  0  0  0  385 2209  248  1  9 91
 0 0 0 9389612 6233616 126 3618 0 0 0 0  0  2  0  0  0  409 2256  282  1  9 91
 0 0 0 9390032 6233800 14 99 0  0  0  0  0  0  0  0  0  358  818   92  0  0 100
 0 0 0 9389584 6233588 115 3529 0 0 0 0  0  0  0  0  0  377 2162  247  1  8 91
 0 0 0 9390036 6233752 123 3616 0 0 0 0  0  0  0  0  0  384 2254  246  1  9 91
 0 0 0 9389588 6233576 123 3626 0 0 0 0  0  0  0  0  0  379 2242  239  1  9 91
 0 0 0 9390032 6233716 12 98 0  0  0  0  0  0  0  0  0  365  766   93  0  0 99
 0 0 0 9389576 6233572 111 3525 0 0 0 0  0  2  0  0  0  416 2104  289  1  8 91
 0 0 0 9389880 6233716 131 3623 0 0 0 0  0  0  0  0  0  381 2159  242  1  9 91
 0 0 0 9389576 6233564 123 3633 0 0 0 0  0  0  0  0  0  369 2167  243  1  8 91
 0 0 0 9390016 6233700 12 98 0  0  0  0  0  0  0  0  0  377  719   92  0  0 99
 0 0 0 9389556 6233544 111 3525 0 0 0 0  0  0  0  0  0  392 2122  248  1  8 91
 0 0 0 9389864 6233668 123 3628 0 0 0 0  0  0  0  0  0  391 2165  248  1  9 91
 0 0 0 9389560 6233564 127 3634 0 0 0 0  0  2  0  0  0  400 2171  282  1  9 91
 0 0 0 9389984 6233752 14 99 0  0  0  0  0  0  0  0  0  374  734   93  0  0 99
 0 0 0 9389532 6233540 116 3601 0 0 0 0  0  0  0  0  0  398 2246  304  1  8 91
 0 0 0 9389984 6233700 123 3629 0 0 0 0  0  0  0  0  0  391 2171  242  1  9 91
 0 0 0 9389536 6233524 123 3623 0 0 0 0  0  0  0  0  0  384 2191  244  1  8 91
 0 0 0 9389980 6233664 12 98 0  0  0  0  0  0  0  0  0  366  729   98  0  0 99
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9389524 6233520 111 3526 0 0 0 0  0  2  0  0  0  433 2151  284  1  8 91
 0 0 0 9389928 6233676 131 3634 0 0 0 0  0  0  0  0  0  381 2209  246  1  9 91
 0 0 0 9389524 6233512 123 3627 0 0 0 0  0  0  0  0  0  382 2182  248  1  8 91
 0 0 0 9389964 6233648 12 98 0  0  0  0  0  0  0  0  0  368  757   94  0  0 100
 0 0 0 9389516 6233504 111 3534 0 0 0 0  0  0  0  0  0  380 2166  244  1  8 91
 0 0 0 9389928 6233656 123 3628 0 0 0 0  0  0  0  0  0  389 2186  245  1  9 91
 0 0 0 9389500 6233516 126 3629 0 0 0 0  0  2  0  0  0  409 2226  282  1  9 91
 0 0 0 9389940 6233704 14 99 0  0  0  0  0  0  0  0  0  376  773   92  0  0 100
 0 0 0 9389492 6233496 115 3533 0 0 0 0  0  0  0  0  0  373 2143  242  1  8 91
 0 0 0 9389944 6233660 123 3625 0 0 0 0  0  0  0  0  0  384 2230  247  1  9 91
 0 0 0 9389496 6233484 123 3626 0 0 0 0  0  0  0  0  0  392 2153  245  1  9 91
 0 0 0 9389940 6233624 12 98 0  0  0  0  0  0  0  0  0  378  704   89  0  0 100
 0 0 0 9389492 6233492 111 3535 0 0 0 0  0  2  0  0  0  439 2121  278  1  8 91
 0 0 0 9389964 6233720 131 3628 0 0 0 0  0  0  0  0  0  391 2172  247  1  9 91
 0 0 0 9389700 6233536 123 3630 0 0 0 0  0  0  0  0  0  383 2162  246  1  9 91
 0 0 0 9389940 6233624 12 99 0  0  0  0  0  0  0  0  0  368  710   91  0  0 100
 0 0 0 9389424 6233408 111 3536 0 0 0 0  0  0  0  0  0  379 2134  243  1  8 91
 0 0 0 9389936 6233640 123 3627 0 0 0 0  0  0  0  0  0  374 2171  246  1  9 91
 0 0 0 9389596 6233476 128 3635 0 0 0 0  0  2  0  0  0  405 2182  281  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9389832 6233604 0  2  0  0  0  0  0  0  0  0  0  362  697   90  0  0 100
 0 0 0 9389388 6233392 128 3624 0 0 0 0  0  0  0  0  0  385 2258  294  1  9 91
 0 0 0 9389540 6233420 122 3624 0 0 0 0  0  0  0  0  0  374 2191  240  1  9 91
 0 0 0 9389524 6233360 114 3450 0 0 0 0  0  0  0  0  0  380 2095  237  1  8 91
 0 0 0 9389764 6233448 12 271 0 0  0  0  0  0  0  0  0  369  799  107  0  0 100
 0 0 0 9362812 6206208 292 6065 0 0 0 0  0 16  0  0  0  743 9462  723 17 12 71
