Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	25	27	23	17	19	3150	7575	5175	7575	5325	7575	5250	7950	5250
5	25	27	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
10	26	31	23	17	19	3225	7500	5250	7500	5325	7500	5250	7875	5250
15	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
20	25	28	23	17	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
25	28	29	23	17	19	3150	7575	5250	7575	5400	7575	5250	7875	5250
30	25	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
35	25	28	23	17	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
40	26	32	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
45	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
50	26	29	23	17	19	3225	7575	5250	7575	5400	7575	5325	7950	5250
55	29	29	23	17	19	3150	7500	5250	7575	5325	7500	5250	7875	5250
60	26	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7875	5250
65	26	29	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
70	27	32	23	17	19	3225	7575	5250	7575	5400	7575	5250	7875	5250
75	26	29	23	17	19	3150	7575	5250	7500	5400	7500	5325	7950	5250
80	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
85	29	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
90	26	29	23	17	19	3225	7500	5175	7500	5400	7500	5250	7950	5250
95	26	29	23	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
100	27	32	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
105	26	29	23	18	19	3150	7500	5250	7500	5400	7500	5250	7950	5250
110	26	29	23	18	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
115	27	32	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
120	26	29	23	17	19	3225	7500	5250	7500	5400	7500	5250	7950	5250
125	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
130	29	30	23	17	19	3225	7575	5250	7575	5400	7575	5325	7950	5250
135	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
140	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
145	29	30	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
150	26	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7875	5250
155	26	29	24	18	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
160	27	32	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
165	26	29	24	18	19	3225	7575	5250	7575	5400	7575	5325	7950	5250
170	26	29	24	18	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
175	29	30	24	18	19	3225	7575	5250	7575	5325	7575	5325	7950	5250
180	26	29	24	18	19	3150	7500	5250	7500	5325	7500	5325	7950	5250
185	26	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
190	27	32	24	18	19	3150	7500	5250	7500	5400	7575	5325	7950	5250
195	26	29	24	18	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
200	26	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
205	28	32	24	18	19	3225	7575	5250	7575	5325	7575	5325	7950	5250
210	26	29	24	18	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
215	26	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
220	29	30	24	18	19	3150	7575	5250	7500	5400	7500	5325	7950	5250
225	26	29	24	18	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
230	27	29	24	18	19	3150	7575	5250	7575	5325	7500	5250	7950	5250
235	31	33	24	18	19	3150	7575	5250	7575	5325	7575	5325	7875	5250
240	27	31	24	18	20	3150	7575	5250	7575	5400	7575	5325	7950	5250
245	27	30	24	18	20	3150	7500	5250	7500	5400	7500	5325	7950	5250
250	29	33	24	18	20	3150	7575	5325	7500	5400	7575	5250	7950	5250
255	27	30	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
260	27	30	24	18	20	3150	7575	5250	7575	5325	7575	5325	7950	5250
265	29	33	24	18	20	3225	7500	5250	7500	5325	7500	5250	7950	5250
270	27	30	24	18	20	3225	7575	5250	7575	5325	7575	5250	7950	5250
275	27	30	24	18	20	3150	7575	5250	7575	5400	7575	5325	7950	5250
280	28	33	24	18	20	3150	7500	5250	7500	5400	7500	5250	7950	5250
285	27	29	24	18	20	3150	7575	5250	7575	5325	7575	5325	7950	5250
290	27	29	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
295	30	31	24	18	20	3225	7575	5250	7575	5325	7575	5250	7950	5250
300	27	29	24	18	20	3225	7500	5250	7500	5325	7575	5250	7950	5250
305	26	29	24	18	20	3150	7500	5250	7500	5325	7500	5250	7950	5250
310	30	30	24	18	20	3150	7500	5325	7500	5325	7500	5250	7950	5325
315	27	29	24	18	20	3225	7575	5250	7575	5325	7575	5250	7950	5250
320	27	29	24	18	20	3150	7575	5325	7575	5400	7575	5250	7950	5325
325	31	31	24	18	19	3150	7500	5250	7500	5325	7500	5325	7950	5250
330	27	29	24	18	19	3225	7575	5250	7500	5400	7500	5325	7950	5250
335	27	29	24	18	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
340	27	32	24	18	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
345	27	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
350	27	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
355	29	32	24	18	19	3150	7500	5250	7500	5400	7500	5325	7950	5250
360	27	29	24	18	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
365	27	29	24	18	19	3225	7575	5250	7575	5400	7575	5325	7950	5250
370	30	30	24	18	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
375	27	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
380	27	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
385	27	32	24	18	19	3225	7575	5250	7575	5325	7575	5325	7950	5325
390	26	29	24	18	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
395	27	29	24	18	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
400	29	30	24	18	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
405	27	29	24	18	19	3150	7575	5325	7575	5325	7575	5250	7950	5250
410	27	29	24	18	19	3150	7575	5325	7575	5400	7575	5250	7950	5250
415	27	32	24	18	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
420	26	29	24	18	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
425	27	30	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
430	27	32	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
435	27	29	24	18	19	3225	7575	5250	7575	5325	7575	5250	7875	5250
440	27	29	24	18	20	3150	7575	5325	7575	5325	7575	5325	7950	5250
445	29	30	24	18	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
450	27	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
455	27	30	24	18	19	3225	7500	5250	7500	5400	7500	5250	7875	5250
460	27	32	24	18	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
465	27	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
470	27	30	24	18	20	3150	7575	5250	7575	5400	7575	5250	7875	5250
475	29	30	24	18	20	3150	7575	5250	7575	5325	7575	5325	7875	5325
480	26	29	24	18	20	3225	7575	5250	7575	5325	7575	5325	7950	5250
485	27	30	24	18	20	3150	7575	5325	7575	5400	7575	5250	7950	5250
490	27	32	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
495	26	29	24	18	20	3150	7500	5325	7500	5325	7500	5250	7950	5250
500	27	30	24	18	20	3225	7575	5250	7575	5400	7575	5250	7950	5250
505	27	32	24	18	20	3150	7500	5250	7500	5325	7500	5250	7950	5250
510	26	29	24	18	20	3150	7575	5325	7575	5400	7575	5250	7950	5250
515	27	30	24	18	20	3225	7575	5250	7575	5400	7575	5250	7875	5250
520	27	32	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
525	26	29	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5325
530	27	30	24	18	20	3225	7500	5250	7500	5325	7500	5250	7950	5250
535	29	30	24	18	20	3150	7575	5250	7575	5325	7575	5325	7950	5325
540	26	29	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
545	28	30	24	18	20	3225	7575	5325	7575	5325	7575	5250	7950	5250
550	29	30	24	18	20	3150	7575	5250	7575	5400	7575	5250	7950	5250
555	27	34	24	18	20	3150	7575	5250	7575	5400	7575	5250	7950	5250
560	28	31	24	18	20	3150	7575	5250	7575	5400	7575	5325	7950	5325
565	29	30	24	18	20	3150	7575	5250	7575	5400	7575	5325	7950	5325
570	27	29	24	18	20	3225	7575	5250	7575	5400	7575	5250	7950	5250
575	28	30	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
580	27	31	24	18	20	3225	7575	5250	7575	5400	7575	5250	7950	5250
585	26	29	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
590	28	31	24	18	20	3225	7575	5250	7500	5325	7575	5250	7950	5250
595	28	30	24	18	20	3150	7500	5250	7575	5325	7575	5325	7950	5250
600	26	29	24	18	20	3225	7575	5250	7575	5325	7575	5250	7950	5250
605	28	31	24	18	20	3150	7575	5250	7575	5400	7575	5250	7950	5250
610	27	31	24	18	20	3150	7575	5250	7575	5400	7575	5250	7950	5250
615	26	29	24	18	20	3150	7575	5250	7575	5325	7575	5250	7950	5250
620	28	31	24	18	20	3150	7575	5250	7575	5400	7575	5250	7950	5325
625	27	29	24	18	20	3150	7575	5325	7575	5325	7575	5325	7950	5250
630	27	29	24	18	20	3225	7575	5250	7575	5325	7575	5250	7950	5250
635	28	32	24	18	20	3150	7575	5325	7575	5325	7575	5325	7950	5250
640	27	29	24	18	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
645	26	29	24	18	19	3150	7575	5250	7575	5400	7500	5250	7950	5250
650	28	31	24	18	19	3225	7575	5250	7575	5325	7575	5250	7950	5325
655	26	29	24	18	19	3150	7575	5325	7575	5400	7575	5325	7950	5250
660	26	29	24	18	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
