 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10207128 7054176 15 367 0 0 0  0  5  1  0  0  0  379  319  114  2  1 97
 0 0 0 9573408 6417060 135 3979 0 0 0 0  0  0  0  0  0  434 2651  247  1  9 91
 0 0 0 9572772 6416720 123 3610 0 0 0 0  0  0  0  0  0  385 2163  252  1  9 91
 0 0 0 9572768 6416796 131 3617 0 0 0 0  0  0  0  0  0  389 2157  248  1  8 91
 0 0 0 9573208 6416884 12 99 0  0  0  0  0  0  0  0  0  366  714   98  0  0 99
 0 0 0 9573068 6416868 111 3509 0 0 0 0  0  0  0  0  0  400 2107  249  1  8 91
 0 0 0 9572760 6416740 123 3627 0 0 0 0  0  2  0  0  0  416 2173  289  1  9 91
 0 0 0 9572756 6416732 123 3611 0 0 0 0  0  0  0  0  0  383 2159  246  1  9 91
 0 0 0 9573200 6416908 16 100 0 0  0  0  0  0  0  0  0  366  721   99  0  0 99
 0 0 0 9573032 6416904 112 3533 0 0 0 0  0  0  0  0  0  390 2135  243  1  8 91
 0 0 0 9572728 6416744 129 3627 0 0 0 0  0  0  0  0  0  391 2192  244  1  8 91
 0 0 0 9572724 6416704 123 3609 0 0 0 0  0  0  0  0  0  392 2171  248  1  8 91
 0 0 0 9573164 6416840 12 98 0  0  0  0  0  2  0  0  0  390  743  134  0  0 100
 0 0 0 9573172 6416872 110 3511 0 0 0 0  0  0  0  0  0  385 2143  243  1  8 91
 0 0 0 9572720 6416704 123 3610 0 0 0 0  0  0  0  0  0  381 2275  296  1  9 91
 0 0 0 9572716 6416760 131 3609 0 0 0 0  0  0  0  0  0  385 2205  247  1  9 91
 0 0 0 9573164 6416840 12 98 0  0  0  0  0  0  0  0  0  364  757   91  0  0 100
 0 0 0 9573124 6416840 111 3521 0 0 0 0  0  0  0  0  0  386 2135  247  1  8 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9572720 6416700 123 3614 0 0 0 0  0  2  0  0  0  401 2214  285  1  9 91
 0 0 0 9572716 6416696 123 3624 0 0 0 0  0  0  0  0  0  386 2207  244  1  8 91
 0 0 0 9573140 6416860 16 100 0 0  0  0  0  0  0  0  0  367  744  100  0  0 100
 0 0 0 9573144 6416928 112 3530 0 0 0 0  0  0  0  0  0  382 2179  242  1  8 91
 0 0 0 9572696 6416712 128 3613 0 0 0 0  0  0  0  0  0  393 2223  250  1  9 91
 0 0 0 9572692 6416672 123 3626 0 0 0 0  0  0  0  0  0  393 2190  247  1  8 91
 0 0 0 9573140 6416816 12 98 0  0  0  0  0  2  0  0  0  396  782  134  0  0 100
 0 0 0 9573144 6416860 111 3523 0 0 0 0  0  0  0  0  0  395 2186  243  1  8 91
 0 0 0 9572696 6416680 123 3627 0 0 0 0  0  0  0  0  0  398 2203  248  1  9 91
 0 0 0 9572692 6416736 130 3626 0 0 0 0  0  0  0  0  0  390 2233  243  1  8 91
 0 0 0 9573140 6416816 12 98 0  0  0  0  0  0  0  0  0  373  706   96  0  0 100
 0 0 0 9573044 6416812 111 3529 0 0 0 0  0  0  0  0  0  391 2110  248  1  8 91
 0 0 0 9572696 6416676 123 3626 0 0 0 0  0  2  0  0  0  414 2162  286  1  9 91
