time,cpu,FSB,L2miss
2,0,24416188,
4,0,,48474
4,1,,15447
6,0,1005156,
8,0,,347215
10,1,10823038,
12,0,,23449
14,0,4499236,
14,1,4507734,
16,0,,707302
18,1,1442662,
18,0,1443964,
20,0,,53111
20,1,,18331
22,0,20572342,
24,1,,8744
24,0,,62809
26,0,1916370,
28,0,,345451
30,1,11966604,
32,1,,129800
34,0,2677348,
34,1,2697568,
36,1,,741502
38,0,241244,
40,1,,25077
42,0,20625468,
44,1,,53860
46,1,1875682,
48,0,,301746
50,0,11797664,
52,0,,75718
54,0,3504208,
56,0,,599917
58,1,1420950,
58,0,1422478,
60,0,,69835
62,0,20556698,
64,0,,9557
66,1,831117,
68,0,,303622
70,0,11124128,
72,0,,65628
74,0,2919310,
76,0,,749682
78,1,1317018,
78,0,1318824,
80,0,,49518
82,0,20776194,
84,0,,34414
86,0,2087854,
88,0,,345764
90,0,11994950,
92,0,,142496
94,0,2397871,
96,0,,656625
98,1,419632,
100,1,,36972
102,0,20597194,
102,1,20606476,
104,0,,59045
106,0,1882298,
108,0,,286411
110,0,11942330,
112,1,,26437
114,0,2938932,
116,0,,761347
118,1,1395196,
118,0,1396916,
120,1,,6732
120,0,,77860
122,0,20895782,
124,0,,18970
124,1,,43284
126,0,937728,
128,0,,299031
130,0,11194336,
132,0,,49746
134,1,2750898,
136,0,,715719
138,0,1475674,
138,1,1476070,
140,0,,3411
142,1,20708574,
144,0,,55389
146,1,1973682,
148,0,,309825
148,1,,324800
150,1,12328838,
152,1,,114378
154,0,2052206,
156,0,,644037
158,0,253180,
160,1,,18000
162,1,20729306,
164,1,,27708
164,0,,35356
166,0,1892534,
168,0,,230705
170,0,12184638,
172,0,,72492
174,0,3284668,
176,1,,680353
178,1,1450196,
180,1,,73238
182,0,20642216,
182,1,20646040,
184,1,,56684
186,1,798034,
188,0,,330442
190,0,11482792,
192,1,,65323
194,1,2569064,
196,0,,715215
198,1,1422414,
200,0,,5470
202,0,20772578,
204,0,,55145
204,1,,8304
206,0,2010676,
208,0,,376657
208,1,,253519
210,0,12256084,
212,0,,124037
214,0,1964676,
216,1,,753018
218,0,331144,
220,0,,6528
222,1,20542034,
224,0,,60668
226,0,1986126,
228,0,,383232
230,1,12307368,
232,1,,73848
234,0,2592790,
236,0,,801133
238,0,1458138,
238,1,1459910,
240,0,,41442
242,0,20519126,
244,1,,55062
244,0,,28830
246,0,841026,
248,0,,316540
248,1,,268127
250,1,11657044,
252,1,,78314
254,0,2447132,
256,0,,724658
258,0,1458042,
260,0,,29046
262,0,20117446,
262,1,20137038,
264,1,,70013
266,0,2039288,
268,0,,410780
270,0,12531414,
272,0,,123370
274,0,1714482,
276,1,,696490
278,1,396526,
280,1,,28360
282,0,19788684,
282,1,19840916,
284,1,,23582
284,0,,119592
286,0,2063910,
288,0,,292567
290,0,12277512,
292,1,,65946
294,1,2926635,
296,1,,652610
298,1,1543822,
300,1,,79122
302,0,40904061,
304,0,,1184745
306,0,25165950,
308,0,,3804639
310,0,170858178,
312,1,,4629976
314,1,143609361,
314,0,143889994,
316,1,,4391320
318,0,253085336,
320,1,,5900371
320,0,,3443922
322,1,234833448,
322,0,266931440,
324,1,,5018785
324,0,,4200858
326,1,217854462,
328,0,,4014091
330,0,191530054,
332,0,,3342712
334,0,207332192,
336,0,,5734799
338,1,206801732,
338,0,207940890,
340,0,,4232195
342,1,222819958,
344,0,,3232385
346,0,206385364,
346,1,206458940,
348,1,,4416616
348,0,,4682453
350,1,194648498,
350,0,181007820,
352,0,,2402206
354,0,125952226,
354,1,125981212,
356,0,,5760421
358,0,160641893,
358,1,160733194,
360,1,,419443
360,0,,3242371
362,0,61257589,
362,1,61286031,
364,0,,514677
364,1,,1752759
366,0,34236050,
366,1,34237338,
368,0,,46292
368,1,,699269
370,1,18360472,
370,0,18390438,
372,0,,792260
374,1,12800162,
376,0,,121356
376,1,,1247488
378,1,95026890,
380,0,,2077988
382,1,52228122,
384,1,,1363065
386,0,78541930,
386,1,78550962,
388,1,,2643678
390,1,71852666,
390,0,71870346,
392,0,,1378759
394,0,58597160,
394,1,58615953,
396,0,,60431
396,1,,1993740
398,1,87869642,
398,0,88081128,
400,1,,2145862
402,0,90802316,
402,1,90792836,
404,1,,1997235
404,0,,978604
406,1,76691856,
406,0,76697132,
408,1,,1257946
410,0,78345303,
410,1,78339022,
412,0,,1444348
414,0,83923202,
414,1,83930132,
416,0,,862124
418,0,67418606,
420,1,,2309309
420,0,,2306346
422,1,112730894,
424,0,,61237
426,0,75395818,
426,1,75404244,
428,1,,1847747
430,1,100735790,
430,0,100750478,
432,1,,783046
434,1,61838770,
436,1,,1315877
436,0,,1584686
438,0,88694178,
438,1,88703876,
440,1,,2612128
440,0,,1186612
442,1,100314910,
444,0,,1870875
444,1,,1099325
446,1,102671062,
448,1,,658263
448,0,,2346959
450,1,92274327,
452,1,,3803358
454,1,112457578,
454,0,112478285,
456,1,,869389
458,1,81197166,
458,0,81314440,
460,0,,1414434
460,1,,3150057
462,1,106051428,
464,1,,764435
464,0,,3443793
466,0,136247309,
468,1,,2438995
470,0,81937580,
472,0,,1395817
472,1,,1082517
474,1,100524211,
476,1,,1801743
476,0,,99361
478,0,68698044,
478,1,68852191,
480,0,,2027732
480,1,,2003061
482,0,72839930,
484,0,,2439762
484,1,,205578
486,0,102138482,
488,0,,546521
490,1,6226774,
492,1,,339004
494,0,84078592,
496,0,,3607038
498,0,188193842,
500,1,,4122381
500,0,,4138295
502,0,147027736,
504,1,,2961547
504,0,,4013766
506,0,211727568,
508,0,,3689450
510,0,180335434,
510,1,180488801,
512,1,,6468494
512,0,,4861036
514,0,193196900,
516,0,,4401233
518,0,241922598,
518,1,242013094,
520,0,,4324872
522,1,232977500,
524,0,,4018381
526,1,203353648,
528,0,,5116582
530,0,191184038,
532,0,,5841182
534,0,227831050,
536,0,,5058246
538,1,240541372,
538,0,240552786,
540,1,,4065615
542,0,139629076,
544,1,,974418
546,1,156029278,
548,0,,51483
548,1,,6332759
550,0,49498572,
550,1,49500677,
552,0,,1947369
554,1,46880480,
554,0,46883924,
556,0,,982710
558,0,24573402,
558,1,24592440,
560,0,,682197
562,0,13450398,
564,0,,533027
566,0,49574550,
566,1,49596646,
568,1,,4609662
570,0,51247476,
570,1,51252542,
572,1,,2008049
574,0,38789116,
574,1,38795956,
576,1,,1303725
576,0,,1844659
578,0,48726120,
