Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	24	27	23	16	18	3150	7575	5325	7575	5400	7575	5250	7950	5325
5	24	27	23	16	18	3150	7575	5325	7575	5325	7575	5325	7950	5325
10	24	27	23	16	18	3150	7575	5250	7575	5325	7575	5325	7950	5250
15	27	29	23	16	18	3150	7575	5325	7500	5400	7500	5250	7950	5325
20	24	27	23	16	18	3150	7500	5250	7575	5325	7500	5250	7950	5250
25	25	27	23	16	18	3150	7500	5250	7575	5400	7500	5250	7950	5250
30	26	30	23	16	18	3150	7575	5325	7575	5325	7575	5250	7950	5325
35	25	28	23	16	18	3150	7500	5250	7500	5325	7500	5250	7950	5250
40	25	28	23	16	18	3150	7575	5250	7575	5325	7575	5250	7950	5250
45	27	30	23	16	18	3150	7575	5250	7575	5400	7575	5250	7950	5250
50	25	28	23	16	18	3150	7500	5250	7500	5400	7500	5250	7950	5250
55	25	28	23	16	18	3150	7500	5250	7500	5400	7500	5250	7875	5250
60	27	30	23	16	18	3150	7500	5250	7500	5325	7500	5250	7950	5250
65	25	28	23	16	18	3225	7575	5250	7575	5325	7575	5250	7950	5250
70	25	28	23	16	18	3150	7575	5250	7575	5325	7575	5250	7950	5250
75	29	30	23	16	18	3225	7500	5250	7500	5325	7500	5250	7950	5250
80	25	28	23	16	18	3150	7575	5250	7575	5325	7575	5250	7950	5250
85	25	28	23	16	18	3225	7500	5250	7500	5400	7500	5250	7950	5250
90	29	30	23	16	18	3150	7500	5250	7500	5325	7500	5325	7875	5250
95	25	28	23	16	18	3150	7500	5250	7500	5325	7500	5250	7950	5250
100	25	28	23	16	18	3150	7575	5250	7575	5400	7575	5250	7950	5250
105	29	30	23	16	18	3150	7575	5250	7500	5400	7575	5250	7950	5250
110	25	28	23	16	18	3150	7575	5250	7575	5325	7575	5250	7950	5250
115	25	28	23	16	18	3150	7575	5250	7575	5400	7500	5250	7875	5250
120	28	30	23	16	18	3225	7575	5250	7575	5325	7575	5250	7875	5250
125	25	28	23	17	18	3150	7575	5250	7575	5400	7575	5250	7875	5250
130	25	28	23	17	18	3150	7500	5250	7500	5400	7500	5325	7875	5250
135	27	32	23	17	18	3150	7500	5250	7500	5400	7500	5325	7950	5250
140	25	28	23	17	18	3150	7575	5250	7575	5325	7575	5250	7875	5250
145	25	28	23	17	18	3150	7575	5250	7575	5325	7575	5250	7875	5250
150	28	30	23	17	18	3150	7575	5250	7575	5325	7575	5250	7875	5250
155	25	28	23	17	18	3150	7575	5250	7575	5325	7500	5325	7950	5250
160	25	28	23	17	18	3150	7575	5250	7575	5400	7575	5250	7875	5250
165	27	31	23	17	18	3225	7575	5175	7575	5325	7575	5250	7875	5175
170	25	28	23	17	18	3150	7575	5250	7575	5400	7575	5250	7950	5250
175	25	28	23	17	19	3150	7575	5325	7575	5400	7575	5325	7875	5250
180	26	31	23	17	18	3150	7575	5250	7575	5325	7575	5325	7950	5250
185	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7875	5250
190	25	28	23	17	19	3150	7575	5250	7575	5325	7575	5325	7875	5250
195	29	29	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
200	25	28	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
205	25	28	23	17	19	3225	7500	5250	7500	5400	7500	5325	7875	5250
210	29	30	23	17	18	3150	7500	5250	7500	5325	7500	5250	7950	5250
215	25	28	23	17	18	3150	7500	5250	7500	5325	7500	5325	7950	5250
220	26	28	23	17	18	3150	7575	5250	7575	5325	7575	5250	7875	5250
225	26	31	23	17	18	3150	7575	5250	7575	5325	7575	5250	7950	5250
230	25	28	23	17	18	3225	7575	5250	7500	5325	7575	5250	7875	5250
235	31	33	23	17	19	3150	7575	5175	7575	5325	7575	5250	7875	5250
240	26	29	23	17	19	3225	7500	5250	7500	5325	7500	5250	7875	5250
245	26	29	23	17	19	3225	7575	5250	7575	5325	7575	5250	7875	5250
250	29	30	23	17	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
255	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
260	26	29	23	17	19	3150	7500	5325	7500	5400	7500	5250	7950	5250
265	29	29	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
270	26	28	23	17	19	3150	7500	5250	7500	5400	7500	5250	7950	5250
275	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
280	27	31	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
285	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5175
290	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
295	27	31	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
300	26	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
305	26	28	23	17	19	3225	7575	5250	7575	5400	7575	5250	7950	5250
310	26	31	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
315	25	28	23	17	19	3225	7575	5250	7575	5325	7575	5250	7875	5250
320	26	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
325	27	31	23	17	19	3150	7575	5175	7575	5325	7575	5250	7950	5250
330	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
335	25	28	23	17	19	3150	7575	5325	7575	5400	7575	5250	7950	5250
340	26	32	23	17	19	3150	7500	5250	7500	5400	7575	5250	7875	5250
345	25	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5175
350	25	29	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
355	28	29	23	17	19	3225	7575	5250	7575	5325	7575	5250	7875	5250
360	25	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
365	26	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7875	5250
370	28	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
375	26	28	23	17	19	3150	7500	5250	7500	5400	7500	5250	7950	5250
380	26	28	23	17	19	3150	7500	5250	7500	5325	7500	5325	7950	5250
385	27	30	23	17	19	3150	7575	5250	7575	5325	7575	5325	7875	5250
390	26	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7875	5250
395	26	29	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
400	28	30	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
405	26	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7875	5250
410	25	28	23	17	19	3150	7500	5250	7500	5325	7500	5325	7875	5250
415	28	31	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
420	26	28	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
425	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5325	7875	5250
430	27	31	23	17	19	3225	7575	5250	7500	5400	7575	5325	7950	5250
435	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
440	26	29	23	17	19	3225	7575	5250	7575	5400	7575	5325	7950	5250
445	29	31	23	17	19	3150	7575	5175	7500	5325	7575	5250	7950	5250
450	26	28	23	17	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
455	25	28	23	17	19	3225	7575	5250	7575	5400	7575	5250	7950	5250
460	28	31	23	17	19	3150	7575	5175	7575	5325	7575	5250	7875	5250
465	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5325	7950	5250
470	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5250	7875	5250
475	27	32	23	17	19	3150	7575	5250	7575	5400	7575	5325	7950	5250
480	25	28	23	17	19	3150	7500	5250	7500	5400	7500	5250	7875	5250
485	25	29	23	17	19	3150	7575	5175	7575	5325	7575	5250	7950	5250
490	28	30	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
495	25	28	23	17	19	3150	7500	5175	7500	5325	7500	5250	7950	5250
500	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5325	7950	5250
505	28	32	23	17	19	3150	7575	5175	7575	5400	7575	5325	7950	5250
510	25	28	23	17	19	3150	7575	5175	7575	5325	7575	5250	7950	5250
515	26	28	23	17	19	3225	7500	5250	7500	5400	7500	5250	7875	5250
520	26	31	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
525	25	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
530	26	28	23	17	19	3150	7575	5250	7500	5325	7500	5250	7875	5250
535	28	31	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
540	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7875	5250
545	25	29	23	17	19	3225	7575	5250	7575	5325	7575	5250	7875	5250
550	27	32	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
555	25	29	23	17	19	3225	7575	5250	7575	5400	7575	5325	7875	5250
560	25	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
565	26	32	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
570	25	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7875	5250
575	26	29	23	17	19	3150	7575	5250	7575	5400	7575	5250	7875	5250
580	28	31	23	17	19	3225	7500	5250	7500	5400	7500	5325	7950	5250
585	25	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
590	25	29	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
595	26	32	23	17	19	3150	7575	5250	7575	5325	7575	5250	7950	5250
600	25	28	23	17	19	3225	7575	5250	7575	5400	7575	5250	7950	5250
605	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5250	7875	5250
610	29	29	23	17	19	3150	7575	5250	7575	5325	7575	5325	7950	5250
615	25	29	23	17	19	3150	7500	5250	7500	5400	7500	5250	7875	5250
620	25	29	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5175
625	28	32	23	17	19	3225	7575	5250	7575	5325	7575	5250	7950	5250
630	25	28	23	17	19	3150	7575	5175	7575	5325	7575	5250	7950	5175
635	25	29	23	17	19	3225	7500	5250	7500	5325	7500	5325	7875	5250
640	28	29	23	17	19	3150	7575	5175	7575	5400	7575	5250	7950	5250
645	25	28	23	17	19	3150	7500	5250	7500	5325	7500	5250	7950	5250
650	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5250	7950	5250
655	28	32	23	17	19	3150	7575	5325	7575	5325	7575	5250	7875	5250
660	25	28	23	17	19	3150	7575	5250	7500	5325	7575	5250	7950	5250
665	26	28	23	17	19	3150	7575	5250	7575	5400	7575	5325	7875	5250
670	26	31	23	17	19	3225	7500	5250	7500	5325	7500	5250	7950	5250
675	25	28	23	17	19	3150	7500	5250	7500	5400	7500	5250	7875	5250
680	25	29	23	17	19	3150	7500	5250	7500	5400	7500	5250	7950	5250
