 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10030304 6883968 33 984 0 0 0  0  4  1  0  0  0  387  617  150  4  2 94
 0 0 0 9293092 6136880 135 3985 0 0 0 0  0  2  0  0  0  463 2586  288  1  9 91
 0 0 0 9292808 6136652 127 3613 0 0 0 0  0  0  0  0  0  382 2186  244  1  9 91
 0 0 0 9292604 6136676 128 3609 0 0 0 0  0  0  0  0  0  383 2144  244  1  9 91
 0 0 0 9293028 6136712 12 99 0  0  0  0  0  0  0  0  0  369  710   97  0  0 100
 0 0 0 9292684 6136664 111 3510 0 0 0 0  0  0  0  0  0  384 2107  244  1  8 91
 0 0 0 9292784 6136620 123 3624 0 0 0 0  0  0  0  0  0  398 2156  249  1  9 91
 0 0 0 9292576 6136564 123 3614 0 0 0 0  0  2  0  0  0  414 2157  282  1  9 91
 0 0 0 9293020 6136728 16 99 0  0  0  0  0  0  0  0  0  373  718   90  0  0 100
 0 0 0 9292788 6136688 115 3537 0 0 0 0  0  0  0  0  0  388 2202  286  1  8 91
 0 0 0 9292752 6136588 123 3625 0 0 0 0  0  0  0  0  0  388 2180  251  1  8 91
 0 0 0 9292548 6136532 123 3600 0 0 0 0  0  0  0  0  0  387 2154  242  1  9 91
 0 0 0 9292992 6136676 12 99 0  0  0  0  0  0  0  0  0  367  712   92  0  0 100
 0 0 0 9292792 6136668 110 3511 0 0 0 0  0  2  0  0  0  400 2122  278  1  9 91
 0 0 0 9292736 6136600 128 3610 0 0 0 0  0  0  0  0  0  383 2208  244  1  8 91
 0 0 0 9292512 6136584 129 3613 0 0 0 0  0  0  0  0  0  377 2172  242  1  9 91
 0 0 0 9292936 6136620 0  0  0  0  0  0  0  0  0  0  0  370  725  101  0  0 100
 0 0 0 9292692 6136568 123 3623 0 0 0 0  0  0  0  0  0  392 2163  236  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9292696 6136532 123 3609 0 0 0 0  0  0  0  0  0  387 2148  247  1  8 91
 0 0 0 9292492 6136480 122 3604 0 0 0 0  0  2  0  0  0  396 2131  281  1  9 91
 0 0 0 9292912 6136636 0 22  0  0  0  0  0  0  0  0  0  371  691   91  0  0 100
 0 0 0 9292708 6136592 131 3625 0 0 0 0  0  0  0  0  0  386 2151  244  1  9 91
 0 0 0 9292672 6136508 123 3616 0 0 0 0  0  0  0  0  0  375 2173  250  1  8 91
 0 0 0 9292468 6136456 117 3581 0 0 0 0  0  0  0  0  0  386 2122  243  1  9 91
 0 0 0 9292912 6136596 6 45  0  0  0  0  0  0  0  0  0  371  706   89  0  0 100
 0 0 0 9292708 6136584 123 3623 0 0 0 0  0  2  0  0  0  407 2147  289  1  9 91
 0 0 0 9292672 6136536 128 3623 0 0 0 0  0  0  0  0  0  387 2154  244  1  9 91
 0 0 0 9292468 6136540 128 3615 0 0 0 0  0  0  0  0  0  388 2130  244  1  8 91
 0 0 0 9292912 6136596 0 18  0  0  0  0  0  0  0  0  0  377  696  102  0  0 100
 0 0 0 9292712 6136596 123 3620 0 0 0 0  0  0  0  0  0  402 2160  246  1  9 91
 0 0 0 9292672 6136508 123 3632 0 0 0 0  0  0  0  0  0  392 2164  251  1  9 91
 0 0 0 9292468 6136452 123 3629 0 0 0 0  0  2  0  0  0  414 2160  288  1  9 91
 0 0 0 9292888 6136616 0  2  0  0  0  0  0  0  0  0  0  375  690   93  0  0 100
 0 0 0 9292692 6136596 131 3625 0 0 0 0  0  0  0  0  0  380 2246  288  1  9 91
 0 0 0 9292648 6136484 123 3629 0 0 0 0  0  0  0  0  0  388 2188  253  1  8 91
 0 0 0 9292416 6136404 123 3625 0 0 0 0  0  0  0  0  0  390 2175  242  1  8 91
 0 0 0 9292860 6136544 0  0  0  0  0  0  0  0  0  0  0  380  675   90  0  0 100
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9292636 6136520 123 3626 0 0 0 0  0  2  0  0  0  416 2180  280  1  9 91
 0 0 0 9292620 6136488 128 3632 0 0 0 0  0  0  0  0  0  379 2198  245  1  9 91
 0 0 0 9292416 6136484 128 3622 0 0 0 0  0  0  0  0  0  377 2164  240  1  8 91
 0 0 0 9292860 6136544 0  0  0  0  0  0  0  0  0  0  0  372  707   99  0  0 100
 0 0 0 9292656 6136524 123 3630 0 0 0 0  0  0  0  0  0  390 2199  245  1  9 91
 0 0 0 9292592 6136428 123 3629 0 0 0 0  0  0  0  0  0  374 2174  238  1  8 91
 0 0 0 9292364 6136360 123 3624 0 0 0 0  0  2  0  0  0  383 2201  278  1  9 91
 0 0 0 9292808 6136528 0  1  0  0  0  0  0  0  0  0  0  367  715   91  0  0 100
 0 0 0 9292460 6136432 131 3636 0 0 0 0  0  0  0  0  0  385 2177  242  1  9 91
 0 0 0 9292512 6136348 123 3629 0 0 0 0  0  0  0  0  0  381 2227  252  1  8 91
 0 0 0 9292308 6136296 122 3622 0 0 0 0  0  0  0  0  0  384 2201  242  1  8 91
 0 0 0 9292736 6136420 0  0  0  0  0  0  0  0  0  0  0  374  686   87  0  0 100
 0 0 0 9292504 6136388 123 3632 0 0 0 0  0  2  0  0  0  396 2181  282  1  9 91
