Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	26	30	25	18	21	3150	7500	5250	7350	5325	7500	5250	7875	5250
5	26	30	25	18	21	3150	7575	5250	7425	5325	7500	5325	7875	5250
10	27	31	25	18	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
15	29	31	25	18	21	3150	7575	5175	7425	5400	7500	5250	7875	5250
20	27	30	25	18	21	3150	7575	5250	7425	5400	7500	5250	7875	5175
25	27	31	25	18	21	3150	7575	5250	7425	5400	7500	5250	7950	5250
30	27	33	25	18	21	3150	7575	5175	7425	5325	7500	5250	7875	5175
35	27	31	25	18	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
40	28	31	25	18	21	3150	7575	5250	7425	5325	7500	5325	7875	5250
45	27	33	25	19	21	3150	7500	5250	7350	5325	7500	5250	7875	5250
50	27	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
55	28	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7950	5250
60	28	33	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
65	27	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7875	5250
70	28	32	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5175
75	30	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
80	27	31	25	19	21	3150	7575	5250	7425	5250	7575	5250	7950	5250
85	29	31	25	19	21	3150	7575	5250	7425	5325	7575	5250	7875	5250
90	29	31	25	19	21	3150	7500	5250	7350	5325	7500	5250	7875	5250
95	27	31	25	19	21	3150	7575	5250	7425	5325	7575	5250	7875	5250
100	29	32	25	19	21	3150	7575	5250	7425	5325	7575	5250	7875	5175
105	29	31	25	19	21	3150	7575	5175	7350	5325	7500	5250	7875	5250
110	27	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
115	29	32	25	19	21	3225	7575	5250	7425	5325	7500	5250	7875	5175
120	28	32	25	19	21	3150	7575	5250	7425	5325	7500	5175	7875	5250
125	27	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7875	5250
130	30	33	25	19	21	3150	7575	5175	7350	5325	7575	5325	7875	5250
135	27	31	25	19	21	3225	7575	5250	7350	5325	7575	5250	7875	5250
140	27	31	25	19	21	3150	7575	5250	7425	5400	7500	5250	7875	5175
145	30	34	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5175
150	27	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7875	5250
155	27	31	25	19	21	3150	7500	5250	7425	5325	7575	5250	7950	5250
160	32	32	25	19	21	3150	7575	5175	7425	5325	7500	5250	7875	5250
165	27	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7800	5175
170	28	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7875	5250
175	30	35	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
180	27	31	25	19	21	3150	7575	5250	7350	5400	7500	5250	7875	5250
185	27	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
190	31	31	25	19	21	3150	7575	5250	7350	5325	7500	5325	7800	5250
195	27	31	25	19	21	3150	7575	5250	7350	5325	7500	5250	7875	5250
200	27	31	25	19	21	3225	7575	5250	7350	5400	7500	5250	7875	5250
205	30	33	25	19	21	3150	7500	5250	7350	5325	7500	5250	7875	5175
210	27	31	25	19	21	3150	7575	5175	7425	5325	7575	5250	7875	5250
215	27	31	25	19	21	3150	7575	5250	7425	5325	7500	5250	7875	5250
220	28	34	25	19	21	3150	7500	5250	7425	5325	7575	5250	7875	5250
225	27	31	25	19	21	3150	7500	5250	7425	5325	7500	5250	7875	5175
230	27	31	25	19	21	3150	7575	5175	7350	5325	7500	5250	7875	5175
235	31	38	25	19	21	3150	7500	5250	7350	5325	7500	5250	7875	5250
240	28	38	25	19	21	3150	7575	5250	7425	5250	7500	5250	7875	5175
245	33	33	25	19	22	3150	7575	5250	7425	5325	7500	5325	7875	5250
250	32	39	25	19	22	3225	7575	5250	7350	5325	7500	5250	7875	5250
255	29	39	25	19	22	3150	7500	5250	7425	5325	7575	5250	7875	5250
260	31	39	25	19	22	3150	7575	5175	7350	5325	7575	5250	7800	5175
265	36	38	26	19	22	3150	7575	5250	7350	5400	7575	5250	7875	5250
270	34	34	26	19	22	3150	7575	5250	7350	5325	7575	5250	7875	5250
275	35	39	26	20	22	3150	7575	5250	7350	5400	7575	5250	7875	5175
280	35	40	26	20	22	3150	7575	5250	7425	5325	7575	5325	7875	5250
285	33	40	26	20	22	3150	7500	5175	7350	5325	7575	5250	7800	5250
290	37	41	26	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5175
295	38	36	26	20	22	3150	7575	5325	7425	5400	7575	5250	7875	5175
300	34	40	26	20	22	3150	7575	5175	7425	5325	7500	5250	7875	5175
305	36	41	26	20	22	3225	7575	5250	7425	5325	7500	5250	7875	5250
310	35	41	26	20	22	3225	7575	5250	7425	5400	7500	5250	7875	5250
315	37	38	26	20	23	3150	7575	5250	7425	5325	7500	5250	7950	5250
320	36	39	26	20	22	3150	7575	5250	7425	5325	7500	5250	7800	5175
325	37	37	26	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
330	36	41	27	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5175
335	36	37	27	20	22	3150	7575	5250	7350	5400	7575	5250	7875	5250
340	36	36	27	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
345	36	41	27	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
350	36	36	27	20	22	3150	7500	5250	7350	5325	7500	5250	7875	5250
355	35	37	27	20	22	3225	7575	5250	7425	5325	7500	5325	7875	5175
360	36	39	27	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
365	32	41	27	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5175
370	37	36	27	20	22	3225	7575	5250	7425	5325	7575	5325	7875	5250
375	37	38	27	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
380	37	35	27	20	22	3150	7500	5250	7350	5325	7500	5250	7875	5250
385	37	39	27	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5175
390	36	40	27	20	22	3150	7575	5250	7425	5325	7425	5250	7875	5175
395	33	40	28	20	22	3150	7575	5250	7425	5250	7500	5250	7875	5250
400	34	41	28	20	23	3150	7575	5250	7350	5325	7500	5325	7875	5250
405	34	41	28	20	23	3225	7575	5250	7425	5325	7500	5250	7875	5250
410	32	41	28	20	23	3150	7575	5250	7425	5250	7500	5250	7875	5250
415	37	39	28	20	23	3150	7575	5175	7425	5325	7500	5250	7875	5250
420	32	41	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
425	37	37	28	20	23	3225	7575	5250	7425	5250	7500	5250	7875	5250
430	38	42	28	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5175
435	35	41	28	20	23	3225	7575	5250	7425	5325	7500	5250	7875	5250
440	37	38	28	20	23	3150	7575	5250	7425	5250	7500	5250	7875	5175
445	37	41	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
450	34	41	28	20	23	3150	7575	5250	7425	5325	7500	5175	7875	5175
455	36	40	28	20	23	3225	7575	5250	7425	5250	7575	5250	7875	5175
460	36	41	28	20	23	3150	7575	5250	7425	5250	7500	5175	7800	5250
465	38	37	28	20	23	3150	7575	5175	7425	5325	7500	5250	7875	5250
470	39	41	28	20	23	3150	7575	5175	7425	5250	7575	5250	7875	5250
475	37	37	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
480	35	41	28	20	22	3225	7575	5250	7425	5325	7575	5250	7875	5250
485	38	39	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
490	35	41	28	20	22	3225	7575	5325	7425	5250	7500	5250	7875	5250
495	35	41	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
500	36	41	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
505	37	37	28	20	23	3150	7575	5250	7350	5250	7500	5250	7875	5175
510	39	41	28	20	23	3150	7575	5250	7425	5325	7500	5325	7875	5250
515	36	40	28	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5175
520	37	37	28	20	22	3150	7575	5175	7425	5325	7500	5250	7875	5250
525	38	39	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
530	38	37	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5175
535	36	40	28	20	22	3225	7575	5325	7425	5400	7575	5250	7875	5250
540	37	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
545	35	41	28	20	22	3150	7575	5250	7350	5400	7500	5250	7875	5175
550	38	40	28	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
555	39	37	28	20	22	3150	7575	5325	7425	5325	7500	5250	7875	5250
560	31	40	29	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
565	35	42	29	20	23	3150	7575	5250	7425	5325	7500	5325	7875	5250
570	35	36	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
575	36	35	29	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
580	36	38	29	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
585	36	35	29	20	22	3150	7575	5175	7350	5325	7500	5250	7875	5250
590	32	40	29	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5175
595	36	39	29	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5250
600	36	35	29	20	22	3150	7575	5175	7350	5325	7500	5175	7875	5250
605	37	35	29	20	22	3150	7500	5250	7425	5400	7500	5250	7875	5250
610	38	38	29	20	22	3150	7575	5175	7425	5325	7500	5250	7875	5175
615	37	35	29	20	22	3150	7575	5250	7350	5400	7500	5250	7875	5250
620	34	39	29	20	22	3150	7650	5250	7425	5325	7500	5250	7875	5250
625	37	37	29	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
630	37	34	29	20	22	3150	7575	5250	7425	5400	7575	5250	7800	5250
635	37	36	29	20	22	3150	7500	5250	7350	5325	7500	5250	7875	5250
640	38	36	28	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5250
645	33	39	29	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5250
650	35	40	28	20	22	3150	7500	5250	7350	5325	7500	5250	7800	5250
655	32	41	28	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
660	32	40	28	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
665	38	40	28	20	23	3150	7575	5250	7350	5400	7575	5250	7800	5175
670	37	35	28	20	23	3150	7500	5250	7425	5325	7575	5250	7875	5250
675	36	36	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5175
680	37	38	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
685	33	40	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
690	33	39	28	20	22	3225	7575	5250	7425	5325	7575	5250	7875	5250
695	38	39	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5175
700	36	35	28	20	22	3150	7575	5250	7425	5325	7500	5250	7950	5250
705	34	39	28	20	22	3150	7575	5250	7425	5400	7575	5250	7875	5250
710	34	39	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
715	36	35	28	20	22	3150	7575	5250	7350	5400	7500	5250	7875	5250
720	36	37	28	20	22	3150	7575	5250	7425	5400	7575	5250	7875	5250
725	37	36	28	20	22	3150	7575	5175	7350	5400	7500	5250	7875	5250
730	36	35	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5175
735	39	38	28	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
740	37	33	28	20	22	3150	7575	5250	7425	5400	7500	5250	7800	5250
745	37	33	28	20	22	3225	7650	5250	7425	5325	7575	5250	7875	5250
750	38	36	28	21	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
755	33	38	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
760	33	38	28	20	22	3150	7575	5250	7350	5325	7500	5250	7800	5250
765	37	38	28	20	22	3225	7575	5250	7350	5325	7500	5175	7875	5250
770	33	39	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
775	32	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7800	5250
780	38	38	28	20	22	3150	7575	5250	7425	5250	7575	5250	7800	5250
785	37	35	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5175
790	36	36	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5175
795	37	37	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
800	37	34	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
805	34	38	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
810	35	39	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
815	32	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
820	35	38	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
825	36	36	28	20	22	3150	7575	5250	7425	5250	7500	5250	7875	5250
830	36	35	28	20	22	3150	7575	5250	7425	5250	7575	5250	7800	5250
835	38	38	28	20	22	3150	7500	5250	7350	5325	7500	5250	7875	5250
840	37	34	28	20	22	3150	7575	5250	7350	5250	7500	5250	7875	5250
845	32	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
850	37	38	28	20	22	3150	7575	5250	7425	5325	7500	5250	7800	5250
855	37	34	28	20	22	3150	7575	5250	7350	5250	7575	5250	7875	5250
860	34	38	28	20	22	3150	7575	5325	7425	5325	7500	5250	7875	5250
865	35	39	28	20	22	3150	7500	5250	7350	5325	7500	5250	7875	5250
870	37	35	28	20	22	3150	7500	5250	7350	5325	7575	5250	7875	5250
875	37	35	28	20	22	3150	7575	5325	7425	5250	7575	5250	7875	5175
880	36	39	28	20	22	3150	7575	5250	7350	5250	7575	5250	7875	5250
885	37	34	28	20	22	3150	7575	5250	7425	5250	7500	5250	7875	5250
890	34	38	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
895	37	38	28	20	22	3150	7575	5250	7425	5250	7500	5250	7875	5250
900	33	39	28	20	22	3150	7575	5250	7350	5250	7500	5250	7875	5250
905	35	39	28	20	22	3150	7575	5325	7425	5325	7500	5250	7950	5250
910	35	38	28	20	22	3225	7575	5175	7425	5250	7500	5250	7875	5175
915	37	34	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
920	39	39	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
925	36	39	28	20	22	3150	7575	5250	7350	5325	7575	5175	7875	5175
930	36	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
935	38	39	28	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
940	38	36	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
945	38	37	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
950	37	40	28	20	22	3150	7500	5250	7425	5325	7575	5250	7800	5250
955	35	40	28	20	22	3150	7575	5250	7425	5250	7500	5250	7875	5250
960	38	40	28	20	22	3150	7575	5250	7425	5325	7575	5250	7800	5250
965	37	37	28	20	22	3150	7575	5250	7350	5325	7575	5250	7875	5250
970	35	41	28	20	22	3225	7575	5250	7350	5325	7575	5250	7875	5250
975	37	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5175
980	31	36	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
985	30	35	28	19	22	3225	7575	5250	7425	5250	7500	5175	7875	5250
990	34	40	28	19	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
995	30	41	28	19	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
1000	31	40	28	19	22	3225	7575	5250	7425	5325	7575	5250	7950	5325
1005	36	39	28	19	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
1010	31	40	28	19	22	3150	7575	5250	7425	5400	7575	5250	7875	5250
1015	35	38	28	19	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1020	36	39	28	19	23	3150	7500	5250	7425	5325	7500	5250	7875	5175
1025	31	41	28	20	23	3225	7575	5250	7350	5325	7500	5250	7875	5175
1030	38	41	28	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1035	37	38	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1040	34	41	28	20	23	3150	7575	5250	7350	5325	7575	5250	7950	5250
1045	36	42	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1050	37	37	28	20	23	3150	7500	5250	7425	5325	7575	5250	7875	5250
1055	37	38	28	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1060	37	39	28	20	22	3150	7575	5250	7425	5325	7500	5250	7950	5250
1065	34	41	28	20	22	3150	7575	5250	7350	5325	7575	5250	7875	5250
1070	36	42	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1075	34	41	28	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1080	35	41	28	20	23	3150	7650	5250	7350	5325	7500	5250	7875	5250
1085	35	39	28	20	23	3150	7575	5250	7425	5325	7575	5250	7950	5250
1090	36	36	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1095	33	40	28	20	23	3150	7575	5250	7350	5400	7500	5250	7875	5250
1100	37	41	28	20	23	3150	7575	5250	7425	5325	7500	5325	7875	5250
1105	36	36	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1110	37	37	28	20	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
1115	35	40	28	20	22	3150	7575	5250	7350	5325	7500	5250	7875	5250
1120	37	36	28	20	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1125	35	39	28	20	22	3150	7575	5250	7425	5400	7500	5250	7875	5250
1130	35	40	28	20	22	3150	7575	5250	7425	5325	7500	5250	7875	5250
1135	36	36	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1140	36	41	28	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1145	34	39	28	20	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1150	32	41	28	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1155	36	40	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1160	37	36	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1165	37	36	28	20	23	3225	7575	5250	7350	5325	7500	5250	7875	5250
1170	35	41	28	20	23	3150	7650	5250	7425	5325	7500	5250	7875	5250
1175	37	36	28	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1180	38	36	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1185	36	41	28	20	23	3150	7575	5250	7350	5400	7575	5250	7875	5250
1190	33	41	28	20	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1195	36	39	28	20	23	3150	7575	5250	7425	5325	7575	5250	7950	5250
1200	37	41	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1205	35	41	28	20	23	3150	7575	5250	7350	5400	7575	5250	7950	5250
1210	37	42	28	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1215	35	42	28	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1220	38	38	28	20	23	3225	7500	5250	7350	5325	7500	5250	7875	5175
1225	38	42	28	20	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1230	37	37	28	20	23	3225	7575	5250	7425	5400	7575	5250	7875	5250
1235	38	39	29	20	23	3150	7575	5250	7350	5400	7575	5250	7875	5250
1240	38	39	29	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1245	35	41	29	20	23	3150	7575	5250	7425	5400	7575	5325	7875	5250
1250	38	41	29	20	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1255	36	42	29	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1260	35	41	29	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1265	37	42	29	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1270	38	37	29	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1275	37	41	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1280	36	41	29	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1285	38	37	29	20	23	3150	7575	5250	7425	5400	7575	5250	7950	5250
1290	38	39	29	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1295	39	37	29	20	23	3225	7575	5250	7350	5325	7500	5250	7875	5250
1300	38	37	29	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1305	39	39	29	20	23	3150	7575	5250	7425	5400	7500	5250	7950	5250
1310	36	35	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1315	33	41	29	20	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1320	35	39	29	20	23	3225	7575	5250	7425	5400	7575	5250	7875	5250
1325	36	36	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1330	38	39	29	21	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1335	38	34	29	21	23	3150	7575	5250	7425	5400	7500	5250	7875	5250
1340	37	35	29	21	23	3225	7575	5250	7425	5400	7500	5250	7875	5250
1345	39	38	29	21	22	3150	7575	5250	7425	5400	7500	5250	7875	5250
1350	38	34	29	21	22	3150	7575	5250	7425	5325	7575	5250	7875	5250
1355	34	39	29	21	22	3225	7500	5250	7425	5325	7575	5250	7875	5250
1360	36	40	29	21	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1365	34	38	29	21	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1370	38	35	29	21	23	3150	7575	5250	7350	5400	7500	5250	7875	5250
1375	37	39	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1380	32	40	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1385	32	41	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1390	38	39	29	21	23	3225	7575	5250	7425	5325	7500	5325	7950	5250
1395	37	35	29	21	23	3225	7575	5250	7425	5325	7575	5175	7950	5250
1400	37	37	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5175
1405	37	38	29	21	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
1410	36	36	29	21	23	3150	7575	5250	7425	5325	7500	5250	7875	5250
1415	37	37	29	21	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1420	37	37	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1425	38	35	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1430	38	41	29	21	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1435	33	40	29	21	23	3225	7575	5250	7425	5325	7500	5250	7875	5175
1440	33	41	29	21	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1445	36	40	29	20	23	3150	7575	5175	7425	5325	7500	5250	7875	5250
1450	32	41	29	20	23	3150	7575	5250	7350	5325	7575	5250	7875	5250
1455	32	41	29	20	23	3150	7575	5250	7350	5400	7575	5250	7875	5250
1460	35	40	29	20	23	3150	7575	5250	7425	5325	7575	5175	7875	5250
1465	36	36	29	20	23	3150	7575	5250	7350	5325	7500	5250	7875	5250
1470	32	40	29	21	23	3150	7575	5250	7350	5400	7575	5250	7875	5250
1475	36	41	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1480	32	41	29	20	23	3150	7575	5250	7425	5325	7575	5250	7875	5250
1485	32	41	29	20	23	3150	7575	5250	7425	5400	7575	5250	7875	5250
