time,cpu,FSB,L2miss
2,0,19619418,
4,1,,76906
6,1,2491302,
8,0,,291730
10,0,11199320,
12,0,,96420
14,0,1978274,
16,0,,826756
18,0,1362162,
18,1,1360450,
20,1,,7277
22,0,20921794,
24,0,,61761
26,0,2343030,
28,0,,318196
28,1,,309008
30,0,12025476,
32,0,,108583
34,1,3049308,
36,1,,694234
38,1,1365816,
40,1,,50000
42,1,20216586,
44,0,,23130
46,1,1658274,
48,0,,287517
50,1,12083894,
52,0,,66448
54,0,2952448,
54,1,2980836,
56,0,,716110
58,0,1417218,
60,0,,7359
62,0,21223128,
64,0,,42358
66,0,2374038,
68,0,,325975
70,0,11414904,
72,0,,50068
72,1,,63268
74,0,1757512,
76,1,,711021
78,0,1412388,
80,1,,12089
82,0,20641454,
84,0,,33504
86,0,2535046,
86,1,2532870,
88,1,,259148
90,0,12124302,
92,0,,115076
94,0,2809234,
96,0,,707060
98,0,1331006,
98,1,1329702,
100,0,,47530
102,0,20144244,
104,0,,22450
106,0,1483238,
108,0,,279851
110,0,12397214,
112,0,,79145
114,0,2813784,
114,1,2791844,
116,0,,747524
118,1,1366594,
120,1,,8326
122,0,21681760,
124,0,,38664
126,0,2510572,
128,0,,404903
130,0,11669402,
132,1,,65301
134,0,1452932,
136,1,,759205
138,0,1400212,
138,1,1398580,
140,1,,61673
142,0,20535168,
142,1,20581420,
144,0,,68279
146,1,2311222,
148,0,,280304
150,1,12651576,
152,1,,109336
154,0,2694980,
156,0,,754780
158,0,1406392,
160,1,,51457
162,0,18090916,
162,1,18114388,
164,0,,123499
166,0,1811898,
168,1,,420100
170,0,12731998,
172,0,,87250
174,0,2518034,
174,1,2498508,
176,0,,668357
178,0,1375270,
178,1,1374886,
180,1,,6543
182,1,16143214,
184,1,,241728
186,0,2403074,
188,0,,284861
190,0,11871292,
192,0,,94406
194,0,1205222,
196,0,,694282
198,0,1400967,
200,0,,60937
202,0,13670864,
202,1,13686124,
204,0,,404876
206,0,2422162,
208,0,,281598
208,1,,341736
210,0,12740880,
212,0,,109004
214,0,2299864,
214,1,2287040,
216,0,,710633
218,0,1455410,
218,1,1460452,
220,1,,42735
222,1,11457244,
224,0,,491695
226,0,1686182,
228,0,,392603
228,1,,220227
230,0,13415892,
232,0,,86027
234,1,2279422,
236,0,,860047
238,0,1348762,
240,0,,34664
242,0,11037550,
242,1,11033476,
244,1,,579947
246,1,2406888,
248,1,,331789
250,1,13724364,
252,1,,51031
254,0,973138,
254,1,977905,
256,1,,800005
258,1,1409334,
260,0,,28218
262,1,10621052,
264,0,,475884
266,1,2379340,
268,0,,181073
268,1,,184269
270,1,16137980,
272,0,,29287
274,1,2203570,
276,0,,894790
278,0,1378774,
278,1,1376742,
280,0,,6726
282,0,10215786,
284,0,,391173
286,1,1708404,
288,0,,91397
290,0,17732098,
292,0,,85445
294,1,1377198,
296,1,,633810
298,0,1530568,
298,1,1528264,
300,0,,73896
302,0,32938974,
304,0,,840279
304,1,,1726911
306,0,58318324,
306,1,58315604,
308,1,,7413952
310,1,157110256,
312,1,,3571722
314,1,44169818,
316,0,,1002723
318,1,45030264,
320,0,,3640308
320,1,,80902
322,0,55006814,
324,1,,2287076
326,0,44628524,
326,1,44627700,
328,1,,2905605
330,1,64470128,
332,0,,136352
332,1,,3506477
334,0,44017326,
336,0,,599339
338,0,53903686,
340,1,,3614078
342,0,56223200,
342,1,56102496,
344,0,,2680747
346,0,44567220,
346,1,44558972,
348,0,,3388971
350,0,65549996,
350,1,65543656,
352,0,,2955306
352,1,,168227
354,0,49976208,
356,1,,4308292
358,0,248627274,
358,1,248604600,
360,1,,114455
362,0,238161562,
362,1,238149760,
364,0,,11954294
364,1,,9335870
366,0,239731724,
366,1,239557496,
368,1,,20131294
370,0,244948600,
372,1,,18826079
374,0,236179390,
374,1,236205282,
376,1,,19221871
378,0,243003836,
378,1,243030928,
380,1,,20107897
382,0,241413182,
382,1,241443948,
384,0,,1111314
384,1,,19994560
386,0,238904128,
386,1,238849110,
388,0,,20201944
388,1,,88962
390,0,237648260,
390,1,237891076,
392,0,,7083948
394,0,235014013,
394,1,235041266,
396,0,,233885
396,1,,19974909
398,0,251236914,
398,1,251301884,
400,1,,20147948
402,1,237052172,
404,1,,18830336
406,0,249535682,
406,1,249569188,
408,1,,20194178
410,0,245224854,
410,1,245093190,
412,0,,3488579
414,1,237093570,
416,0,,169692
416,1,,19991943
418,0,248194065,
418,1,247989241,
420,0,,19044668
420,1,,1377780
422,0,237549908,
422,1,237545120,
424,0,,19906306
426,0,249388159,
426,1,249390274,
428,0,,20378770
428,1,,130801
430,0,234244870,
430,1,234245726,
432,0,,16026053
434,0,238382676,
434,1,238394772,
436,0,,80619
436,1,,6299883
438,1,98866998,
440,0,,2863055
442,0,91181232,
444,0,,4616348
444,1,,814407
446,0,114228272,
446,1,114200438,
448,0,,5229530
450,0,93546030,
450,1,93542274,
452,0,,3843152
452,1,,2551679
454,0,100470424,
454,1,100530464,
456,1,,5597061
458,1,105867210,
460,0,,4237634
462,0,92084005,
462,1,92076654,
464,0,,5421919
464,1,,56334
466,1,111028975,
468,0,,5063092
468,1,,159008
470,0,89605572,
472,0,,5397529
474,1,99946832,
476,0,,3946866
478,1,98048694,
480,0,,1909925
480,1,,4684695
482,0,89303702,
482,1,89291570,
484,0,,95975
484,1,,5191285
486,0,94377716,
486,1,94355444,
488,0,,1977572
488,1,,1138041
490,0,70966266,
490,1,70964462,
492,1,,1025202
494,0,83484995,
494,1,83471719,
496,0,,3878587
496,1,,71027
498,0,68516300,
500,1,,975343
502,0,70931500,
502,1,70913736,
504,0,,2743692
506,1,83669243,
508,0,,2663177
508,1,,616846
510,0,69483000,
510,1,69482216,
512,0,,3670884
512,1,,523302
514,0,78827582,
514,1,78827653,
516,1,,2678332
518,0,68992890,
518,1,68875243,
520,0,,1385383
520,1,,3428137
522,1,69240516,
524,1,,3273793
526,0,72580992,
526,1,72562978,
528,1,,2662262
530,1,64983556,
532,1,,4136140
534,0,84723600,
536,0,,80897
536,1,,3910700
538,0,147907180,
540,0,,1769995
540,1,,6854860
542,0,99180832,
544,0,,98444
544,1,,6877394
546,1,85184321,
548,0,,1178634
550,0,84039257,
550,1,84029410,
552,0,,9178622
552,1,,104411
554,0,111347668,
554,1,111234184,
556,0,,67850
556,1,,8596442
558,1,74035900,
560,0,,4507605
560,1,,6017752
562,0,105202315,
564,0,,9593709
566,0,88740269,
568,0,,4884442
570,1,81314620,
572,0,,7001851
572,1,,1174570
574,0,253506694,
574,1,253477730,
576,0,,214984
576,1,,19879492
578,0,244651870,
578,1,244465190,
580,0,,425102
580,1,,19479979
582,0,250679842,
584,0,,15454103
584,1,,4188330
586,0,241359996,
588,1,,9236009
590,0,253278334,
592,1,,19610392
594,0,251889614,
596,0,,1860795
596,1,,18718902
598,0,246377499,
598,1,246367832,
600,0,,89134
600,1,,19743490
602,0,255200394,
602,1,255290980,
604,0,,19881651
604,1,,148146
606,0,246992358,
606,1,247129438,
608,0,,11656903
610,0,246780341,
612,1,,19739308
614,0,248980154,
614,1,249255473,
616,1,,8101761
618,0,250136418,
618,1,250106810,
620,0,,20180262
620,1,,127625
622,0,258495496,
622,1,258728356,
624,0,,15348835
624,1,,4453113
626,0,246687446,
628,0,,16935670
628,1,,3025538
