time,cpu,FSB,L2miss
2,1,24552226,
4,1,,71506
6,1,2514800,
8,0,,393633
10,0,11868256,
12,0,,104430
14,0,3059532,
16,0,,684649
18,0,1369710,
18,1,1372866,
20,1,,55704
22,0,19756250,
24,0,,5549
26,0,1767842,
26,1,1770012,
28,0,,317487
30,0,11996988,
32,0,,74753
34,0,3067058,
36,0,,700282
38,1,1450582,
38,0,1452219,
40,0,,70849
42,0,21014944,
44,0,,8851
44,1,,80293
46,1,2446936,
48,0,,297286
50,0,11406314,
52,0,,57089
54,1,1812780,
54,0,1839816,
56,1,,853175
58,0,1398136,
58,1,1400226,
60,0,,57978
62,1,21238688,
64,1,,57607
66,0,2377956,
68,0,,312296
70,1,12068048,
72,0,,29758
72,1,,109231
74,0,2978118,
76,0,,706186
78,0,1467804,
80,0,,52477
82,0,19680730,
82,1,19709626,
84,0,,10679
84,1,,28738
86,1,2011520,
88,0,,323327
88,1,,308336
90,0,12102460,
92,0,,84553
94,0,3059442,
96,0,,746826
98,0,1357786,
100,0,,61370
102,0,21323154,
102,1,21340990,
104,1,,11796
106,0,2410838,
108,0,,317337
110,1,11329992,
112,0,,36622
114,0,1685252,
114,1,1715196,
116,0,,867725
118,0,1396438,
120,1,,57146
122,1,21115196,
124,1,,69926
126,0,2445074,
128,0,,398958
130,0,12357402,
132,0,,107479
134,0,2858782,
136,1,,969516
138,1,1405448,
138,0,1409784,
140,1,,6361
142,0,19778862,
142,1,19789634,
144,0,,14792
146,0,2060490,
148,0,,348004
150,1,12256590,
152,1,,84912
154,1,2824900,
156,1,,882587
158,1,1435702,
158,0,1441206,
160,0,,69156
162,0,21138058,
162,1,21152542,
164,1,,9218
164,0,,85195
166,0,2428876,
168,0,,327387
168,1,,336260
170,0,11689472,
172,0,,36562
174,0,1567116,
176,1,,789360
178,0,1355014,
180,0,,3919
180,1,,57191
182,0,21103784,
182,1,21112294,
184,1,,11343
184,0,,65388
186,1,2481702,
186,0,2480094,
188,1,,321065
190,0,12474710,
192,0,,104668
194,0,2639718,
196,0,,787152
196,1,,767400
198,1,1469308,
200,1,,6571
200,0,,51781
202,0,18846698,
202,1,18890436,
204,0,,56405
206,1,2127048,
208,0,,239667
210,1,12534596,
212,0,,32885
212,1,,86741
214,0,2559314,
216,1,,761618
218,1,1403412,
218,0,1404852,
220,0,,11048
220,1,,73446
222,0,16737978,
222,1,16752242,
224,1,,253373
226,1,2414516,
228,1,,334978
228,0,,345987
230,0,11869532,
232,0,,58372
234,0,1249936,
234,1,1281672,
236,0,,862000
238,0,1475018,
240,1,,30668
242,0,13850134,
242,1,13864714,
244,0,,342524
246,0,2398748,
248,1,,340238
248,0,,290927
250,0,12743096,
252,0,,110327
254,1,2285728,
254,0,2315152,
256,1,,950512
258,0,1398612,
260,1,,52408
262,1,11439872,
264,0,,360392
266,0,2113410,
268,0,,266606
268,1,,356974
270,1,12930348,
272,1,,84634
274,1,2255712,
276,0,,745721
278,0,1463230,
280,0,,65132
282,0,10601906,
284,1,,521618
286,1,2082166,
288,0,,261707
288,1,,179017
290,1,14737278,
292,1,,34086
294,1,875314,
296,1,,824490
298,1,1417416,
298,0,1419708,
300,1,,4223
300,0,,65539
302,1,33160486,
304,0,,600700
304,1,,1928768
306,1,4618104,
308,0,,1445397
310,1,91167598,
312,0,,3342827
314,0,127884598,
316,0,,2598343
318,1,158440104,
318,0,158452660,
320,0,,2140733
322,0,88009670,
324,0,,2240952
326,0,137805263,
328,0,,2419483
330,0,160563570,
332,0,,2697652
334,1,265338552,
336,0,,2794029
338,0,174784244,
340,1,,2569696
342,0,192296256,
344,0,,3320582
346,1,250916946,
348,0,,3394648
350,1,157918462,
350,0,157903204,
352,0,,2956748
354,1,215993810,
356,0,,4832120
358,0,211600498,
360,0,,6089270
362,1,217006716,
364,1,,4542532
364,0,,5950548
366,0,176471014,
368,0,,3375006
370,0,198983434,
372,0,,6809641
372,1,,4332134
374,0,216810338,
374,1,216625840,
