 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8551584 5400452 6 222 0  0  0  0  0  0  0  0  0  373  169   96  1  0 98
 0 0 0 7683512 4519944 135 4004 0 0 0 0  0  0  0  0  0  451 2610  249  1  9 91
 0 0 0 7683128 4519740 129 3629 0 0 0 0  0  2  0  0  0  409 2176  282  1  9 91
 0 0 0 7683368 4519828 123 3629 0 0 0 0  0  0  0  0  0  380 2200  243  1  9 91
 0 0 0 7683568 4519840 12 99 0  0  0  0  0  0  0  0  0  366  764   99  0  0 100
 0 0 0 7683332 4519764 111 3529 0 0 0 0  0  0  0  0  0  374 2142  242  1  9 91
 0 0 0 7683124 4519708 123 3642 0 0 0 0  0  0  0  0  0  387 2216  247  1  9 91
 0 0 0 7683096 4519756 123 3456 0 0 0 0  0  0  0  0  0  389 2143  242  1  9 91
 0 0 0 7683544 4519844 9 180 0  0  0  0  0  2  0  0  0  395  748  143  0  0 100
 0 0 0 7683548 4519864 123 3651 0 0 0 0  0  0  0  0  0  383 2160  243  1  9 91
 0 0 0 7683100 4519688 123 3643 0 0 0 0  0  0  0  0  0  374 2171  247  1  9 91
 0 0 0 7683096 4519688 105 3128 0 0 0 0  0  0  0  0  0  379 1969  223  1  8 91
 0 0 0 7683544 4519848 18 498 0 0  0  0  0  0  0  0  0  370  867  111  0  0 99
 0 0 0 7683408 4519896 128 3638 0 0 0 0  0  0  0  0  0  391 2173  248  1  9 91
 0 0 0 7683100 4519732 128 3622 0 0 0 0  0  4  0  0  0  431 2159  313  1  9 91
 0 0 0 7683092 4519688 96 2767 0 0 0  0  0  0  0  0  0  385 1856  205  1  8 91
 0 0 0 7683520 4519812 27 861 0 0  0  0  0  0  0  0  0  380 1014  137  0  1 99
 0 0 0 7683532 4519908 123 3638 0 0 0 0  0  0  0  0  0  387 2168  244  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7683280 4519732 123 3629 0 0 0 0  0  0  0  0  0  384 2263  290  1  9 91
 0 0 0 7683048 4519716 93 2389 0 0 0  0  0  0  0  0  0  389 1737  195  0  8 92
 0 0 0 7683496 4519788 39 1257 0 0 0  0  0  2  0  0  0  402 1135  192  0  1 99
 0 0 0 7683304 4519796 123 3638 0 0 0 0  0  0  0  0  0  371 2193  237  1  9 91
 0 0 0 7683256 4519700 123 3635 0 0 0 0  0  0  0  0  0  371 2203  243  1  9 91
 0 0 0 7683052 4519648 72 1895 0 0 0  0  0  0  0  0  0  358 1562  166  0  8 92
 0 0 0 7683496 4519804 51 1751 0 0 0  0  0  0  0  0  0  373 1336  168  0  1 99
 0 0 0 7683264 4519796 127 3639 0 0 0 0  0  0  0  0  0  389 2204  248  1  9 91
 0 0 0 7683256 4519748 130 3712 0 0 0 0  0  2  0  0  0  408 2212  281  1  9 91
 0 0 0 7683052 4519648 69 1752 0 0 0  0  0  0  0  0  0  378 1542  160  0  7 92
 0 0 0 7683496 4519788 54 1895 0 0 0  0  0  0  0  0  0  387 1395  170  0  1 98
 0 0 0 7683264 4519756 123 3646 0 0 0 0  0  0  0  0  0  379 2186  242  1  9 91
 0 0 0 7683232 4519696 123 3647 0 0 0 0  0  0  0  0  0  383 2212  246  1  9 91
 0 0 0 7683028 4519692 75 1664 0 0 0  0  0  0  0  0  0  379 1523  160  0  7 92
 0 0 0 7683472 4519764 57 1988 0 0 0  0  0  2  0  0  0  393 1404  215  0  1 98
 0 0 0 7683272 4519744 123 3642 0 0 0 0  0  0  0  0  0  363 2185  237  1  9 91
 0 0 0 7683232 4519676 123 3649 0 0 0 0  0  0  0  0  0  362 2161  242  1  9 91
 0 0 0 7683028 4519624 60 1459 0 0 0  0  0  0  0  0  0  370 1387  147  0  7 92
 0 0 0 7683472 4519780 63 2186 0 0 0  0  0  0  0  0  0  380 1438  184  0  1 98
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7683268 4519788 127 3643 0 0 0 0  0  0  0  0  0  391 2158  249  1  9 91
 0 0 0 7683232 4519724 129 3649 0 0 0 0  0  3  0  0  0  425 2162  304  1  9 91
 0 0 0 7683028 4519620 57 1355 0 0 0  0  0  0  0  0  0  378 1347  133  0  7 93
 0 0 0 7683472 4519764 66 2288 0 0 0  0  0  0  0  0  0  367 1504  194  0  2 98
 0 0 0 7683240 4519732 123 3654 0 0 0 0  0  0  0  0  0  378 2167  243  1  9 91
 0 0 0 7683208 4519672 123 3650 0 0 0 0  0  0  0  0  0  387 2268  290  1  9 91
 0 0 0 7683004 4519656 66 1355 0 0 0  0  0  0  0  0  0  372 1336  144  0  7 93
 0 0 0 7683448 4519740 66 2291 0 0 0  0  0  2  0  0  0  397 1512  239  0  2 98
 0 0 0 7683000 4519596 122 3646 0 0 0 0  0  0  0  0  0  394 2201  243  1  9 91
 0 0 0 7683380 4519764 123 3644 0 0 0 0  0  0  0  0  0  391 2212  250  1  9 91
 0 0 0 7683000 4519596 57 1354 0 0 0  0  0  0  0  0  0  383 1352  144  0  7 93
 0 0 0 7683428 4519736 66 2291 0 0 0  0  0  0  0  0  0  376 1548  194  0  2 97
 0 0 0 7682980 4519620 127 3650 0 0 0 0  0  0  0  0  0  386 2214  251  1  9 91
 0 0 0 7683392 4519772 129 3649 0 0 0 0  0  2  0  0  0  409 2191  286  1  9 91
 0 0 0 7682964 4519560 57 1351 0 0 0  0  0  0  0  0  0  374 1388  148  0  6 93
 0 0 0 7683408 4519700 66 2298 0 0 0  0  0  0  0  0  0  375 1578  193  0  2 97
 0 0 0 7682940 4519544 123 3652 0 0 0 0  0  0  0  0  0  375 2191  240  1  9 91
 0 0 0 7683396 4519788 124 3644 0 0 0 0  0  0  0  0  0  380 2238  244  1  9 91
 0 0 0 7683124 4519644 66 1356 0 0 0  0  0  0  0  0  0  374 1357  147  0  6 94
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7683364 4519656 66 2299 0 0 0  0  0  2  0  0  0  403 1554  228  0  3 97
 0 0 0 7682920 4519516 123 3642 0 0 0 0  0  0  0  0  0  386 2233  245  1  9 91
 0 0 0 7683092 4519620 123 3651 0 0 0 0  0  0  0  0  0  376 2251  245  1  9 91
 0 0 0 7683124 4519568 57 1353 0 0 0  0  0  0  0  0  0  367 1299  142  0  6 94
 0 0 0 7683364 4519672 69 2385 0 0 0  0  0  0  0  0  0  379 1553  192  0  3 97
 0 0 0 7654592 4490752 292 6128 0 0 0 0  0  0  0  0  0  414 7093  263 18 11 71
 5 0 0 7348612 4339388 1425 26921 0 0 0 0 0 5  0  0  0 2277 17014 536 66 19 14
 5 0 0 6965740 4062000 529 55237 0 0 0 0 0  4  0  0  0  623 13191 325 70 30  0
 5 0 0 6920940 3881500 327 29949 0 0 0 0 0  3  0  0  0  707 7862  216 81 19  0
 4 0 0 7284204 4212912 679 42805 0 0 0 0 0  4  0  0  0  715 11721 318 79 21  0
 5 0 0 7162364 4170900 421 36066 0 0 0 0 0  4  0  0  0  719 8685  263 80 20  0
 6 0 0 7472316 4302960 960 17592 0 0 0 0 0  5  0  0  0  981 12259 379 82 18  0
 6 0 0 6971260 4094496 776 53035 0 0 0 0 0 23  0  0  0 1435 12673 430 72 28  0
 5 0 0 7020560 3925656 598 31695 0 0 0 0 0  7  0  0  0 1481 19862 381 81 19  0
 5 0 0 7511148 4338724 610 17318 0 0 0 0 0 12  0  0  0 1596 19442 448 81 19  0
 3 0 0 7496156 4323644 245 14532 0 0 0 0 0  4  0  0  0  839 14600 196 85 15  0
 0 0 0 7543004 4365540 284 10485 0 0 0 0 0 37  0  0  0 2660 12981 198 60  9 31
 0 0 0 7619120 4427708 678 10251 0 0 0 0 0 18  0  0  0  893 7206  319 21 13 66
 0 0 0 7530212 4327456 654 10055 0 0 0 0 0 20  0  0  0  754 18460 347 21 14 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7440448 4248624 74 1139 0 0 0  0  0  0  0  0  0  378 25423  78 22  4 73
 0 0 0 7420436 4232896 176 4290 0 0 0 0  0  0  0  0  0  408 4489  243 25  8 66
 0 0 0 7404112 4235612 136 3773 0 0 0 0  0  0  0  0  0  396 4438  240 25 10 65
 0 0 0 7389624 4236972 135 4061 0 0 0 0  0  0  0  0  0  401 4019  246 25 10 65
 0 0 0 7372456 4224688 10 682 0 0  0  0  0  0  0  0  0  353 3025   89 25  1 75
 0 0 0 7353336 4207324 133 3676 0 0 0 0  0  3  0  0  0  486 4843  296 25 10 65
