time,cpu,FSB,L2miss
2,1,18856946,
4,0,,7850
6,0,1991894,
8,0,,314320
8,1,,327675
10,0,11901898,
12,0,,41202
14,0,2693830,
14,1,2808920,
16,1,,797238
16,0,,634895
18,1,179306,
18,0,163722,
20,1,,39004
22,1,20533718,
22,0,21184396,
24,1,,11809
24,0,,51227
26,1,1619956,
26,0,1823518,
28,1,,259913
28,0,,356872
30,1,12116650,
30,0,12166952,
32,1,,23585
32,0,,72219
34,1,2872292,
34,0,2961992,
36,1,,685150
36,0,,846273
38,1,1326288,
38,0,1388480,
40,1,,5355
40,0,,96471
42,1,21452778,
42,0,21513602,
44,1,,5341
44,0,,24883
46,1,795806,
46,0,855078,
48,1,,287886
50,1,11370889,
50,0,11839508,
52,1,,26131
52,0,,67793
54,1,2859012,
54,0,2796334,
56,0,,820273
58,1,1358554,
58,0,1356910,
60,1,,22749
60,0,,56954
62,1,20842368,
62,0,20908518,
64,1,,7861
64,0,,70803
66,1,1939628,
66,0,2019384,
68,0,,312876
68,1,,299437
70,0,12249256,
72,0,,47498
74,1,2128186,
74,0,2214114,
76,1,,734892
76,0,,742925
78,1,730136,
78,0,861372,
80,1,,7695
80,0,,54033
82,0,20375028,
84,1,,41600
84,0,,29670
86,1,1726070,
86,0,1939508,
88,0,,339074
88,1,,281363
90,1,12034654,
90,0,12313608,
92,1,,7023
92,0,,78533
94,1,2729178,
94,0,2691784,
96,1,,731515
96,0,,829086
98,1,1482904,
98,0,1492398,
100,1,,4438
100,0,,94046
102,0,21113374,
104,1,,4778
104,0,,56906
106,1,828168,
106,0,824684,
108,1,,337615
108,0,,255855
110,1,11663834,
110,0,12161604,
112,1,,14206
112,0,,55824
114,1,2553434,
114,0,2546372,
116,1,,748668
116,0,,742269
118,1,1427376,
118,0,1383178,
120,1,,4130
120,0,,54557
122,0,21116260,
122,1,21804184,
124,1,,32380
124,0,,14928
126,1,2032160,
126,0,2036046,
128,1,,322950
128,0,,366570
130,1,12515760,
130,0,12561090,
132,0,,74698
132,1,,78161
134,0,1998978,
136,1,,864778
136,0,,609015
138,1,246052,
138,0,203094,
140,1,,17117
140,0,,42385
142,0,21446678,
144,1,,28991
144,0,,16645
146,1,1600392,
146,0,1596348,
148,1,,330520
150,1,12630480,
150,0,13258634,
152,1,,19914
154,1,2461776,
156,1,,871313
156,0,,678486
158,1,1394292,
158,0,1427794,
160,1,,5187
160,0,,98930
162,1,21142680,
164,1,,56843
164,0,,67896
166,1,910737,
166,0,987668,
168,1,,352847
168,0,,238908
170,0,11583234,
172,1,,61999
172,0,,45627
174,1,2407208,
174,0,1854132,
176,1,,606293
176,0,,889026
178,1,1546168,
178,0,1498992,
180,1,,3019
180,0,,54147
182,0,19253822,
182,1,19328642,
184,1,,138548
184,0,,143977
186,1,1956420,
186,0,2066305,
188,1,,267920
188,0,,361304
190,1,12813946,
190,0,12800368,
192,1,,30375
192,0,,124929
194,1,1800909,
194,0,1366902,
196,1,,815358
196,0,,656622
198,1,679700,
198,0,659572,
200,1,,9582
200,0,,38308
202,0,18199986,
202,1,18277166,
204,1,,151840
204,0,,192227
206,1,1678408,
206,0,1657532,
208,1,,348734
208,0,,262535
210,0,12695954,
212,0,,68493
214,1,2399505,
216,1,,877919
216,0,,683160
218,1,1430212,
218,0,1460426,
220,1,,14741
220,0,,90745
222,1,17378848,
224,1,,271653
224,0,,157405
226,1,780844,
226,0,807792,
228,1,,354024
228,0,,231247
230,1,12081330,
230,0,12407578,
232,1,,30813
232,0,,65853
