 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8346356 5196360 7 233 0  0  0  0  0  0  0  0  0  374  185   97  1  1 98
 0 0 0 7605008 4441360 179 4270 0 0 0 0  0  0  0  0  0  443 2753  257  1 11 89
 0 0 0 7605032 4441288 153 3767 0 0 0 0  0  0  0  0  0  391 2313  252  1 10 89
 0 0 0 7605036 4441276 135 3593 0 0 0 0  0  2  0  0  0  404 2097  279  1  6 94
 0 0 0 7604832 4441276 175 3917 0 0 0 0  0  0  0  0  0  385 2357  260  1 10 90
 0 0 0 7604932 4441332 156 3748 0 0 0 0  0  0  0  0  0  377 2318  247  1 10 89
 0 0 0 7605048 4441312 135 3601 0 0 0 0  0  0  0  0  0  372 2135  247  1  6 93
 0 0 0 7604808 4441228 170 3921 0 0 0 0  0  0  0  0  0  381 2428  298  1  9 90
 0 0 0 7604804 4441224 152 3747 0 0 0 0  0  0  0  0  0  389 2321  254  1 10 89
 0 0 0 7605208 4441372 135 3603 0 0 0 0  0  2  0  0  0  410 2126  281  1  7 93
 0 0 0 7605020 4441332 158 3761 0 0 0 0  0  0  0  0  0  394 2263  257  1  9 91
 0 0 0 7604804 4441248 158 3759 0 0 0 0  0  0  0  0  0  392 2285  254  1  9 91
 0 0 0 7605044 4441336 153 3763 0 0 0 0  0  0  0  0  0  396 2234  259  1  9 91
 0 0 0 7605008 4441264 153 3755 0 0 0 0  0  0  0  0  0  378 2225  249  1  9 91
 0 0 0 7604804 4441212 153 3759 0 0 0 0  0  0  0  0  0  380 2245  258  1  9 91
 0 0 0 7605048 4441368 152 3762 0 0 0 0  0  2  0  0  0  448 2241  287  1  9 91
 0 0 0 7604988 4441300 157 3753 0 0 0 0  0  0  0  0  0  385 2236  251  1  9 91
 0 0 0 7604784 4441228 158 3771 0 0 0 0  0  0  0  0  0  377 2249  249  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7605024 4441308 152 3755 0 0 0 0  0  0  0  0  0  390 2254  253  1  9 91
 0 0 0 7605164 4441320 153 3754 0 0 0 0  0  0  0  0  0  386 2225  252  1  9 91
 0 0 0 7604760 4441168 153 3759 0 0 0 0  0  0  0  0  0  390 2331  251  1  9 91
 0 0 0 7604756 4441172 153 3754 0 0 0 0  0  2  0  0  0  420 2321  283  1  9 91
 0 0 0 7604860 4441268 156 3767 0 0 0 0  0  0  0  0  0  393 2255  257  1  9 91
 0 0 0 7604964 4441228 155 3752 0 0 0 0  0  0  0  0  0  382 2325  250  1  9 91
 0 0 0 7604752 4441164 152 3753 0 0 0 0  0  0  0  0  0  387 2341  252  1  9 91
 0 0 0 7604996 4441284 153 3764 0 0 0 0  0  0  0  0  0  396 2267  246  1  9 91
 0 0 0 7604960 4441216 152 3751 0 0 0 0  0  0  0  0  0  391 2343  251  1  9 90
 0 0 0 7604752 4441172 153 3774 0 0 0 0  0  2  0  0  0  421 2345  280  1  9 91
 0 0 0 7605068 4441344 159 3754 0 0 0 0  0  0  0  0  0  374 2296  251  1  9 91
 0 0 0 7605056 4441304 155 3765 0 0 0 0  0  0  0  0  0  380 2349  251  1  9 91
 0 0 0 7604736 4441156 152 3762 0 0 0 0  0  0  0  0  0  391 2374  251  1  9 91
 0 0 0 7604728 4441148 153 3777 0 0 0 0  0  0  0  0  0  383 2384  293  1  9 91
 0 0 0 7605152 4441352 152 3767 0 0 0 0  0  0  0  0  0  387 2365  248  1  9 90
 0 0 0 7604936 4441208 152 3766 0 0 0 0  0  3  0  0  0  466 2355  305  1  9 91
 0 0 0 7604728 4441160 161 3769 0 0 0 0  0  0  0  0  0  387 2300  250  1  9 91
 0 0 0 7604900 4441252 154 3778 0 0 0 0  0  0  0  0  0  386 2235  249  1  9 91
 0 0 0 7604936 4441192 152 3765 0 0 0 0  0  0  0  0  0  388 2241  255  1  9 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7604728 4441140 152 3784 0 0 0 0  0  0  0  0  0  390 2228  247  1  9 91
 0 0 0 7604976 4441280 153 3766 0 0 0 0  0  0  0  0  0  389 2248  252  1  9 91
 0 0 0 7604952 4441240 153 3762 0 0 0 0  0  2  0  0  0  436 2237  285  1  9 91
 0 0 0 7604732 4441164 160 3757 0 0 0 0  0  0  0  0  0  380 2240  254  1  9 91
 0 0 0 7604728 4441144 153 3763 0 0 0 0  0  0  0  0  0  389 2255  249  1  9 91
 0 0 0 7605076 4441324 152 3771 0 0 0 0  0  0  0  0  0  377 2257  248  1  9 91
 0 0 0 7604872 4441128 152 3761 0 0 0 0  0  0  0  0  0  388 2238  250  1  9 91
 0 0 0 7604652 4441064 152 3766 0 0 0 0  0  0  0  0  0  379 2267  248  1  9 91
 0 0 0 7604824 4441184 153 3767 0 0 0 0  0  2  0  0  0  416 2252  286  1  9 90
 0 0 0 7604860 4441148 160 3766 0 0 0 0  0  0  0  0  0  385 2246  256  1  9 91
 0 0 0 7604652 4441072 154 3783 0 0 0 0  0  0  0  0  0  374 2275  248  1  9 91
 0 0 0 7604856 4441164 152 3763 0 0 0 0  0  0  0  0  0  387 2278  251  1  9 91
 0 0 0 7604836 4441092 152 3773 0 0 0 0  0  0  0  0  0  382 2235  251  1  9 91
 0 0 0 7604612 4441024 153 3781 0 0 0 0  0  0  0  0  0  382 2287  251  1  9 91
 0 0 0 7604612 4441020 152 3780 0 0 0 0  0  2  0  0  0  411 2281  285  1  9 91
 0 0 0 7605064 4441228 159 3784 0 0 0 0  0  0  0  0  0  383 2256  253  1  9 91
 0 0 0 7604812 4441088 154 3776 0 0 0 0  0  0  0  0  0  390 2288  251  1  9 91
 0 0 0 7604588 4441012 152 3778 0 0 0 0  0  0  0  0  0  385 2303  252  1  9 91
 0 0 0 7604832 4441116 152 3781 0 0 0 0  0  0  0  0  0  391 2349  296  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7604796 4441052 153 3781 0 0 0 0  0  0  0  0  0  384 2300  252  1  9 91
 0 0 0 7604588 4441000 154 3790 0 0 0 0  0  2  0  0  0  406 2300  284  1  9 91
 0 0 0 7604764 4441140 159 3770 0 0 0 0  0  0  0  0  0  374 2268  250  1  9 91
 0 0 0 7604796 4441052 153 3780 0 0 0 0  0  0  0  0  0  393 2271  252  1  9 91
 0 0 0 7604588 4441000 155 3861 0 0 0 0  0  0  0  0  0  389 2276  256  1  9 91
 0 0 0 7579544 4415140 288 5985 0 0 0 0  0  0  0  0  0  394 6988  255 23 12 65
 0 0 0 6861300 3706216 186 4144 0 0 0 0  0  0  0  0  0  427 2594  252 21 14 65
 0 0 0 6693584 3531244 164 3764 0 0 0 0  0  3  0  0  0  518 2239  301 26 10 65
 0 0 0 6693380 3531560 159 3752 0 0 0 0  0  0  0  0  0  419 2216  251 26  9 65
 0 0 0 6693360 3531460 202 3824 0 0 0 0  0  0  0  0  0  452 2276  250 26  9 65
 0 0 0 6693596 3531576 164 3779 0 0 0 0  0  0  0  0  0  427 2258  253 26  9 65
 0 0 0 6693880 3531688 164 3789 0 0 0 0  0  0  0  0  0  419 2237  248 26  9 65
 0 0 0 6693560 3531452 119 2959 0 0 0 0  0  0  0  0  0  411 1950  217 26  9 65
 0 0 0 6693592 3531492 116 2215 0 0 0 0  0  2  0  0  0  751 1619  216 25  5 69
 0 0 0 6693352 3531480 170 3786 0 0 0 0  0  0  0  0  0  395 2283  258 26 10 64
 0 0 0 6693352 3531444 164 3777 0 0 0 0  0  0  0  0  0  421 2293  260 26 10 64
 0 0 0 6693468 3531516 164 3786 0 0 0 0  0  0  0  0  0  420 2303  251 26 10 64
 0 0 0 6693560 3531532 175 4165 0 0 0 0  0  0  0  0  0  427 2405  270 26 10 64
 0 0 0 6693608 3531512 111 2444 0 0 0 0  0  0  0  0  0  392 1696  201 26  5 69
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6690080 3528176 208 4739 0 0 0 0  0  2  0  0  0  483 2622  321 26 11 63
 0 0 0 6689236 3527372 169 3785 0 0 0 0  0  0  0  0  0  417 2300  253 26 10 64
 0 0 0 6689232 3527336 164 3780 0 0 0 0  0  0  0  0  0  423 2314  255 26 10 64
 0 0 0 6689480 3527508 171 3961 0 0 0 0  0  0  0  0  0  413 2374  263 26 10 64
 0 0 0 6689680 3527376 106 2384 0 0 0 0  0  0  0  0  0  389 1758  236 26  5 69
 0 0 0 6689440 3527332 146 3601 0 0 0 0  0  0  0  0  0  416 2110  246 26  6 68
 0 0 0 6689232 3527340 184 3937 0 0 0 0  0  2  0  0  0  480 2367  295 26 10 64
 0 0 0 6689232 3527368 166 3780 0 0 0 0  0  0  0  0  0  414 2265  254 26 10 64
 0 0 0 6689396 3527420 168 3792 0 0 0 0  0  0  0  0  0  425 2262  246 26 10 64
