 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8337064 5187268 9 263 0  0  0  0  0  0  0  0  0  374  203  100  1  1 98
 0 0 0 7590864 4427088 160 4105 0 0 0 0  0  0  0  0  0  430 2640  252  1  9 90
 0 0 0 7590476 4426876 161 3771 0 0 0 0  0  0  0  0  0  395 2273  251  1  9 91
 0 0 0 7590696 4426980 153 3743 0 0 0 0  0  0  0  0  0  396 2248  248  1  9 91
 0 0 0 7590680 4426920 152 3759 0 0 0 0  0  0  0  0  0  382 2281  248  1  9 91
 0 0 0 7590476 4426868 153 3755 0 0 0 0  0  0  0  0  0  378 2281  253  1  9 91
 0 0 0 7590572 4426940 152 3753 0 0 0 0  0  2  0  0  0  410 2254  289  1  9 91
 0 0 0 7590656 4426944 152 3765 0 0 0 0  0  0  0  0  0  392 2288  252  1  9 91
 0 0 0 7590452 4426880 160 3754 0 0 0 0  0  0  0  0  0  392 2295  252  1  9 91
 0 0 0 7590448 4426856 153 3753 0 0 0 0  0  0  0  0  0  390 2252  246  1  9 91
 0 0 0 7590900 4427052 153 3757 0 0 0 0  0  0  0  0  0  381 2293  248  1  9 91
 0 0 0 7590452 4426860 153 3762 0 0 0 0  0  0  0  0  0  379 2294  255  1  9 91
 0 0 0 7590448 4426860 153 3765 0 0 0 0  0  4  0  0  0  429 2261  313  1  9 90
 0 0 0 7590552 4426980 174 3908 0 0 0 0  0  0  0  0  0  385 2374  251  1  9 90
 0 0 0 7590656 4426976 136 3603 0 0 0 0  0  0  0  0  0  389 2155  252  1  8 91
 0 0 0 7590448 4426872 158 3765 0 0 0 0  0  0  0  0  0  387 2227  251  1  9 91
 0 0 0 7590676 4426968 152 3751 0 0 0 0  0  0  0  0  0  387 2277  251  1  9 91
 0 0 0 7590644 4426900 153 3768 0 0 0 0  0  0  0  0  0  394 2360  302  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7590440 4426844 152 3752 0 0 0 0  0  4  0  0  0  440 2239  324  1  9 90
 0 0 0 7590656 4426988 152 3758 0 0 0 0  0  0  0  0  0  397 2275  256  1  9 91
 0 0 0 7590620 4426940 158 3763 0 0 0 0  0  0  0  0  0  398 2285  255  1  9 91
 0 0 0 7590416 4426840 158 3759 0 0 0 0  0  0  0  0  0  391 2257  253  1  9 91
 0 0 0 7590412 4426820 152 3763 0 0 0 0  0  0  0  0  0  385 2291  250  1  9 91
 0 0 0 7590860 4427000 152 3744 0 0 0 0  0  0  0  0  0  392 2288  254  1  9 91
 0 0 0 7590412 4426820 153 3762 0 0 0 0  0  3  0  0  0  421 2267  298  1  9 91
 0 0 0 7590408 4426836 152 3756 0 0 0 0  0  0  0  0  0  392 2291  251  1  9 91
 0 0 0 7590632 4426964 178 3912 0 0 0 0  0  0  0  0  0  394 2374  257  1  9 90
 0 0 0 7590616 4426872 136 3621 0 0 0 0  0  0  0  0  0  365 2199  244  1  9 91
 0 0 0 7590408 4426816 152 3747 0 0 0 0  0  0  0  0  0  374 2301  249  1  9 91
 0 0 0 7590652 4426936 153 3768 0 0 0 0  0  0  0  0  0  385 2308  256  1  9 91
 0 0 0 7590592 4426860 152 3766 0 0 0 0  0  2  0  0  0  412 2274  286  1  9 91
 0 0 0 7590384 4426824 152 3769 0 0 0 0  0  0  0  0  0  539 2302  252  1  9 90
 0 0 0 7590500 4426896 156 3776 0 0 0 0  0  0  0  0  0  391 2304  254  1  9 91
 0 0 0 7590688 4426916 155 3765 0 0 0 0  0  0  0  0  0  391 2268  245  1  9 91
 0 0 0 7590388 4426796 152 3770 0 0 0 0  0  0  0  0  0  385 2326  247  1  9 91
 0 0 0 7590384 4426792 153 3772 0 0 0 0  0  0  0  0  0  391 2322  257  1  9 91
 0 0 0 7590824 4426996 170 3920 0 0 0 0  0  2  0  0  0  404 2366  288  1  9 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7590592 4426880 135 3629 0 0 0 0  0  0  0  0  0  374 2149  244  1  8 91
 0 0 0 7590384 4426804 161 3768 0 0 0 0  0  0  0  0  0  377 2235  250  1  9 91
 0 0 0 7590600 4426904 153 3760 0 0 0 0  0  0  0  0  0  380 2231  247  1  9 91
 0 0 0 7590544 4426800 153 3760 0 0 0 0  0  0  0  0  0  385 2247  252  1  9 91
 0 0 0 7590336 4426748 153 3763 0 0 0 0  0  0  0  0  0  383 2336  299  1  9 91
 0 0 0 7590556 4426860 152 3769 0 0 0 0  0  2  0  0  0  399 2243  288  1  9 90
 0 0 0 7590520 4426808 152 3756 0 0 0 0  0  0  0  0  0  380 2241  248  1  9 91
 0 0 0 7590312 4426736 161 3772 0 0 0 0  0  0  0  0  0  371 2258  248  1  9 91
 0 0 0 7590312 4426720 154 3765 0 0 0 0  0  0  0  0  0  382 2240  254  1  9 91
 0 0 0 7590808 4426916 152 3765 0 0 0 0  0  0  0  0  0  386 2258  246  1  9 91
 0 0 0 7590292 4426700 152 3779 0 0 0 0  0  0  0  0  0  392 2268  254  1  9 91
 0 0 0 7590288 4426696 152 3767 0 0 0 0  0  2  0  0  0  399 2245  290  1  9 90
 0 0 0 7590524 4426848 174 3923 0 0 0 0  0  0  0  0  0  387 2340  253  1  9 90
 0 0 0 7590496 4426816 136 3634 0 0 0 0  0  0  0  0  0  382 2206  249  1  8 91
 0 0 0 7590288 4426716 158 3777 0 0 0 0  0  0  0  0  0  381 2244  249  1  9 91
 0 0 0 7590552 4426852 152 3788 0 0 0 0  0  0  0  0  0  380 2287  248  1  9 91
 0 0 0 7590472 4426740 153 3776 0 0 0 0  0  0  0  0  0  385 2286  257  1  9 91
 0 0 0 7590264 4426688 153 3774 0 0 0 0  0  4  0  0  0  436 2258  318  1  9 91
 0 0 0 7590540 4426840 153 3783 0 0 0 0  0  0  0  0  0  387 2285  249  1  9 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7590696 4426908 158 3779 0 0 0 0  0  0  0  0  0  388 2299  249  1  9 91
 0 0 0 7590248 4426672 158 3792 0 0 0 0  0  0  0  0  0  388 2262  248  1  9 91
 0 0 0 7590244 4426652 152 3772 0 0 0 0  0  0  0  0  0  395 2302  250  1  9 91
 0 0 0 7590708 4426848 170 3925 0 0 0 0  0  0  0  0  0  384 2371  255  1  9 90
 0 0 0 7590452 4426708 145 3770 0 0 0 0  0  3  0  0  0  426 2263  298  1  9 91
 0 0 0 7427740 4394332 348 6433 0 0 0 0  0  0  0  0  0  415 7178  263 23 13 65
 0 0 0 6886252 4374672 168 3838 0 0 0 0  0  0  0  0  0  421 2423  254 26  9 65
 0 0 0 6886580 4374780 166 3769 0 0 0 0  0  0  0  0  0  434 2234  250 26  9 65
 0 0 0 6886356 4374564 163 3781 0 0 0 0  0  0  0  0  0  428 2244  250 26  9 65
 0 0 0 6886124 4374544 163 3774 0 0 0 0  0  0  0  0  0  406 2332  296 26  9 65
 0 0 0 6886044 4374460 163 3777 0 0 0 0  0  5  0  0  0 1423 2238  311 26 10 64
 0 0 0 6886264 4374612 163 3791 0 0 0 0  0 360 0  0  0 3217 2247  429 26 10 64
 0 0 0 6886440 4374772 168 3770 0 0 0 0  0  0  0  0  0  420 2254  252 26  9 65
 0 0 0 6886332 4374556 166 3780 0 0 0 0  0  0  0  0  0  422 2240  252 26  9 65
 0 0 0 6886128 4374548 163 3781 0 0 0 0  0  0  0  0  0  406 2264  252 26  9 65
 0 0 0 6886124 4374464 163 3779 0 0 0 0  0  0  0  0  0  416 2315  259 26  9 65
 0 0 0 6886328 4374556 164 3794 0 0 0 0  0  4  0  0  0  630 2254  322 26  9 65
 0 0 0 6886540 4374692 185 3926 0 0 0 0  0  0  0  0  0  413 2326  253 26  9 65
 0 0 0 6886332 4374540 147 3631 0 0 0 0  0  0  0  0  0  389 2196  255 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6886128 4374484 169 3785 0 0 0 0  0  0  0  0  0  410 2244  252 26  9 65
 0 0 0 6886100 4374452 163 3783 0 0 0 0  0  0  0  0  0  410 2276  248 26  9 65
 0 0 0 6886348 4374592 163 3792 0 0 0 0  0  0  0  0  0  406 2279  257 26  9 65
 0 0 0 6886372 4374596 163 3777 0 0 0 0  0  3  0  0  0  487 2261  300 26  9 65
 0 0 0 6886308 4374484 164 3785 0 0 0 0  0  0  0  0  0  579 2283  250 26  9 65
 0 0 0 6886100 4374364 171 3779 0 0 0 0  0  0  0  0  0  412 2321  259 26  9 65
 0 0 0 6886100 4374352 164 3782 0 0 0 0  0  0  0  0  0  415 2248  247 26  9 65
 0 0 0 6886348 4374488 163 3792 0 0 0 0  0  0  0  0  0  415 2300  242 26  9 65
 0 0 0 6886308 4374364 163 3775 0 0 0 0  0  0  0  0  0  422 2288  261 26  9 65
 0 0 0 6886104 4374352 163 3783 0 0 0 0  0  2  0  0  0  517 2258  293 26  9 65
 0 0 0 6886100 4374372 163 3776 0 0 0 0  0  0  0  0  0  420 2302  252 26  9 65
 0 0 0 6886236 4374492 168 3782 0 0 0 0  0  0  0  0  0  429 2310  258 26  9 65
 0 0 0 6886564 4374544 184 3951 0 0 0 0  0  0  0  0  0  426 2359  261 26  9 65
 0 0 0 6886260 4374320 148 3699 0 0 0 0  0  0  0  0  0  425 2295  250 26  9 65
 0 0 0 6885948 4374168 163 3780 0 0 0 0  0  0  0  0  0  416 2396  304 26  9 65
 0 0 0 6885948 4374168 163 3788 0 0 0 0  0  2  0  0  0  441 2259  296 26  9 65
 0 0 0 6886148 4374288 164 3790 0 0 0 0  0  0  0  0  0  423 2321  249 26  9 65
 0 0 0 6886156 4374244 168 3791 0 0 0 0  0  0  0  0  0  422 2317  248 26  9 65
 0 0 0 6885952 4374184 168 3779 0 0 0 0  0  0  0  0  0  406 2273  255 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6885948 4374168 163 3777 0 0 0 0  0  0  0  0  0  391 2330  252 26  9 65
 0 0 0 6886196 4374304 163 3786 0 0 0 0  0  0  0  0  0  401 2331  257 26  9 65
 0 0 0 6886408 4374396 164 3786 0 0 0 0  0  2  0  0  0  503 2300  297 26  9 65
 0 0 0 6886080 4374148 164 3794 0 0 0 0  0  0  0  0  0  414 2356  248 26  9 65
 0 0 0 6885824 4374072 171 3781 0 0 0 0  0  0  0  0  0  423 2339  250 26  9 65
 0 0 0 6885800 4374052 164 3788 0 0 0 0  0  0  0  0  0  427 2271  247 26  9 65
 0 0 0 6886040 4374176 163 3780 0 0 0 0  0  0  0  0  0  411 2352  252 26  9 65
 0 0 0 6886116 4374124 163 3781 0 0 0 0  0  0  0  0  0  415 2347  257 26  9 65
 0 0 0 6885800 4374036 163 3788 0 0 0 0  0  4  0  0  0  584 2282  324 26 10 65
 0 0 0 6885796 4374052 163 3775 0 0 0 0  0  0  0  0  0  874 2360  253 26  9 65
 0 0 0 6885796 4374044 170 3785 0 0 0 0  0  0  0  0  0  427 2363  258 26  9 65
 0 0 0 6886000 4374128 164 3779 0 0 0 0  0  0  0  0  0  427 2333  253 26  9 65
 0 0 0 6886004 4374028 163 3778 0 0 0 0  0  0  0  0  0  410 2349  252 26  9 65
 0 0 0 6885800 4374016 163 3790 0 0 0 0  0  0  0  0  0  390 2358  252 26  9 65
 0 0 0 6885796 4374016 163 3772 0 0 0 0  0  3  0  0  0  453 2306  304 26 10 65
 0 0 0 6885796 4374032 163 3781 0 0 0 0  0  0  0  0  0  420 2378  252 26  9 65
 0 0 0 6886040 4374184 170 3785 0 0 0 0  0  0  0  0  0  427 2232  255 26  9 65
 0 0 0 6885984 4374016 166 3789 0 0 0 0  0  0  0  0  0  392 2232  250 26  9 65
 0 0 0 6885992 4374060 163 3795 0 0 0 0  0  0  0  0  0  407 2241  252 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 6885764 4373980 164 3784 0 0 0 0  0  0  0  0  0  408 2333  305 26  9 65
 0 0 0 6885728 4373948 163 3777 0 0 0 0  0  3  0  0  0  573 2269  305 26  9 65
 0 0 0 6886144 4374156 165 3786 0 0 0 0  0  0  0  0  0  419 2252  247 26  9 65
 0 0 0 6885936 4373984 170 3782 0 0 0 0  0  0  0  0  0  421 2255  256 26  9 65
 0 0 0 6885732 4373956 164 3788 0 0 0 0  0  0  0  0  0  416 2239  254 26  9 65
 0 0 0 6885728 4373948 163 3781 0 0 0 0  0  0  0  0  0  405 2255  248 26  9 65
 0 0 0 6885728 4373944 163 3784 0 0 0 0  0  0  0  0  0  419 2265  254 26  9 65
 0 0 0 6886128 4374140 163 3781 0 0 0 0  0  3  0  0  0  474 2249  295 26  9 65
