Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	25	29	24	17	19	3150	7575	5250	7425	5325	7575	5250	7950	5250
5	25	28	24	17	19	3150	7575	5250	7500	5400	7575	5250	7950	5250
10	26	32	24	17	19	3150	7575	5250	7425	5325	7500	5250	7875	5250
15	29	31	24	17	20	3150	7575	5250	7425	5325	7575	5250	7875	5250
20	27	31	24	17	20	3150	7575	5250	7425	5325	7575	5250	7875	5250
25	29	30	24	17	20	3150	7500	5250	7425	5400	7575	5250	7875	5250
30	29	32	24	17	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
35	27	33	24	17	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
40	27	33	24	17	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
45	29	31	24	17	20	3150	7575	5325	7425	5400	7575	5325	7950	5250
50	30	31	24	17	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
55	30	30	24	18	20	3150	7575	5250	7425	5400	7500	5250	7950	5250
60	29	30	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
65	26	29	24	18	20	3150	7575	5250	7500	5400	7650	5250	7950	5250
70	28	30	24	18	20	3150	7575	5325	7425	5325	7575	5325	7950	5325
75	27	33	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
80	26	30	24	18	20	3150	7575	5325	7425	5400	7575	5325	7875	5250
85	27	30	24	18	20	3150	7575	5325	7425	5325	7575	5325	7950	5325
90	29	31	24	18	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
95	27	30	24	18	20	3150	7575	5250	7500	5325	7575	5250	7950	5250
100	26	30	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
105	28	31	24	18	20	3150	7575	5250	7425	5400	7500	5250	7875	5250
110	27	33	24	18	20	3150	7575	5325	7425	5400	7575	5325	7950	5250
115	26	30	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
120	27	30	24	18	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
125	29	31	24	18	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
130	26	30	24	18	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
135	27	30	24	18	20	3150	7575	5250	7425	5325	7500	5250	7950	5325
140	29	31	24	18	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
145	30	31	24	18	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
150	27	30	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
