time,cpu,FSB,L2miss
2,1,24818376,
4,0,,6787
4,1,,59285
6,0,3696226,
8,0,,785483
10,1,1388032,
10,0,1387984,
12,0,,621883
14,0,5130380,
14,1,5152393,
16,0,,393954
18,0,12955226,
20,0,,74960
22,0,19129044,
24,1,,17776
26,0,2954432,
28,1,,721857
30,1,1816966,
32,0,,856921
34,1,1920272,
36,0,,237205
38,1,13207588,
40,1,,80717
42,0,11813274,
44,1,,655252
46,0,4060080,
48,0,,618114
50,0,981542,
52,1,,873974
54,0,346848,
54,1,375750,
56,0,,78121
58,1,19408864,
60,0,,12396
62,0,3667850,
64,1,,675888
66,1,2204872,
68,0,,837177
70,1,1704268,
72,0,,414729
74,0,12877692,
76,1,,27921
78,0,10129231,
80,0,,444451
82,0,3905868,
84,0,,761629
86,0,1446442,
88,0,,779596
90,0,2252816,
92,0,,127933
92,1,,61686
94,1,19414939,
94,0,19515588,
96,1,,55133
98,0,15113768,
98,1,15134714,
100,1,,248652
102,0,10221486,
102,1,10236592,
104,0,,542173
106,1,3383194,
108,1,,783127
110,0,741630,
112,1,,129279
114,0,18399440,
116,0,,52225
118,0,21666074,
120,1,,10949
122,0,9923806,
122,1,9952357,
124,0,,512162
126,0,2115866,
128,0,,331395
130,0,12294581,
132,0,,215106
134,1,18948948,
134,0,18970797,
136,0,,25790
138,1,20893256,
140,0,,53332
142,0,9335584,
144,0,,543307
146,0,1197804,
148,1,,412765
150,1,9933652,
152,0,,231108
152,1,,308601
154,0,14744050,
156,0,,67997
158,0,19780454,
160,0,,63131
162,0,3870368,
162,1,3901295,
164,0,,756809
166,1,2068670,
168,0,,739419
168,1,,799828
170,0,1808230,
172,0,,285028
172,1,,359350
174,1,11692966,
174,0,11737376,
176,0,,36010
178,1,9970840,
178,0,9997290,
180,0,,608772
182,0,3742594,
182,1,3774540,
184,1,,688706
186,1,2173169,
188,0,,790180
190,0,1420438,
192,1,,259654
194,1,12608406,
196,1,,94760
198,0,10335066,
200,0,,483949
202,1,5587544,
202,0,5614592,
204,1,,576621
206,1,2322166,
208,1,,743046
210,0,1423116,
212,1,,112663
214,1,19208140,
214,0,19279614,
216,0,,40590
218,0,18053852,
218,1,18087564,
220,1,,142909
222,0,10383914,
222,1,10400382,
224,1,,448796
226,1,2043738,
228,0,,366630
230,0,11529562,
232,0,,35034
234,0,12518272,
234,1,12539588,
236,0,,394773
238,0,9107310,
238,1,9145846,
240,0,,519517
242,0,3029062,
242,1,3056796,
244,1,,748836
246,0,2199260,
246,1,2204412,
248,1,,84649
250,0,19273496,
252,1,,39691
254,1,20732209,
254,0,20787792,
256,1,,23341
258,0,9588592,
260,1,,445830
262,1,1057432,
264,0,,331906
264,1,,297796
266,0,12123944,
268,0,,121608
270,1,18805136,
272,1,,74015
274,1,20831491,
276,1,,85009
278,1,2748740,
280,0,,751975
282,1,2487450,
284,0,,123564
286,1,19785605,
288,1,,111713
290,1,19864144,
292,0,,31678
294,1,8472516,
294,0,8561043,
296,0,,463977
298,1,1450832,
300,0,,276388
302,0,35904664,
304,0,,156011
306,0,24090810,
308,0,,343971
310,1,31635504,
310,0,31645470,
312,0,,1276222
314,1,16731360,
316,0,,1518653
318,0,26501188,
320,1,,836301
320,0,,744034
322,1,22068780,
322,0,22054739,
324,1,,481692
324,0,,469559
326,1,45952096,
328,1,,1215471
330,0,27904635,
332,1,,987574
334,0,16195068,
336,1,,1085532
336,0,,1162063
338,0,16977896,
340,0,,869449
340,1,,1611489
342,1,13025982,
344,1,,1203734
346,1,43539210,
348,1,,700241
350,1,46015781,
352,0,,460327
352,1,,1057706
354,0,20762140,
356,1,,947637
356,0,,1122902
358,1,17180992,
360,0,,1140666
362,1,15575818,
364,1,,1068555
364,0,,124006
366,1,35439708,
368,1,,300663
368,0,,581663
370,0,17473961,
370,1,17512813,
372,1,,1256692
374,1,17194700,
374,0,17264840,
376,0,,1037767
378,1,17579340,
378,0,17586442,
380,1,,741879
382,1,32213813,
382,0,32329338,
384,1,,20500
384,0,,941669
386,1,21197706,
386,0,21244640,
388,0,,1912301
390,1,19232270,
392,1,,785782
394,1,21230640,
396,0,,110257
396,1,,1493731
398,0,32405314,
400,0,,78235
400,1,,629094
402,1,48768608,
404,1,,599646
406,1,34484180,
406,0,34498092,
408,1,,752250
408,0,,1581278
410,1,12209848,
410,0,12227212,
412,1,,643204
412,0,,1140435
414,0,32900696,
414,1,32998952,
416,0,,764501
418,0,38465418,
420,0,,819955
422,0,38487928,
424,0,,1140648
426,1,30042456,
428,1,,791528
428,0,,1361814
430,0,14505556,
430,1,14547518,
432,0,,994070
434,1,19467354,
436,1,,1000890
436,0,,120728
438,1,39040396,
440,0,,73932
440,1,,897306
442,1,21879626,
442,0,21937086,
444,0,,583217
444,1,,1405570
446,1,20941692,
448,0,,958295
448,1,,1922955
450,1,11390496,
452,0,,1211783
454,0,11931434,
454,1,12020360,
456,0,,375064
458,1,32110740,
460,0,,121402
462,1,30255830,
464,0,,1142611
466,1,12846216,
468,1,,1787141
470,0,7626111,
470,1,7625192,
472,1,,1494465
472,0,,697767
474,0,43276870,
476,0,,742424
476,1,,220523
478,1,33179406,
