time	cpu	FSB	L2miss
2	1	18894786	
4	0		33788
4	1		44662
6	1	10535562	
6	0	9991958	
8	0		495462
10	0	4222948	
10	1	3580486	
12	1		727799
12	0		782431
14	1	1370022	
14	0	1353483	
16	1		777788
16	0		822729
18	1	1156738	
18	0	1166084	
20	1		39183
20	0		64646
22	1	18808148	
22	0	18806678	
24	1		18952
24	0		18728
26	1	15718016	
28	0		225550
28	1		355602
30	1	9450510	
30	0	8450898	
32	0		345369
34	1	1293894	
34	0	1289328	
36	0		362120
36	1		310100
38	0	12381022	
38	1	12165100	
40	0		102889
40	1		71232
42	0	20208636	
42	1	20111682	
44	0		73306
44	1		7892
46	1	21209766	
46	0	20655476	
48	1		9936
48	0		77512
50	1	1198322	
50	0	1205278	
52	1		653815
52	0		798266
54	1	594804	
54	0	572256	
56	1		276877
56	0		367763
58	1	12053256	
58	0	12060182	
60	0		145529
62	0	18466340	
62	1	17827094	
64	0		53477
64	1		7208
66	1	21272118	
66	0	20730826	
68	1		2037
68	0		53883
70	0	3001364	
72	0		825723
72	1		719236
74	0	1425440	
74	1	1377964	
76	0		570758
76	1		731938
78	1	4509381	
78	0	4600632	
80	1		368252
80	0		223392
82	0	12332724	
84	1		22412
86	0	10530398	
86	1	9892095	
88	0		499668
88	1		472196
90	0	3031200	
90	1	3036062	
92	0		851321
92	1		664956
94	0	1428234	
94	1	1400846	
96	0		745457
98	0	1931698	
98	1	1315458	
100	0		100097
100	1		70388
102	1	20187288	
102	0	19626640	
104	1		5322
104	0		72091
106	1	10971908	
106	0	10942430	
108	1		552328
108	0		434182
110	0	5615914	
110	1	5635994	
112	1		594916
112	0		565190
114	1	567596	
114	0	559952	
116	0		341032
116	1		331477
118	1	12532206	
118	0	12090418	
120	0		89778
120	1		70040
122	0	20034058	
122	1	19851840	
124	0		67251
124	1		5603
126	0	19401808	
128	0		73200
130	0	9525535	
132	1		405082
132	0		617428
134	1	1344338	
134	0	1321319	
136	1		290580
136	0		404424
138	1	12023726	
138	0	12023690	
140	1		38195
140	0		73461
142	1	18503836	
142	0	18496842	
144	1		15021
144	0		26603
146	1	20687514	
146	0	20657936	
148	1		4492
148	0		53231
150	1	2529596	
150	0	2502894	
152	1		578925
152	0		886277
154	1	1428992	
154	0	1409618	
156	0		357809
156	1		468169
158	0	10353478	
158	1	9730012	
160	1		266185
162	1	14463601	
162	0	14483662	
164	1		6244
164	0		78021
166	0	10787980	
166	1	10209138	
168	1		531537
168	0		453865
170	1	1915276	
170	0	1789828	
172	0		678760
174	0	453928	
176	0		754608
176	1		823326
178	1	987402	
178	0	1026998	
180	1		220886
180	0		405272
182	0	13241938	
184	1		52242
184	0		9540
186	1	10753612	
186	0	10746756	
188	0		467511
190	0	3933451	
190	1	3576252	
192	1		817997
194	1	1300696	
194	0	1302690	
196	1		877762
196	0		726066
198	0	1195364	
200	1		62825
200	0		46636
202	1	19222308	
202	0	19180794	
204	1		5209
204	0		26720
206	0	14275808	
206	1	14348979	
208	1		376338
208	0		300803
210	0	8931756	
212	1		437464
212	0		557044
214	1	1365926	
214	0	1366536	
216	0		403418
216	1		285776
218	0	12494804	
218	1	12376280	
220	0		154029
220	1		49676
222	0	19776548	
222	1	19694132	
224	0		78564
224	1		5001
226	1	21443916	
228	1		73809
228	0		23224
230	1	1308750	
232	1		688392
232	0		770354
234	1	551747	
234	0	545508	
236	1		369105
236	0		275856
238	0	12586530	
238	1	12033756	
240	0		83625
240	1		61205
242	0	19600100	
242	1	19447752	
244	0		60363
244	1		5264
246	1	21563280	
246	0	21018064	
248	1		6134
248	0		56821
250	1	3420096	
250	0	3410658	
252	0		743215
252	1		802125
254	0	1431870	
254	1	1384912	
256	1		621697
256	0		493371
258	1	6315036	
258	0	6314022	
260	0		288852
260	1		313205
262	1	12859272	
262	0	12815428	
264	1		3398
264	0		28163
266	1	10613128	
266	0	10128950	
268	1		512541
270	1	2848778	
272	0		723262
272	1		780972
274	0	1457830	
274	1	1425162	
276	0		778415
276	1		791121
278	0	1457820	
278	1	1422298	
280	1		111756
280	0		92295
282	1	20567308	
282	0	21072246	
284	1		42064
284	0		35246
286	1	10649422	
286	0	10655960	
288	1		495062
288	0		504483
290	1	3724950	
292	1		655474
292	0		682814
294	1	514294	
294	0	497506	
296	0		847545
296	1		736969
298	0	1411866	
298	1	1397474	
300	0		79796
300	1		65459
302	0	44056574	
302	1	43870954	
304	1		148692
304	0		3079868
306	0	311850608	
306	1	311530248	
308	0		1102590
308	1		13573181
310	1	459818332	
310	0	458792554	
312	0		9079443
314	1	460253004	
316	0		4858008
316	1		9828104
318	1	456068976	
318	0	455816260	
320	1		94625
320	0		13998038
322	0	453207348	
322	1	452704784	
324	0		106469
324	1		13811066
326	0	456693918	
326	1	456136564	
328	0		1969478
328	1		12474243
330	0	461613768	
330	1	460348750	
332	1		8649795
332	0		6252062
334	1	463629018	
334	0	463549490	
336	1		479878
336	0		13880301
338	0	459086086	
338	1	457752801	
340	1		9539960
340	0		4353833
342	0	454186994	
342	1	452267156	
344	0		1714047
344	1		12071935
346	1	459038324	
346	0	457858566	
348	1		5060923
348	0		9346858
350	1	464059660	
352	0		2415016
352	1		12548829
354	1	464352312	
354	0	464073264	
356	0		4246692
356	1		9928756
358	0	452004338	
358	1	451937494	
360	0		249850
360	1		13742951
362	0	447796282	
362	1	448753336	
364	1		290573
364	0		13841927
366	1	455855007	
366	0	455793672	
368	0		2323699
368	1		12317664
370	1	459321306	
370	0	459119866	
372	0		6003310
372	1		9138035
374	0	460507782	
374	1	460315994	
376	0		5172666
376	1		9567915
378	0	456421076	
380	0		93389
380	1		13846271
382	0	454159358	
384	0		79308
384	1		13497938
386	1	457876960	
388	0		13755035
390	1	460749661	
390	0	460778336	
392	1		6047914
394	1	463561583	
396	1		13337972
398	1	456597832	
398	0	456658276	
400	0		6186101
400	1		7735600
402	1	450977742	
402	0	449799682	
404	1		217306
404	0		13653503
406	1	461569560	
408	1		13033857
408	0		1515782
410	0	461441128	
412	1		2968324
412	0		12003113
414	0	462859480	
416	1		6220248
418	0	459211328	
418	1	457978568	
420	0		190998
420	1		13733295
422	1	450133994	
424	0		196436
426	1	453154276	
426	0	452765756	
428	1		4883199
428	0		9593214
430	1	457645090	
430	0	457562548	
432	0		5463515
432	1		9593422
434	0	460432724	
434	1	460098968	
436	0		6282688
438	0	456185118	
438	1	456206690	
440	0		99311
440	1		13789907
442	0	453638942	
442	1	454083456	
444	1		12732639
444	0		1108535
446	1	457824230	
448	1		2737467
448	0		11890717
450	1	462032494	
450	0	461781032	
452	1		8870356
452	0		6152377
