time,cpu,FSB,L2miss
2,0,19980272,
4,1,,5719
4,0,,116026
6,0,2915978,
8,0,,722273
10,1,397813,
10,0,396918,
12,1,,721553
14,0,4146990,
16,0,,370874
18,0,12653314,
20,0,,69255
20,1,,85268
22,0,19932688,
24,0,,31153
26,0,3780064,
28,0,,758225
30,0,1434744,
32,0,,706432
34,1,1397230,
36,0,,306441
38,0,11332050,
40,0,,21721
42,0,10632109,
44,0,,472250
46,0,7385474,
48,0,,663444
50,0,2437744,
50,1,2416890,
52,1,,852060
54,1,1488364,
56,0,,42185
58,0,19459397,
60,0,,8195
60,1,,88895
62,1,19586296,
64,0,,209644
66,0,9257826,
68,0,,493845
70,0,371218,
72,0,,346331
74,1,12182522,
76,0,,23266
78,1,14568704,
80,0,,277274
82,0,9887552,
84,0,,453286
86,0,3353334,
88,1,,844932
90,0,1494091,
92,0,,43419
94,0,18842392,
96,0,,28030
98,0,19457648,
100,0,,6144
100,1,,38831
102,0,9549210,
104,0,,491746
106,0,1968944,
108,0,,282812
110,0,12191746,
112,0,,207601
114,1,17303582,
116,0,,74907
118,0,20972266,
120,0,,7143
122,1,4070282,
122,0,4098162,
124,0,,834340
126,0,1396782,
126,1,1398304,
128,0,,627431
130,0,3392118,
132,0,,258584
134,0,12946214,
136,0,,63629
136,1,,110149
138,1,18951914,
140,0,,36490
142,0,3778556,
144,1,,726264
146,1,2102592,
148,0,,809942
150,1,1465024,
152,0,,272862
154,1,12421374,
156,1,,81754
158,1,10214708,
158,0,10224412,
160,0,,366111
162,1,7750784,
164,0,,599301
166,0,3109978,
168,0,,625040
170,0,1496248,
172,0,,88511
174,0,19298804,
176,0,,84747
178,0,20667804,
180,1,,109459
180,0,,19759
182,0,10020456,
184,0,,422329
186,0,1361154,
188,0,,289888
190,0,11253734,
192,1,,97070
194,0,18788102,
196,0,,75184
198,0,20505584,
200,1,,8942
200,0,,63289
202,0,10351458,
204,0,,470339
206,1,2024502,
206,0,2026134,
208,1,,619257
210,0,8880964,
212,0,,387691
214,0,13085762,
216,1,,69946
216,0,,109336
218,0,18414116,
220,0,,14462
220,1,,14813
222,0,2927132,
224,0,,743948
226,0,2086312,,
228,0,,868084,
230,1,1565956,,
232,0,,338963,
234,0,12652708,,
236,0,,88114,
238,1,10194666,,
240,0,,595643,
242,1,5026468,,
244,1,,910684,1
246,1,1285968,,
248,0,,749984,
250,0,258222,,
252,1,,81152,
254,0,19324870,,
256,0,,64276,
258,0,3079184,
260,1,,859968
260,0,,615166
262,0,2007362,
264,0,,816714
266,1,2147464,
268,0,,263923
270,1,12620048,
272,1,,107845
274,1,11546238,
276,0,,364274
278,0,7001844,
280,0,,553934
282,0,2358810,
284,0,,796426
286,1,1949581,
288,0,,83089
290,0,19188325,
292,0,,18425
294,0,18886582,
296,0,,93418
298,0,9656960,
300,1,,495310
300,0,,519598
302,1,24929344,
302,0,24910258,
304,1,,1535499
304,0,,1535351
306,1,250423626,
308,1,,23687028
310,1,249151688,
312,1,,24590605
314,1,249872176,
316,0,,2688885
318,1,247796852,
320,1,,16475422
320,0,,2695959
322,1,361269870,
324,1,,12350574
324,0,,8783822
326,1,211080504,
328,0,,874781
328,1,,16454176
330,1,277723366,
330,0,277563409,
332,1,,243579
332,0,,20677389
334,0,277532324,
334,1,277238730,
336,0,,50932
336,1,,22340252
338,0,277901286,
338,1,277692554,
340,0,,17858879
342,1,278865170,
342,0,278863738,
344,0,,16488124
344,1,,6212661
346,1,291708268,
346,0,291455498,
348,0,,23555395
350,1,314033128,
352,1,,25814979
354,1,323394590,
354,0,323409132,
356,1,,631721
356,0,,26691554
358,1,332808926,
360,1,,26165639
362,1,319897041,
364,1,,12129977
364,0,,14461859
366,0,325686970,
368,1,,6758085
370,0,290268370,
372,1,,148409
372,0,,22500716
374,1,324597966,
374,0,325004004,
376,1,,253636
376,0,,37422544
378,0,328194085,
380,1,,16511762
382,1,229288898,
382,0,229392442,
384,1,,367979
384,0,,24400904
386,1,244734959,
388,0,,523475
388,1,,24573442
390,0,242621195,
392,1,,191431
392,0,,24710157
394,1,236531906,
394,0,236538807,
396,1,,4493113
398,0,229648389,
398,1,229665456,
400,1,,12600510
402,0,231761314,
402,1,231772914,
404,0,,15912061
406,1,227453306,
406,0,227490144,
408,1,,142754
408,0,,23508770
410,1,233387102,
410,0,233501696,
412,1,,111450
412,0,,24120761
414,0,230182194,
414,1,230132712,
416,1,,23879007
418,1,225022252,
418,0,225132220,
420,1,,18886919
420,0,,5698844
422,1,227691419,
422,0,227681448,
424,1,,3163908
424,0,,21231378
426,1,230583671,
426,0,230498206,
428,1,,359640
428,0,,23552706
430,1,238046746,
432,1,,173536
432,0,,23777826
434,1,242057954,,
434,0,242144966,,
436,1,,169446,
436,0,,23772615,
438,0,231107408,,
438,1,231226389,,
440,1,,7469654,
442,1,228411026,,
442,0,228311498,,
444,1,,22327874,
446,1,235578336,,
448,1,,3491849,0
448,0,,20673674,
450,1,233555408,,
450,0,233549950,,
452,1,,167642,
452,0,,24340593
454,0,239154108,
456,1,,23911902
458,1,232644379,
458,0,232524828,
460,0,,8420419
462,0,227883582,
462,1,227759244,
464,1,,18253612
464,0,,6426466
466,0,226476188,
466,1,226493948,
468,0,,4085268
470,1,228537156,
472,1,,24111406
474,0,226110148,
474,1,226136738,
476,1,,1342159
476,0,,22430620
478,1,219777652,
478,0,219592040,
480,1,,9481774
480,0,,13765370
482,1,218600268,
482,0,218599058,
484,0,,14910622
486,1,215147493,
488,0,,470603
488,1,,21195989
490,1,201152838,
490,0,201071104,
492,1,,87296
492,0,,22071622
494,1,216986306,
494,0,216976968,
496,1,,17601487
496,0,,3668766
498,0,201664394,
500,1,,13641413
502,1,188607068,
504,1,,16828612
506,1,187135905,
508,1,,19288606
510,1,186090714,
512,1,,19812720
514,1,174466506,
516,1,,13027374
516,0,,6137752
518,0,190687075,
520,1,,10601358
522,1,152483264,
524,1,,15173621
524,0,,3187447
526,1,149916904,
528,1,,16904389
530,1,155942176,
530,0,155952694,
532,1,,167449
534,0,161610930,
534,1,161617000,
536,1,,16844183
538,0,153050150,
540,0,,16681022
542,0,146134386,
544,1,,11134950,
544,0,,6031601,
546,0,278167068,,
546,1,278262692,,
548,1,,44864665,
550,0,350740056,,1
552,1,,5830482,
552,0,,17045309,
554,1,236881986,,
556,0,,15879736,
558,0,221458678,,
560,0,,4366657,
562,1,239260750,,
564,1,,23627400,
566,1,325875780,,
568,1,,1563393,
568,0,,23275323
570,1,300765090,
572,1,,20706687
574,0,284442636,
576,1,,16857753
578,1,282354437,
580,1,,15789279
582,1,233682820,
584,1,,18233063
584,0,,16167582
586,0,358098298,
588,1,,4013040
590,0,197312829,
590,1,197319639,
592,1,,20676200
594,1,204808638,
596,1,,19110920
598,0,207677910,
598,1,207660560,
600,0,,16492364
602,1,209783452,
602,0,209774502,
604,0,,11489088
606,1,213676422,
606,0,213675864,
608,1,,21942263
610,1,217912124,
612,1,,22072603
614,1,224024206,
614,0,224048774,
616,1,,142980
616,0,,22223755
618,1,222407144,
620,1,,21818390
622,1,218460686,
622,0,218483262,
624,1,,3648390
626,0,228125364,
628,0,,15979839
630,1,226923956,
630,0,226945574,
632,1,,143972
632,0,,22583748
634,1,220603508,
634,0,220707207,
636,1,,20885309
638,1,219683280,
640,1,,10911214
642,1,217845992,
644,1,,10033735
644,0,,13257091
646,1,225831472,
646,0,225826043,
648,1,,4479088
650,1,231805446,
652,1,,23018589
654,1,232838812,
656,1,,22945545
658,0,218597850,
658,1,218517434,
660,0,,21142755
662,1,212028874,
664,0,,1073372
666,1,204151315,
668,0,,108781
670,1,211458694,
672,1,,20099857
674,0,215119560,
676,1,,19489989
678,1,196644247,
680,1,,17625947
682,1,187620801,
684,1,,13059362
684,0,,8516196
686,0,189569176,
688,0,,17656100
688,1,,4071920
690,1,193611788,
692,1,,137763
694,0,194760912,
696,0,,17532315
698,1,186686836,
698,0,186414204,
700,1,,7719329
700,0,,12247180
702,1,182953640,
702,0,182951772,
704,1,,3810182
706,0,172268388,
706,1,172268836,
708,1,,19789894
708,0,,424389
710,0,189039155,
712,0,,13997401
714,0,205844030,
714,1,205845008,
716,1,,19648697
718,0,185331891,
720,1,,7960912
720,0,,12959125
722,0,162930400,
724,0,,16392246
726,1,161824756,
726,0,161821350,
728,1,,105466
728,0,,17578633
730,1,174690222,
732,1,,17732261
734,0,173057448,
736,1,,13263967
738,1,147550999,
738,0,147402252,
740,1,,8756954
740,0,,8090099
742,1,135689039,
742,0,135686000,
744,1,,2495159
746,1,134702820,
748,1,,13614777
748,0,,2326443
750,1,144259864,
750,0,144438556,
752,1,,196584
754,1,150054470,
756,0,,15469803
758,0,134266322,
758,1,134326368,
760,1,,4629178
762,1,133144732,
764,0,,103467
764,1,,15425194
766,1,200510012,
766,0,200446514,
768,1,,229462
768,0,,56227625
770,0,323438533,
772,1,,22800167
774,1,329013840,
774,0,329167508,
776,1,,12007286
776,0,,9698157
778,1,293971496,
778,0,294050834,
780,1,,4606647
780,0,,17404928
782,1,280976564,
784,1,,25590688
786,1,289133306,
788,1,,24004128
790,1,280158998,
792,0,,68704
794,0,277991164,
794,1,278018216,
796,0,,10661550
796,1,,13139912
798,0,323559782,
798,1,323561716,
800,0,,233769
800,1,,39436654
802,1,273787354,
804,1,,13952846
