Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 26 29 24 18 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
8 28 30 24 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
16 29 31 24 18 20 3150 7575 5250 7425 5325 7575 5250 7950 5325 54h
24 27 31 24 18 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
32 27 30 24 18 20 3150 7500 5250 7425 5400 7575 5250 7950 5250 54h
40 26 30 24 18 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
48 26 30 24 18 20 3150 7575 5250 7425 5325 7575 5250 7950 5325 54h
56 26 30 24 18 20 3150 7500 5250 7425 5400 7500 5325 7875 5250 54h
64 26 30 24 17 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
72 26 29 24 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
80 26 30 24 17 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
88 26 29 24 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
96 26 29 24 17 20 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
104 26 29 24 17 20 3225 7575 5325 7425 5400 7575 5325 7950 5250 54h
112 26 29 24 17 20 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
120 26 32 24 17 20 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
128 27 32 24 17 20 3150 7500 5250 7500 5325 7500 5250 7950 5250 54h
136 29 31 24 17 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
144 29 31 24 17 20 3150 7500 5250 7425 5325 7500 5250 7950 5325 54h
152 27 31 24 17 20 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
160 26 30 24 17 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
168 26 29 24 17 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
176 26 30 24 17 19 3150 7575 5250 7500 5325 7500 5250 7875 5250 54h
184 26 30 24 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
192 26 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
200 25 30 24 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
208 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
216 25 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
224 25 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
232 25 29 24 17 19 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
240 25 29 24 17 19 3150 7500 5325 7425 5400 7500 5325 7950 5250 54h
248 28 30 24 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
256 30 32 24 17 19 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
264 30 32 24 17 19 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
272 31 33 24 17 19 3150 7575 5250 7500 5325 7500 5250 7950 5250 54h
280 31 34 24 17 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
288 32 35 24 18 20 3150 7575 5250 7425 5400 7575 5250 7875 5325 54h
296 33 35 24 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5175 54h
304 31 35 24 18 20 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
312 32 34 24 18 20 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
320 32 34 24 18 20 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
328 30 35 24 18 20 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
336 29 36 25 18 20 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
344 33 34 25 18 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
