time,cpu,FSB,L2miss
2.005,1,22391538,
4.005,1,,7249
4.005,0,,44753
6.005,0,9517647,
8.005,0,,441851
10.005,0,1288258,
10.005,1,1289294,
12.005,0,,585960
12.005,1,,633227
14.005,0,2411456,
16.005,0,,21553
18.005,0,17950442,
20.005,0,,17712
22.005,0,8531264,
22.005,1,8554360,
24.005,0,,356551
26.005,0,2486850,
26.006,1,2512132,
28.005,1,,700478
30.005,0,583526,
30.005,1,582910,
32.005,0,,297402
34.005,1,11076452,
36.005,0,,66026
38.005,0,18289090,
38.005,1,18309534,
40.005,0,,6202
42.005,0,11195746,
42.005,1,11205206,
44.005,1,,248928
46.005,0,740886,
48.005,1,,666042
50.005,0,172346,
52.005,0,,224996
54.005,0,10347164,
56.005,0,,79324
58.005,0,16403554,
60.005,1,,5924
60.005,0,,26742
62.005,1,6311670,
64.005,1,,524515
66.005,0,2604618,
66.006,1,2625056,
68.005,0,,875619
70.005,1,1354218,
70.005,0,1356622,
72.005,0,,346777
74.005,0,9984510,
76.005,0,,37548
78.005,0,17228352,
78.005,1,17252322,
80.005,1,,58933
82.005,0,8138398,
84.005,0,,438238
86.005,1,2122290,
86.005,0,2123950,
88.005,0,,574213
90.005,1,744342,
90.005,0,746186,
92.005,0,,98114
94.005,0,16272524,
96.005,0,,109983
98.005,0,8929482,
100.005,0,,358943
102.005,1,2425246,
102.007,0,2448960,
104.005,0,,747495
106.005,0,740396,
108.005,1,,569502
110.005,0,3730946,
112.005,1,,9826
114.005,0,17824100,
116.005,0,,25953
118.005,0,7967526,
120.005,1,,424864
122.005,1,2931798,
124.005,0,,738374
126.005,1,1670272,
128.005,0,,409066
128.005,1,,231621
130.005,1,11683734,
132.005,1,,99414
132.006,0,,52363
134.005,0,16676314,
136.005,1,,10433
136.005,0,,45030
138.005,0,12126054,
138.005,1,12154216,
140.005,0,,165636
142.005,1,774408,
144.005,0,,609669
146.005,0,791424,
148.005,1,,221557
150.005,0,10757080,
152.005,0,,87528
154.005,0,16495606,
156.005,1,,10918
156.005,0,,116792
158.005,1,8860828,
160.005,0,,493890
162.005,0,2069660,
164.005,0,,611022
164.005,1,,650786
166.005,0,825912,
168.005,0,,347588
168.005,1,,317835
170.005,0,8207180,
172.005,0,,23027
174.005,0,17920490,
176.005,0,,22646
178.005,0,7896062,
178.006,1,7920808,
180.005,0,,493776
182.005,0,2749170,
182.007,1,2776662,
184.005,0,,679607
186.005,0,1726114,
188.005,1,,164741
190.005,0,12975402,
192.005,1,,66979
194.005,0,16874070,
196.005,0,,57096
198.005,0,8293874,
200.005,0,,377062
202.005,0,821904,
204.005,0,,540511
206.005,0,839804,
208.005,0,,285448
210.005,0,11207440,
212.005,0,,75388
214.005,0,16835940,
216.005,0,,110534
218.005,0,4482092,
220.005,0,,711850
222.005,0,889076,
224.005,1,,711476
226.005,0,797500,
228.005,0,,221002
230.005,0,9888038,
232.005,1,,39420
234.005,0,16762478,
234.005,1,16790172,
236.005,1,,105781
238.005,0,7665224,
240.005,1,,459457
242.005,0,2462480,
242.007,1,2488520,
244.005,0,,650778
246.005,0,1758388,
248.005,1,,144403
250.005,0,17289054,
252.005,0,,29398
254.005,0,7457476,
254.005,1,7463964,
256.005,1,,361457
258.005,1,1463224,
260.005,1,,579775
262.005,0,799330,
262.005,1,805724,
264.005,1,,478694
266.005,0,5360196,
266.005,1,5365689,
268.005,0,,20163
270.005,0,18628488,
272.005,0,,26683
274.005,1,8439746,
276.005,0,,409138
278.005,0,3392646,
280.005,0,,604857
282.005,0,861272,
284.005,1,,333543
286.005,0,11482980,
288.005,0,,46507
288.005,1,,53582
290.005,0,16881364,
292.005,0,,21379
294.005,1,9417544,
296.005,1,,362003
298.005,0,227282,
300.005,1,,712594
302.005,1,21532766,
304.005,0,,692477
306.005,0,28531812,
306.005,1,28557852,
308.006,1,,797902
308.007,0,,400528
310.005,0,33965324,
312.005,0,,493993
314.005,1,35220148,
314.005,0,35250010,
316.005,1,,801654
316.005,0,,833247
318.005,0,21325628,
320.005,0,,1548704
320.006,1,,729023
322.005,0,13219144,
324.005,1,,446140
324.006,0,,802521
326.005,1,22247096,
326.005,0,22226486,
328.005,1,,1460490
328.007,0,,52084
330.005,1,35150258,
332.005,1,,408580
334.005,1,27326204,
336.005,1,,529869
336.005,0,,1204891
338.005,1,17421408,
340.005,1,,1133081
340.005,0,,1014470
342.005,1,14734813,
344.005,1,,94897
346.005,1,35433534,
346.005,0,35461628,
348.005,1,,19140
348.005,0,,1358363
350.005,1,33281512,
350.005,0,33333964,
352.005,1,,57767
352.005,0,,1372191
354.005,0,25982550,
354.005,1,26013426,
356.005,1,,454093
356.005,0,,1428082
358.005,0,20649868,
360.005,1,,1210395
362.005,0,15211992,
364.005,1,,797956
366.005,0,29741460,
366.005,1,29747108,
368.005,1,,729945
370.005,1,36023792,
370.005,0,36039614,
372.005,0,,86412
372.005,1,,827108
374.005,0,23762682,
376.005,0,,1062339
376.005,1,,1049382
378.005,1,14989494,
380.005,0,,1067609
380.005,1,,1220302
382.005,0,8727288,
382.005,1,8722557,
384.005,1,,1614352
386.005,0,26332342,
386.005,1,26338121,
388.005,0,,679819
390.005,0,33979228,
392.005,0,,1074868
394.005,1,9253930,
396.005,1,,676184
398.005,0,32263376,
400.005,0,,1134341
400.006,1,,346697
402.005,0,22448974,
402.005,1,22424647,
404.005,1,,1470065
404.006,0,,61156
406.005,1,29324284,
406.005,0,29304340,
408.005,1,,23387
408.005,0,,1384059
410.005,1,27849128,
412.005,1,,515689
412.005,0,,1012294
414.005,1,9531270,
414.005,0,9530574,
416.005,0,,2066693
416.005,1,,596434
418.005,0,12908507,
420.005,0,,1542374
420.006,1,,303104
422.005,0,25362834,
422.005,1,25344310,
424.005,1,,1170863
426.005,0,35484912,
428.005,0,,1035389
430.005,0,20308692,
432.005,0,,1108435
434.005,1,13149392,
434.007,0,13178577,
436.005,1,,728795
438.005,0,16420250,
438.005,1,16421644,
440.005,0,,96865
442.005,0,35444158,
442.005,1,35499222,
444.005,0,,9056
444.005,1,,577980
446.005,0,35081544,
446.005,1,35070736,
448.005,1,,1222977
450.005,0,27472612,
450.005,1,27490262,
452.005,0,,1319212
454.005,1,18607824,
454.008,0,18664042,
456.005,1,,1560306
458.005,1,24314056,
460.005,0,,1474374
460.005,1,,509827
462.005,1,16450834,
464.005,0,,9951
464.005,1,,1183144
466.005,1,30747462,
468.005,1,,168629
468.005,0,,798815
470.005,1,21531422,
472.005,0,,546027
472.005,1,,853100
474.005,1,22474802,
476.005,0,,1753443
478.005,1,12231450,
478.005,0,12227616,
480.005,1,,390952
480.007,0,,1165025
482.005,1,31562070,
484.005,1,,109784
484.005,0,,864700
486.005,1,47499454,
486.005,0,47498094,
488.005,1,,536743
490.005,1,16798828,
490.006,0,16841700,
492.005,1,,1660742
494.005,1,21166468,
494.005,0,21183628,
496.005,0,,1164806
496.005,1,,1268679
498.005,0,43007180,
498.005,1,43001612,
500.005,0,,488920
502.005,0,35707110,
502.005,1,35715816,
504.005,1,,55458
506.005,1,37842796,
506.005,0,37855334,
508.005,1,,1303495
510.005,0,23969614,
512.005,1,,490130
512.005,0,,1688378
514.005,0,15838877,
516.005,0,,1722122
516.005,1,,635597
518.005,0,19844360,
520.005,0,,925154
520.007,1,,344908
522.005,0,26869434,
524.005,0,,502397
524.007,1,,63193
526.005,1,28580582,
526.005,0,28611992,
528.005,1,,37971
528.005,0,,565399
530.005,0,22941331,
530.007,1,22994792,
532.005,0,,653159
532.005,1,,1318591
534.005,1,9496508,
534.005,0,9515326,
536.005,1,,1123225
538.005,1,24227042,
540.005,1,,751134
542.005,1,38773186,
542.005,0,38776794,
544.005,0,,112433
546.005,1,27982238,
546.007,0,28037610,
548.005,1,,1343800
550.005,0,16827664,
552.005,0,,978871
552.005,1,,1755103
554.005,0,17473742,
554.005,1,17467793,
556.005,0,,442765
556.007,1,,1272688
558.005,1,28599448,
560.005,0,,11765
560.005,1,,1053373
562.005,1,30269155,
562.005,0,30554532,
564.005,1,,1246459
566.005,1,21925292,
566.005,0,21939708,
568.005,0,,1112396
570.005,1,17651774,
570.005,0,17658260,
572.005,1,,467048
572.006,0,,802881
574.005,1,25863222,
576.005,1,,757021
578.005,1,33263060,
578.005,0,33278086,
580.005,1,,1160775
582.005,1,19767280,
584.005,0,,282837
586.005,1,9272528,
588.005,1,,2060842
588.006,0,,619950
590.005,0,16419962,
590.005,1,16463824,
592.005,1,,1370182
594.005,1,20171312,
596.005,1,,983116
598.005,1,42918711,
598.005,0,42932466,
600.005,1,,56697
600.005,0,,613878
602.005,0,26094080,
604.005,1,,412857
604.005,0,,1371148
606.005,0,14379474,
608.005,1,,649686
610.005,1,20209100,
610.005,0,20229102,
612.005,1,,352235
612.005,0,,1086146
614.005,0,36434082,
614.005,1,36451800,
616.005,0,,46810
618.005,1,38320994,
620.005,0,,18396
620.005,1,,786259
622.005,1,34169366,
622.005,0,34198544,
624.005,1,,724073
626.005,1,22658402,
628.005,1,,661878
628.005,0,,938922
630.005,1,5702915,
630.005,0,5705510,
632.005,1,,119176
634.005,0,28952941,
636.005,1,,96807
636.005,0,,1193447
638.005,1,28256286,
638.005,0,28245324,
640.005,0,,315256
642.005,1,21315252,
642.008,0,21364326,
644.005,1,,718824
644.005,0,,1004257
646.005,0,21482854,
646.005,1,21527208,
648.005,1,,1132656
648.005,0,,1274924
650.005,1,10519003,
652.005,0,,424270
654.005,1,25451898,
656.005,0,,19346
658.005,0,31071850,
658.005,1,31090099,
660.005,1,,1027095
662.005,0,19713608,
664.005,0,,1283858
666.005,1,16866406,
666.005,0,16865056,
668.005,0,,880657
668.005,1,,1086611
670.005,0,16491912,
670.005,1,16489168,
672.005,0,,285674
672.006,1,,1597815
674.005,1,21041386,
676.005,0,,18109
676.005,1,,958782
678.005,1,33414497,
680.005,0,,184076
680.005,1,,1131479
682.005,0,20290638,
684.005,1,,1137060
686.005,1,15436136,
688.005,1,,1680322
690.005,0,16554458,
692.005,0,,752787
692.006,1,,1243407
694.005,1,44901374,
694.005,0,44944916,
696.005,0,,422472
696.007,1,,153513
698.005,0,38363825,
698.005,1,38329578,
700.005,1,,483082
702.005,0,19542232,
704.005,0,,818971
706.005,1,19750096,
706.005,0,19760782,
708.005,0,,1465488
710.005,1,15448546,
712.005,0,,1171820
714.005,1,25607496,
716.005,1,,64176
718.005,0,39371392,
720.005,1,,504267
722.005,1,7992614,
724.005,0,,1553220
726.005,1,12421066,
726.005,0,12417480,
728.005,1,,937272
730.005,1,9341075,
732.005,0,,585989
732.006,1,,1127021
734.005,1,21984406,
734.005,0,22025874,
736.005,0,,1129331
736.005,1,,71921
738.005,1,35785686,
738.005,0,35810174,
740.005,0,,17455
740.005,1,,1049365
742.005,0,22085756,
744.005,1,,436369
744.005,0,,1530572
746.005,1,16967198,
746.005,0,16965560,
748.005,0,,994936
750.005,1,3569716,
752.005,0,,1111417
754.005,1,31544436,
756.005,0,,861339
756.007,1,,132065
758.005,1,44548124,
