time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,25,29,25,17,20,3225,7650,5325,7500,5400,7575,5325,7950,5325,2.24E+07,26001,2.24E+01,0.26001,1936,1548.8,1161.6,58.08,58.08,0.4,1.7,23.2,21.4,23200,21400
5,26,29,25,17,20,3150,7650,5250,7500,5400,7575,5250,8025,5325,9.52E+06,2.43E+05,9.52E+00,2.433,1964,1571.2,1178.4,58.92,58.92,0,0,0,0,0,0
10,26,33,25,17,20,3225,7575,5250,7500,5400,7575,5250,7950,5325,3.78E+06,1.13E+06,3.78E+00,11.271,1451,1160.8,870.6,43.53,43.53,0,12,0,73.2,0,73200
15,26,33,25,18,20,3150,7575,5325,7500,5400,7575,5325,8025,5250,1.02E+07,21553,1.02E+01,0.21553,1480,1184,888,44.4,44.4,0,0,0,0,0,0
20,26,30,25,18,20,3150,7575,5325,7500,5400,7575,5325,7950,5325,2.18E+07,5.13E+05,2.18E+01,5.126,1479,1183.2,887.4,44.37,44.37,0,0,0,0,0,0
25,26,33,25,18,20,3150,7650,5250,7500,5400,7575,5250,8025,5325,3.76E+06,5.29E+05,3.76E+00,5.2851,1497,1197.6,898.2,44.91,44.91,0,0,0,0,0,0
30,27,33,25,18,20,3150,7650,5325,7500,5400,7575,5325,8025,5325,6.41E+06,4.99E+05,6.41E+00,4.9894,1462,1169.6,877.2,43.86,43.86,0,0,0,0,0,0
35,26,30,25,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.83E+07,66026,1.83E+01,0.66026,1438,1150.4,862.8,43.14,43.14,0,0,0,0,0,0
40,27,32,25,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5325,2.59E+07,1.31E+05,2.59E+01,1.3067,1432,1145.6,859.2,42.96,42.96,0,21.8,0,152.2,0,152200
45,29,31,25,18,21,3150,7575,5250,7500,5400,7575,5250,8025,5325,3.70E+05,3.33E+05,3.70E-01,3.3302,1405,1124,843,42.15,42.15,0,0,0,0,0,0
