 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10635664 7613788 121 223 0 0 0 0 603 6  7  0  0  483 1690  661  0  1 99
 0 0 0 10707888 7562740 158 4128 0 0 0 0 0 142 0  0  0  496 2681  280  1 10 89
 0 0 0 10707628 7562444 116 3607 0 0 0 0 0  0  0  0  0  402 2102  257  1  7 92
 0 0 0 10707380 7562348 133 3734 0 0 0 0 0  0  0  0  0  379 2223  261  1  8 91
 0 0 0 10707596 7562456 149 3899 0 0 0 0 0  0  0  0  0  399 2317  262  1 10 90
 0 0 0 10707536 7562432 116 3592 0 0 0 0 0  0  0  0  0  381 2113  255  1  8 92
 0 0 0 10707320 7562372 138 3749 0 0 0 0 0  3  0  0  0  432 2230  319  1  9 91
 0 0 0 10707488 7562436 150 3913 0 0 0 0 0  0  0  0  0  407 2339  272  1  9 90
 0 0 0 10707440 7562328 116 3588 0 0 0 0 0  0  0  0  0  401 2112  255  1  8 92
 0 0 0 10707220 7562260 133 3748 0 0 0 0 0  0  0  0  0  393 2242  312  1  8 91
 0 0 0 10707324 7562364 150 3901 0 0 0 0 0  0  0  0  0  380 2336  261  1  9 90
 0 0 0 10707416 7562348 116 3600 0 0 0 0 0  0  0  0  0  392 2120  266  1  8 92
 0 0 0 10707120 7562172 138 3755 0 0 0 0 0  3  0  0  0  433 2332  404  1  9 91
 0 0 0 10707168 7562184 150 3898 0 0 0 0 0  0  0  0  0  400 2285  271  1  9 90
 0 0 0 10707272 7562160 116 3599 0 0 0 0 0  0  0  0  0  546 2099  269  1  8 92
 0 0 0 10707048 7562088 133 3753 0 0 0 0 0  0  0  0  0  388 2198  269  1  9 91
 0 0 0 10707236 7562168 150 3900 0 0 0 0 0  0  0  0  0  399 2281  259  1  9 90
 0 0 0 10707196 7562128 116 3606 0 0 0 0 0  0  0  0  0  394 2107  255  1  8 91
 kthr      memory            page            disk          faults      cpu
