Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	26	30	25	18	21	3150	7650	5325	7500	5400	7575	5325	8025	5250
5	26	30	25	18	21	3150	7650	5250	7500	5400	7575	5250	8025	5250
10	27	30	25	18	21	3150	7650	5250	7425	5400	7575	5250	8025	5325
15	27	30	25	18	21	3150	7650	5325	7425	5325	7575	5325	8025	5250
20	27	31	25	18	21	3150	7650	5325	7500	5400	7575	5325	8025	5250
25	27	31	25	18	21	3150	7575	5250	7425	5400	7500	5250	8025	5250
30	27	31	25	18	21	3225	7575	5325	7425	5400	7575	5325	8025	5325
35	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5250	8025	5250
40	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5325	8025	5250
45	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5250	7950	5250
50	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
55	27	31	25	18	21	3150	7650	5250	7500	5400	7500	5325	7950	5250
60	28	31	25	18	21	3150	7650	5250	7500	5400	7575	5325	8025	5250
65	27	31	25	18	21	3150	7575	5325	7425	5400	7575	5325	7950	5250
70	27	31	25	18	21	3150	7575	5325	7500	5400	7575	5250	8025	5250
75	28	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
80	28	31	25	18	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
85	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5250	8025	5250
90	28	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
95	28	31	25	18	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
100	28	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	8025	5325
105	28	31	25	18	21	3150	7650	5325	7500	5400	7575	5250	7950	5325
110	31	33	25	18	21	3150	7650	5325	7500	5325	7500	5250	7950	5250
115	29	31	25	18	21	3150	7650	5325	7500	5400	7575	5250	8025	5250
120	28	31	25	18	21	3150	7650	5325	7425	5400	7500	5325	8025	5250
125	30	34	25	18	21	3150	7575	5250	7500	5325	7575	5250	7950	5250
130	28	33	25	18	21	3225	7650	5325	7500	5400	7575	5325	7950	5325
135	27	31	25	18	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
