 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10167604 7402544 131 2914 0 0 0 0 99 4  7  0  0  476 2005  340 15  7 79
 0 0 0 10508840 7364396 159 4259 0 0 0 0 0  0  0  0  0  466 2697  264  1 11 89
 0 0 0 10508812 7364264 140 3981 0 0 0 0 0  0  0  0  0  402 2338  270  1 10 89
 0 0 0 10508812 7364228 110 3361 0 0 0 0 0  0  0  0  0  404 1972  242  1  5 94
 0 0 0 10508604 7364172 151 3905 0 0 0 0 0  2  0  0  0  443 2331  302  1 10 89
 0 0 0 10508844 7364296 134 3744 0 0 0 0 0  0  0  0  0  405 2353  300  1 10 89
 0 0 0 10508800 7364240 116 3594 0 0 0 0 0  0  0  0  0  397 2076  259  1  5 94
 0 0 0 10508572 7364172 160 3912 0 0 0 0 0  0  0  0  0  406 2323  263  1 10 89
 0 0 0 10508780 7364260 134 3746 0 0 0 0 0  0  0  0  0  418 2291  257  1 10 89
 0 0 0 10509000 7364324 116 3595 0 0 0 0 0  0  0  0  0  420 2077  251  1  6 94
 0 0 0 10508548 7364136 150 3897 0 0 0 0 0  2  0  0  0  462 2320  303  1 10 89
 0 0 0 10508752 7364228 134 3757 0 0 0 0 0  0  0  0  0  398 2233  256  1 10 89
 0 0 0 10508840 7364272 116 3602 0 0 0 0 0  0  0  0  0  403 2045  255  1  6 94
 0 0 0 10508536 7364124 160 3907 0 0 0 0 0  0  0  0  0  412 2296  261  1 10 90
 0 0 0 10508512 7364096 133 3745 0 0 0 0 0  0  0  0  0  404 2262  259  1 10 89
 0 0 0 10508932 7364264 117 3604 0 0 0 0 0  0  0  0  0  387 2061  254  1  6 94
 0 0 0 10508516 7364100 151 3905 0 0 0 0 0  2  0  0  0  417 2300  301  1  9 90
 0 0 0 10508512 7364096 134 3760 0 0 0 0 0  0  0  0  0  405 2259  253  1 10 89
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10508808 7364252 184 4988 0 0 0 0 0  0  0  0  0  413 2694  312  1 10 89
 0 0 0 10508692 7364132 92 2508 0 0 0 0  0  0  0  0  0  404 1689  207  0  5 94
 0 0 0 10508488 7364076 133 3746 0 0 0 0 0  0  0  0  0  388 2301  257  1 10 89
 0 0 0 10508732 7364204 177 4990 0 0 0 0 0  0  0  0  0  382 2727  306  1 10 89
 0 0 0 10508692 7364128 90 2519 0 0 0 0  0  2  0  0  0  429 1698  243  0  5 94
