 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10039436 6968488 95 2220 0 0 0 0 17  2  7  0  0  434 1396  220 10  5 85
 0 0 0 9849488 6705336 177 4271 0 0 0 0  0  0  0  0  0  450 2734  263  1 11 89
 0 0 0 9849388 6705180 136 3626 0 0 0 0  0  0  0  0  0  392 2088  256  1  7 93
 0 0 0 9849184 6705100 169 3813 0 0 0 0  0  0  0  0  0  389 2258  259  1  9 91
 0 0 0 9849264 6705128 165 3872 0 0 0 0  0  2  0  0  0  430 2329  293  1 10 89
 0 0 0 9849352 6705100 136 3609 0 0 0 0  0  0  0  0  0  403 2091  253  1  7 93
 0 0 0 9849148 6705044 153 3766 0 0 0 0  0  0  0  0  0  395 2244  259  1  9 91
 0 0 0 9849348 6705136 170 3930 0 0 0 0  0  0  0  0  0  400 2353  261  1 10 89
 0 0 0 9849348 6705176 136 3607 0 0 0 0  0  0  0  0  0  387 2110  256  1  7 92
 0 0 0 9849140 6705056 164 3772 0 0 0 0  0  0  0  0  0  409 2251  259  1  9 91
 0 0 0 9849380 6705172 170 3923 0 0 0 0  0  2  0  0  0  429 2337  307  1 10 90
 0 0 0 9849340 6705088 136 3617 0 0 0 0  0  0  0  0  0  413 2113  252  1  7 92
 0 0 0 9849112 6705024 153 3779 0 0 0 0  0  0  0  0  0  396 2263  262  1  9 91
 0 0 0 9849360 6705156 170 3919 0 0 0 0  0  0  0  0  0  388 2315  264  1  9 90
 0 0 0 9849556 6705272 136 3616 0 0 0 0  0  0  0  0  0  395 2100  253  1  8 92
 0 0 0 9849112 6705028 164 3769 0 0 0 0  0  0  0  0  0  392 2193  259  1  9 91
 0 0 0 9849108 6705004 170 3920 0 0 0 0  0  2  0  0  0  438 2297  295  1  9 90
 0 0 0 9849544 6705172 136 3632 0 0 0 0  0  0  0  0  0  401 2110  251  1  8 92
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9849100 6704996 153 3766 0 0 0 0  0  0  0  0  0  410 2218  262  1  9 91
 0 0 0 9849096 6704996 170 3923 0 0 0 0  0  0  0  0  0  394 2291  258  1  9 90
 0 0 0 9849512 6705292 136 3615 0 0 0 0  0  0  0  0  0  404 2123  258  1  8 91
 0 0 0 9849300 6705088 164 3769 0 0 0 0  0  0  0  0  0  402 2214  261  1  9 91
 0 0 0 9849084 6704980 153 3775 0 0 0 0  0  2  0  0  0  444 2314  338  1  9 91
 0 0 0 9849388 6705124 153 3760 0 0 0 0  0  0  0  0  0  400 2202  256  1  8 91
 0 0 0 9849252 6705012 153 3773 0 0 0 0  0  0  0  0  0  543 2232  258  1  9 91
 0 0 0 9849048 6704948 153 3774 0 0 0 0  0  0  0  0  0  390 2236  261  1  9 91
 0 0 0 9849292 6705116 153 3761 0 0 0 0  0  0  0  0  0  402 2202  259  1  9 91
 0 0 0 9849252 6705024 158 3786 0 0 0 0  0  0  0  0  0  393 2239  256  1  8 91
 0 0 0 9849048 6704944 153 3764 0 0 0 0  0  2  0  0  0  471 2247  297  1  9 91
 0 0 0 9849352 6705092 153 3776 0 0 0 0  0  0  0  0  0  407 2214  254  1  9 91
 0 0 0 9849252 6705000 153 3775 0 0 0 0  0  0  0  0  0  400 2252  260  1  8 91
 0 0 0 9849048 6704948 153 3787 0 0 0 0  0  0  0  0  0  392 2251  257  1  9 91
 0 0 0 9849252 6705064 153 3782 0 0 0 0  0  0  0  0  0  379 2195  259  1  9 91
 0 0 0 9849252 6705020 158 3780 0 0 0 0  0  0  0  0  0  396 2278  257  1  9 91
 0 0 0 9849048 6704948 153 3779 0 0 0 0  0  2  0  0  0  449 2301  296  1  9 91
 0 0 0 9849268 6705072 153 3783 0 0 0 0  0  0  0  0  0  395 2205  256  1  9 91
 0 0 0 9849228 6704976 153 3781 0 0 0 0  0  0  0  0  0  406 2307  263  1  8 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9849024 6704924 153 3798 0 0 0 0  0  0  0  0  0  392 2296  258  1  9 91
 0 0 0 9849236 6705052 153 3774 0 0 0 0  0  0  0  0  0  402 2197  257  1  9 91
 0 0 0 9849196 6704976 159 3780 0 0 0 0  0  0  0  0  0  398 2200  260  1  8 91
 0 0 0 9848928 6704828 153 3763 0 0 0 0  0  2  0  0  0  446 2228  294  1  9 91
 0 0 0 9849128 6704916 153 3775 0 0 0 0  0  0  0  0  0  392 2193  255  1  8 91
 0 0 0 9849376 6705012 153 3782 0 0 0 0  0  0  0  0  0  392 2246  259  1  8 91
 0 0 0 9848928 6704828 153 3767 0 0 0 0  0  0  0  0  0  395 2248  257  1  8 91
 0 0 0 9848924 6704844 153 3780 0 0 0 0  0  0  0  0  0  404 2207  260  1  9 91
 0 0 0 9849376 6705020 158 3780 0 0 0 0  0  0  0  0  0  404 2254  260  1  8 91
 0 0 0 9848928 6704828 153 3777 0 0 0 0  0  2  0  0  0  467 2358  338  1  9 91
 0 0 0 9848900 6704812 153 3792 0 0 0 0  0  0  0  0  0  389 2208  254  1  9 91
 0 0 0 9849288 6704924 153 3778 0 0 0 0  0  0  0  0  0  559 2270  262  1  8 91
 0 0 0 9849092 6704840 153 3785 0 0 0 0  0  0  0  0  0  395 2270  260  1  8 91
 0 0 0 9848876 6704796 153 3792 0 0 0 0  0  0  0  0  0  397 2232  260  1  9 91
 0 0 0 9849352 6705008 157 3794 0 0 0 0  0  0  0  0  0  400 2275  256  1  8 91
 0 0 0 9849084 6704832 153 3798 0 0 0 0  0  2  0  0  0  453 2283  293  1  9 91
 0 0 0 9848880 6704776 153 3789 0 0 0 0  0  0  0  0  0  408 2233  255  1  9 91
 0 0 0 9849104 6704896 153 3784 0 0 0 0  0  0  0  0  0  409 2291  266  1  8 91
 0 0 0 9849064 6704812 153 3796 0 0 0 0  0  0  0  0  0  392 2290  255  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9848840 6704764 162 3795 0 0 0 0  0  0  0  0  0  404 2254  267  1  9 91
 0 0 0 9849084 6704872 153 3794 0 0 0 0  0  0  0  0  0  384 2245  261  1  9 91
 0 0 0 9849024 6704784 153 3787 0 0 0 0  0  2  0  0  0  488 2303  308  1  9 91
 0 0 0 9848816 6704716 153 3790 0 0 0 0  0  0  0  0  0  403 2250  256  1  9 91
 0 0 0 9849060 6704848 167 4016 0 0 0 0  0  0  0  0  0  407 2414  268  1  9 91
 0 0 0 9819088 6674240 279 5848 0 0 0 0  0  5  0  0  0  961 6238  316 23 10 66
