Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	25	29	24	17	20	3150	7575	5250	7500	5400	7650	5325	7950	5325
5	25	29	24	17	20	3150	7575	5325	7500	5325	7575	5250	7950	5250
10	26	29	24	17	20	3150	7650	5325	7500	5400	7650	5250	8025	5325
15	26	29	24	17	20	3150	7575	5325	7500	5400	7575	5250	7950	5250
20	26	29	24	17	20	3150	7650	5325	7500	5325	7650	5325	7950	5250
25	26	30	24	18	20	3150	7575	5325	7500	5400	7575	5325	8025	5250
30	26	30	24	18	20	3150	7575	5250	7500	5400	7575	5325	8025	5250
35	26	30	24	18	20	3150	7575	5325	7500	5400	7650	5250	8025	5325
40	27	30	24	18	20	3150	7575	5325	7500	5400	7575	5250	7950	5325
45	27	30	24	18	20	3150	7575	5325	7425	5400	7575	5250	7950	5325
50	27	30	24	18	20	3150	7650	5325	7425	5400	7650	5325	7950	5250
55	27	30	24	18	20	3150	7575	5325	7425	5400	7575	5325	7950	5325
60	27	30	24	18	20	3150	7575	5325	7425	5400	7575	5250	8025	5325
65	27	30	24	18	20	3150	7575	5250	7500	5400	7650	5325	7950	5250
70	27	30	24	18	20	3150	7575	5250	7425	5400	7575	5325	7950	5250
75	27	30	24	18	20	3150	7575	5325	7425	5400	7575	5250	7950	5325
80	27	30	24	18	20	3150	7650	5325	7500	5400	7650	5325	8025	5325
85	27	31	24	18	20	3150	7575	5325	7425	5400	7575	5250	8025	5250
90	27	30	24	18	20	3150	7575	5325	7500	5400	7575	5250	8025	5250
95	27	30	24	18	20	3150	7650	5250	7425	5400	7650	5325	7950	5325
100	27	30	24	18	20	3150	7650	5250	7500	5325	7650	5325	7950	5325
105	27	31	24	18	20	3150	7575	5325	7425	5400	7575	5325	8025	5250
110	27	31	24	18	21	3150	7575	5250	7500	5400	7575	5325	8025	5325
115	27	31	24	18	21	3225	7575	5325	7500	5325	7575	5250	7950	5250
120	27	31	24	18	21	3150	7575	5325	7500	5400	7500	5250	8025	5250
125	27	31	24	18	21	3150	7650	5250	7425	5400	7575	5325	8025	5250
130	27	31	24	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5325
135	27	31	24	18	21	3150	7575	5250	7500	5400	7575	5325	8025	5250
140	27	31	24	18	21	3150	7650	5325	7425	5400	7575	5325	8025	5325
145	27	31	24	18	21	3150	7650	5325	7425	5400	7575	5250	7950	5325
150	27	31	24	18	21	3225	7650	5325	7500	5400	7575	5325	8025	5325
155	27	31	25	18	21	3150	7650	5250	7500	5400	7575	5325	8025	5325
160	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5325	7950	5250
165	28	31	25	18	21	3150	7650	5325	7500	5400	7575	5325	7950	5325
170	28	31	25	18	21	3150	7575	5325	7500	5400	7575	5325	8025	5250
175	27	31	25	18	21	3150	7650	5325	7500	5400	7500	5325	7950	5250
180	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
185	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5325	8025	5250
190	27	31	25	18	21	3150	7650	5250	7425	5400	7575	5250	7950	5250
195	27	31	25	18	21	3150	7650	5325	7500	5400	7575	5325	8025	5250
200	27	31	25	18	21	3150	7575	5250	7500	5400	7650	5250	7950	5250
205	27	31	25	18	21	3150	7650	5325	7425	5400	7575	5325	7950	5250
210	28	31	25	18	21	3150	7650	5325	7425	5325	7575	5325	7950	5250
215	27	31	25	18	21	3150	7650	5250	7500	5400	7575	5250	7950	5250
