 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9948360 6884796 106 2468 0 0 0 0 14  2  7  0  0  438 1589  303 12  6 82
 0 0 0 9815884 6671628 179 4280 0 0 0 0  0  0  0  0  0  461 2758  269  1 10 89
 0 0 0 9815688 6671416 135 3620 0 0 0 0  0  3  0  0  0  441 2185  358  1  7 93
 0 0 0 9815484 6671380 167 3817 0 0 0 0  0  0  0  0  0  413 2251  257  1  9 91
 0 0 0 9815724 6671516 165 3868 0 0 0 0  0  0  0  0  0  394 2336  265  1 10 89
 0 0 0 9815684 6671432 136 3615 0 0 0 0  0  0  0  0  0  404 2115  257  1  7 93
 0 0 0 9815480 6671380 153 3768 0 0 0 0  0  0  0  0  0  399 2227  257  1  9 91
 0 0 0 9815580 6671456 170 3926 0 0 0 0  0  0  0  0  0  390 2362  262  1 10 89
 0 0 0 9815860 6671572 136 3610 0 0 0 0  0  2  0  0  0  404 2099  290  1  7 92
 0 0 0 9815480 6671380 162 3765 0 0 0 0  0  0  0  0  0  395 2190  254  1  9 91
 0 0 0 9815476 6671372 170 3925 0 0 0 0  0  0  0  0  0  389 2334  271  1 10 90
 0 0 0 9815964 6671564 135 3615 0 0 0 0  0  0  0  0  0  410 2099  253  1  7 92
 0 0 0 9815668 6671424 153 3781 0 0 0 0  0  0  0  0  0  398 2214  257  1  9 91
 0 0 0 9815452 6671348 170 3919 0 0 0 0  0  0  0  0  0  403 2321  263  1  9 90
 0 0 0 9815872 6671572 157 3771 0 0 0 0  0  2  0  0  0  456 2276  299  1 10 89
 0 0 0 9815656 6671420 139 3622 0 0 0 0  0  0  0  0  0  401 2059  249  1  6 93
 0 0 0 9815452 6671356 171 3914 0 0 0 0  0  0  0  0  0  397 2323  267  1  9 90
 0 0 0 9815660 6671452 153 3781 0 0 0 0  0  0  0  0  0  397 2291  258  1 10 89
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9815656 6671404 136 3617 0 0 0 0  0  0  0  0  0  398 2079  254  1  6 93
 0 0 0 9815440 6671340 170 3921 0 0 0 0  0  0  0  0  0  403 2321  262  1  9 90
 0 0 0 9815544 6671448 157 3770 0 0 0 0  0  2  0  0  0  465 2296  290  1 10 89
 0 0 0 9815616 6671372 140 3614 0 0 0 0  0  0  0  0  0  401 2085  251  1  7 93
 0 0 0 9815412 6671312 171 3934 0 0 0 0  0  0  0  0  0  403 2332  266  1  9 91
 0 0 0 9815608 6671396 153 3760 0 0 0 0  0  0  0  0  0  400 2306  258  1 10 89
 0 0 0 9815580 6671340 135 3612 0 0 0 0  0  0  0  0  0  410 2101  260  1  7 93
 0 0 0 9815376 6671276 153 3772 0 0 0 0  0  0  0  0  0  409 2255  260  1  9 91
 0 0 0 9815608 6671412 174 3923 0 0 0 0  0  2  0  0  0  427 2479  345  1 10 89
 0 0 0 9815588 6671352 140 3634 0 0 0 0  0  0  0  0  0  402 2112  252  1  7 92
 0 0 0 9815368 6671264 153 3761 0 0 0 0  0  0  0  0  0  406 2290  267  1  9 91
 0 0 0 9815364 6671264 170 3933 0 0 0 0  0  0  0  0  0  396 2386  263  1 10 90
 0 0 0 9815672 6671384 135 3622 0 0 0 0  0  0  0  0  0  410 2127  252  1  7 92
 0 0 0 9815368 6671268 153 3783 0 0 0 0  0  0  0  0  0  411 2275  261  1  9 91
 0 0 0 9815364 6671288 175 3939 0 0 0 0  0  2  0  0  0  447 2390  297  1 10 90
 0 0 0 9815820 6671472 142 3623 0 0 0 0  0  0  0  0  0  416 2132  251  1  7 92
 0 0 0 9815580 6671332 153 3781 0 0 0 0  0  0  0  0  0  396 2202  266  1  9 91
 0 0 0 9815340 6671256 170 3938 0 0 0 0  0  0  0  0  0  397 2299  270  1  9 90
 0 0 0 9815384 6671252 153 3780 0 0 0 0  0  0  0  0  0  398 2249  259  1 10 89
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9815492 6671240 136 3642 0 0 0 0  0  0  0  0  0  397 2056  260  1  6 93
 0 0 0 9815288 6671208 175 3934 0 0 0 0  0  2  0  0  0  433 2307  304  1  9 90
 0 0 0 9815524 6671308 158 3778 0 0 0 0  0  0  0  0  0  405 2251  253  1 10 89
 0 0 0 9815492 6671240 136 3616 0 0 0 0  0  0  0  0  0  410 2075  257  1  6 93
 0 0 0 9815288 6671188 170 3919 0 0 0 0  0  0  0  0  0  412 2302  263  1  9 90
 0 0 0 9815532 6671320 153 3784 0 0 0 0  0  0  0  0  0  395 2263  257  1 10 89
 0 0 0 9815492 6671240 135 3614 0 0 0 0  0  0  0  0  0  400 2084  256  1  7 93
 0 0 0 9815288 6671208 175 3938 0 0 0 0  0  2  0  0  0  443 2316  301  1  9 91
 0 0 0 9815584 6671336 158 3780 0 0 0 0  0  0  0  0  0  386 2262  255  1 10 89
 0 0 0 9815492 6671240 135 3626 0 0 0 0  0  0  0  0  0  402 2130  264  1  7 93
 0 0 0 9815268 6671176 153 3793 0 0 0 0  0  0  0  0  0  402 2239  261  1  9 91
 0 0 0 9815408 6671248 170 3927 0 0 0 0  0  0  0  0  0  400 2334  261  1 10 89
 0 0 0 9815712 6671344 136 3635 0 0 0 0  0  0  0  0  0  400 2126  256  1  7 92
 0 0 0 9815252 6671172 153 3788 0 0 0 0  0  3  0  0  0  471 2336  355  1  9 91
 0 0 0 9815244 6671148 180 3948 0 0 0 0  0  0  0  0  0  560 2328  261  1 10 89
 0 0 0 9815696 6671320 136 3645 0 0 0 0  0  0  0  0  0  404 2141  260  1  7 92
 0 0 0 9815248 6671148 153 3789 0 0 0 0  0  0  0  0  0  386 2258  258  1  9 91
 0 0 0 9815236 6671136 170 3939 0 0 0 0  0  0  0  0  0  403 2331  260  1 10 90
 0 0 0 9815588 6671308 136 3648 0 0 0 0  0  0  0  0  0  412 2160  256  1  8 92
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9815432 6671220 153 3785 0 0 0 0  0  3  0  0  0  519 2196  319  1  9 91
 0 0 0 9815228 6671172 164 3799 0 0 0 0  0  0  0  0  0  401 2192  254  1  9 91
 0 0 0 9815412 6671244 153 3787 0 0 0 0  0  0  0  0  0  398 2208  259  1  9 91
 0 0 0 9815408 6671160 153 3790 0 0 0 0  0  0  0  0  0  404 2204  260  1  8 91
 0 0 0 9815204 6671104 157 3878 0 0 0 0  0  0  0  0  0  407 2241  259  1  9 91
 0 0 0 9759576 6617508 381 12554 0 0 0 0 0  1  0  0  0  487 6466  298 23 12 66
 0 0 0 9630304 6499068 165 3802 0 0 0 0  0 32  0  0  0  764 2212  320 26 10 64
 0 0 0 9630288 6499216 175 3781 0 0 0 0  0  0  0  0  0  411 2201  259 26  9 65
 0 0 0 9630084 6499140 165 3797 0 0 0 0  0  0  0  0  0  417 2248  267 26 10 65
 0 0 0 9630080 6499136 164 3780 0 0 0 0  0  0  0  0  0  432 2224  263 26 10 65
 0 0 0 9630308 6499252 164 3790 0 0 0 0  0  0  0  0  0  435 2213  261 26 10 65
 0 0 0 9630388 6499280 165 3801 0 0 0 0  0  0  0  0  0  441 2230  266 26 10 65
 0 0 0 9630468 6499348 170 3784 0 0 0 0  0  2  0  0  0  464 2241  292 26 10 65
 0 0 0 9630288 6499176 170 3796 0 0 0 0  0  0  0  0  0  411 2209  262 26  9 65
 0 0 0 9630064 6499128 165 3790 0 0 0 0  0  0  0  0  0  424 2237  264 26 10 65
 0 0 0 9630060 6499116 164 3793 0 0 0 0  0  0  0  0  0  431 2251  265 26 10 65
 0 0 0 9630056 6499112 165 3802 0 0 0 0  0  0  0  0  0  410 2227  260 26  9 65
 0 0 0 9630160 6499188 165 3787 0 0 0 0  0  0  0  0  0  449 2258  260 26  9 65
 0 0 0 9630504 6499316 170 3800 0 0 0 0  0  2  0  0  0  479 2359  344 26 10 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9630264 6499156 170 3792 0 0 0 0  0  0  0  0  0  579 2214  261 26 10 65
 0 0 0 9630052 6499100 164 3796 0 0 0 0  0  0  0  0  0  439 2273  265 26 10 64
 0 0 0 9630048 6499100 164 3804 0 0 0 0  0  0  0  0  0  414 2279  264 26  9 65
 0 0 0 9630044 6499096 164 3784 0 0 0 0  0  0  0  0  0  400 2230  261 26 10 65
 0 0 0 9630252 6499196 165 3799 0 0 0 0  0  0  0  0  0  414 2282  264 26 10 65
 0 0 0 9630504 6499356 170 3791 0 0 0 0  0  3  0  0  0  504 2207  308 26 10 65
 0 0 0 9630232 6499136 170 3796 0 0 0 0  0  0  0  0  0  410 2198  261 26  9 65
 0 0 0 9630024 6499076 165 3803 0 0 0 0  0  0  0  0  0  444 2221  264 26 10 65
 0 0 0 9630024 6499072 165 3789 0 0 0 0  0  0  0  0  0  446 2219  261 26 10 65
 0 0 0 9630020 6499072 164 3789 0 0 0 0  0  0  0  0  0  446 2203  266 26 10 64
 0 0 0 9630268 6499208 165 3802 0 0 0 0  0  0  0  0  0  431 2217  263 26 10 65
 0 0 0 9630476 6499296 170 3787 0 0 0 0  0  2  0  0  0  462 2225  295 26 10 65
 0 0 0 9630228 6499120 170 3806 0 0 0 0  0  0  0  0  0  417 2205  264 26  9 65
 0 0 0 9630024 6499068 165 3787 0 0 0 0  0  0  0  0  0  433 2235  263 26 10 65
 0 0 0 9630024 6499072 165 3797 0 0 0 0  0  0  0  0  0  409 2246  267 26 10 65
 0 0 0 9630020 6499068 165 3798 0 0 0 0  0  0  0  0  0  402 2218  259 26 10 64
 0 0 0 9630020 6499068 164 3794 0 0 0 0  0  0  0  0  0  402 2244  268 26 10 64
 0 0 0 9630324 6499208 165 3806 0 0 0 0  0  2  0  0  0  465 2254  295 26 10 65
 0 0 0 9630300 6499264 170 3788 0 0 0 0  0  0  0  0  0  407 2221  262 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9630188 6499040 165 3794 0 0 0 0  0  0  0  0  0  430 2248  261 26  9 65
