time,cpu,FSB,L2miss
2,1,16538374,
4,1,,7920
6,0,8810804,
8,0,,456638
10,1,2596894,
10,0,2625356,
12,0,,736534
14,0,362714,
14,1,365402,
16,0,,376645
18,0,11586590,
20,0,,130779
22,1,17860544,
24,1,,5477
24,0,,23371
26,1,17443536,
28,1,,25834
30,0,111827,
32,0,,667147
34,0,175710,
36,1,,321967
38,0,10185386,
40,0,,53324
42,1,17659192,
44,0,,3788
44,1,,28373
46,1,8589936,
48,1,,617584
50,0,2613306,
52,0,,565808
54,0,163060,
56,1,,610949
58,0,3148364,
60,0,,9513
62,0,18273842,
64,0,,5696
66,1,8520337,
68,0,,444027
70,1,2084562,
72,1,,753318
74,0,355392,
76,0,,248687
76,1,,374688
78,0,11580888,
80,0,,52574
80,1,,131709
82,0,17920612,
84,0,,17145
86,0,13747996,
86,1,13763754,
88,1,,128996
90,0,157476,
92,0,,776594
94,1,192332,
96,0,,230972
96,1,,325001
98,0,10445572,
100,1,,63567
102,0,17435066,
104,0,,3619
104,1,,27443
106,0,8414110,
106,1,8425270,
108,0,,472204
110,0,2450038,
112,1,,723378
114,0,233970,
116,0,,338232
116,1,,479091
118,1,6605892,
120,1,,9041
122,0,18470839,
124,1,,14210
126,0,8487396,
128,1,,384106
130,0,1966950,
132,1,,589068
132,0,,727329
134,1,386340,
134,0,385010,
136,0,,310897
138,0,12224410,
140,0,,33977
142,0,17944176,
144,0,,17718
146,1,9848444,
148,1,,414852
150,1,121586,
150,0,123306,
152,0,,604669
152,1,,743312
154,1,226796,
156,1,,297169
158,1,10631464,
160,0,,52882
162,0,17833586,
164,1,,29297
166,0,5898660,
168,0,,523294
170,1,1329064,
172,0,,282851
174,0,10430554,
176,1,,50006
178,1,16499972,
180,0,,7898
182,0,17770206,
182,1,17787514,
184,1,,37788
186,1,709324,
186,0,722612,
188,1,,676722
188,0,,672412
190,0,545244,
192,0,,352958
194,0,10249704,
196,0,,145958
198,0,17107309,
200,0,,5880
202,0,8616366,
202,1,8625804,
204,1,,470346
206,0,2028190,
208,0,,543982
210,1,200346,
212,0,,556646
212,1,,478988
214,1,3862626,
214,0,3898842,
216,0,,29231
218,0,18200452,
220,1,,25482
222,0,9073498,
224,1,,410549
226,1,3232882,
226,0,3249446,
228,0,,595918
230,1,1344614,
230,0,1343238,
232,0,,288911
234,0,10674392,
236,1,,52483
238,0,16692658,
240,0,,19176
242,1,10770796,
244,1,,361265
246,0,685164,
248,0,,765928
250,1,597504,
252,0,,333483
252,1,,244083
254,0,10640836,
256,0,,145395
258,0,17533396,
260,0,,6326
260,1,,103096
262,0,6861626,
262,1,6895364,
264,0,,457684
266,1,1771506,
268,0,,544525
268,1,,710262
270,0,178744,
272,0,,261335
274,1,9881422,
276,1,,87806
278,0,14337840,
280,1,,4121
280,0,,27584
282,0,8689152,
284,0,,402716
286,0,2924514,
288,0,,667652
290,1,1355036,
290,0,1355508,
292,1,,700812
294,0,1004588,
296,1,,19549
298,1,17810516,
300,0,,19231
302,1,29724554,
304,0,,1462303
304,1,,779677
306,1,59597206,
308,1,,1968000
310,1,138654332,
312,1,,5501246
312,0,,217125
314,1,61074054,
316,0,,135165
318,0,53452736,
318,1,53477081,
320,0,,648137
320,1,,3955055
322,1,45328406,
322,0,45405648,
324,0,,611216
324,1,,4040099
326,1,43258648,
328,1,,3412098
330,1,51158830,
330,0,51172749,
332,1,,140457
332,0,,3643234
334,0,60389378,
336,1,,40750
336,0,,3695659
338,0,53822142,
340,1,,3924732
342,0,45922712,
344,0,,3319079
346,1,45949862,
346,0,45955082,
348,1,,2506718
348,0,,1276043
350,1,58043904,
350,0,58010836,
352,1,,166505
352,0,,2972021
354,1,63626158,
354,0,63630818,
356,1,,32207
356,0,,10022524
358,0,248073856,
358,1,248348677,
360,1,,19493092
362,1,237148134,
364,0,,8148904
364,1,,12748516
366,0,239361715,
366,1,239360366,
368,0,,4323896
370,0,245655140,
372,1,,3312873
372,0,,16688770
374,0,241493658,
374,1,241649608,
376,1,,20060616
378,1,242607689,
380,0,,568944
380,1,,19874145
382,1,239783144,
384,1,,11716034
386,0,238760930,
386,1,238565804,
388,1,,13047029
390,1,241163532,
390,0,241224264,
392,1,,50268
392,0,,20221212
394,0,246154470,
396,1,,45491
396,0,,19912561
398,1,241900205,
400,1,,7637051
402,0,234164076,
402,1,234261754,
404,1,,5432923
406,0,244158708,
406,1,244186457,
408,0,,4770008
410,1,245588054,
412,1,,20414329
414,1,241785558,
414,0,241804810,
416,0,,52619
418,1,241540322,
420,1,,367295
420,0,,20345144
422,0,235109236,
424,0,,8634703
426,0,242711996,
426,1,242726875,
428,0,,15120840
430,1,241779494,
430,0,241796014,
432,1,,19959587
432,0,,129731
434,1,244050818,
434,0,243537864,
436,1,,173415
436,0,,15046992
438,0,101270440,
440,0,,5197205
442,0,96007526,
442,1,96118428,
444,1,,925455
444,0,,5346786
446,0,89569598,
448,1,,190334
450,1,106841354,
450,0,106862648,
452,0,,45667
452,1,,5816715
454,0,103716106,
454,1,103710342,
456,1,,43311
456,0,,5733498
458,0,100158621,
458,1,100293332,
460,1,,4711485
462,1,96434618,
464,1,,3571833
464,0,,3139948
466,1,94092544,
466,0,94094786,
468,0,,5501557
468,1,,602415
470,1,102181388,
472,1,,5488994
474,0,103744794,
474,1,103745584,
476,1,,5494446
476,0,,38377
478,0,100685404,
478,1,100991570,
480,0,,2842500
480,1,,3461773
482,1,88849596,
482,0,89006822,
484,1,,4106772
484,0,,2355874
486,0,78979438,
486,1,79009230,
488,0,,4207400
488,1,,476688
490,0,70272906,
492,1,,61691
492,0,,3498939
494,0,88507742,
494,1,88529450,
496,0,,3476091
498,1,83341846,
498,0,83344474,
500,1,,1758908
502,1,70026828,
504,0,,2067919
506,1,60908144,
506,0,60904215,
508,1,,824782
510,0,72984244,
512,1,,44169
512,0,,3469897
514,1,88066720,
516,1,,31163
516,0,,2831834
518,1,70578572,
520,1,,1069545
520,0,,3184415
522,1,65604202,
522,0,65658074,
524,0,,3050643
526,1,68392880,
526,0,68401268,
528,1,,530208
530,1,74131492,
532,0,,47630
532,1,,2913455
534,0,93011488,
536,1,,93506
536,0,,3082232
538,0,103589530,
540,0,,3997727
540,1,,4882104
542,1,133869930,
542,0,133951234,
544,1,,2800552
544,0,,5712265
546,1,75276404,
548,1,,1745079
548,0,,5637612
550,0,88530372,
552,1,,140133
554,1,112229978,
556,0,,129333
558,1,99319954,
560,0,,722103
560,1,,6780658
562,1,101445450,
562,0,101850678,
564,0,,5261778
566,0,96388717,
566,1,96391040,
568,1,,7862727
568,0,,304184
570,0,90503176,
572,0,,7373114
572,1,,100067
574,0,103838094,
576,1,,17648619
578,0,249579100,
580,1,,8988987
580,0,,11097941
582,0,244760594,
584,1,,4053617
584,0,,16088595
586,1,245299504,
586,0,245296050,
588,0,,18279817
590,1,252655658,
590,0,252495902,
592,0,,20275755
592,1,,109476
594,1,250985633,
596,1,,23899
596,0,,19846862
598,1,250650262,
598,0,250690416,
600,1,,15483837
602,1,246767188,
604,1,,13701043
