time,cpu,FSB,L2miss
2.004,1,18890796,
4.004,0,,4314
4.004,1,,64885
6.004,1,10606494,
8.004,1,,491360
10.004,0,3320664,
12.004,1,,607963
14.004,1,1513798,
16.004,0,,369066
18.004,0,12920650,
20.004,1,,142933
20.005,0,,40385
22.004,0,19066504,
24.004,0,,28481
26.004,1,10195768,
28.004,0,,395256
30.004,0,7119948,
32.004,0,,624900
34.004,0,1343340,
36.004,1,,367831
38.004,0,13023050,
40.004,1,,36157
42.004,1,20238384,
44.004,1,,91892
46.004,0,16363677,
46.004,1,16379100,
48.004,1,,237127
50.004,0,1197156,
52.004,1,,681052
54.004,1,344342,
56.004,1,,305439
58.004,1,11955888,
60.004,1,,122494
62.004,1,19711392,
64.004,0,,51623
66.004,0,21322690,
66.004,1,21336238,
68.004,1,,22179
70.004,0,2837028,
72.004,1,,743968
72.014,0,,813079
74.004,1,7635250,
76.004,1,,448504
76.006,0,,304235
78.004,1,21689800,
80.004,0,,572618
82.004,1,22458706,
84.004,1,,25180
86.004,1,20637668,
88.004,0,,5368
88.004,1,,73599
90.004,0,2353814,
90.004,1,2351168,
92.004,1,,789426
94.004,0,1313592,
94.004,1,1314880,
96.004,1,,351067
98.004,1,12740238,
100.004,0,,38735
102.004,1,19579742,
104.004,0,,7730
106.004,1,10019508,
108.004,0,,504475
110.004,1,2447540,
112.004,1,,709900
114.004,0,314716,
116.004,0,,397527
118.004,0,10078160,
120.004,0,,225698
120.004,1,,345834
122.004,1,14462556,
124.004,1,,4459
124.004,0,,58877
126.004,0,10108572,
126.005,1,10136726,
128.004,0,,556628
130.004,1,2918642,
132.004,1,,790749
134.004,0,1554446,
136.004,0,,577046
136.004,1,,680078
138.004,1,5261892,
140.004,1,,91486
142.004,0,20314388,
144.004,0,,27625
146.004,0,9479882,
148.004,0,,531092
150.004,0,3096156,
152.004,1,,671176
154.004,1,1318520,
154.004,0,1321306,
156.004,0,,842787
156.004,1,,706886
158.004,1,1867722,
160.004,1,,57472
162.004,0,20469698,
164.004,0,,84997
166.004,1,10859404,
166.005,0,10879842,
168.004,1,,453420
170.004,0,3166196,
172.004,0,,692732
174.004,0,251454,
176.004,1,,329806
178.004,1,12554678,
180.004,1,,64516
182.004,1,20132196,
184.004,1,,3702
184.004,0,,60001
186.004,1,10829728,
188.004,0,,481918
190.004,0,7353872,
190.004,1,7374706,
192.004,1,,582799
194.004,0,1523439,
194.004,1,1524232,
196.004,0,,295258
198.004,0,12685144,
200.004,0,,146749
202.004,0,19274694,
204.004,1,,18387
206.004,0,16010274,
206.004,1,16030298,
208.004,1,,189650
210.004,0,1292480,
212.004,0,,745647
214.004,1,1276680,
216.004,0,,390102
218.004,1,12782522,
220.004,1,,114844
222.004,1,19922236,
224.004,0,,76936
226.004,1,21430692,
228.004,1,,3266
228.004,0,,104633
230.004,1,1301078,
230.004,0,1295632,
232.004,0,,779554
234.004,1,295420,
236.004,0,,273518
238.004,0,11956536,
240.004,1,,87452
242.004,0,19504032,
244.004,1,,64175
246.004,0,9862598,
246.004,1,9876952,
248.004,0,,439654
250.004,1,2572148,
252.004,1,,766929
252.004,0,,753003
254.004,0,1540876,
254.004,1,1546292,
256.004,0,,384866
258.004,0,12180432,
260.004,0,,230146
260.004,1,,172052
262.004,1,15879672,
262.004,0,15894914,
264.004,0,,4781
264.004,1,,30738
266.004,0,9299408,
268.004,0,,485033
270.004,1,2784050,
272.004,0,,667944
274.004,0,1221338,
