time,cpu,FSB,L2miss
2,1,25053316,
4,0,,45806
6,1,10701616,
6,0,10726802,
8,0,,512888
10,0,3291158,
12,1,,661257
14,1,286916,
14,0,290656,
16,0,,287064
18,0,12273228,
20,1,,59127
22,1,20029606,
24,0,,59799
26,1,14042740,
26,0,14081012,
28,1,,309491
30,0,1837524,
32,1,,815929
34,1,1561924,
36,0,,381637
36,1,,307195
38,0,12682670,
40,1,,170321
42,0,19043930,
44,1,,18087
46,0,4750238,
46,1,4804784,
48,0,,696347
50,0,1360698,
52,1,,679312
54,0,1180944,
56,1,,327995
58,0,12475992,
60,0,,120611
62,0,20508598,
64,1,,5052
64,0,,84983
66,1,9834330,
66,0,9852500,
68,1,,526727
70,0,2627316,
72,0,,731003
74,1,312261,
74,0,314288,
76,0,,292128
78,0,11125742,
80,0,,54823
82,0,21217366,
82,1,21230348,
84,1,,31284
86,0,10066176,
88,1,,422929
90,1,3035388,
90,0,3064128,
92,1,,713155
94,1,1482496,
96,0,,690789
98,1,4353762,
100,1,,109283
102,1,20569132,
104,0,,7260
104,1,,37705
106,0,9337658,
106,1,9352312,
108,1,,452426
110,0,3136302,
112,1,,780095
114,0,1285776,
116,1,,346982
118,1,13173514,
120,1,,108902
122,1,20290664,
124,1,,8325
126,0,10939760,
126,1,10968862,
128,0,,539884
130,1,1414702,
130,0,1415534,
132,0,,771249
132,1,,750621
134,1,1205620,
136,0,,265345
138,1,12142266,
140,1,,31000
140,0,,121987
142,0,19931013,
144,1,,49238
146,0,16734950,
146,1,16764314,
148,1,,321677
150,1,1635308,
152,1,,897034
154,1,1407558,
156,1,,271401
156,0,,402617
158,0,12556206,
160,1,,164254
162,1,18984702,
164,0,,6175
164,1,,26221
166,1,6958238,
168,0,,647168
170,0,2291436,
172,1,,799281
174,1,1141608,
176,0,,333761
176,1,,367510
178,0,12360942,
180,0,,141822
182,0,20070452,
184,0,,75669
186,0,9990688,
188,0,,594205
190,0,2650632,
192,1,,683513
194,1,348336,
196,0,,391416
198,0,8494480,
200,1,,5446
200,0,,59000
202,0,21354582,
204,0,,53580
206,0,10345196,
208,0,,465915
210,1,3152426,
212,0,,712108
214,0,1446786,
216,0,,126132
216,1,,151734
218,0,17838812,
220,0,,101772
222,1,20679258,
224,0,,20937
226,1,9727098,
226,0,9752930,
228,1,,570057
230,1,3166246,
232,1,,719318
234,0,1156882,
236,1,,324025
238,1,13218111,
240,1,,47953
242,0,20537950,
242,1,20545624,
244,0,,82400
246,1,10824812,
248,1,,430768
250,0,1363961,
252,0,,775586
252,1,,700770
254,0,1631708,
256,1,,279450
258,1,12300580,
260,0,,64944
262,1,20049652,
264,0,,8683
266,0,15176648,
266,1,15220522,
268,1,,362358
270,1,1950188,
272,1,,810533
274,0,1403938,
276,0,,344097
276,1,,359808
278,0,12718924,
280,1,,64341
282,1,19173106,
284,0,,4001
284,1,,24748
286,0,5423640,
286,1,5420832,
288,0,,630311
290,0,1399846,
292,1,,693998
294,1,1203306,
296,0,,378943
298,0,12590620,
298,1,12623504,
300,1,,91650
302,0,45738186,
304,1,,4080685
306,1,182956904,
308,0,,3981617
308,1,,3854216
310,1,186312608,
312,0,,1871377
312,1,,6317888
314,0,185981416,
314,1,185982096,
316,1,,6099446
316,0,,1395329
318,1,192607758,
320,1,,266135
322,1,197593616,
324,1,,6821533
326,0,189549500,
326,1,189553128,
328,1,,948708
328,0,,6933655
330,1,190895726,
332,0,,5199914
334,0,187010040,
336,0,,7050534
336,1,,170418
338,0,193488388,
338,1,193422232,
340,0,,177699
340,1,,6774765
342,1,188437424,
344,0,,2953972
346,1,188090622,
346,0,188101598,
348,1,,7079798
350,1,186927586,
350,0,186950586,
352,1,,757961
352,0,,6693264
354,1,195256893,
356,1,,6839846
356,0,,167504
358,0,188089868,
358,1,188108304,
360,1,,6848670
362,0,190632801,
362,1,190633880,
364,1,,3197971
364,0,,4720927
366,1,187478187,
366,0,187481102,
368,0,,4949510
370,1,190622690,
370,0,190617824,
372,1,,614084
372,0,,6468267
374,1,190177380,
376,1,,114412
376,0,,7016331
378,0,187157939,
378,1,187174020,
380,1,,642667
380,0,,7287856
382,0,188376136,
382,1,188563038,
384,1,,2330845
386,0,189046340,
386,1,189053212,
388,1,,6475873
390,0,192364158,
392,0,,7003897
392,1,,182233
394,0,193824098,
394,1,193755422,
396,1,,6821477
398,0,188151221,
400,0,,1668617
400,1,,6630067
402,0,188305686,
404,1,,6683513
406,0,192391328,
406,1,192437974,
408,1,,6822465
410,1,190003688,
412,1,,6798677
414,1,189152870,
414,0,189244247,
416,1,,5013591
418,1,189113614,
418,0,189273900,
420,0,,2213540
420,1,,5771262
422,1,186883974,
424,1,,6474950
426,0,195140318,
426,1,195142250,
428,1,,6807970
430,1,190172636,
432,1,,2544691
432,0,,4988278
434,1,188134560,
434,0,188123414,
436,1,,841478
436,0,,7500036
438,0,186664900,
440,1,,404347
440,0,,7068991
442,1,195245421,
444,0,,112441
444,1,,6833935
446,0,196067472,
446,1,196025464,
448,0,,128962
448,1,,6817337
450,0,186626082,
452,0,,1744796
452,1,,6161937
454,0,187840566,
454,1,187819046,
456,1,,4398855
458,1,186878078,
458,0,186889414,
460,0,,282299
460,1,,6902699
462,1,194353788,
464,1,,6820713
466,0,186060366,
468,0,,6985873
470,1,189391170,
470,0,189404824,
472,1,,740990
472,0,,7248584
474,0,187994390,
474,1,188133165,
476,0,,7367484
478,1,187795142,
478,0,187794480,
480,1,,403220
480,0,,7300779
482,1,189684988,
482,0,189678774,
484,1,,200351
484,0,,7017807
486,1,191710734,
488,1,,6824358
490,0,187988354,
490,1,188038156,
492,0,,699574
492,1,,7239774
494,1,185609156,
496,0,,1128839
496,1,,7172567
498,0,186762143,
500,0,,374148
500,1,,7038780
502,0,187115086,
502,1,187061202,
504,1,,6886156
504,0,,133259
506,0,194136524,
506,1,194899064,
508,0,,127158
510,0,189964866,
512,1,,1249053
512,0,,6688835
514,1,188026568,
514,0,188034012,
516,0,,3911357
518,0,186498858,
520,0,,286732
520,1,,6961538
522,1,193290436,
522,0,193348854,
524,1,,31198
524,0,,6962439
526,0,189169969,
528,1,,102418
528,0,,7006412
530,1,190731306,
532,0,,1736095
534,0,187596708,
536,0,,5693960
536,1,,2610726
538,1,187815856,
538,0,187912948,
540,1,,438180
540,0,,7219705
542,1,193097483,
542,0,193058086,
544,0,,7029488
544,1,,210638
546,1,194790572,
548,1,,3142453
550,0,187646076,
552,0,,3840445
552,1,,4406444
554,0,185781870,
554,1,185860050,
556,1,,6030008
556,0,,2227001
558,1,186184275,
560,0,,375208
562,0,190054882,
562,1,190065366,
564,1,,6802408
564,0,,158067
566,0,195127595,
566,1,195309867,
568,0,,125707
570,0,189152348,
572,1,,1775651
572,0,,6181373
574,1,188791436,
574,0,188748890,
576,1,,3446912
578,1,187877764,
580,1,,162787
580,0,,6985780
582,1,193860370,
584,1,,625280
584,0,,6747905
586,1,187579332,
588,1,,511776
588,0,,7433723
590,1,189032944,
590,0,189047864,
592,0,,4344233
592,1,,4104977
594,0,186722228,
594,1,186720091,
596,1,,7079738
596,0,,380091
598,1,191784944,
598,0,191489458,
600,1,,3985700
600,0,,3167810
602,0,189791173,
604,1,,135194
604,0,,6998708
606,1,192093210,
606,0,192345792,
608,1,,2778055
608,0,,5206725
610,1,188138226,
612,1,,3749272
614,1,187373570,
616,1,,6811889
618,1,190614270,
620,0,,108202
620,1,,6785843
622,0,190081210,
624,0,,839830
626,0,186597158,
626,1,186597614,
628,0,,1613931
628,1,,6696059
630,1,188752769,
632,1,,6382326
632,0,,1115173
634,0,193288540,
636,1,,6837644
638,0,190810296,
638,1,190812558,
640,1,,6797967
642,1,189368514,
644,0,,6634339
646,0,188516266,
646,1,188627070,
648,1,,3095042
648,0,,5304971
650,1,186744054,
650,0,186705945,
652,1,,709029
652,0,,6871554
654,1,191328792,
654,0,191112830,
656,1,,114709
656,0,,6991849
658,1,189467090,
658,0,189493712,
660,1,,5136665
662,0,191277774,
662,1,191253508,
664,0,,2653420
664,1,,5266495
666,0,187610298,
668,0,,3929389
668,1,,4393984
670,1,188456092,
672,1,,7025846
674,1,189773470,
674,0,189811606,
676,0,,7016617
676,1,,108523
678,0,196313846,
678,1,196218230,
680,1,,6668131
682,1,186964069,
684,1,,4856574
686,1,188708174,
688,0,,1592732
688,1,,6264155
690,1,188351134,
692,1,,6994232
694,1,191602928,
696,1,,788271
696,0,,6319657
698,0,197177592,
698,1,197238340,
700,0,,188669
700,1,,6803414
702,1,191743502,
704,1,,1388603
704,0,,6498089
706,0,186808492,
706,1,187079414,
708,1,,3757067
708,0,,4626851
710,1,188915713,
710,0,188889172,
712,1,,1904725
712,0,,5517153
714,1,189191694,
714,0,189007076,
716,0,,7062577
716,1,,168923
718,0,195040164,
720,1,,125048
722,1,189497142,
724,1,,3914592
726,0,186718132,
728,0,,4895548
728,1,,3512919
730,1,186303614,
730,0,186359068,
732,1,,7046944
734,1,190910376,
736,1,,6866004
736,0,,96770
738,1,192439862,
738,0,192256172,
740,1,,98231
740,0,,7008524
742,0,189247774,
744,0,,7092111
746,0,187146956,
748,1,,2740243
748,0,,5201530
750,1,188440210,
752,0,,557076
752,1,,6925456
754,0,189717184,
754,1,189533559,
756,1,,1422293
756,0,,5709268
758,1,194273344,
758,0,194242360,
760,1,,161571
760,0,,6996831
762,1,190401394,
762,0,190390396,
764,0,,5642156
766,0,186000474,
768,1,,3166533
770,1,186666483,
772,0,,6134936
772,1,,1219211
774,0,192656224,
774,1,192645903,
776,1,,6793317
778,1,187597414,
778,0,187669670,
780,1,,4635345
782,1,190138830,
784,0,,2817079
784,1,,4990234
786,0,187090444,
788,1,,6803314
790,1,187281656,
790,0,187289230,
792,1,,424683
792,0,,7216778
794,0,192203457,
796,0,,7041198
796,1,,79480
798,1,193285176,
798,0,193484418,
800,1,,100489
800,0,,6979861
802,1,191104382,
802,0,191128902,
804,0,,6893472
806,1,186430366,
808,0,,7093000
810,0,187490540,
812,0,,6696976
814,1,193197496,
814,0,193208882,
816,0,,137628
816,1,,6867139
818,1,190399458,
818,0,190431784,
820,0,,251625
820,1,,6714458
822,1,189153720,
824,1,,1238112
824,0,,6620021
826,0,186517488,
826,1,186628320,
828,0,,3382451
830,1,186748074,
832,1,,4725733
832,0,,3101388
834,0,191952966,
836,0,,103384
836,1,,6809072
838,0,194381052,
838,1,194413972,
840,0,,6972035
842,0,191861290,
842,1,191879790,
844,1,,1561614
844,0,,6406568
846,0,188076298,
846,1,188169142,
848,1,,1097856
848,0,,7392787
850,1,188629238,
850,0,188626190,
852,1,,421023
852,0,,7189108
854,0,192335118,
856,0,,6217092
858,0,196321378,
860,1,,6813655
862,0,188769984,
864,1,,5682225
866,0,188802234,
866,1,188797834,
868,1,,4975166
870,1,187272472,
872,0,,1541096
872,1,,5984701
874,1,194530100,
876,1,,6840549
876,0,,194985
878,1,189492484,
878,0,189155778,
880,0,,6988337
882,1,190733304,
882,0,190801268,
884,1,,863089
884,0,,7016471
886,1,185579236,
888,1,,4185750
888,0,,3880564
890,0,189518262,
892,1,,6807351
894,0,190128700,
894,1,190172304,
896,0,,146476
896,1,,6861454
898,1,191973718,
900,0,,2947990
902,0,188156860,
902,1,188161884,
904,1,,3484409
904,0,,4665342
906,1,188995640,
906,0,188990336,
908,1,,1154672
908,0,,6285539
910,0,192652396,
912,1,,6862568
912,0,,147175
914,1,190841266,
916,0,,47847
916,1,,6784068
918,1,187709440,
918,0,187854694,
920,0,,2219723
920,1,,5952711
922,0,188747388,
922,1,188702442,
924,1,,6932510
926,1,186401687,
928,1,,6426583
928,0,,1059647
930,0,194631262,
932,1,,790703
932,0,,6410233
934,1,194907236,
934,0,194900982,
936,1,,155341
936,0,,7001547
938,0,185963490,
940,1,,785330
940,0,,7231232
942,0,187814154,
942,1,187945298,
944,1,,2255109
944,0,,6068125
946,1,185829752,
946,0,185867790,
948,1,,238773
950,1,191066833,
950,0,191116258,
952,0,,7040809
954,1,196235682,
954,0,196233140,
956,1,,6802026
958,0,189279474,
958,1,189277690,
960,1,,3206397
960,0,,4725591
962,1,188490174,
962,0,188431148,
964,0,,5454477
964,1,,2919780
966,0,186921188,
968,0,,464122
968,1,,7075460
970,0,192234122,
972,1,,714698
972,0,,6473123
974,0,193660340,
974,1,193983292,
976,1,,755490
976,0,,6305351
978,1,187302656,
980,1,,2155782
982,0,186356283,
982,1,186387088,
984,0,,821861
986,1,186700010,
988,0,,820567
990,0,190619638,
992,0,,7042933
992,1,,151077
994,1,190882751,
996,1,,171192
996,0,,6960359
998,0,189100324,
998,1,189182282,
1000,1,,6196652
1002,1,186409632,
1004,1,,3193352
1004,0,,4968784
1006,1,186145316,
1006,0,186145314,
1008,1,,161886
1008,0,,7050631
1010,1,192210520,
1010,0,192189611,
1012,1,,92000
1012,0,,6980604
1014,1,196184868,
1016,1,,115051
1016,0,,7010736
1018,1,190426646,
1018,0,190462860,
1020,0,,6903505
1022,1,187419536,
1022,0,187442540,
1024,0,,3055871
1024,1,,5210492
1026,0,186971912,
1026,1,186969088,
1028,0,,5667833
1030,0,193158386,
1032,1,,4268858
1034,0,189212520,
1036,1,,782568
1036,0,,6736957
1038,0,186416788,
1040,1,,3699252
1040,0,,4655446
1042,1,187823664,
1042,0,187789408,
1044,0,,7227863
1044,1,,415330
1046,0,194556282,
1046,1,194562110,
1048,1,,6328432
1048,0,,728841
1050,1,189684296,
1050,0,189658992,
1052,1,,142055
1052,0,,7002759
1054,1,192225446,
1054,0,192288884,
1056,1,,617552
1056,0,,7394535
1058,1,187939794,
1060,0,,4620240
1060,1,,3785534
1062,0,187970978,
1062,1,187934410,
1064,0,,99962
1064,1,,6853046
1066,1,194527584,
1068,1,,1188230
1068,0,,5838560
1070,1,189136630,
1072,1,,6751650
1072,0,,1189586
1074,0,186712700,
1074,1,186743490,
1076,0,,3238786
1076,1,,4944659
1078,0,188730200,
1078,1,188706298,
1080,0,,1144253
1082,1,190796434,
1084,1,,6863516
1084,0,,201862
1086,0,193437238,
1088,1,,5070156
1090,1,186439740,
1092,1,,1518539
1092,0,,6372933
1094,1,130055205,
1094,0,130076802,
1096,1,,746676
1098,0,1128949,
1100,1,,283833
1102,1,17382850,
1104,0,,113957
1106,1,27423216,
1108,0,,69176
1110,0,10942896,
1112,1,,495655
1114,1,2009190,
1116,0,,701283
1116,1,,692703
1118,1,4701138,
1120,0,,10299
1122,0,20374118,
1124,1,,39110
1126,0,8929598,
1128,0,,544134
1130,1,3124664,
1130,0,3155173,
1132,1,,646329
1134,1,1685152,
1136,1,,273498
1138,0,15162448,
1140,1,,107767
1142,1,20791632,
1144,0,,43126
1146,1,10213634,
1148,0,,589190
1150,0,3307928,
1150,1,3337094,
1152,1,,777445
1154,1,811236,
1156,0,,228043
1158,1,12994116,
1160,0,,105353
1160,1,,42742
1162,1,19986264,
1164,0,,69164
1166,1,10380216,
1168,1,,561947
1170,0,2137420,
1172,1,,761497
1174,1,2557975,
1176,1,,373431
1178,0,13597900,
1180,0,,135949
1180,1,,58468
1182,1,18991019,
1184,1,,52415
1186,0,14347912,
1186,1,14358046,
1188,0,,192810
1190,0,1473290,
1192,0,,816098
1194,0,1777050,
1196,0,,234973
1198,0,13204110,
1200,0,,167920
1202,0,19550616,
1204,1,,15410
1206,0,3578852,
1208,1,,898357
1210,0,1361302,
1210,1,1363550,
1212,1,,928434
1214,1,946242,
1216,0,,309623
1218,0,12453380,
1220,1,,120625
1222,0,19254867,
1224,1,,71964
1226,1,9406512,
1228,0,,474191
1230,0,3081536,
1232,1,,773217
1234,0,2101555,
1234,1,2123946,
1236,1,,335713
1238,1,12678842,
1240,0,,103890
1242,0,18089548,
1242,1,18135326,
1244,0,,143918
1246,0,8552676,
1246,1,8573104,
1248,0,,497889
1250,1,2732670,
1250,0,2755014,
1252,1,,891351
1254,1,1757924,
1256,0,,387407
1256,1,,382627
1258,0,11569293,
1260,0,,91494
1262,0,21582178,
1264,1,,87357
1266,1,9674268,
1268,1,,436254
1270,0,2982646,
1270,1,2993626,
1272,1,,765068
1274,1,873556,
1276,1,,62046
1278,0,18833610,
1280,1,,7013
1282,0,9416647,
1282,1,9458802,
1284,0,,580549
1286,0,2868836,
1286,1,2894272,
1288,1,,757167
1288,0,,752432
1290,1,1847762,
1292,1,,544924
1294,1,8580251,
1296,1,,76101
1298,0,21862666,
1300,1,,3981
1300,0,,115871
1302,0,9027110,
1304,1,,507992
1306,1,2083636,
1306,0,2108236,
1308,1,,855330
1310,1,1488322,
1312,0,,235536
1314,0,15080798,
1316,0,,60387
1316,1,,94396
1318,1,20435404,
1320,1,,54100
1322,0,10187812,
1324,1,,503407
1324,0,,534937
1326,1,1553998,
1328,0,,681737
1328,1,,822519
1330,1,2725028,
1332,1,,354019
1334,1,12485174,
1336,0,,84242
1338,0,19470458,
1340,0,,7750
1340,1,,62285
1342,1,16142201,
1344,0,,347711
1346,1,1533409,
1348,1,,767458
1350,0,1893914,
1352,1,,359675
1354,0,13240028,
1356,0,,133901
1358,1,19780862,
1360,0,,113160
1362,0,8527495,
1362,1,8555371,
1364,0,,439585
1366,1,1514040,
1368,1,,700237
1370,1,1450974,
1372,1,,329946
1372,0,,333472
1374,1,12536972,
1376,0,,6570
1376,1,,72868
1378,1,21863694,
1380,1,,56733
1382,0,10049404,
1384,1,,561168
1386,0,2914094,
1388,1,,874686
1390,1,1494870,
1390,0,1499702,
1392,1,,557596
1394,0,4646930,
1396,0,,12546
1396,1,,17646
1398,1,20649620,
1400,1,,44027
1402,0,9886868,
1404,0,,472610
1406,1,3300150,
1406,0,3325794,
1408,1,,808632
1410,0,1983130,
1412,0,,268760
1414,0,13906090,
1414,1,13929268,
1416,1,,118951
1418,1,20550212,
1420,1,,6877
1420,0,,106824
1422,0,9502773,
1424,1,,565568
1426,1,389400,
1428,0,,856349
1430,1,1478846,
1430,0,1480042,
1432,1,,273470
1434,1,13192140,
1436,0,,59648
1438,0,20087802,
1440,1,,67504
1442,1,18535152,
1442,0,18578816,
1444,0,,162420
1446,0,1622806,
1448,1,,713409
1450,0,1486354,
1450,1,1490428,
1452,0,,346250
1454,0,11952178,
1456,0,,58298
1458,0,18933118,
1460,1,,58419
1462,0,9360896,
1464,1,,516563
1466,0,2668492,
1468,0,,722994
1470,1,2126388,
1472,0,,378517
1474,0,12140184,
1476,1,,5310
1476,0,,79906
1478,0,20955436,
1480,1,,77618
1482,0,8956306,
1484,1,,461524
1486,0,2006480,
1488,0,,690993
1490,0,1957662,
1492,0,,95518
1494,0,19636660,
1496,0,,67749
1498,0,9472524,
1500,1,,530133
1502,0,3249181,
1502,1,3251994,
1504,0,,721498
1506,0,1486648,
1508,0,,495880
1510,0,8539512,
1512,1,,57153
1514,0,20398812,
1516,1,,40016
1518,0,8870838,
1520,0,,556051
1522,0,3083128,
1524,0,,737974
1526,0,1497048,
1528,0,,169297
