Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	27	30	26	19	21	3150	7650	5325	7425	5400	7575	5325	7950	5250
5	27	30	26	19	21	3150	7650	5325	7425	5400	7575	5250	7950	5250
10	27	31	26	19	21	3150	7650	5325	7500	5400	7575	5250	8025	5250
15	27	31	26	19	21	3150	7650	5250	7500	5400	7500	5250	8025	5325
20	28	31	26	19	21	3150	7575	5325	7425	5325	7575	5325	7950	5250
25	28	31	26	19	21	3150	7650	5250	7500	5400	7575	5250	7950	5325
30	28	31	26	19	21	3150	7650	5250	7500	5325	7575	5250	7950	5325
35	28	31	26	19	21	3150	7650	5250	7500	5325	7575	5250	7950	5325
40	28	31	26	19	21	3150	7575	5325	7500	5325	7575	5325	8025	5250
45	28	31	26	19	21	3150	7650	5250	7500	5400	7575	5325	7950	5325
50	28	31	26	19	21	3225	7575	5250	7425	5400	7650	5250	7950	5325
55	29	31	26	19	21	3150	7650	5250	7500	5400	7650	5250	7950	5325
60	28	31	26	19	21	3150	7575	5250	7500	5400	7575	5250	7950	5325
65	28	31	26	19	21	3150	7575	5250	7425	5400	7575	5250	7950	5325
70	28	32	26	19	21	3150	7650	5250	7425	5400	7575	5250	7950	5325
75	28	32	26	19	21	3150	7650	5250	7425	5400	7575	5250	7950	5325
80	28	31	26	19	22	3150	7650	5250	7425	5400	7575	5250	7950	5325
85	29	32	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
90	28	32	26	19	22	3150	7650	5325	7500	5400	7575	5325	8025	5325
95	28	32	26	19	22	3150	7650	5325	7425	5400	7575	5250	8025	5250
100	28	32	26	19	22	3150	7650	5325	7425	5325	7575	5325	7950	5250
105	30	36	26	19	22	3150	7650	5250	7425	5400	7575	5250	7950	5325
110	29	33	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
115	29	32	26	19	22	3150	7650	5250	7425	5325	7650	5250	7950	5325
120	32	34	26	19	22	3225	7650	5250	7425	5400	7650	5250	7950	5325
125	29	34	26	19	22	3150	7650	5325	7425	5400	7575	5325	8025	5250
130	28	33	26	19	22	3150	7575	5325	7425	5400	7650	5325	8025	5250
135	31	33	26	19	22	3150	7650	5250	7500	5400	7575	5250	7950	5250
140	32	34	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
145	29	33	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
150	29	35	26	19	22	3150	7575	5325	7500	5400	7650	5325	8025	5250
155	33	33	26	19	22	3150	7575	5325	7425	5400	7650	5325	8025	5325
160	29	34	26	19	22	3150	7575	5325	7500	5400	7650	5325	8025	5250
165	28	33	26	19	22	3225	7650	5325	7425	5400	7575	5250	7950	5325
170	30	36	26	19	22	3150	7575	5250	7500	5400	7650	5250	8025	5325
175	29	33	26	19	22	3150	7575	5325	7500	5400	7650	5325	8025	5250
180	29	33	26	19	22	3150	7650	5250	7425	5400	7575	5250	8025	5325
185	29	36	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5325
190	30	35	26	19	22	3225	7575	5325	7500	5400	7575	5325	7950	5325
195	29	33	26	19	22	3225	7575	5325	7500	5400	7575	5325	7950	5325
200	31	33	26	19	22	3225	7650	5325	7500	5400	7650	5325	8025	5325
205	32	36	26	19	22	3150	7650	5250	7425	5325	7575	5325	7950	5325
210	29	34	26	19	22	3150	7650	5250	7425	5325	7575	5325	7950	5325
215	32	33	26	19	22	3150	7650	5250	7425	5400	7575	5325	7950	5250
220	33	33	26	19	22	3150	7575	5250	7425	5400	7575	5325	7950	5325
225	30	33	26	19	22	3150	7650	5325	7500	5400	7500	5325	7950	5250
230	29	33	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5325
235	32	33	26	19	22	3150	7650	5325	7425	5400	7500	5325	7950	5250
240	30	35	26	19	22	3150	7575	5325	7425	5400	7575	5250	7950	5250
245	29	33	26	19	22	3150	7575	5325	7425	5400	7575	5250	7950	5250
250	30	35	26	19	22	3150	7650	5325	7425	5400	7575	5325	8025	5325
255	32	34	26	19	22	3150	7650	5325	7500	5400	7500	5325	8025	5325
260	30	33	26	19	22	3150	7650	5325	7500	5400	7500	5325	8025	5325
265	29	35	26	19	22	3225	7650	5325	7500	5400	7500	5325	8025	5250
270	30	36	26	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
275	29	34	26	19	22	3225	7575	5325	7425	5400	7575	5325	7950	5250
280	29	33	26	19	22	3150	7650	5325	7425	5325	7500	5325	7950	5250
285	29	35	26	19	22	3225	7650	5325	7425	5400	7575	5325	7950	5325
290	32	34	26	19	22	3225	7650	5250	7500	5400	7575	5325	7950	5325
295	29	33	26	19	22	3225	7650	5250	7500	5400	7575	5325	7950	5325
300	29	36	26	19	22	3150	7575	5250	7425	5400	7575	5325	8025	5325
305	30	36	26	19	22	3150	7575	5250	7425	5400	7575	5325	7950	5250
310	33	37	26	19	22	3225	7650	5250	7425	5400	7575	5325	7950	5250
315	32	35	26	19	22	3225	7650	5250	7425	5400	7575	5325	7950	5250
320	32	38	26	19	22	3150	7650	5325	7425	5400	7500	5250	7950	5325
325	33	38	26	20	22	3150	7575	5250	7500	5400	7575	5325	7950	5250
330	34	39	26	20	23	3150	7650	5250	7425	5400	7575	5250	7950	5325
