 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8281288 5133096 11 305 0 0  0  0  0  0  0  0  0  375  228  101  2  1 98
 0 0 0 7551876 4388220 178 4273 0 0 0 0  0  0  0  0  0  449 2725  263  1 11 89
 0 0 0 7551804 4388024 135 3608 0 0 0 0  0  0  0  0  0  376 2113  250  1  7 92
 0 0 0 7551600 4387976 153 3753 0 0 0 0  0  2  0  0  0  409 2227  292  1  9 91
 0 0 0 7551912 4388132 171 3909 0 0 0 0  0  0  0  0  0  380 2351  257  1 10 89
 0 0 0 7552048 4388208 137 3597 0 0 0 0  0  0  0  0  0  395 2131  252  1  7 92
 0 0 0 7551600 4388024 160 3756 0 0 0 0  0  0  0  0  0  394 2235  256  1  9 91
 0 0 0 7551576 4387996 170 3921 0 0 0 0  0  0  0  0  0  399 2341  256  1 10 90
 0 0 0 7551988 4388156 153 3749 0 0 0 0  0  0  0  0  0  396 2296  251  1 10 89
 0 0 0 7551780 4388036 135 3603 0 0 0 0  0  2  0  0  0  422 2097  281  1  6 93
 0 0 0 7551576 4387984 171 3909 0 0 0 0  0  0  0  0  0  548 2347  258  1  9 90
 0 0 0 7551804 4388120 156 3763 0 0 0 0  0  0  0  0  0  386 2297  247  1 10 89
 0 0 0 7551780 4388036 139 3614 0 0 0 0  0  0  0  0  0  383 2120  249  1  7 93
 0 0 0 7551576 4387980 158 3804 0 0 0 0  0  0  0  0  0  380 2280  250  1  9 91
 0 0 0 7551776 4388072 165 3856 0 0 0 0  0  0  0  0  0  390 2354  254  1 10 89
 0 0 0 7552064 4388172 135 3605 0 0 0 0  0  2  0  0  0  417 2133  290  1  7 92
 0 0 0 7551576 4387984 153 3762 0 0 0 0  0  0  0  0  0  390 2279  246  1  9 91
 0 0 0 7551572 4387992 173 3923 0 0 0 0  0  0  0  0  0  378 2380  247  1 10 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7552028 4388188 140 3599 0 0 0 0  0  0  0  0  0  371 2144  248  1  7 92
 0 0 0 7551748 4388016 153 3754 0 0 0 0  0  0  0  0  0  379 2282  256  1  9 91
 0 0 0 7551532 4387940 153 3761 0 0 0 0  0  0  0  0  0  381 2294  251  1  9 91
 0 0 0 7551772 4388064 153 3754 0 0 0 0  0  2  0  0  0  411 2255  286  1  9 91
