Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	25	29	24	17	19	3150	7575	5250	7425	5400	7650	5250	7950	5325
5	25	29	24	17	19	3150	7650	5325	7500	5400	7575	5325	7950	5250
10	25	32	24	17	19	3150	7650	5325	7500	5400	7575	5325	7950	5250
15	26	32	24	17	19	3150	7575	5325	7425	5400	7650	5325	7950	5250
20	28	30	24	17	19	3150	7650	5325	7425	5400	7575	5325	7950	5250
25	27	31	24	17	19	3150	7650	5325	7425	5400	7575	5325	7950	5250
30	28	30	24	17	19	3150	7575	5325	7425	5400	7650	5325	7950	5325
35	30	32	24	17	19	3225	7575	5325	7500	5400	7575	5325	8025	5250
40	28	32	24	17	19	3150	7650	5250	7500	5400	7575	5250	7950	5325
45	28	31	24	17	19	3150	7650	5250	7425	5400	7575	5250	7950	5250
50	27	33	24	17	19	3225	7650	5325	7500	5400	7575	5325	7950	5250
55	26	33	24	17	19	3150	7575	5250	7425	5400	7575	5250	7950	5325
60	27	32	24	17	19	3150	7575	5250	7425	5400	7575	5250	7950	5325
65	29	30	24	17	19	3150	7575	5250	7425	5325	7575	5250	7950	5250
70	28	34	24	17	19	3150	7575	5325	7500	5400	7575	5325	8025	5250
75	26	33	24	17	19	3150	7650	5325	7500	5400	7575	5325	7950	5250
80	26	33	24	17	19	3150	7575	5250	7500	5400	7575	5250	7950	5250
85	26	34	24	17	19	3150	7650	5325	7500	5400	7500	5325	7950	5250
90	28	31	24	17	19	3225	7575	5250	7500	5400	7575	5250	7950	5250
95	27	32	24	17	19	3225	7575	5250	7500	5400	7575	5250	7950	5250
100	29	31	24	17	19	3150	7575	5325	7500	5400	7500	5250	7950	5250
105	30	32	24	17	19	3225	7650	5250	7500	5400	7575	5250	7950	5325
110	28	33	24	17	19	3150	7575	5250	7500	5400	7575	5250	7950	5250
115	29	31	24	17	19	3150	7575	5325	7425	5400	7575	5325	7950	5250
120	26	33	24	17	19	3150	7575	5325	7500	5400	7575	5250	7950	5250
125	29	30	24	17	19	3150	7575	5250	7500	5400	7575	5250	7950	5250
130	28	31	24	17	19	3150	7650	5250	7500	5400	7575	5250	8025	5250
135	26	33	24	17	19	3150	7650	5325	7500	5400	7575	5325	7950	5250
140	25	30	24	17	19	3150	7650	5325	7425	5400	7575	5325	7950	5250
145	26	31	24	17	19	3150	7575	5325	7500	5325	7575	5325	7950	5250
150	28	30	24	17	19	3150	7650	5250	7425	5400	7575	5250	7875	5325
155	26	30	24	17	19	3225	7650	5250	7500	5400	7650	5250	7950	5250
160	26	30	24	17	19	3150	7650	5250	7425	5400	7575	5250	7950	5250
165	26	32	24	17	19	3225	7650	5250	7500	5325	7575	5250	7950	5250
170	26	30	24	17	19	3150	7575	5250	7425	5400	7575	5250	7950	5250
175	26	29	24	17	19	3150	7575	5250	7425	5400	7575	5250	7950	5250
180	26	31	24	17	19	3150	7575	5250	7425	5325	7575	5250	7950	5250
185	26	32	24	17	19	3150	7650	5250	7425	5325	7575	5250	7950	5325
190	25	30	24	17	19	3150	7650	5250	7425	5400	7575	5250	7950	5325
195	26	30	24	17	19	3150	7575	5325	7500	5325	7575	5325	7950	5250
200	26	32	24	17	19	3150	7575	5250	7425	5325	7575	5250	7950	5250
205	25	30	24	17	19	3150	7650	5250	7425	5400	7500	5250	7950	5325
210	26	30	24	17	19	3150	7650	5325	7425	5400	7575	5325	7950	5250
215	26	31	24	17	19	3150	7650	5325	7425	5400	7500	5325	7875	5250
220	25	30	24	17	19	3150	7650	5250	7500	5325	7575	5250	7950	5325
225	26	30	24	17	19	3150	7650	5325	7425	5400	7500	5325	7950	5250
230	26	30	24	17	19	3150	7575	5250	7425	5325	7500	5325	7950	5250
235	25	30	24	16	19	3150	7575	5250	7425	5400	7575	5250	7950	5325
240	25	30	24	16	19	3150	7650	5250	7500	5400	7575	5250	7950	5325
245	26	30	24	16	19	3150	7575	5250	7425	5400	7575	5250	7950	5325
250	26	30	24	16	19	3150	7650	5250	7425	5325	7575	5250	7950	5325
255	25	30	24	16	19	3150	7575	5250	7425	5400	7575	5250	7950	5325
260	26	30	24	16	19	3150	7650	5250	7425	5400	7575	5250	7950	5250
265	26	29	24	16	19	3150	7575	5250	7425	5325	7575	5250	7875	5325
270	25	30	24	16	19	3150	7575	5325	7425	5400	7575	5325	7950	5250
275	26	29	24	16	19	3150	7650	5250	7500	5400	7575	5250	7950	5250
280	26	29	24	16	19	3150	7575	5250	7425	5325	7575	5250	7950	5250
285	26	29	24	17	19	3150	7575	5250	7425	5325	7575	5250	7950	5325
290	26	29	24	17	19	3150	7650	5325	7500	5400	7575	5325	7950	5250
295	26	29	24	16	19	3150	7575	5250	7425	5325	7575	5250	7950	5325
300	26	29	24	16	19	3150	7650	5250	7425	5400	7575	5250	7950	5250
305	30	30	24	16	19	3150	7575	5250	7500	5400	7500	5250	7950	5325
310	33	32	24	17	19	3150	7575	5325	7425	5400	7575	5250	7950	5250
315	33	32	24	17	19	3150	7575	5250	7425	5400	7575	5250	7950	5250
320	30	36	24	17	19	3150	7650	5325	7425	5400	7575	5325	7950	5250
325	35	33	24	17	19	3150	7575	5325	7500	5400	7500	5325	7950	5250
330	35	33	24	17	19	3150	7650	5250	7425	5400	7575	5250	7950	5250
335	34	33	24	17	19	3150	7575	5325	7425	5325	7575	5325	7950	5250
340	35	33	24	17	20	3150	7575	5250	7425	5325	7575	5250	7950	5250
345	35	33	24	17	20	3150	7650	5250	7425	5400	7500	5250	7950	5250
350	34	33	24	17	20	3150	7575	5325	7500	5325	7575	5325	7950	5250
355	35	33	24	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
360	36	33	24	18	20	3150	7650	5250	7500	5325	7575	5250	7950	5250
365	36	33	24	18	20	3150	7650	5250	7500	5400	7575	5250	7950	5250
370	35	37	24	18	20	3150	7575	5250	7425	5400	7500	5250	7950	5250
375	36	34	24	18	20	3150	7575	5325	7425	5325	7575	5250	7950	5250
380	36	34	24	18	20	3150	7650	5250	7500	5325	7575	5250	7950	5250
385	37	34	25	18	20	3150	7575	5250	7425	5400	7500	5250	7875	5250
390	33	39	25	18	20	3150	7575	5250	7500	5400	7575	5250	7875	5325
395	34	37	25	18	20	3150	7650	5250	7425	5325	7575	5250	7950	5250
400	33	38	25	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
405	32	39	25	18	20	3150	7575	5250	7425	5325	7500	5250	7950	5250
410	32	39	25	18	20	3150	7650	5250	7500	5400	7575	5250	7950	5250
415	35	35	25	18	20	3150	7575	5325	7500	5325	7575	5325	7950	5250
420	34	39	25	18	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
425	34	38	25	18	20	3150	7575	5325	7425	5400	7575	5325	7950	5250
430	33	40	25	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
435	34	38	25	18	21	3150	7650	5325	7500	5400	7650	5325	7950	5325
440	33	38	25	18	21	3150	7650	5250	7500	5400	7650	5250	7950	5250
445	32	41	25	18	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
450	36	36	25	18	21	3150	7650	5325	7500	5400	7650	5325	7950	5250
455	37	35	26	18	21	3150	7650	5325	7425	5400	7650	5325	7950	5250
460	34	40	26	18	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
465	35	39	26	18	21	3150	7575	5250	7500	5400	7575	5250	8025	5325
470	37	36	26	18	21	3225	7575	5325	7500	5400	7650	5250	7950	5250
475	36	35	26	18	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
480	37	35	26	18	21	3150	7650	5250	7500	5400	7575	5250	7950	5250
485	34	39	26	18	21	3150	7575	5325	7500	5400	7575	5325	7950	5325
490	36	36	26	18	21	3150	7575	5325	7500	5325	7575	5325	7950	5325
495	37	36	26	18	21	3150	7650	5325	7500	5400	7650	5250	7950	5250
500	35	39	26	18	21	3150	7650	5325	7500	5400	7650	5325	7950	5250
505	36	36	26	18	21	3150	7575	5250	7500	5325	7575	5250	7950	5250
510	36	36	26	18	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
515	36	36	26	18	21	3150	7650	5250	7500	5400	7650	5250	7950	5325
520	37	36	26	19	21	3150	7650	5250	7500	5400	7650	5250	7950	5325
525	38	35	26	19	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
530	34	40	27	19	21	3150	7650	5250	7500	5400	7650	5325	7950	5325
535	35	40	27	19	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
540	37	36	27	19	21	3150	7650	5250	7500	5400	7575	5325	7950	5250
545	35	39	27	19	21	3150	7575	5325	7500	5400	7575	5325	7950	5250
550	37	36	27	19	21	3150	7650	5325	7500	5400	7650	5325	7950	5250
555	37	36	27	19	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
560	35	41	27	19	21	3150	7575	5325	7425	5400	7575	5250	7950	5250
565	36	36	27	19	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
570	35	40	27	19	21	3150	7575	5325	7500	5400	7575	5325	7950	5325
575	37	37	27	19	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
580	38	36	27	19	21	3150	7575	5325	7500	5400	7575	5250	7950	5250
585	35	39	27	19	21	3150	7575	5325	7500	5325	7575	5325	8025	5325
590	38	36	27	19	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
595	36	36	27	19	21	3150	7575	5250	7425	5400	7575	5250	7950	5250
600	35	40	27	19	21	3150	7650	5250	7500	5325	7575	5250	7950	5250
605	37	37	27	19	21	3150	7575	5325	7425	5400	7575	5325	7950	5325
610	34	40	27	19	21	3150	7650	5250	7425	5400	7650	5250	8025	5250
615	34	40	27	19	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
620	35	42	27	19	21	3150	7650	5325	7500	5400	7650	5325	8025	5325
625	34	42	27	19	22	3150	7575	5325	7425	5400	7575	5325	7950	5325
630	37	37	27	19	22	3150	7575	5250	7500	5400	7575	5250	7950	5250
635	33	42	27	19	22	3150	7650	5325	7500	5400	7650	5325	8025	5325
640	39	38	27	19	22	3150	7575	5325	7500	5400	7650	5325	8025	5325
645	36	41	27	19	22	3150	7575	5325	7500	5400	7650	5325	8025	5325
650	37	41	27	19	22	3150	7650	5325	7500	5400	7650	5325	8025	5325
655	37	41	28	19	22	3150	7575	5250	7500	5400	7575	5250	7950	5250
660	38	41	28	19	22	3150	7650	5325	7500	5400	7650	5325	7950	5325
665	37	40	28	19	22	3150	7650	5325	7500	5400	7650	5325	7950	5325
670	37	41	28	19	22	3150	7575	5325	7425	5400	7575	5325	7950	5325
675	37	40	28	19	22	3225	7650	5325	7500	5400	7650	5325	7950	5325
680	36	43	28	19	22	3225	7650	5325	7500	5400	7650	5325	7950	5325
685	38	41	28	19	22	3150	7650	5325	7500	5400	7650	5325	7950	5325
690	38	42	28	19	22	3150	7650	5250	7500	5400	7650	5250	7950	5250
695	38	41	28	19	22	3150	7650	5325	7500	5325	7650	5325	7950	5325
700	37	41	28	19	22	3150	7650	5250	7500	5400	7650	5250	7950	5325
705	37	39	28	19	22	3150	7575	5250	7500	5400	7575	5250	8025	5250
710	38	40	28	19	22	3150	7650	5250	7425	5400	7650	5250	7950	5250
715	38	40	28	19	22	3150	7650	5250	7425	5400	7650	5250	7950	5250
720	38	39	28	19	22	3150	7650	5325	7500	5400	7650	5250	7950	5325
725	38	39	28	19	22	3150	7650	5325	7500	5400	7650	5325	8025	5325
730	39	40	28	19	22	3150	7575	5325	7425	5400	7575	5325	7950	5325
735	39	38	28	19	22	3150	7650	5325	7500	5400	7650	5325	7950	5325
740	36	41	28	19	22	3150	7650	5325	7500	5400	7650	5325	8025	5325
745	37	39	28	19	22	3150	7650	5325	7500	5400	7650	5250	8025	5325
750	39	41	28	19	22	3150	7575	5250	7500	5400	7575	5250	8025	5250
755	39	40	28	19	22	3150	7575	5250	7500	5400	7575	5250	8025	5250
760	38	39	28	19	22	3150	7575	5250	7500	5400	7575	5250	8025	5250
765	39	39	28	20	22	3150	7650	5325	7500	5400	7650	5250	8025	5325
