time,cpu,FSB,L2miss
2,1,24756282,
4,1,,54628
6,1,10470782,
8,1,,430066
10,1,1741342,
12,0,,623212
12,1,,636913
14,0,5215138,
16,0,,420115
18,1,12933004,
20,0,,149452
22,0,20163166,
24,1,,21543
26,1,10816734,
26,0,10827348,
28,0,,435817
30,1,906600,
32,0,,843370
34,1,1314228,
36,0,,302661
38,1,12612464,
40,0,,55007
42,1,19815242,
44,1,,71844
46,0,4073352,
48,0,,744189
50,0,1399484,
52,0,,866238
54,1,318618,
56,0,,229334
58,0,11673540,
60,0,,57482
62,0,19733982,
64,1,,4990
64,0,,55050
66,0,9516974,
66,1,9538638,
68,0,,442081
70,1,2778250,
72,0,,769206
74,1,1473374,
76,1,,293619
78,0,12166896,
80,0,,105790
82,0,19399932,
82,1,19424332,
84,1,,123485
86,0,8884682,
86,1,8904656,
88,0,,486469
90,1,2368592,
92,0,,745318
94,1,1242128,
96,1,,517487
96,0,,464936
98,0,8360432,
100,1,,19848
102,0,21534792,
102,1,21546168,
104,1,,8725
104,0,,72489
106,0,10236708,
108,0,,505092
110,1,2923992,
112,0,,876788
114,1,306518,
116,0,,78261
118,0,17190908,
120,1,,6351
120,0,,48381
122,0,21419316,
124,1,,60579
126,0,10494300,
128,1,,472437
130,1,2014320,
132,0,,501039
132,1,,492126
134,0,8388356,
136,0,,111913
138,0,20645682,
140,0,,94355
142,1,10182534,
144,0,,455704
146,0,2507052,
148,0,,772962
150,1,1008172,
152,0,,244510
152,1,,109708
154,0,16709240,
156,1,,13009
156,0,,114320
158,0,20376572,
160,0,,22856
162,0,10603110,
164,0,,472905
166,0,2090156,
168,0,,688337
168,1,,618235
170,0,4653962,
172,0,,369004
174,1,11711080,
176,0,,80649
176,1,,61691
178,0,18584910,
180,1,,6774
180,0,,54222
182,1,13491968,
184,0,,359560
186,1,1884210,
188,1,,912619
190,1,1750368,
192,1,,356869,,,
194,0,12851844,,,,
196,0,,157859,,,
196,1,,55438,,,
198,0,19133348,,,,
200,1,,93301,,,
202,1,4044017,,,,
204,0,,719891,,,
206,0,958018,,,,
208,0,,772828,,,
210,1,954682,,,,
210,0,955482,,,,
212,1,,315014,,,
212,0,,354915,,,
214,0,11975480,,with,CPU,1
216,1,,29873,,,
218,0,15420624,,,,
220,0,,350784,,,
222,0,2124004,,,,
224,0,,837673,,,
226,1,2122061,,,,
228,1,,269944,,,
230,0,12463130,,,,
232,1,,53458,,,
234,0,17978920,,,,
236,0,,22825,,,
238,0,7339632,,,,
238,1,7370224,,,,
240,1,,582539,with,CPU,1
242,1,3146720,,,,
244,0,,596411,,,
246,0,2032572,,,,
248,0,,342669
250,0,12359484,
252,0,,84987
254,1,20239204,
256,1,,62621
258,0,9389132,
260,0,,613448
262,0,3352516,
262,1,3379470,
264,0,,685692
266,0,888322,
268,0,,38959
270,1,18583450,
272,0,,79934
274,1,20764462,
276,1,,23186
278,1,9740588,
278,0,9762332,
280,1,,452200
282,0,3863654,
282,1,3876759,
284,0,,527656
286,0,2104218,
288,0,,252024
288,1,,406711
290,0,13092196,
292,0,,49011
294,0,18542320,
296,0,,17330
296,1,,51650
298,0,9315600,
300,0,,539707
302,0,23793110,
304,1,,2086625
306,1,298675532,
306,0,298724434,
308,1,,868361
310,1,302252668,
310,0,302280170,
312,1,,601503
312,0,,7424512
314,1,302798244,
314,0,302711632,
316,1,,7642604
318,1,297520622,
320,1,,1716013
322,1,295641532,
324,1,,4619624
324,0,,4173835
326,1,296564586,
326,0,296588150,
328,1,,132483
328,0,,7818183
330,1,300515360,
330,0,300505002,
332,1,,241519
332,0,,7801280
334,0,301453086,
336,1,,142289
336,0,,7886108
338,0,299166144,
338,1,299541461,
340,1,,809464
340,0,,7953387
342,0,298738118,
342,1,298912766,
344,1,,1028453
344,0,,8199789
346,1,297681980,
346,0,297679188,
348,1,,534703
348,0,,7930407
350,1,301107974,
350,0,301129374,
352,0,,7804469
352,1,,250787
354,0,298794152,
354,1,298798862,
356,1,,2328502
356,0,,5517927
358,0,298990014,
358,1,299060120,
360,1,,1294461
362,0,297726230,
364,1,,3432443
366,1,297802977,
368,0,,5129753
370,0,300585488,
372,1,,165076
372,0,,7798952
374,1,300921315,
374,0,300911380,
376,1,,1638392
376,0,,6280504
378,0,297633530,
380,1,,2535470
382,0,297389438,
382,1,297405410,
384,1,,3532289
384,0,,5419907
386,0,296488928,
386,1,296507108,
388,0,,2188394
390,1,302190100,
392,0,,782062
392,1,,7102830
394,1,296925110,
396,0,,2426235
396,1,,6090369
