 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8280048 5131952 11 309 0 0  0  0  0  0  0  0  0  375  231  102  2  1 98
 0 0 0 7551732 4387972 178 4264 0 0 0 0  0  0  0  0  0  441 2730  257  1 11 89
 0 0 0 7551616 4387824 135 3611 0 0 0 0  0  2  0  0  0  403 2120  286  1  7 92
 0 0 0 7551312 4387688 152 3747 0 0 0 0  0 95  0  0  0  390 2223  258  1  9 91
 0 0 0 7551304 4387704 172 3914 0 0 0 0  0  0  0  0  0  394 2350  257  1 10 89
 0 0 0 7551520 4387824 157 3755 0 0 0 0  0  0  0  0  0  396 2373  296  1 10 89
 0 0 0 7551512 4387764 135 3597 0 0 0 0  0  0  0  0  0  391 2090  246  1  6 93
 0 0 0 7551284 4387700 170 3919 0 0 0 0  0  0  0  0  0  379 2330  248  1  9 90
 0 0 0 7551504 4387812 152 3754 0 0 0 0  0  2  0  0  0  415 2310  291  1 10 89
 0 0 0 7551732 4387868 135 3597 0 0 0 0  0  1  0  0  0  379 2109  249  1  7 92
 0 0 0 7551284 4387700 152 3761 0 0 0 0  0  0  0  0  0  392 2257  254  1  9 91
 0 0 0 7551280 4387688 176 3911 0 0 0 0  0  0  0  0  0  389 2347  255  1 10 89
 0 0 0 7551708 4387888 153 3767 0 0 0 0  0  0  0  0  0  390 2288  255  1 10 89
 0 0 0 7551484 4387736 135 3601 0 0 0 0  0  0  0  0  0  388 2115  248  1  6 93
 0 0 0 7551280 4387684 170 3907 0 0 0 0  0  2  0  0  0  424 2368  294  1  9 90
 0 0 0 7551524 4387812 153 3765 0 0 0 0  0  1  0  0  0  386 2310  262  1 10 89
 0 0 0 7551484 4387768 135 3603 0 0 0 0  0  0  0  0  0  373 2147  242  1  7 92
 0 0 0 7551280 4387688 160 3767 0 0 0 0  0  0  0  0  0  373 2270  245  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7551276 4387680 170 3909 0 0 0 0  0  0  0  0  0  389 2368  255  1 10 89
 0 0 0 7551764 4387908 152 3756 0 0 0 0  0  0  0  0  0  386 2324  249  1 10 89
 0 0 0 7551460 4387712 135 3607 0 0 0 0  0  2  0  0  0  425 2139  290  1  6 93
 0 0 0 7551256 4387660 169 3904 0 0 0 0  0  1  0  0  0  392 2315  256  1 10 90
 0 0 0 7551500 4387820 155 3766 0 0 0 0  0  0  0  0  0  391 2268  250  1 10 89
 0 0 0 7551456 4387720 139 3600 0 0 0 0  0  0  0  0  0  384 2096  249  1  7 93
 0 0 0 7551248 4387656 171 3910 0 0 0 0  0  0  0  0  0  393 2305  260  1  9 91
 0 0 0 7551248 4387652 153 3758 0 0 0 0  0  0  0  0  0  378 2275  251  1 10 89
 0 0 0 7551752 4387888 135 3601 0 0 0 0  0  3  0  0  0  433 2134  308  1  7 92
 0 0 0 7551456 4387708 153 3772 0 0 0 0  0 73  0  0  0  391 2222  255  1  9 90
 0 0 0 7551240 4387652 154 3749 0 0 0 0  0  0  0  0  0  397 2262  257  1  9 91
 0 0 0 7551392 4387760 159 3771 0 0 0 0  0  0  0  0  0  387 2341  296  1  9 90
 0 0 0 7551424 4387692 153 3764 0 0 0 0  0  0  0  0  0  396 2239  255  1  9 91
 0 0 0 7551216 4387640 152 3769 0 0 0 0  0  0  0  0  0  379 2251  245  1  9 91
 0 0 0 7551460 4387756 153 3770 0 0 0 0  0  1  0  0  0  412 2269  286  1  9 91
 0 0 0 7551668 4387816 153 3770 0 0 0 0  0 80  0  0  0  384 2248  255  1  9 91
 0 0 0 7551220 4387632 154 3763 0 0 0 0  0  0  0  0  0  397 2258  248  1  9 91
 0 0 0 7551216 4387648 159 3775 0 0 0 0  0  0  0  0  0  390 2263  250  1  9 91
 0 0 0 7551580 4387828 152 3769 0 0 0 0  0  0  0  0  0  374 2254  251  1  9 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7551412 4387668 154 3852 0 0 0 0  0  0  0  0  0  380 2304  251  1  9 90
 0 0 0 7551204 4387612 153 3768 0 0 0 0  0  2  0  0  0  410 2285  286  1  9 91
 0 0 0 7551304 4387708 153 3762 0 0 0 0  0  1  0  0  0  549 2249  255  1  9 90
 0 0 0 7551372 4387640 153 3753 0 0 0 0  0  0  0  0  0  386 2283  250  1  9 90
 0 0 0 7551156 4387592 160 3768 0 0 0 0  0  0  0  0  0  380 2285  251  1  9 91
 0 0 0 7551136 4387556 153 3769 0 0 0 0  0  0  0  0  0  389 2258  251  1  9 91
 0 0 0 7551544 4387692 152 3759 0 0 0 0  0  0  0  0  0  385 2288  248  1  9 90
 0 0 0 7551348 4387608 153 3766 0 0 0 0  0  2  0  0  0  407 2309  286  1  9 91
 0 0 0 7551132 4387544 152 3767 0 0 0 0  0 91  0  0  0  391 2263  254  1  9 90
 0 0 0 7551336 4387648 156 3769 0 0 0 0  0  0  0  0  0  385 2265  252  1  9 91
 0 0 0 7551340 4387628 159 3780 0 0 0 0  0  0  0  0  0  380 2223  247  1  9 91
 0 0 0 7551132 4387540 152 3763 0 0 0 0  0  0  0  0  0  390 2222  253  1  9 91
 0 0 0 7551360 4387648 152 3774 0 0 0 0  0  0  0  0  0  396 2227  247  1  9 91
 0 0 0 7551324 4387580 153 3780 0 0 0 0  0  2  0  0  0  405 2246  289  1  9 90
 0 0 0 7551116 4387528 153 3778 0 0 0 0  0 90  0  0  0  396 2227  257  1  9 91
 0 0 0 7551320 4387632 155 3790 0 0 0 0  0  0  0  0  0  403 2246  250  1  9 91
 0 0 0 7551532 4387708 159 3773 0 0 0 0  0  0  0  0  0  392 2325  291  1  9 91
 0 0 0 7551096 4387516 153 3781 0 0 0 0  0  0  0  0  0  377 2243  254  1  9 91
 0 0 0 7551092 4387504 152 3786 0 0 0 0  0  0  0  0  0  393 2246  249  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7551320 4387612 152 3771 0 0 0 0  0  2  0  0  0  406 2252  282  1  9 90
 0 0 0 7551264 4387520 153 3788 0 0 0 0  0 73  0  0  0  394 2232  256  1  9 91
 0 0 0 7551052 4387468 155 3776 0 0 0 0  0  0  0  0  0  388 2258  250  1  9 91
 0 0 0 7551268 4387608 158 3779 0 0 0 0  0  0  0  0  0  389 2254  247  1  9 91
 0 0 0 7551260 4387516 163 3922 0 0 0 0  0  0  0  0  0  382 2322  254  1  9 90
 0 0 0 7467980 4332372 348 12463 0 0 0 0 0  0  0  0  0  427 6423  268 23 12 65
 0 0 0 7369892 4219916 163 3786 0 0 0 0  0  3  0  0  0  546 2268  298 26 10 64
 0 0 0 7370120 4220044 163 3770 0 0 0 0  0 79  0  0  0  584 2245  260 26 10 64
 0 0 0 7370352 4220300 167 3780 0 0 0 0  0  0  0  0  0  457 2273  248 26 10 65
 0 0 0 7370080 4220204 170 3778 0 0 0 0  0  0  0  0  0  424 2270  249 26 10 65
 0 0 0 7369872 4220160 163 3779 0 0 0 0  0  0  0  0  0  424 2246  253 26 10 64
 0 0 0 7369868 4220156 163 3785 0 0 0 0  0  0  0  0  0  424 2266  248 26 10 64
 0 0 0 7369868 4220156 164 3773 0 0 0 0  0  2  0  0  0  447 2304  284 26 10 64
 0 0 0 7369972 4220252 163 3780 0 0 0 0  0 94  0  0  0  431 2247  258 26 10 64
 0 0 0 7370284 4220360 167 3779 0 0 0 0  0  0  0  0  0  426 2285  255 26 10 64
 0 0 0 7370304 4220392 170 3785 0 0 0 0  0  0  0  0  0  425 2254  246 26 10 64
 0 0 0 7370076 4220168 162 3790 0 0 0 0  0  0  0  0  0  419 2228  257 26 10 64
 0 0 0 7369872 4220156 163 3771 0 0 0 0  0  0  0  0  0  416 2216  250 26 10 64
 0 0 0 7369868 4220156 163 3786 0 0 0 0  0  2  0  0  0  464 2242  294 26 10 64
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7369868 4220156 163 3782 0 0 0 0  0 84  0  0  0  424 2237  260 26 10 65
 0 0 0 7370096 4220296 166 3784 0 0 0 0  0  0  0  0  0  433 2251  251 26 10 65
 0 0 0 7370188 4220364 170 3790 0 0 0 0  0  0  0  0  0  428 2324  290 26 10 65
 0 0 0 7370052 4220144 163 3780 0 0 0 0  0  0  0  0  0  434 2235  266 26 10 65
 0 0 0 7369848 4220132 163 3785 0 0 0 0  0  0  0  0  0  400 2257  249 26 10 64
 0 0 0 7369844 4220132 163 3776 0 0 0 0  0  2  0  0  0  459 2260  296 26 10 64
 0 0 0 7369844 4220132 164 3784 0 0 0 0  0  1  0  0  0  397 2247  256 26 10 64
 0 0 0 7369844 4220140 166 3788 0 0 0 0  0  0  0  0  0  411 2265  256 26 10 64
 0 0 0 7370088 4220288 169 3781 0 0 0 0  0  0  0  0  0  417 2272  247 26 10 65
 0 0 0 7370240 4220304 163 3781 0 0 0 0  0  0  0  0  0  418 2240  255 26 10 64
 0 0 0 7370304 4220356 163 3780 0 0 0 0  0  0  0  0  0  416 2262  250 26 10 64
 0 0 0 7370052 4220144 163 3780 0 0 0 0  0  2  0  0  0  472 2295  287 26 10 64
 0 0 0 7369916 4220200 163 3789 0 0 0 0  0  1  0  0  0  549 2255  253 26 10 64
 0 0 0 7369828 4220124 166 3777 0 0 0 0  0  0  0  0  0  418 2274  252 26 10 64
 0 0 0 7369820 4220144 169 3787 0 0 0 0  0  0  0  0  0  404 2234  248 26 10 64
 0 0 0 7369820 4220104 163 3784 0 0 0 0  0  0  0  0  0  419 2232  256 26 10 64
 0 0 0 7370024 4220196 163 3786 0 0 0 0  0  0  0  0  0  421 2241  247 26 10 64
 0 0 0 7370276 4220320 163 3794 0 0 0 0  0  1  0  0  0  450 2256  283 26 10 64
 0 0 0 7370196 4220276 163 3775 0 0 0 0  0 115 0  0  0  403 2230  255 26 10 64
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7370028 4220124 166 3783 0 0 0 0  0  0  0  0  0  428 2251  250 26 10 64
 0 0 0 7369824 4220152 171 3791 0 0 0 0  0  0  0  0  0  429 2228  257 26 10 64
 0 0 0 7369820 4220104 163 3779 0 0 0 0  0  0  0  0  0  414 2226  255 26  9 65
 0 0 0 7369820 4220100 163 3792 0 0 0 0  0  0  0  0  0  410 2240  253 26 10 65
 0 0 0 7369920 4220184 163 3777 0 0 0 0  0  2  0  0  0  481 2250  283 26 10 65
 0 0 0 7370252 4220224 164 3790 0 0 0 0  0 70  0  0  0  415 2241  255 26 10 64
 0 0 0 7370036 4220200 167 3776 0 0 0 0  0  0  0  0  0  412 2251  250 26 10 64
 0 0 0 7369800 4220144 114 2607 0 0 0 0  0  0  0  0  0  407 1904  239 26  9 65
 0 0 0 7369796 4220080 218 4964 0 0 0 0  0  0  0  0  0  445 2678  308 26 10 64
 0 0 0 7369796 4220076 163 3779 0 0 0 0  0  0  0  0  0  423 2261  252 26  9 65
 0 0 0 7370156 4220256 163 3783 0 0 0 0  0  2  0  0  0  445 2280  291 26 10 64
 0 0 0 7370212 4220268 163 3776 0 0 0 0  0 75  0  0  0  426 2238  254 26 10 64
 0 0 0 7370004 4220108 167 3782 0 0 0 0  0  0  0  0  0  411 2266  255 26 10 64
 0 0 0 7369800 4220140 107 2436 0 0 0 0  0  0  0  0  0  404 1777  189 26  9 66
 0 0 0 7369796 4220080 196 4715 0 0 0 0  0  0  0  0  0  440 2582  303 26 11 63
 0 0 0 7369796 4220080 193 4196 0 0 0 0  0  0  0  0  0  407 2449  271 26 10 64
 0 0 0 7369796 4220076 163 3784 0 0 0 0  0  2  0  0  0  481 2292  284 26 10 65
