time,cpu,FSB,L2miss
2,0,23790682,
4,1,,33084
6,1,10689836,
8,0,,507473
10,0,3140390,
12,1,,738612
14,1,1381920,
16,0,,374467
18,0,12811018,
20,1,,103203
22,1,20032474,
24,1,,6141
24,0,,86561
26,0,15584630,
26,1,15610720,
28,0,,325301
30,1,222752,
32,0,,804713
34,0,743140,
36,1,,353517
36,0,,310524
38,0,12441270,
40,0,,33832
42,1,19770332,
44,1,,62832
46,0,8131222,
46,1,8144490,
48,0,,483691
50,1,2350124,
50,0,2371192,
52,0,,758338
54,0,1436992,
56,0,,363810
58,0,11345958,
60,1,,64015
62,1,18241788,
64,0,,22372
66,1,9938000,
68,1,,611994
70,1,2410424,
70,0,2437476,
72,1,,702581
74,0,1452280,
74,1,1452340,
76,0,,556621
76,1,,518475
78,0,8042936,
80,1,,86469
82,0,21413374,
82,1,21428448,
84,1,,88037
86,0,10153056,
88,0,,519800
90,0,1858124,
92,1,,808486
94,0,558602,
96,0,,222613
96,1,,241967
98,0,15444216,
100,0,,55140
100,1,,36369
102,0,21128640,
104,1,,5603
104,0,,63021
106,0,10765444,
108,1,,495836
110,1,3268152,
112,0,,764886
114,0,1411690,
114,1,1414102,
116,0,,414033
116,1,,282799
118,0,12157034,
120,1,,60124
120,0,,42694
122,0,19041310,
124,0,,20023
126,0,14107485,
128,0,,452398
130,1,1188604,
130,0,1188416,
132,0,,912254
134,0,1458688,
136,0,,387494
138,0,12614610,
140,0,,31839
142,1,20280326,
144,1,,42751
146,1,21006502,
148,0,,66425
150,1,230348,
150,0,229980,
152,0,,730022
154,1,702938,
156,0,,294022
156,1,,374400
158,0,12323226,
160,0,,110248
160,1,,32972
162,0,19415530,
164,0,,63046
166,1,10146416,
166,0,10166268,
168,1,,570199
170,0,2610013,
172,0,,765619
174,1,1486022,
176,0,,495595
178,0,9189620,
180,0,,3857
180,1,,25753
182,0,20485206,
184,1,,48792
186,0,10114817,
188,0,,456398
190,0,2642590,
192,1,,707740
194,1,1496022,
194,0,1499710,
196,0,,673945
196,1,,841672
198,0,2588908,
200,1,,5713
200,0,,85933
202,1,21247888,
204,0,,43342
206,0,10734526,
208,1,,500871
208,0,,475764
210,0,2051582,
212,0,,753012
214,1,727908,
216,0,,306333
216,1,,362987
218,1,12914005,
220,0,,85581
222,1,20570906,
224,1,,33264
226,1,11107576,
228,0,,498259
230,0,1444432,
232,0,,891621
232,1,,702872
234,0,1461520,
236,0,,484653
236,1,,239072
238,0,12002842,
238,1,11963064,
240,0,,71303
240,1,,35987
242,0,19133868,
244,1,,48611
246,0,18130260,
248,1,,213924
250,1,1167124,
252,0,,663260
254,1,1493390,
256,0,,396500
258,1,12604828,
260,0,,115299
262,0,19814034,
264,1,,6389
266,0,9615534,
268,0,,552988
270,0,1289328,
272,1,,742817
274,1,751350,
274,0,755222,
276,1,,333868
276,0,,329230
278,0,12157912,
280,0,,63803
280,1,,81745
282,0,19809065,
284,1,,55566
286,0,10287965,
288,0,,565297
290,0,2695658,
290,1,2723878,
292,0,,778951
294,0,1410082,
296,0,,468638
296,1,,553343
298,0,7778304,
300,1,,13693
302,1,44506118,
304,1,,175219
306,0,250077288,
306,1,250086882,
308,0,,15459907
310,0,234835502,
310,1,235161650,
312,1,,1069322
312,0,,24527927
