 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 8282716 5134544 10 301 0 0  0  0  0  0  0  0  0  375  226  101  2  1 98
 0 0 0 7552048 4388412 178 4264 0 0 0 0  0  0  0  0  0  437 2760  253  1 11 89
 0 0 0 7552084 4388352 157 3866 0 0 0 0  0  0  0  0  0  397 2273  253  1 10 89
 0 0 0 7552076 4388300 131 3498 0 0 0 0  0  2  0  0  0  410 2034  282  1  5 94
 0 0 0 7551872 4388252 170 3907 0 0 0 0  0  0  0  0  0  391 2364  258  1 10 89
 0 0 0 7552092 4388400 156 3756 0 0 0 0  0  0  0  0  0  396 2289  248  1 10 89
 0 0 0 7552076 4388340 139 3602 0 0 0 0  0  0  0  0  0  385 2093  249  1  6 94
 0 0 0 7551848 4388264 171 3921 0 0 0 0  0  0  0  0  0  370 2362  254  1 10 90
 0 0 0 7551844 4388260 153 3750 0 0 0 0  0  0  0  0  0  389 2312  242  1 10 89
 0 0 0 7552296 4388440 135 3599 0 0 0 0  0  2  0  0  0  412 2111  288  1  6 93
 0 0 0 7551848 4388252 170 3909 0 0 0 0  0  0  0  0  0  533 2360  255  1  9 90
 0 0 0 7551848 4388264 155 3763 0 0 0 0  0  0  0  0  0  376 2296  245  1 10 89
 0 0 0 7552068 4388372 157 3769 0 0 0 0  0  0  0  0  0  396 2337  251  1 10 89
 0 0 0 7552052 4388304 135 3601 0 0 0 0  0  0  0  0  0  394 2111  248  1  5 94
 0 0 0 7551848 4388252 170 3901 0 0 0 0  0  0  0  0  0  379 2366  249  1 10 89
 0 0 0 7551948 4388332 153 3765 0 0 0 0  0  4  0  0  0  515 2280  318  1 10 89
 0 0 0 7552052 4388304 135 3603 0 0 0 0  0  0  0  0  0  379 2121  253  1  6 93
 0 0 0 7551848 4388264 172 3921 0 0 0 0  0  0  0  0  0  388 2359  252  1  9 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7551844 4388248 156 3752 0 0 0 0  0  0  0  0  0  384 2368  251  1 10 89
 0 0 0 7552272 4388420 135 3606 0 0 0 0  0  0  0  0  0  397 2135  247  1  6 93
 0 0 0 7551824 4388228 170 3912 0 0 0 0  0  0  0  0  0  386 2351  254  1  9 90
 0 0 0 7551824 4388228 153 3756 0 0 0 0  0  2  0  0  0  439 2365  289  1 10 89
 0 0 0 7552064 4388348 152 3761 0 0 0 0  0  0  0  0  0  386 2361  250  1 10 89
 0 0 0 7552024 4388308 135 3594 0 0 0 0  0  0  0  0  0  379 2106  243  1  6 94
 0 0 0 7551816 4388228 178 3916 0 0 0 0  0  0  0  0  0  391 2530  295  1 10 89
 0 0 0 7552024 4388324 153 3760 0 0 0 0  0  0  0  0  0  386 2384  252  1 10 89
 0 0 0 7552024 4388276 135 3601 0 0 0 0  0  0  0  0  0  381 2132  243  1  6 93
 0 0 0 7551816 4388224 170 3926 0 0 0 0  0  2  0  0  0  394 2426  291  1 10 90
 0 0 0 7551816 4388220 152 3749 0 0 0 0  0  0  0  0  0  392 2389  255  1 10 89
 0 0 0 7552128 4388436 175 4290 0 0 0 0  0  0  0  0  0  394 2516  270  1 10 89
 0 0 0 7552004 4388280 126 3146 0 0 0 0  0  0  0  0  0  383 2022  226  1  5 94
 0 0 0 7551792 4388212 166 3873 0 0 0 0  0  0  0  0  0  395 2452  249  1 10 89
 0 0 0 7551996 4388292 153 3773 0 0 0 0  0  0  0  0  0  391 2292  244  1 10 89
 0 0 0 7552000 4388252 135 3612 0 0 0 0  0  2  0  0  0  414 2180  288  1  6 94
 0 0 0 7551792 4388200 169 3920 0 0 0 0  0  0  0  0  0  554 2471  257  1 10 89
 0 0 0 7551964 4388340 156 3769 0 0 0 0  0  0  0  0  0  387 2334  243  1 10 89
 0 0 0 7552204 4388352 141 3620 0 0 0 0  0  0  0  0  0  386 2219  245  1  6 93
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 7551796 4388200 171 3930 0 0 0 0  0  0  0  0  0  391 2459  255  1  9 90
 0 0 0 7551792 4388196 153 3770 0 0 0 0  0  0  0  0  0  390 2340  251  1 10 89
