time,cpu,FSB,L2miss
2,0,24108004,
2,1,24118688,
4,0,,13796
6,0,2819676,
8,0,,794772
10,1,1335004,
12,0,,674639
12,1,,665050
14,0,4259268,
16,0,,291270
18,1,13207878,
20,0,,37955
22,0,10438607,
24,0,,489983
26,0,3861746,
28,0,,737385
30,1,676852,
30,0,678676,
32,0,,765596
34,0,268198,
36,0,,89443
38,0,19682230,
40,0,,6052
40,1,,62659
42,1,11614594,
44,1,,409559
46,0,8523010,
46,1,8539486,
48,0,,488397
50,1,1856698,
52,0,,336966
54,0,12753382,
56,0,,94337
58,1,10198212,
58,0,10227718,
60,0,,415990
62,0,3610890,
62,1,3640110,
64,1,,646312
66,1,1300444,
68,0,,770701
68,1,,768014
70,1,1379546,
70,0,1398190,
72,1,,96088
74,0,19363962,
76,0,,90607
78,1,14290384,
80,0,,418946
82,0,9966848,
82,1,9982054,
84,1,,592863
86,0,2076638,
88,1,,434611
90,0,11754336,
92,0,,79506
94,0,18179242,
96,0,,49735
98,0,19978567,
98,1,20008309,
100,1,,75672
102,1,9844558,
102,0,9876710,
104,0,,408658
106,1,2069114,
108,1,,341445
110,1,12331453,
112,1,,95016
114,0,19119376,
116,0,,100098
118,1,20651424,
120,1,,55692
122,0,2172248,
124,0,,677009
126,0,1424686,
128,0,,314429
130,1,11852671,
132,1,,245495
134,1,16260621,
136,1,,77449
138,1,20871022,
140,0,,6066
140,1,,72770
142,0,3499250,
144,1,,720709
146,1,2062340,
148,0,,597840
148,1,,606504
150,0,5525602,
152,0,,315131
154,0,11898280,
156,0,,51887
158,1,9856388,
160,0,,440431
162,0,3472404,
164,1,,737255
166,1,2058852,
168,1,,773944
170,1,1911204,
172,0,,274104
174,0,12872882,
176,1,,15926
176,0,,98737
178,0,9889816,
178,1,9921866,
180,1,,436610
182,0,2928132,
184,1,,744675
186,0,1291432,
188,0,,720905
190,1,1343048,
190,0,1343252,
192,1,,94258
194,0,19540436,
196,1,,14424
196,0,,88335
198,1,12547898,
200,0,,401921
202,0,9069340,
202,1,9091596,
204,0,,601035
206,1,3124774,
206,0,3149168,
208,1,,867647
210,1,688338,
212,1,,52793
214,0,18245170,
216,1,,42829
218,1,18160542,
220,0,,186453
222,0,9735110,
224,1,,481496
226,1,2091038,
228,0,,447357
228,1,,232726
230,0,12322125,
232,1,,100705
234,0,19253540,
236,0,,105984
238,0,20917730,
240,1,,6038
240,0,,58479
242,1,2014514,
244,1,,704508
246,1,1268596,
248,1,,62875
250,1,19291392,
252,1,,62279
254,1,19015192,
256,1,,104703
258,1,9624198,
260,1,,391793
262,1,2165560,
264,0,,335666
266,0,13122836,
268,1,,106521
270,1,18520292,
272,0,,25964
274,0,19856778,
276,0,,61403
278,0,2505326,
280,1,,699322
282,0,1881873,
282,1,1884072,
284,1,,250476
286,1,12872484,
288,1,,214298
290,0,17970244,
292,0,,95885
294,0,20901744,
296,1,,25878
298,0,2793052,
300,1,,871214
302,1,22468948,
304,0,,762176
306,1,210938574,
308,0,,350343
310,1,551690570,
310,0,551698708,
312,1,,208633
312,0,,64634518
314,0,497366766,
314,1,497424550,
316,1,,40172349
318,0,366316886,
318,1,366655902,
320,0,,25980741
322,1,402210366,
322,0,402223350,
324,0,,42409161
324,1,,17698748
326,1,539719306,
326,0,539777710,
328,0,,58402067
328,1,,267118
330,1,529219280,
330,0,529485378,
332,1,,55984
332,0,,60815104
334,0,546948566,
334,1,547007522,
336,1,,4847008
338,1,243317284,
340,1,,17323346
342,0,243057509,
344,1,,2690670
346,0,246748294,
348,0,,9286189
350,1,257619173,
352,1,,182459
352,0,,17607245
354,0,247056496,
356,1,,5499614
358,1,239794220,
360,0,,425365
362,0,250336176,
364,1,,17631983
366,0,253773241,
366,1,253895688,
368,0,,131850
370,0,252452406,
372,1,,17291208
374,1,242904212,
374,0,243197761,
376,0,,7165350
378,1,241436800,
380,0,,302542
382,1,250934152,
384,1,,17754611
384,0,,178798
386,1,246560986,
386,0,246506060,
388,1,,168677
388,0,,17672531
390,1,248643550,
390,0,248620686,
392,0,,525284
392,1,,17554725
394,1,242795064,
396,1,,9809170
398,1,246696122,
400,1,,8901750
400,0,,9699240
402,0,247535770,
404,0,,17542175
404,1,,125474
406,1,250043495,
406,0,250415336,
408,0,,172608
408,1,,17586622
410,1,250687878,
412,1,,17493618
414,1,247477061,
416,1,,12059827
416,0,,6037733
418,1,244903240,
418,0,244897149,
420,1,,6129596
422,1,248139384,
422,0,248150400,
424,0,,17451423
424,1,,269977
426,0,250937033,
428,0,,17868252
430,0,247430178,
430,1,247455546,
432,0,,114136
432,1,,17451942
434,1,246022516,
436,1,,7078451
436,0,,10807439
438,0,243683826,
440,1,,336726
440,0,,17825190
442,1,248394474,
444,1,,17430495
444,0,,149552
446,0,247116503,
446,1,247381964,
448,1,,178658
448,0,,17615753
450,1,244156454,
452,1,,1863209
452,0,,16304795
454,0,245317682,
454,1,245514654,
456,1,,7537787
456,0,,10836533
458,1,247178758,
460,0,,10215662
462,1,246848786,
464,0,,17765351
466,1,255050334,
466,0,255062130,
468,0,,17816468
470,0,250308218,
472,1,,14182544
474,0,247812730,
476,1,,986317
476,0,,17598103
478,1,248360186,
478,0,248355022,
480,1,,7623295
482,1,247733344,
484,1,,4503516
484,0,,13526962
486,1,248346612,
486,0,248453552,
488,1,,159352
488,0,,17896420
490,1,252348708,
492,0,,17857654
494,0,250565895,
494,1,250784320,
496,1,,1769670
496,0,,16744565
498,0,246835478,
500,1,,17464567
502,1,251199630,
504,1,,17772804
504,0,,185026
506,1,251400714,
508,1,,5565645
508,0,,12743011
510,0,244200136,
512,0,,16097217
514,0,248002404,
516,0,,8988446
518,0,246663230,
520,0,,17036675
522,1,247398544,
524,0,,17682915
526,1,248085878,
526,0,247976168,
528,1,,16051067
530,0,246606598,
530,1,246603482,
532,1,,12623160
534,1,246458382,
534,0,246598386,
536,1,,8506055
538,1,245425526,
540,0,,2332375
542,1,245052606,
542,0,245061594,
544,0,,17415131
544,1,,351109
546,1,246907006,
548,0,,147528
548,1,,17743171
550,1,247640770,
552,1,,16613584
554,1,244428948,
556,0,,11704260
556,1,,6287448
558,0,253205464,
560,0,,17741371
560,1,,140710
562,1,251428768,
562,0,251516076,
564,1,,152410
564,0,,17753205
566,1,251339274,
566,0,251426302,
568,1,,14961983
570,1,248098188,
572,1,,16998627
574,1,242960720,
574,0,242990970,
576,1,,3232428
578,0,245775290,
580,1,,17570528
580,0,,137740
582,1,256804357,
584,0,,17673031
586,0,250645898,
586,1,250958786,
588,0,,10662134
590,0,248351764,
592,1,,6388120
594,1,244783994,
594,0,244803324,
596,0,,12869835
598,1,246131258,
600,1,,17292117
602,1,247040272,
604,1,,17694076
606,1,248636624,
606,0,248858547,
608,0,,11863006
610,1,245610046,
610,0,245615001,
612,1,,7879098
614,1,243663029,
614,0,243674414,
616,0,,17839889
618,0,253187308,
620,1,,16497416
620,0,,1212931
622,1,250295678,
624,1,,149813
626,1,256211870,
628,1,,17714375
630,0,251045090,
632,0,,6427319
632,1,,11803761
634,0,244581564,
634,1,244571058,
636,1,,16486548
638,1,249908674,
640,1,,17088728
642,1,252071107,
644,0,,3743418
644,1,,14056531
646,1,250574506,
646,0,250657172,
648,0,,16065349
650,1,248499340,
652,1,,3717513
654,1,246780042,
654,0,246783598,
656,1,,7577925
656,0,,10973096
658,0,246439180,
658,1,246473729,
660,1,,16198711
660,0,,1497796
662,1,249097966,
664,0,,44159
666,0,245350354,
668,1,,2139489
670,1,245800784,
670,0,245833500,
672,1,,10373700
674,1,240538344,
676,0,,14068743
676,1,,3990193
678,0,246193602,
680,0,,791028
682,1,252031578,
684,1,,17655997
686,0,252866908,
686,1,252919387,
688,0,,17769240
690,0,245668956,
692,1,,2661343
692,0,,15703751
694,1,243810756,
694,0,243822477,
696,1,,4139591
698,1,248362548,
700,1,,17465719
702,1,251533020,
702,0,251554306,
704,0,,17810971
706,1,247970564,
708,1,,14045180
710,0,247726430,
712,0,,5567858
714,1,245135500,
714,0,245470962,
716,1,,8435257
716,0,,10027293
718,1,244639780,
720,1,,17693012
722,1,250233250,
722,0,250254922,
724,0,,74489
726,0,248366664,
726,1,248404008,
728,1,,17812886
730,0,242865244,
732,0,,9989809
732,1,,8285296
734,1,244200192,
736,1,,17551104
738,0,247503512,
740,1,,17372020
742,1,248748466,
744,1,,17868877
746,0,253008280,
748,1,,194985
748,0,,17890057
750,1,245951146,
750,0,246059982,
752,1,,14463393
752,0,,3827049
754,1,243088648,
754,0,243079016,
756,1,,5408165
758,1,251471510,
760,1,,18054879
760,0,,120043
762,0,253390448,
764,1,,17661726
766,0,253602284,
766,1,253719376,
768,1,,3852662
770,1,248254566,
770,0,248478532,
772,1,,17343388
774,1,242717701,
776,0,,2812586
778,0,250608484,
778,1,250629790,
780,0,,75936
782,1,245551208,
782,0,245667594,
784,0,,524440
784,1,,17472453
786,1,243285396,
788,1,,17376951
790,0,245928634,
792,0,,5493891
792,1,,12087357
794,0,247378286,
796,0,,17774131
796,1,,150518
798,1,255082296,
800,1,,17918183
802,0,254473724,
802,1,254472612,
804,1,,17543546
806,0,244651719,
806,1,244779274,
808,1,,11099941
810,0,242709759,
812,1,,12849192
814,0,250032458,
816,1,,4368628
818,0,253275801,
820,0,,16545510
822,0,247667090,
824,1,,11323689
826,1,248263000,
828,0,,8340896
830,0,246753994,
832,1,,1768451
834,0,246840350,
836,0,,195511
838,0,249734020,
840,1,,89252
840,0,,18031285
842,0,245929034,
842,1,246093268,
844,0,,7567399
846,0,246276451,
846,1,246296464,
848,0,,17430876
850,0,253015256,
852,1,,17670139
854,1,249271649,
856,1,,17636064
858,0,248373082,
860,1,,17502953
862,1,247684797,
862,0,247722936,
864,1,,17475330
866,1,246088542,
868,0,,1604895
870,0,252178683,
872,0,,1384394
872,1,,16434418
874,0,250950496,
876,1,,17705619
878,1,244959410,
880,1,,16306320
882,1,244699978,
