Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	26	30	25	19	21	3150	7575	5325	7500	5400	7575	5325	8025	5250
5	26	30	25	19	21	3150	7650	5325	7500	5400	7575	5250	7950	5250
10	30	32	25	19	21	3225	7650	5250	7500	5400	7575	5250	7950	5325
15	28	30	25	19	21	3225	7650	5250	7500	5400	7575	5250	7950	5325
20	30	31	25	19	21	3150	7650	5325	7500	5400	7650	5325	8025	5250
25	31	33	25	19	21	3225	7650	5325	7500	5400	7575	5325	7950	5250
30	31	31	25	19	21	3150	7650	5250	7500	5400	7650	5250	7950	5325
35	31	31	25	19	21	3150	7650	5250	7500	5400	7650	5250	7950	5325
40	30	31	25	19	21	3150	7575	5250	7500	5400	7575	5250	7950	5250
45	29	33	25	19	21	3150	7650	5250	7500	5400	7575	5250	7950	5325
50	28	31	25	19	21	3150	7650	5250	7500	5400	7575	5250	7950	5325
55	31	31	25	19	21	3150	7650	5250	7500	5400	7575	5250	7950	5325
60	33	32	25	19	21	3225	7650	5325	7500	5400	7575	5325	7950	5250
65	29	32	25	19	21	3225	7650	5325	7500	5400	7575	5325	7950	5250
70	31	33	25	19	21	3225	7650	5250	7500	5325	7575	5250	7950	5250
75	32	32	25	19	21	3150	7650	5325	7500	5400	7650	5325	7950	5250
80	31	32	25	19	21	3150	7650	5325	7500	5400	7650	5325	7950	5250
85	31	32	25	19	21	3150	7650	5250	7500	5475	7575	5250	8025	5325
90	32	32	25	19	21	3150	7650	5250	7500	5400	7575	5250	7950	5325
95	31	33	25	19	21	3150	7650	5325	7500	5475	7575	5325	8025	5325
100	29	32	25	19	21	3150	7650	5325	7500	5475	7575	5325	8025	5325
105	29	35	25	19	21	3150	7650	5325	7500	5400	7575	5325	8025	5250
110	33	34	25	19	21	3150	7650	5250	7425	5325	7575	5250	8025	5250
115	30	32	25	19	22	3150	7650	5250	7425	5325	7575	5250	8025	5250
120	32	32	25	19	22	3150	7650	5325	7425	5400	7575	5325	7950	5250
125	30	35	25	19	22	3150	7575	5250	7425	5400	7500	5250	8025	5325
130	30	34	25	19	22	3150	7650	5325	7425	5400	7575	5325	7950	5250
135	32	32	25	19	22	3150	7650	5325	7425	5400	7575	5325	7950	5250
140	32	33	25	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5250
145	31	35	25	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5325
150	30	32	25	19	22	3150	7650	5325	7500	5400	7575	5325	7950	5325
155	31	33	25	19	22	3150	7650	5250	7425	5400	7575	5250	7950	5325
160	31	36	25	19	22	3150	7575	5325	7500	5400	7575	5325	8025	5250
165	29	34	25	19	22	3150	7575	5325	7500	5400	7575	5325	8025	5250
170	30	35	25	19	22	3150	7575	5325	7500	5400	7575	5325	7950	5250
175	32	33	25	19	22	3225	7650	5250	7425	5325	7575	5250	7950	5325
180	32	32	26	19	22	3225	7650	5325	7500	5400	7575	5325	7950	5250
185	31	32	26	19	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
190	31	32	26	19	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
195	32	33	26	20	22	3150	7650	5250	7500	5400	7575	5250	8025	5325
200	31	32	26	20	22	3150	7650	5325	7500	5400	7650	5325	8025	5250
205	31	32	26	20	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
210	31	34	26	20	22	3150	7650	5325	7425	5400	7575	5325	8025	5250
215	29	32	26	20	22	3150	7575	5250	7500	5400	7575	5250	7950	5250
220	29	31	26	20	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
225	29	31	26	20	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
230	29	31	26	20	22	3150	7650	5325	7500	5400	7575	5325	8025	5325
235	29	32	26	20	22	3225	7650	5250	7500	5400	7575	5250	8025	5325
240	29	32	26	20	22	3150	7650	5325	7425	5400	7575	5325	8025	5250
245	29	32	26	20	22	3150	7650	5325	7425	5400	7500	5325	8025	5250
250	29	32	26	20	22	3150	7650	5325	7425	5400	7575	5325	7950	5250
255	29	32	26	20	22	3150	7650	5250	7500	5325	7575	5250	8025	5250
260	29	32	26	20	22	3150	7650	5325	7500	5400	7575	5325	8025	5250
265	29	32	26	20	22	3150	7650	5250	7425	5400	7575	5250	8025	5325
270	29	32	26	20	22	3225	7575	5250	7425	5325	7575	5250	8025	5325
275	29	32	26	20	22	3150	7650	5250	7425	5400	7650	5250	8025	5325
280	29	32	26	20	22	3150	7650	5325	7425	5400	7650	5325	8025	5250
285	29	32	26	20	22	3225	7650	5325	7500	5400	7575	5250	8025	5325
290	29	32	26	20	22	3150	7650	5250	7500	5400	7575	5250	8025	5325
295	29	32	26	20	22	3150	7575	5325	7425	5400	7650	5325	7950	5325
300	29	32	26	20	22	3150	7575	5250	7500	5400	7650	5325	8025	5325
305	29	37	26	20	22	3150	7650	5325	7500	5400	7575	5250	8025	5325
310	29	38	26	20	22	3150	7575	5250	7500	5400	7650	5250	7950	5250
315	30	39	26	20	22	3150	7575	5325	7500	5400	7650	5325	7950	5325
320	34	34	26	20	23	3150	7650	5325	7500	5400	7650	5325	7950	5325
325	35	34	26	20	23	3225	7650	5250	7500	5400	7650	5250	7950	5250
330	31	39	26	20	23	3150	7650	5325	7500	5400	7575	5250	8025	5250
335	31	39	26	20	23	3225	7575	5250	7500	5400	7650	5250	7950	5250
340	31	40	26	20	23	3150	7575	5250	7425	5400	7650	5250	8025	5250
345	31	40	26	20	23	3225	7575	5250	7500	5400	7650	5250	7950	5250
350	33	38	26	20	23	3150	7650	5325	7500	5400	7650	5325	7950	5325
355	31	41	26	20	23	3150	7650	5325	7425	5400	7575	5325	8025	5325
360	35	36	26	20	23	3225	7650	5325	7500	5400	7650	5325	7950	5325
365	31	41	27	21	24	3150	7650	5250	7500	5325	7575	5250	7950	5325
370	32	42	27	21	24	3150	7650	5325	7500	5400	7575	5325	7950	5250
375	31	42	27	21	24	3225	7575	5250	7500	5400	7650	5250	7950	5325
380	36	37	27	21	24	3150	7575	5325	7425	5400	7650	5325	7950	5250
