Time	Temp0	Temp1	Planar_Temp	VRD_0_Temp	VRD_1_Temp	Fan_1	Fan_2A	Fan_2B	Fan_3A	Fan_3B	Fan_4A	Fan_4B	Fan_5A	Fan_5B
0	26	29	25	18	20	3150	7575	5250	7500	5400	7575	5325	7950	5325
5	26	29	25	18	20	3150	7575	5250	7500	5400	7650	5250	7950	5250
10	27	30	25	18	20	3150	7650	5325	7500	5400	7575	5250	7950	5250
15	26	30	25	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
20	27	32	25	18	20	3150	7650	5250	7500	5400	7575	5250	7950	5250
25	26	31	25	18	20	3150	7575	5250	7425	5400	7575	5250	7950	5250
30	26	30	25	18	20	3150	7650	5325	7425	5400	7575	5325	8025	5250
35	29	32	25	17	20	3150	7575	5325	7425	5400	7575	5325	7950	5250
40	27	30	25	17	20	3150	7650	5250	7500	5400	7575	5250	7950	5250
45	27	30	25	18	20	3150	7650	5325	7500	5400	7575	5325	7950	5250
50	29	33	25	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
55	28	31	25	17	20	3150	7575	5325	7500	5400	7500	5325	7950	5250
60	26	31	25	17	20	3225	7575	5250	7500	5400	7500	5250	7950	5250
65	29	32	25	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5325
70	28	31	25	17	20	3150	7650	5250	7500	5325	7575	5250	7950	5325
75	26	31	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
80	26	31	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
85	29	31	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
90	27	31	25	17	20	3150	7575	5325	7425	5400	7575	5325	7950	5325
95	27	31	25	17	20	3150	7650	5250	7425	5400	7500	5250	7950	5250
100	29	34	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5325
105	27	31	25	17	20	3150	7575	5250	7500	5400	7500	5250	7950	5250
110	26	31	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
115	30	32	25	17	20	3150	7575	5250	7425	5325	7575	5250	7875	5250
120	27	32	25	17	20	3150	7575	5250	7500	5400	7575	5250	7950	5250
125	27	31	25	17	20	3150	7650	5325	7500	5400	7575	5325	7950	5250
130	30	31	25	17	20	3150	7575	5250	7425	5400	7575	5250	7875	5250
135	27	32	25	17	20	3150	7575	5250	7425	5400	7575	5250	8025	5250
140	27	31	25	17	20	3150	7650	5250	7425	5400	7650	5250	7950	5250
145	26	31	25	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
150	29	33	25	17	20	3150	7650	5325	7425	5325	7575	5325	7950	5250
155	27	31	25	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
160	26	31	25	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
165	28	34	24	17	20	3150	7575	5250	7500	5325	7575	5250	7950	5250
170	27	32	24	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
175	26	31	24	17	20	3150	7650	5250	7500	5400	7575	5250	7950	5250
180	28	34	24	17	20	3150	7650	5325	7425	5325	7575	5325	7950	5250
185	28	31	24	17	20	3150	7650	5250	7425	5400	7575	5250	7950	5250
