Proc,bm,n,  rmse,  pcterror  ,min, max 
1,1,10,0.7241,0.6606,60.212,70.434
1,1,25,0.514,0.4724,60.212,70.434
1,1,50,0.1823,0.1816,60.212,66.449
1,1,100,0.1823,0.1816,60.212,66.449
1,1,200,0.1823,0.1816,60.212,66.449
1,2,10,1.0269,0.9939,63.063,73.887
1,2,25,1.0216,0.9361,63.248,73.524
1,2,50,0.242,0.2063,63.248,68.904
1,2,100,0.242,0.2063,63.248,68.904
1,2,200,0.242,0.2063,63.248,68.904
1,3,10,0.7555,0.6514,63.8595,74.382
1,3,25,0.7211,0.6374,64.1355,74.382
1,3,50,0.3376,0.2762,64.1355,72.6915
1,3,100,0.3376,0.2762,64.1355,72.6915
1,3,200,0.3376,0.2762,64.1355,72.6915
1,4,10,0.8472,0.8223,63.26,74.303
1,4,25,0.8266,0.8248,63.26,74.303
1,4,50,0.2337,0.2221,63.26,72.191
1,4,100,0.2337,0.2221,63.26,72.191
1,4,200,0.2337,0.2221,63.26,72.191
2,1,10,1.8386,1.9244,41.55,72.3
2,1,25,1.3396,1.3704,42,65.52
2,1,50,1.2944,1.2587,42,65.52
2,1,100,0.1823,0.1816,60.212,66.449
2,1,200,0.1823,0.1816,60.212,66.449
2,2,10,1.5481,1.4203,41.97,68.55
2,2,25,1.6084,1.554,41.97,68.55
2,2,50,2.4411,2.8759,41.97,68.55
2,2,100,0.242,0.2063,63.248,68.904
2,2,200,0.242,0.2063,63.248,68.904
2,3,10,2.1314,2.3632,40.368,69.21
2,3,25,1.6767,1.6657,42,67.86
2,3,50,1.8587,1.7991,42,66.9
2,3,100,0.3376,0.2762,64.1355,72.6915
2,3,200,0.3376,0.2762,64.1355,72.6915
2,4,10,3.3069,4.2029,41.568,75.39
2,4,25,3.5883,4.6398,42.09,75.39
2,4,50,3.1972,4.0871,42.09,70.32
2,4,100,0.2337,0.2221,63.26,72.191
2,4,200,0.2337,0.2221,63.26,72.191
