timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0, 20725377175,103220,331,3238,2590
40,1, 25668534286,20662,348,4010,3208
40,2, 19723585351,102593,288,3081,2465
40,3, 10129064,14789,312,1,1
45,0, 27453026431,126640,372,4289,3431
45,1, 33406305201,25316,398,5219,4175
45,2, 24129005875,126843,323,3770,3016
45,3, 12753458,18914,352,1,1
50,0, 34330595179,150932,415,5364,4291
50,1, 43375386312,30078,448,6777,5421
50,2, 28535687650,152084,360,4458,3566
50,3, 15610287,23388,392,2,1
55,0, 41526776107,183179,455,6488,5190
55,1, 53345822305,35130,491,8335,6668
55,2, 34999675827,185034,403,5468,4374
55,3, 18668633,28201,433,2,2
60,0, 48782727402,216295,497,7622,6097
60,1, 65640910870,40289,541,10256,8205
60,2, 41464893002,219037,440,6478,5183
60,3, 21971011,33374,474,3,2
65,0, 56811649206,250209,540,8876,7101
65,1, 79523571996,45737,591,12425,9940
65,2, 47931352299,253991,476,7489,5991
65,3, 25545778,38915,515,3,3
70,0, 67148683868,284548,590,10492,8393
70,1, 93407876353,51830,634,14594,11675
70,2, 54399015146,290004,513,8499,6799
70,3, 29429253,44900,555,4,3
75,0, 77806123992,326806,631,12157,9725
75,1, 107293592556,58685,676,16764,13411
75,2, 62922157364,333688,556,9831,7865
75,3, 33575273,51296,596,5,4
80,0, 88523348652,369934,674,13831,11065
80,1, 123503948507,65651,728,19297,15438
80,2, 71446522852,378399,594,11163,8930
80,3, 37923165,58044,638,5,4
85,0, 99673392101,413943,718,15574,12459
85,1, 141653451551,72798,779,22133,17706
85,2, 79972123264,424067,632,12495,9996
85,3, 42540527,65163,679,6,5
90,0, 111445882459,458715,762,17413,13930
90,1, 161546054974,80165,831,25241,20193
90,2, 88498981108,470841,669,13828,11062
90,3, 47386824,72625,721,7,5
95,0, 123593094726,504333,806,19311,15449
95,1, 183437686990,87742,882,28662,22929
95,2, 97027039102,518787,707,15160,12128
95,3, 52462214,80244,762,8,6
100,0, 135911340585,558311,847,21236,16988
100,1, 205330600866,95811,925,32082,25666
100,2, 105556249684,567705,747,16493,13194
100,3, 2266267289,95920,812,354,283
105,0, 148288220624,621138,888,23170,18536
105,1, 227224781196,104313,968,35503,28403
105,2, 116410318013,625117,792,18189,14551
105,3, 4481350904,112613,855,700,560
110,0, 160724669713,684842,932,25113,20090
110,1, 251443622039,112899,1020,39288,31430
110,2, 127265865348,684134,830,19885,15908
110,3, 6696613007,129633,896,1046,837
115,0, 173399454524,750331,976,27093,21675
115,1, 277802726071,121608,1071,43406,34725
115,2, 138124094042,746496,867,21582,17265
115,3, 8912053634,147012,939,1392,1114
120,0, 188382534621,816232,1026,29434,23547
120,1, 304163623429,131053,1115,47525,38020
120,2, 148983563966,810102,905,23278,18623
120,3, 11127667333,164749,980,1738,1390
125,0, 203734999313,883123,1070,31833,25466
125,1, 332529176910,140700,1166,51957,41566
125,2, 159844365394,874851,944,24975,19980
125,3, 13343456635,182815,1023,2084,1667
130,0, 219361338805,957947,1113,34275,27420
130,1, 360896096380,150606,1212,56390,45112
130,2, 172808473436,947508,989,27001,21601
130,3, 15559421873,201175,1065,2431,1944
135,0, 235047314091,1033651,1158,36726,29381
135,1, 391587665814,160615,1264,61185,48948
135,2, 185773793408,1021203,1028,29027,23221
135,3, 17775591021,219866,1108,2777,2221
140,0, 252286217013,1109960,1203,39419,31535
140,1, 423061108609,171747,1317,66103,52882
140,2, 198740404326,1096152,1067,31053,24842
140,3, 19992058490,239323,1151,3123,2499
145,0, 270508629462,1191768,1246,42267,33813
145,1, 454536106468,183400,1362,71021,56817
145,2, 213077288443,1176676,1112,33293,26634
145,3, 22208780366,259145,1193,3470,2776
150,0, 288790335023,1282360,1288,45123,36098
150,1, 486012317375,195364,1407,75939,60751
150,2, 229739035311,1265750,1157,35896,28717
150,3, 24426094123,279542,1236,3816,3053
155,0, 307131736339,1373867,1333,47989,38391
155,1, 519813170868,207441,1460,81220,64976
155,2, 246401937179,1355842,1196,38500,30800
155,3, 26643637139,300285,1278,4163,3330
160,0, 326957289925,1465910,1379,51087,40869
160,1, 554466736584,220021,1512,86635,69308
160,2, 263066047589,1446992,1235,41104,32883
160,3, 28861442126,321410,1321,4509,3607
165,0, 349091050466,1558364,1430,54545,43636
165,1, 589122107248,233415,1557,92050,73640
165,2, 279731528399,1539232,1274,43708,34966
165,3, 31079423772,342893,1364,4856,3884
170,0, 371309148708,1651737,1475,58017,46413
170,1, 626076596925,246907,1610,97824,78259
170,2, 296398250312,1632494,1313,46312,37049
170,3, 33297830089,365198,1406,5202,4162
175,0, 394072427861,1746014,1520,61574,49259
175,1, 664854073847,260590,1663,103883,83106
175,2, 313066207527,1726771,1351,48916,39133
175,3, 35516467043,387854,1449,5549,4439
180,0, 416997333061,1841230,1565,65156,52124
180,1, 705850820628,274378,1715,110289,88231
180,2, 329735410730,1822095,1390,51521,41217
180,3, 37735280674,410843,1492,5896,4716
185,0, 440220892349,1944339,1608,68784,55027
185,1, 746848874073,288489,1760,116695,93356
185,2, 348482397293,1925149,1437,54450,43560
185,3, 39954411799,434310,1535,6242,4994
190,0, 463504057611,2048286,1653,72422,57938
190,1, 790171554368,302675,1813,123464,98771
190,2, 367230604438,2029311,1476,57380,45904
190,3, 42173754583,458009,1578,6589,5271
195,0, 486925546058,2160571,1697,76082,60865
195,1, 833495526063,317140,1858,130233,104186
195,2, 388222413695,2141828,1522,60660,48528
195,3, 44393248660,481921,1622,6936,5549
200,0, 510406781013,2273694,1742,79751,63801
200,1, 879144168373,331677,1911,137366,109893
200,2, 409215440886,2255349,1562,63940,51152
200,3, 46613103391,506418,1665,7283,5826
205,0, 534310466190,2387600,1787,83486,66789
205,1, 926742653352,346352,1963,144803,115842
205,2, 430209754414,2369912,1602,67220,53776
205,3, 48833178465,531239,1707,7630,6104
210,0, 558294879254,2502430,1832,87233,69787
210,1, 976643948827,361112,2016,152600,122080
210,2, 451205336966,2485472,1642,70501,56400
210,3, 51053497918,556394,1750,7977,6381
215,0, 582783598995,2618079,1877,91060,72848
215,1, 1028410568252,376025,2069,160689,128551
215,2, 472202192207,2602114,1682,73781,59025
215,3, 53274015342,581876,1792,8324,6659
220,0, 607459880263,2734558,1923,94916,75932
220,1, 1082369494805,391017,2121,169120,135296
220,2, 493200316933,2719662,1723,77062,61650
220,3, 55494827183,607724,1835,8671,6936
225,0, 633694704156,2851604,1969,99015,79212
225,1, 1137104442015,406479,2174,177672,142138
225,2, 514199729404,2838261,1763,80344,64275
225,3, 57715892163,633940,1878,9018,7214
230,0, 661827215968,2969235,2015,103410,82728
230,1, 1192264714715,422432,2227,186291,149033
230,2, 535200311258,2957895,1803,83625,66900
230,3, 59937348993,660753,1920,9365,7492
235,0, 690097751969,3097478,2059,107828,86262
235,1, 1247429526633,441538,2273,194910,155928
235,2, 558449178913,3085877,1849,87258,69806
235,3, 62159032350,687959,1964,9712,7769
240,0, 718427872070,3226737,2106,112254,89803
240,1, 1304918896698,460811,2326,203893,163114
240,2, 581699308523,3215120,1889,90891,72712
240,3, 64380973345,715364,2008,10059,8047
MARK: log cycle at timestamp 240
