timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0, 49699287,67651,273,10,0
40,1, 74182013,377311,288,15,0
40,2, 72128749,405211,232,14,0
40,3, 9786193,23612,281,1,0
45,0, 61855340,82668,307,12,0
45,1, 89835374,453524,324,18,0
45,2, 87036291,487685,261,17,0
45,3, 12152536,29320,316,2,0
50,0, 75008676,98484,341,15,0
50,1, 105877486,530136,361,21,0
50,2, 102180541,570772,290,20,0
50,3, 14757525,35592,351,2,0
55,0, 90880554,117461,375,18,0
55,1, 122224328,607233,397,24,0
55,2, 142560307,803968,318,28,0
55,3, 17750788,43309,386,3,0
60,0, 107692137,137460,409,21,0
60,1, 138909950,684668,434,28,0
60,2, 183223934,1038098,347,37,0
60,3, 20974235,51571,421,4,0
65,0, 125473498,158376,442,25,0
65,1, 155939009,762403,470,31,0
65,2, 224187053,1273153,376,45,0
65,3, 24376056,60181,456,4,0
70,0, 144264985,180285,476,29,0
70,1, 173338899,840647,506,35,0
70,2, 265433135,1508987,405,53,0
70,3, 28022609,69462,491,5,0
75,0, 164146362,202970,510,33,0
75,1, 191140994,919304,543,38,0
75,2, 306899635,1745425,434,62,0
75,3, 31913513,79338,526,6,0
80,0, 185031842,226535,544,37,0
80,1, 209309199,998263,579,42,0
80,2, 348598992,1982483,463,70,0
80,3, 36052803,89824,562,7,0
85,0, 208567957,252908,578,42,0
85,1, 252844296,1227023,615,51,0
85,2, 390621768,2220809,492,79,0
85,3, 40418206,100886,597,8,0
90,0, 233033976,280423,612,47,0
90,1, 296666031,1456139,651,60,0
90,2, 432966969,2460152,521,87,0
90,3, 45014192,112486,632,9,0
95,0, 258491085,309087,646,52,0
95,1, 340785747,1685582,686,69,0
95,2, 475754759,2700993,549,96,0
95,3, 49718300,124213,667,10,0
100,0, 285713455,341017,680,57,0
100,1, 385340901,1915700,721,78,0
100,2, 519002149,2943475,578,105,0
100,3, 54657088,136474,702,11,0
105,0, 313828458,374213,713,63,0
105,1, 430156885,2146155,757,87,0
105,2, 562640447,3187231,607,114,0
105,3, 59774713,149060,737,12,0
110,0, 342894138,408466,747,69,0
110,1, 475266577,2376970,794,96,0
110,2, 606573411,3431699,636,123,0
110,3, 65180512,162396,772,13,0
115,0, 386553781,521822,781,78,0
115,1, 533291730,2681135,830,108,0
115,2, 650784761,3677252,665,132,0
115,3, 70786113,176290,807,14,0
120,0, 431255173,636187,815,87,0
120,1, 591696128,2985536,866,120,0
120,2, 695152309,3923223,694,141,0
120,3, 76670993,191040,843,15,0
125,0, 476947703,751515,849,96,0
125,1, 650438945,3290107,903,132,0
125,2, 739669711,4169546,723,150,0
125,3, 82844859,206648,878,16,0
130,0, 523681813,867844,883,105,0
130,1, 709559432,3594868,939,144,0
130,2, 784337030,4416188,752,159,0
130,3, 89308930,223113,913,18,0
135,0, 571499465,985201,917,115,0
135,1, 769011005,3899729,975,156,0
135,2, 829112741,4663063,780,168,0
135,3, 96060980,240449,948,19,0
140,0, 620252149,1103665,951,125,0
140,1, 828712374,4204854,1012,168,0
140,2, 874234929,4910946,809,177,0
140,3, 103013007,258210,983,20,0
145,0, 671624521,1224782,984,135,0
145,1, 913794285,4659517,1048,185,0
145,2, 919743250,5160160,838,186,0
145,3, 110156397,276426,1018,22,0
150,0, 723935915,1346539,1018,146,0
150,1, 999314351,5114567,1085,202,0
150,2, 965487388,5410107,867,196,0
150,3, 117479289,295023,1053,23,0
155,0, 777219402,1468941,1052,157,0
155,1, 1085251240,5569955,1121,220,1
155,2, 1011494310,5660799,896,205,0
155,3, 124980542,313984,1088,25,0
