timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    1.379,   1.184,    32.1,   5.777,   4.333
40,1,    9.617,   13.28,    35.1,   9.666,    7.25
40,2,    1.624,   2.501,    28.6,   5.454,   4.091
40,3,   0.6409,   0.881,   31.98,   5.583,   4.187
45,0,    1.849,   1.658,   32.48,   5.997,   4.498
45,1,    12.61,    17.5,   35.85,   10.99,   8.245
45,2,     2.16,   3.318,    29.1,   5.763,   4.322
45,3,   0.7938,   1.099,   32.35,   5.707,    4.28
50,0,    2.312,   2.135,   32.73,   6.195,   4.647
50,1,    16.01,   22.35,   36.23,   12.43,   9.323
50,2,    2.692,   4.125,   29.35,   6.028,   4.521
50,3,   0.9366,   1.312,    32.6,   5.808,   4.356
55,0,    2.981,   2.923,   32.98,    6.48,    4.86
55,1,    19.19,   26.93,    36.6,   13.79,   10.34
55,2,    3.224,   4.933,    29.6,   6.293,    4.72
55,3,    1.079,   1.526,   32.85,   5.909,   4.432
60,0,    3.693,   3.775,   33.23,   6.782,   5.087
60,1,    22.35,   31.45,   36.85,   15.11,   11.33
60,2,    3.756,   5.741,   29.85,   6.558,   4.918
60,3,    1.222,    1.74,    33.1,    6.01,   4.508
65,0,    4.498,   4.761,   33.48,   7.122,   5.342
65,1,    25.58,   36.05,    37.6,   16.54,    12.4
65,2,    4.288,   6.548,   29.98,   6.802,   5.101
65,3,    1.223,   1.745,   32.85,    5.97,   4.477
70,0,    5.432,   5.928,   33.73,   7.514,   5.636
70,1,    29.23,   41.23,   38.35,   18.13,    13.6
70,2,    4.293,   6.574,    29.6,   6.745,   5.058
70,3,    1.224,    1.75,   32.85,   5.971,   4.478
75,0,    6.709,   7.575,   33.85,   8.022,   6.017
75,1,    32.54,    45.9,    38.6,   19.51,   14.63
75,2,    4.298,   6.599,   29.73,    6.77,   5.078
75,3,    1.224,   1.754,   32.98,   5.992,   4.494
80,0,    8.303,   9.691,   33.98,   8.662,   6.496
80,1,    35.54,    50.1,   38.85,   20.75,   15.56
80,2,    4.302,   6.624,   29.85,   6.796,   5.097
80,3,    1.225,   1.758,    33.1,   6.014,    4.51
85,0,    9.987,   11.92,    34.1,   9.335,   7.001
85,1,    38.46,   54.19,    39.1,   21.96,   16.47
85,2,    4.306,   6.648,   29.98,   6.822,   5.116
85,3,    1.225,   1.762,    33.1,   6.014,   4.511
90,0,    11.67,   14.15,   34.23,   10.01,   7.506
90,1,    41.38,   58.29,    39.1,   23.13,   17.35
90,2,    4.311,   6.673,    30.1,   6.847,   5.135
90,3,    1.226,   1.765,    33.1,   6.015,   4.511
95,0,    13.15,   16.07,   34.35,   10.59,   7.945
95,1,    44.53,   62.69,    39.1,   24.39,   18.29
95,2,    4.315,   6.697,    30.1,   6.852,   5.139
95,3,    1.226,   1.769,    33.1,   6.016,   4.512
100,0,    14.68,   18.07,   34.48,    11.2,   8.403
100,1,    47.62,   66.99,   39.23,   25.64,   19.23
100,2,    4.319,   6.722,   30.23,   6.878,   5.158
100,3,    1.226,   1.773,   33.23,   6.037,   4.528
105,0,    16.42,   20.36,    34.6,    11.9,   8.923
105,1,     50.5,   70.99,   39.35,   26.81,   20.11
105,2,    4.324,   6.747,   30.35,   6.903,   5.178
105,3,    1.227,   1.776,   33.35,   6.059,   4.544
110,0,    18.06,   22.51,   34.73,   12.55,   9.412
110,1,    53.49,   75.16,   39.48,   28.02,   21.02
110,2,    4.328,   6.771,   30.48,   6.929,   5.197
110,3,    1.227,   1.779,   33.48,    6.08,    4.56
115,0,    19.69,   24.68,   34.85,    13.2,   9.902
115,1,    56.48,   79.34,    39.6,   29.24,   21.93
115,2,    4.333,   6.797,    30.6,   6.955,   5.216
115,3,    1.228,   1.783,    33.6,   6.102,   4.576
120,0,       21,   26.38,   34.98,   13.73,   10.29
120,1,    59.81,   83.98,   39.73,   30.59,   22.94
120,2,    4.337,   6.822,   30.73,   6.981,   5.236
120,3,    1.228,   1.786,   33.73,   6.123,   4.592
125,0,    22.47,   28.32,    35.1,   14.32,   10.74
125,1,    62.97,   88.38,   39.85,   31.87,    23.9
125,2,    4.341,   6.848,   30.85,   7.007,   5.255
125,3,    1.228,    1.79,   33.85,   6.145,   4.608
130,0,     24.3,   30.78,   34.98,   15.01,   11.26
130,1,    65.58,   92.02,   39.48,   32.85,   24.64
130,2,    4.346,   6.874,   30.98,   7.032,   5.274
130,3,    1.383,    2.01,   34.35,    6.29,   4.718
135,0,     26.1,    33.2,   34.85,   15.69,   11.77
135,1,    67.67,   94.92,    39.1,   33.61,   25.21
135,2,    4.899,   7.667,    31.6,   7.361,   5.521
135,3,    1.537,    2.23,    34.6,   6.395,   4.796
140,0,    27.78,   35.45,   34.85,   16.35,   12.26
140,1,    69.88,   98.02,    39.1,    34.5,   25.87
140,2,    5.453,    8.46,    31.6,   7.585,   5.689
140,3,    1.692,   2.451,    34.6,   6.457,   4.843
145,0,    29.25,   37.38,   34.85,   16.91,   12.68
145,1,    72.31,   101.4,    39.1,   35.47,    26.6
145,2,    6.006,   9.254,    31.6,    7.81,   5.857
145,3,    1.846,   2.671,    34.6,    6.52,    4.89
150,0,    30.82,   39.47,   34.98,   17.54,   13.16
150,1,    74.64,   104.6,    39.1,    36.4,    27.3
150,2,    6.559,   10.05,    31.6,   8.034,   6.026
150,3,    2.001,   2.891,    34.6,   6.582,   4.937
155,0,     32.4,   41.53,   34.98,   18.15,   13.61
155,1,    76.81,   107.6,    38.6,   37.17,   27.88
155,2,    7.112,   10.84,   31.73,   8.279,    6.21
155,3,    2.314,   3.318,   34.98,   6.768,   5.076
160,0,    33.95,   43.56,   34.98,   18.75,   14.06
160,1,    78.44,   109.9,    38.1,   37.74,    28.3
160,2,    8.225,   12.38,   32.23,   8.805,   6.604
160,3,    2.628,   3.746,    35.1,   6.912,   5.184
165,0,    35.13,   45.04,   34.98,   19.19,   14.39
165,1,    80.47,   112.7,    38.1,   38.54,   28.91
165,2,    9.338,   13.92,   32.23,   9.247,   6.935
165,3,    2.941,   4.173,    35.1,   7.036,   5.277
170,0,    36.05,   46.15,   35.23,   19.57,   14.68
170,1,    82.93,   116.1,    38.6,    39.6,    29.7
170,2,    10.45,   15.46,   32.23,   9.689,   7.267
170,3,      3.1,   4.383,   34.73,   7.035,   5.276
175,0,    37.11,   47.45,   35.48,   20.01,      15
175,1,    85.82,     120,   39.23,   40.85,   30.64
175,2,    11.02,   16.24,   31.85,    9.85,   7.388
175,3,     3.26,   4.594,    34.6,   7.076,   5.307
180,0,    38.36,   49.01,    35.6,    20.5,   15.37
180,1,    88.52,   123.7,   39.35,   41.93,   31.45
180,2,    11.58,   17.01,   31.98,   10.09,   7.571
180,3,    3.419,   4.805,    34.6,   7.137,   5.353
185,0,     39.5,   50.42,   35.73,   20.94,   15.71
185,1,    91.31,   127.5,   39.48,   43.05,   32.29
185,2,    12.15,   17.78,    32.1,   10.34,   7.754
185,3,    3.578,   5.018,    34.6,   7.199,     5.4
190,0,    40.67,   51.87,   35.73,   21.38,   16.03
