timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    4.418,   5.698,    37.1,   7.869,   5.902
40,1,    5.427,   17.68,   40.48,    10.6,   7.948
40,2,   0.5472,  0.4547,   32.98,   5.663,   4.247
40,3, 0.008593, 0.02069,   34.98,   5.834,   4.376
45,0,    6.133,   7.808,    37.6,    8.59,   6.443
45,1,    6.892,   20.85,   40.98,   11.45,    8.59
45,2,   0.7709,  0.6571,    33.6,   5.838,   4.378
45,3,  0.01099, 0.02577,   35.48,   5.919,   4.439
50,0,    7.808,   9.916,   37.48,     9.2,     6.9
50,1,    8.283,   21.92,   40.98,   11.86,   8.898
50,2,     1.34,   1.197,   33.73,   6.044,   4.533
50,3,  0.01335, 0.03095,    35.6,   5.941,   4.456
55,0,    9.304,   12.43,   37.23,   9.826,   7.369
55,1,    9.573,   22.95,   40.73,   12.21,   9.156
55,2,    1.932,   2.872,   33.73,   6.422,   4.816
55,3,  0.01568, 0.03611,   35.73,   5.963,   4.472
60,0,    10.39,   14.92,   37.35,   10.44,   7.832
60,1,     10.4,   23.98,   40.35,   12.45,   9.341
60,2,    2.784,   5.116,   34.23,   7.021,   5.266
60,3,  0.01805, 0.04176,    36.1,   6.027,    4.52
65,0,    11.45,   17.37,    37.1,   10.99,    8.24
65,1,    10.89,   24.69,   39.85,   12.57,   9.428
65,2,    4.428,   7.397,   34.85,   7.779,   5.834
65,3,  0.02043, 0.04715,   35.98,   6.007,   4.505
70,0,     12.5,   19.33,   37.35,   11.53,   8.648
70,1,    11.83,   25.64,    40.1,   12.93,   9.696
70,2,    5.896,   9.559,   34.98,   8.405,   6.304
70,3,  0.02091, 0.05062,    36.1,   6.029,   4.521
75,0,    13.54,   20.27,    37.1,   11.82,   8.864
75,1,    12.86,   26.14,   39.85,   13.14,   9.856
75,2,    7.364,   11.76,   34.85,   8.996,   6.747
75,3,  0.02139, 0.05409,   35.98,   6.008,   4.506
80,0,    14.45,   21.16,   37.23,   12.14,   9.105
80,1,    13.53,   26.61,   39.48,   13.27,   9.952
80,2,    8.953,   16.11,   35.35,   10.07,   7.552
80,3,  0.02185, 0.05786,   36.23,   6.051,   4.538
85,0,    14.66,   21.98,   36.85,   12.25,   9.186
85,1,    14.21,   27.08,   39.35,   13.44,   10.08
85,2,    10.87,   20.51,   35.73,   11.18,   8.388
85,3,  0.02239, 0.06201,   35.98,    6.01,   4.507
90,0,    14.87,   22.76,   37.23,   12.48,   9.358
90,1,    15.78,   27.62,    39.6,   13.83,   10.37
90,2,    12.44,   24.57,   35.73,   12.12,   9.091
90,3,  0.02294, 0.06575,    36.1,   6.031,   4.524
95,0,    15.36,   23.34,    37.6,   12.72,   9.536
95,1,    17.34,   28.16,   39.73,    14.2,   10.65
95,2,    13.99,   27.49,   35.73,   12.87,   9.651
95,3,   0.0235, 0.06966,   36.23,   6.053,    4.54
MARK: log cycle at timestamp 95
