timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    16.07, 0.01795,   36.35,    8.74,   6.555
40,1,    11.23, 0.01154,   40.48,    8.62,   6.465
40,2,   0.0168, 0.02258,   30.73,   5.127,   3.846
40,3, 0.003787,  0.0104,    33.1,   5.519,   4.139
45,0,    20.93, 0.02169,   37.23,   9.697,   7.273
45,1,    14.17, 0.01438,   40.48,   9.109,   6.832
45,2,  0.02137, 0.02835,   30.73,   5.129,   3.847
45,3, 0.004552, 0.01227,    33.1,   5.519,    4.14
50,0,    25.26, 0.02509,    36.6,   10.31,   7.736
50,1,    17.65, 0.01679,   41.23,   9.815,   7.361
50,2,  0.02578, 0.03353,   30.85,   5.152,   3.864
50,3, 0.005298, 0.01411,    33.1,    5.52,    4.14
55,0,    29.59,  0.0282,   36.73,   11.06,   8.293
55,1,    21.13, 0.01916,   41.23,    10.4,   7.797
55,2,  0.03007,  0.0385,   30.85,   5.153,   3.865
55,3, 0.005959, 0.01579,   33.23,   5.541,   4.156
60,0,    33.29, 0.03599,   36.48,   11.63,   8.725
60,1,     24.3, 0.02135,   40.48,    10.8,     8.1
60,2,    1.002,  0.0476,    31.6,   5.442,   4.081
60,3, 0.006636, 0.01744,   33.35,   5.562,   4.172
65,0,    36.49, 0.04391,   36.48,   12.17,   9.127
65,1,    27.97, 0.02336,   40.48,   11.41,   8.559
65,2,    1.974, 0.05672,    31.6,   5.605,   4.204
65,3, 0.007345, 0.01912,   33.48,   5.584,   4.188
70,0,    39.75,  0.0517,    37.1,   12.82,   9.612
70,1,     31.6, 0.02506,   39.85,   11.91,   8.935
70,2,    2.946, 0.06548,   31.73,   5.789,   4.342
70,3, 0.007971, 0.02072,    33.6,   5.605,   4.204
75,0,    43.68, 0.05921,   37.73,   13.58,   10.18
75,1,    34.52, 0.02693,    39.1,   12.28,   9.206
75,2,    3.918, 0.07416,   31.73,   5.953,   4.465
75,3,   0.0086, 0.02234,   33.73,   5.626,   4.219
