,,,,,,,,,,,,,,,,,,Real Temp Difference,,,
scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,,,CPU,,,
ule,1,40,0,1.379,1.184,32.1,5.777,4.333,,scheduler,timestamp,0.000,1.000,2.000,3.000,,Timestamp(s),0,1,2,3
ule,1,40,1,9.617,13.28,35.1,9.666,7.25,,tas,40,32.183,34.060,30.767,31.893,,40,-0.167,-1.167,2.750,0.500
ule,1,40,2,1.624,2.501,28.6,5.454,4.091,,,45,32.437,34.393,31.480,32.267,,45,-0.250,-1.583,3.047,0.540
ule,1,40,3,0.6409,0.881,31.98,5.583,4.187,,,50,32.647,34.603,31.687,32.437,,50,-0.500,-1.790,2.963,0.460
ule,1,45,0,1.849,1.658,32.48,5.997,4.498,,,55,32.770,34.980,31.687,32.603,,55,-0.540,-1.913,2.627,0.377
ule,1,45,1,12.61,17.5,35.85,10.99,8.245,,,60,32.853,35.020,31.893,32.897,,60,-0.833,-1.957,2.627,0.463
ule,1,45,2,2.16,3.318,29.1,5.763,4.322,,,65,33.020,35.520,31.770,32.980,,65,-1.000,-1.750,2.333,0.503
ule,1,45,3,0.7938,1.099,32.35,5.707,4.28,,,70,33.187,35.853,31.727,33.020,,70,-0.877,-1.873,2.293,0.420
ule,1,50,0,2.312,2.135,32.73,6.195,4.647,,,75,33.267,35.810,31.977,33.187,,75,-0.960,-2.167,2.377,0.457
ule,1,50,1,16.01,22.35,36.23,12.43,9.323,,,80,33.437,36.060,31.980,33.267,,80,-1.083,-2.000,2.253,0.417
ule,1,50,2,2.692,4.125,29.35,6.028,4.521,,,85,33.517,36.227,32.060,33.310,,85,-1.127,-2.043,2.167,0.373
ule,1,50,3,0.9366,1.312,32.6,5.808,4.356,,,90,33.603,36.143,32.310,33.437,,90,-1.000,-2.207,2.127,0.377
ule,1,55,0,2.981,2.923,32.98,6.48,4.86,,,95,33.687,36.020,32.560,33.560,,95,-1.040,-2.457,2.293,0.417
ule,1,55,1,19.19,26.93,36.6,13.79,10.34,,,100,33.813,36.267,32.687,33.520,,100,-0.873,-2.337,2.293,0.167
ule,1,55,2,3.224,4.933,29.6,6.293,4.72,,,105,33.853,36.060,33.103,33.603,,105,-0.747,-2.623,2.543,0.043
ule,1,55,3,1.079,1.526,32.85,5.909,4.432,,,110,33.937,36.143,33.187,33.683,,110,-0.793,-2.500,2.377,-0.003
ule,1,60,0,3.693,3.775,33.23,6.782,5.087,,,115,33.977,36.060,33.437,33.727,,115,-0.873,-2.707,2.503,-0.040
ule,1,60,1,22.35,31.45,36.85,15.11,11.33,,,120,34.017,36.100,33.477,33.770,,120,-0.837,-2.877,2.417,-0.083
ule,1,60,2,3.756,5.741,29.85,6.558,4.918,,,125,34.103,36.187,33.603,33.850,,125,-0.873,-2.830,2.463,-0.083
ule,1,60,3,1.222,1.74,33.1,6.01,4.508,,,130,34.227,36.437,33.477,33.893,,130,-1.003,-2.500,2.373,-0.207
ule,1,65,0,4.498,4.761,33.48,7.122,5.342,,,135,34.350,36.643,33.393,33.893,,135,-0.917,-2.250,2.003,-0.333
ule,1,65,1,25.58,36.05,37.6,16.54,12.4,,,140,34.520,37.060,33.103,33.893,,140,-0.833,-2.043,1.627,-0.250
ule,1,65,2,4.288,6.548,29.98,6.802,5.101,,,145,34.603,37.103,33.103,33.937,,145,-0.873,-2.207,1.587,-0.123
ule,1,65,3,1.223,1.745,32.85,5.97,4.477,,,150,34.727,37.393,33.017,33.937,,150,-0.793,-2.000,1.460,-0.123
ule,1,70,0,5.432,5.928,33.73,7.514,5.636,,,155,34.767,37.520,33.103,34.020,,155,-0.920,-1.623,1.503,-0.207
ule,1,70,1,29.23,41.23,38.35,18.13,13.6,,,160,34.853,37.853,33.020,34.060,,160,-1.000,-1.040,1.210,-0.250
ule,1,70,2,4.293,6.574,29.6,6.745,5.058,,,165,35.103,37.810,33.060,34.103,,165,-0.917,-1.000,1.210,-0.247
ule,1,70,3,1.224,1.75,32.85,5.971,4.478,,,170,35.060,37.563,33.480,34.183,,170,-1.043,-1.453,1.587,-0.087
ule,1,75,0,6.709,7.575,33.85,8.022,6.017,,,175,35.060,37.517,33.687,34.270,,175,-1.127,-1.710,1.920,0.043
ule,1,75,1,32.54,45.9,38.6,19.51,14.63,,,180,35.020,37.227,34.063,34.350,,180,-1.373,-1.960,2.253,0.083
ule,1,75,2,4.298,6.599,29.73,6.77,5.078,,,185,35.063,37.310,34.183,34.437,,185,-1.413,-1.960,2.333,0.170
ule,1,75,3,1.224,1.754,32.98,5.992,4.494,,,190,35.020,37.143,34.393,34.560,,190,-1.540,-2.333,2.627,0.293
ule,1,80,0,8.303,9.691,33.98,8.662,6.496,,,195,35.060,37.143,34.437,34.603,,195,-1.583,-2.543,2.627,0.460
ule,1,80,1,35.54,50.1,38.85,20.75,15.56,,,200,35.100,37.143,34.520,34.687,,200,-1.627,-2.750,2.793,0.543
ule,1,80,2,4.302,6.624,29.85,6.796,5.097,,,205,34.933,37.100,34.560,34.893,,205,-1.877,-2.837,2.790,0.710
ule,1,80,3,1.225,1.758,33.1,6.014,4.51,,,210,34.977,37.267,34.477,34.893,,210,-1.873,-2.750,2.667,0.667
ule,1,85,0,9.987,11.92,34.1,9.335,7.001,,,215,35.103,37.600,34.183,34.853,,215,-1.790,-2.460,2.293,0.587
ule,1,85,1,38.46,54.19,39.1,21.96,16.47,,,220,35.187,37.767,34.060,34.893,,220,-1.747,-2.293,2.127,0.583
ule,1,85,2,4.306,6.648,29.98,6.822,5.116,,,225,35.270,37.767,34.060,34.893,,225,-1.873,-2.167,2.087,0.543
ule,1,85,3,1.225,1.762,33.1,6.014,4.511,,,230,35.393,37.933,33.933,34.893,,230,-1.750,-2.043,1.873,0.457
ule,1,90,0,11.67,14.15,34.23,10.01,7.506,,,235,35.477,37.933,33.933,34.893,,235,-1.500,-2.250,1.793,0.377
ule,1,90,1,41.38,58.29,39.1,23.13,17.35,,,240,35.520,37.810,34.100,34.893,,240,-1.457,-2.417,1.917,0.333
ule,1,90,2,4.311,6.673,30.1,6.847,5.135,,,245,35.520,37.810,34.267,34.770,,245,-1.290,-2.623,2.000,0.170
