scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
ule,1,40,0,0.02394,0.0155,27.73,4.627,3.471
ule,1,45,0,0.03019,0.0194,27.6,4.608,3.456
ule,1,50,0,0.03623,0.02307,27.6,4.61,3.457
ule,1,55,0,0.04213,0.0267,27.6,4.611,3.459
ule,1,60,0,0.04786,0.03033,27.6,4.613,3.46
ule,1,65,0,0.05335,0.03383,27.48,4.594,3.445
ule,1,70,0,0.05805,0.03617,27.35,4.574,3.431
ule,1,75,0,0.06266,0.03843,27.35,4.575,3.431
ule,1,80,0,0.06725,0.04067,27.23,4.555,3.417
ule,1,85,0,0.07186,0.04292,27.23,4.557,3.417
ule,1,90,0,0.0765,0.04521,27.1,4.537,3.403
ule,1,95,0,0.08113,0.0475,27.1,4.538,3.404
ule,1,100,0,0.0858,0.04981,27.1,4.539,3.404
ule,1,105,0,0.09067,0.05215,27.1,4.54,3.405
ule,1,110,0,0.0957,0.05454,27.1,4.542,3.406
ule,1,115,0,0.1008,0.05692,27.1,4.543,3.407
ule,1,120,0,0.1061,0.0593,27.1,4.544,3.408
ule,1,125,0,0.1116,0.06163,27.1,4.546,3.409
ule,1,130,0,0.1173,0.06394,27.1,4.547,3.41
ule,1,135,0,0.1233,0.06621,27.1,4.548,3.411
ule,1,140,0,0.1294,0.06843,27.1,4.55,3.412
ule,1,145,0,0.1354,0.07059,27.1,4.551,3.413
ule,1,150,0,0.1427,0.07429,27.1,4.553,3.415
ule,1,155,0,0.1499,0.07805,27.1,4.555,3.416
ule,1,160,0,0.157,0.08186,27.1,4.556,3.417
ule,1,165,0,0.1639,0.08572,27.1,4.558,3.419
ule,1,170,0,0.1705,0.08962,27.1,4.56,3.42
ule,1,175,0,0.1768,0.09354,27.1,4.562,3.421
ule,1,180,0,0.183,0.09755,27.1,4.563,3.423
ule,1,185,0,0.1893,0.1016,27.1,4.565,3.424
ule,1,190,0,0.1941,0.1041,27.1,4.566,3.425
ule,1,195,0,0.1988,0.1066,27.1,4.568,3.426
ule,1,200,0,0.2036,0.1091,27.1,4.569,3.427
ule,1,205,0,0.2083,0.1115,27.1,4.57,3.427
ule,1,210,0,0.2131,0.114,27.1,4.571,3.428
ule,1,215,0,0.2179,0.1164,27.1,4.572,3.429
ule,1,220,0,0.2227,0.1188,27.1,4.574,3.43
ule,1,225,0,0.2274,0.1212,27.1,4.575,3.431
ule,1,230,0,0.2322,0.1235,27.1,4.576,3.432
