timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
40,0,    4.138,   4.678,   32.35,   6.861,   5.146
40,1,    5.167,   7.581,   34.48,    7.87,   5.903
40,2,    6.131,   8.969,    30.1,   7.533,    5.65
40,3,  0.02336,     0.2,   31.98,   5.366,   4.025
45,0,    5.001,    5.67,   32.73,   7.233,   5.424
45,1,    6.998,    10.2,    35.1,   8.717,   6.538
45,2,    7.906,   11.58,   30.73,   8.369,   6.277
45,3,  0.03064,  0.2626,   32.35,   5.441,    4.08
50,0,    5.694,   6.525,   32.98,   7.532,   5.649
50,1,    9.055,   13.16,   35.48,   9.615,   7.211
50,2,    9.665,   14.18,   30.98,   9.137,   6.853
50,3,  0.03779,  0.3249,    32.6,   5.494,    4.12
55,0,    6.265,   7.195,   33.23,   7.781,   5.836
55,1,    11.66,   16.89,   36.23,    10.8,   8.096
55,2,    11.03,   16.22,   30.73,   9.663,   7.247
55,3,  0.04489,  0.3858,   32.73,   5.526,   4.144
60,0,    6.938,   8.008,   33.35,   8.049,   6.037
60,1,    14.08,   20.33,   35.98,   11.73,   8.798
60,2,    12.41,   18.34,   30.98,   10.29,   7.715
60,3,    0.145,  0.5833,   33.23,   5.659,   4.244
65,0,    7.492,   8.644,   33.48,   8.268,   6.201
65,1,    16.51,   23.76,   36.23,   12.75,   9.563
65,2,    13.93,   20.63,   31.23,   10.96,   8.224
65,3,   0.2451,  0.7801,   33.48,    5.75,   4.313
70,0,     8.04,   9.236,   33.73,     8.5,   6.375
70,1,    19.51,   27.97,   36.98,   14.08,   10.56
70,2,    14.92,   22.15,   30.85,   11.32,   8.489
70,3,   0.3392,  0.9319,   33.48,   5.791,   4.343
75,0,     8.73,   10.03,   33.85,   8.768,   6.576
75,1,    21.98,   31.41,   36.73,   15.02,   11.26
75,2,     16.3,   24.22,   31.48,      12,       9
75,3,   0.4332,   1.084,   33.73,   5.874,   4.405
80,0,    9.305,   10.64,    34.1,   9.008,   6.756
80,1,    25.01,   35.64,   37.35,   16.33,   12.25
80,2,    17.28,   25.69,   31.23,   12.36,   9.273
80,3,   0.5271,   1.235,   33.85,   5.935,   4.452
85,0,    10.37,   11.95,    34.1,   9.403,   7.052
85,1,    27.48,   39.11,   37.23,    17.3,   12.98
85,2,    18.29,   27.22,   31.73,   12.87,   9.654
85,3,    0.621,   1.387,   33.98,   5.997,   4.498
90,0,    11.31,   13.09,   34.23,   9.772,   7.329
90,1,    30.08,   42.75,   37.35,   18.36,   13.77
90,2,    19.31,   28.74,   31.85,   13.32,   9.988
90,3,   0.7149,   1.538,    34.1,   6.059,   4.544
95,0,    12.71,   14.89,   34.23,    10.3,   7.727
95,1,    32.15,    45.7,   36.98,   19.14,   14.35
95,2,    20.39,   30.36,   32.35,   13.85,   10.39
95,3,   0.8089,   1.691,   34.23,   6.121,   4.591
100,0,       14,   16.54,   34.23,   10.79,   8.095
100,1,    33.86,   48.15,    37.1,   19.85,   14.89
100,2,    22.02,   32.66,   32.98,   14.61,   10.96
100,3,     0.81,   1.708,   33.98,   6.082,   4.562
105,0,    15.29,   18.19,   34.35,   11.31,   8.479
105,1,    35.57,   50.59,   37.23,   20.57,   15.42
105,2,    23.65,   34.96,    33.1,   15.29,   11.46
105,3,   0.8109,   1.726,   33.98,   6.085,   4.564
110,0,    16.59,   19.84,   34.48,   11.82,   8.863
110,1,    37.27,   53.07,   37.35,   21.28,   15.96
110,2,    25.28,   37.27,   33.23,   15.96,   11.97
110,3,   0.8119,   1.742,    34.1,   6.109,   4.582
115,0,    17.86,   21.49,    34.6,   12.33,   9.244
115,1,    38.98,   55.55,   37.48,      22,    16.5
115,2,    26.93,   39.57,   33.35,   16.64,   12.48
115,3,   0.8129,   1.759,    34.1,   6.112,   4.584
120,0,    19.14,   23.14,    34.6,   12.81,    9.61
120,1,    40.11,   57.25,    37.1,   22.41,   16.81
120,2,    29.14,   42.64,   33.85,    17.6,    13.2
120,3,    0.814,   1.776,    34.1,   6.115,   4.586
125,0,    19.93,   24.09,   34.73,   13.12,   9.844
125,1,    41.81,   59.73,    37.6,   23.19,   17.39
125,2,     31.3,   45.73,    33.6,   18.44,   13.83
125,3,   0.8151,   1.794,    34.1,   6.118,   4.589
130,0,    20.75,   25.09,   34.85,   13.45,   10.09
130,1,    43.47,   62.16,    37.6,   23.87,    17.9
130,2,    33.47,   48.83,    33.6,   19.32,   14.49
130,3,   0.8161,   1.811,    34.1,   6.121,   4.591
135,0,    21.11,   25.42,    35.1,    13.6,    10.2
135,1,    45.68,   65.28,    38.1,   24.84,   18.63
135,2,    35.57,   51.84,   33.35,   20.13,   15.09
135,3,   0.8171,   1.828,    34.1,   6.124,   4.593
140,0,    21.51,    25.8,   35.35,   13.78,   10.33
140,1,    48.41,   69.12,    38.6,   26.02,   19.52
140,2,    37.12,   54.07,   32.98,   20.69,   15.52
140,3,   0.8181,   1.842,    34.1,   6.127,   4.595
145,0,    21.92,   26.21,   35.48,   13.93,   10.45
145,1,    51.14,   72.95,    38.6,   27.11,   20.34
145,2,    38.66,   56.27,   32.98,   21.32,   15.99
145,3,    0.819,   1.857,   34.23,    6.15,   4.613
150,0,    22.33,   26.62,    35.6,   14.09,   10.57
